Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
59.018;12;T7C;Multimodal;38.130;-380.280;0.04;0.000;0.000;0.000;18052.82;38.130;-380.280;-1.3
59.118;12;T7C;Multimodal;38.129;-380.280;0.02;0.000;0.000;0.000;17580.97;38.129;-380.280;-1.3
59.220;12;T7C;Multimodal;38.129;-380.280;0.03;0.000;0.000;0.000;17813.83;38.129;-380.280;-1.3
59.320;12;T7C;Multimodal;38.129;-380.280;0.01;0.000;0.000;0.000;17999.56;38.129;-380.280;-1.3
59.422;12;T7C;Multimodal;38.129;-380.280;0.00;0.000;0.000;0.000;17984.99;38.129;-380.280;-1.3
59.524;12;T7C;Multimodal;38.128;-380.280;0.00;0.000;0.000;0.000;17885.68;38.128;-380.280;-1.3
59.624;12;T7C;Multimodal;38.128;-380.280;0.00;0.000;0.000;0.000;17785.77;38.128;-380.280;-1.3
59.726;12;T7C;Multimodal;38.128;-380.280;0.00;0.000;0.000;0.000;17726.51;38.128;-380.280;-1.3
59.826;12;T7C;Multimodal;38.128;-380.280;0.00;0.000;0.000;0.000;17671.00;38.128;-380.280;-1.3
59.928;12;T7C;Multimodal;38.128;-380.280;0.00;0.000;0.000;0.000;17641.89;38.128;-380.280;-1.3
