Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
60.894;14;L2C;Multimodal;32.710;-379.829;0.05;0.000;0.000;0.000;18091.34;-282.070;-285.099;-1.3
60.994;14;L2C;Multimodal;32.710;-379.829;0.02;0.000;0.000;0.000;18091.34;-282.070;-285.099;-1.3
61.096;14;L2C;Multimodal;32.710;-379.829;0.03;0.000;0.000;0.000;18091.34;-282.070;-285.099;-1.3
61.198;14;L2C;Multimodal;32.710;-379.829;0.01;0.000;0.000;0.000;18091.34;-282.070;-285.099;-1.3
61.298;14;L2C;Multimodal;32.709;-379.829;0.00;0.000;0.060;0.000;18091.34;-282.070;-285.099;-1.3
61.400;14;L2C;Multimodal;32.711;-379.829;0.03;0.000;0.060;0.000;18091.34;-282.070;-285.099;-1.3
61.500;14;L2C;Multimodal;32.734;-379.829;0.41;0.000;0.820;0.000;18091.34;-282.070;-285.099;-1.3
61.602;14;L2C;Multimodal;32.796;-379.829;0.78;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
61.702;14;L2C;Multimodal;32.892;-379.829;1.12;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
61.804;14;L2C;Multimodal;33.026;-379.829;1.48;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
61.906;14;L2C;Multimodal;33.195;-379.829;1.83;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
62.006;14;L2C;Multimodal;33.396;-379.829;2.17;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
62.108;14;L2C;Multimodal;33.636;-379.829;2.51;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
62.208;14;L2C;Multimodal;33.905;-379.829;2.85;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
62.310;14;L2C;Multimodal;34.213;-379.829;3.18;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
62.410;14;L2C;Multimodal;34.549;-379.829;3.51;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
62.512;14;L2C;Multimodal;34.924;-379.829;3.84;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
62.614;14;L2C;Multimodal;35.333;-379.829;4.16;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
62.714;14;L2C;Multimodal;35.766;-379.829;4.48;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
62.816;14;L2C;Multimodal;36.240;-379.829;4.80;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
62.916;14;L2C;Multimodal;36.736;-379.829;5.10;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
63.018;14;L2C;Multimodal;37.273;-379.829;5.40;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
63.118;14;L2C;Multimodal;37.829;-379.829;5.70;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
63.220;14;L2C;Multimodal;38.426;-379.829;5.99;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
63.320;14;L2C;Multimodal;39.041;-379.829;6.28;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
63.422;14;L2C;Multimodal;39.697;-379.829;6.57;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
63.524;14;L2C;Multimodal;40.383;-379.829;6.86;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
63.624;14;L2C;Multimodal;41.084;-379.829;7.14;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
63.726;14;L2C;Multimodal;41.827;-379.829;7.42;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
63.826;14;L2C;Multimodal;42.583;-379.829;7.69;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
63.928;14;L2C;Multimodal;43.382;-379.829;7.96;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
64.030;14;L2C;Multimodal;44.208;-379.829;8.23;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
64.132;14;L2C;Multimodal;45.062;-379.829;8.50;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
64.234;14;L2C;Multimodal;45.943;-379.829;8.76;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
64.336;14;L2C;Multimodal;46.851;-379.829;9.02;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
64.438;14;L2C;Multimodal;47.785;-379.829;9.28;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
64.540;14;L2C;Multimodal;48.745;-379.829;9.53;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
64.642;14;L2C;Multimodal;49.731;-379.829;9.78;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
64.744;14;L2C;Multimodal;50.743;-379.829;10.03;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
64.846;14;L2C;Multimodal;51.780;-379.829;10.28;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
64.946;14;L2C;Multimodal;52.820;-379.829;10.52;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
65.048;14;L2C;Multimodal;53.906;-379.829;10.76;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
65.150;14;L2C;Multimodal;55.016;-379.829;10.99;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
65.252;14;L2C;Multimodal;56.150;-379.829;11.23;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
65.354;14;L2C;Multimodal;57.308;-379.829;11.46;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
65.456;14;L2C;Multimodal;58.490;-379.829;11.69;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
65.558;14;L2C;Multimodal;59.694;-379.829;11.92;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
65.660;14;L2C;Multimodal;60.922;-379.829;12.14;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
65.762;14;L2C;Multimodal;62.172;-379.829;12.36;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
65.864;14;L2C;Multimodal;63.445;-379.829;12.58;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
65.966;14;L2C;Multimodal;64.740;-379.829;12.79;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
66.068;14;L2C;Multimodal;66.057;-379.829;13.01;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
66.168;14;L2C;Multimodal;67.369;-379.829;13.22;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
66.270;14;L2C;Multimodal;68.728;-379.829;13.42;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
66.372;14;L2C;Multimodal;70.109;-379.831;13.63;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
66.474;14;L2C;Multimodal;71.510;-379.832;13.84;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
66.576;14;L2C;Multimodal;72.932;-379.834;14.04;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
66.678;14;L2C;Multimodal;74.375;-379.835;14.24;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
66.780;14;L2C;Multimodal;75.838;-379.837;14.43;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
66.882;14;L2C;Multimodal;77.321;-379.838;14.63;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
66.984;14;L2C;Multimodal;78.823;-379.840;14.82;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
67.086;14;L2C;Multimodal;80.346;-379.841;15.01;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
67.188;14;L2C;Multimodal;81.888;-379.843;15.21;0.000;1.000;0.000;18091.34;-282.070;-285.099;-1.3
67.290;14;L2C;Multimodal;83.449;-379.845;15.40;0.000;0.990;0.000;18091.34;-282.070;-285.099;-1.3
67.392;14;L2C;Multimodal;85.030;-379.846;15.59;0.000;0.960;0.000;18091.34;-282.070;-285.099;-1.3
67.494;14;L2C;Multimodal;86.630;-379.848;15.77;0.000;0.900;0.000;18091.34;-282.070;-285.099;-1.3
67.596;14;L2C;Multimodal;88.250;-379.849;15.98;0.000;0.770;0.000;18091.34;-282.070;-285.099;-1.3
67.696;14;L2C;Multimodal;89.860;-379.851;16.25;0.000;0.610;0.000;18091.34;-282.070;-285.099;-1.3
67.798;14;L2C;Multimodal;91.531;-379.852;16.40;0.000;0.520;0.000;18091.34;-282.070;-285.099;-1.3
67.900;14;L2C;Multimodal;93.204;-379.854;16.41;0.000;0.460;0.000;18091.34;-282.070;-285.099;-1.3
68.002;14;L2C;Multimodal;94.877;-379.855;16.40;0.000;0.440;0.000;18091.34;-282.070;-285.099;-1.3
68.104;14;L2C;Multimodal;96.550;-379.857;16.38;0.000;0.390;0.000;18091.34;-282.070;-285.099;-1.3
68.206;14;L2C;Multimodal;98.219;-379.859;16.34;0.000;0.300;0.000;18091.34;-282.070;-285.099;-1.3
68.308;14;L2C;Multimodal;99.881;-379.860;16.25;0.000;0.160;0.000;18091.34;-282.070;-285.099;-1.3
68.410;14;L2C;Multimodal;101.531;-379.862;16.09;0.000;0.070;0.000;18091.34;-282.070;-285.099;-1.3
68.512;14;L2C;Multimodal;103.162;-379.863;15.91;0.000;0.060;0.000;18091.34;-282.070;-285.099;-1.3
68.614;14;L2C;Multimodal;104.775;-379.865;15.73;0.000;0.050;0.000;18091.34;-282.070;-285.099;-1.3
68.716;14;L2C;Multimodal;106.369;-379.866;15.52;0.000;0.030;0.000;18091.34;-282.070;-285.099;-1.3
68.818;14;L2C;Multimodal;107.941;-379.868;15.32;0.000;0.030;0.000;18091.34;-282.070;-285.099;-1.3
68.918;14;L2C;Multimodal;109.462;-379.869;15.13;0.000;0.040;0.000;18091.34;-282.070;-285.099;-1.3
69.020;14;L2C;Multimodal;110.994;-379.871;14.93;0.000;0.040;0.000;18091.34;-282.070;-285.099;-1.3
69.122;14;L2C;Multimodal;112.506;-379.873;14.73;0.000;0.040;0.000;18091.34;-282.070;-285.099;-1.3
69.224;14;L2C;Multimodal;113.999;-379.874;14.55;0.000;0.060;0.000;18091.34;-282.070;-285.099;-1.3
69.326;14;L2C;Multimodal;115.474;-379.876;14.39;0.000;0.090;0.000;18091.34;-282.070;-285.099;-1.3
69.428;14;L2C;Multimodal;116.934;-379.877;14.25;0.000;0.110;0.000;18091.34;-282.070;-285.099;-1.3
69.530;14;L2C;Multimodal;118.380;-379.879;14.11;0.000;0.120;0.000;18091.34;-282.070;-285.099;-1.3
69.632;14;L2C;Multimodal;119.813;-379.879;13.99;0.000;0.140;0.000;18091.34;-282.070;-285.099;-1.3
69.734;14;L2C;Multimodal;121.233;-379.879;13.87;0.000;0.150;0.000;18091.34;-282.070;-285.099;-1.3
69.836;14;L2C;Multimodal;122.642;-379.879;13.76;0.000;0.150;0.000;18091.34;-282.070;-285.099;-1.3
69.938;14;L2C;Multimodal;124.040;-379.879;13.65;0.000;0.150;0.000;18091.34;-282.070;-285.099;-1.3
70.040;14;L2C;Multimodal;125.426;-379.879;13.55;0.000;0.150;0.000;18091.34;-282.070;-285.099;-1.3
70.140;14;L2C;Multimodal;126.774;-379.879;13.44;0.000;0.150;0.000;18091.34;-282.070;-285.099;-1.3
70.242;14;L2C;Multimodal;128.139;-379.879;13.33;0.000;0.150;0.000;18091.34;-282.070;-285.099;-1.3
70.344;14;L2C;Multimodal;129.493;-379.879;13.22;0.000;0.150;0.000;18091.34;-282.070;-285.099;-1.3
70.446;14;L2C;Multimodal;130.836;-379.879;13.12;0.000;0.140;0.000;18091.34;-282.070;-285.099;-1.3
70.548;14;L2C;Multimodal;132.169;-379.879;13.02;0.000;0.150;0.000;18091.34;-282.070;-285.099;-1.3
70.650;14;L2C;Multimodal;133.490;-379.879;12.91;0.000;0.150;0.000;18091.34;-282.070;-285.099;-1.3
