Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
0.122;1;C1B;Audio;-216.980;-288.120;0.22;0.000;0.000;0.000;Infinity;0.000;0.000;0.0
0.222;1;C1B;Audio;-216.980;-288.120;0.14;0.000;0.000;0.000;269595.60;-216.981;-277.766;81.3
0.322;1;C1B;Audio;-216.980;-288.120;0.03;0.000;0.000;0.000;124946.90;-216.980;-288.120;81.3
0.424;1;C1B;Audio;-216.980;-288.120;0.03;0.000;0.000;0.000;102365.50;-216.980;-288.120;81.3
0.524;1;C1B;Audio;-216.980;-288.119;0.03;0.000;0.000;0.000;103693.00;-216.980;-288.119;81.3
0.626;1;C1B;Audio;-216.980;-288.119;0.02;0.000;0.000;0.000;109885.80;-216.980;-288.119;81.3
0.728;1;C1B;Audio;-216.980;-288.119;0.00;0.000;0.000;0.000;113731.90;-216.980;-288.119;81.3
0.828;1;C1B;Audio;-216.980;-288.119;0.00;0.000;0.000;0.000;114444.80;-216.980;-288.119;81.3
0.930;1;C1B;Audio;-216.980;-288.119;0.00;0.000;0.000;0.000;113561.60;-216.980;-288.119;81.3
1.030;1;C1B;Audio;-216.980;-288.119;0.00;0.000;0.000;0.000;112607.70;-216.980;-288.119;81.3
1.132;1;C1B;Audio;-216.980;-288.119;0.00;0.000;0.000;0.000;112383.80;-216.980;-288.119;81.3
1.232;1;C1B;Audio;-216.980;-288.119;0.00;0.000;0.000;0.000;112383.80;-216.980;-288.119;81.3
1.334;1;C1B;Audio;-216.980;-288.119;0.00;0.000;0.000;0.000;112596.20;-216.980;-288.119;81.3
1.436;1;C1B;Audio;-216.980;-288.119;0.00;0.000;0.000;0.000;112414.60;-216.980;-288.119;81.3
1.538;1;C1B;Audio;-216.980;-288.119;0.00;0.000;0.000;0.000;112510.00;-216.980;-288.119;81.3
1.638;1;C1B;Audio;-216.980;-288.119;0.00;0.000;0.000;0.000;112455.80;-216.980;-288.119;81.3
1.740;1;C1B;Audio;-216.980;-288.119;0.00;0.000;0.000;0.000;112542.70;-216.980;-288.119;81.3
1.842;1;C1B;Audio;-216.980;-288.119;0.00;0.000;0.000;0.000;112534.70;-216.980;-288.119;81.3
1.942;1;C1B;Audio;-216.980;-288.119;0.00;0.000;0.000;0.000;112603.70;-216.980;-288.119;81.3
2.044;1;C1B;Audio;-216.980;-288.119;0.00;0.000;0.000;0.000;112648.50;-216.980;-288.119;81.3
2.146;1;C1B;Audio;-216.980;-288.119;0.00;0.000;0.000;0.000;112563.10;-216.980;-288.119;81.3
2.248;1;C1B;Audio;-216.980;-288.119;0.00;0.000;0.000;0.000;112365.10;-216.980;-288.119;81.3
2.350;1;C1B;Audio;-216.980;-288.119;0.00;0.000;0.000;0.000;112505.10;-216.980;-288.119;81.3
2.452;1;C1B;Audio;-216.980;-288.119;0.00;0.000;0.000;0.000;112520.70;-216.980;-288.119;81.3
2.554;1;C1B;Audio;-216.980;-288.119;0.00;0.000;0.000;0.000;112566.40;-216.980;-288.119;81.3
2.656;1;C1B;Audio;-216.980;-288.119;0.00;0.000;0.000;0.000;112609.00;-216.980;-288.119;81.3
