Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
0.132;1;T7B;Multimodal;-212.797;-261.022;0.22;-0.022;0.000;0.000;51108.04;-209.685;-256.978;45.2
0.232;1;T7B;Multimodal;-212.797;-261.023;0.12;-0.022;0.000;0.000;29631.22;-204.783;-250.692;45.2
0.332;1;T7B;Multimodal;-212.797;-261.023;0.02;-0.022;0.000;0.000;25523.06;-212.797;-261.023;45.2
0.434;1;T7B;Multimodal;-212.797;-261.024;0.03;-0.022;0.000;0.000;25085.43;-212.797;-261.024;45.2
0.534;1;T7B;Multimodal;-212.797;-261.025;0.03;-0.022;0.000;0.000;25475.45;-212.797;-261.025;45.2
0.636;1;T7B;Multimodal;-212.797;-261.025;0.02;-0.022;0.000;0.000;25738.33;-212.797;-261.025;45.1
0.736;1;T7B;Multimodal;-212.797;-261.027;0.02;-0.022;0.000;0.000;25716.42;-212.797;-261.027;45.1
0.838;1;T7B;Multimodal;-212.797;-261.028;0.02;-0.022;0.000;0.000;25557.88;-212.797;-261.028;45.1
0.940;1;T7B;Multimodal;-212.796;-261.030;0.02;-0.022;0.000;0.000;25417.93;-212.796;-261.030;45.1
1.040;1;T7B;Multimodal;-212.796;-261.031;0.02;-0.022;0.000;0.000;25344.37;-212.796;-261.031;45.1
1.140;1;T7B;Multimodal;-212.796;-261.033;0.02;-0.022;0.000;0.000;25281.69;-212.796;-261.033;45.1
1.242;1;T7B;Multimodal;-212.796;-261.034;0.02;-0.022;0.000;0.000;25232.50;-212.796;-261.034;45.0
1.344;1;T7B;Multimodal;-212.796;-261.036;0.02;-0.022;0.000;0.000;25171.93;-212.796;-261.036;45.0
