Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
20.086;6;C2C;Audio;38.020;-379.870;0.14;0.000;0.000;0.000;18837.98;47.330;-379.869;-18.0
20.186;6;C2C;Audio;38.019;-379.870;0.03;0.000;0.000;0.000;15977.95;38.019;-379.870;-18.0
20.286;6;C2C;Audio;38.019;-379.870;0.02;0.000;0.000;0.000;15573.79;38.019;-379.870;-18.0
20.386;6;C2C;Audio;38.019;-379.870;0.03;0.000;0.000;0.000;15832.56;38.019;-379.870;-18.0
20.488;6;C2C;Audio;38.019;-379.870;0.01;0.000;0.000;0.000;16044.90;38.019;-379.870;-18.0
20.588;6;C2C;Audio;38.019;-379.870;0.00;0.000;0.000;0.000;16082.02;38.019;-379.870;-18.0
20.688;6;C2C;Audio;38.018;-379.870;0.00;0.000;0.000;0.000;16032.82;38.018;-379.870;-18.0
20.790;6;C2C;Audio;38.018;-379.870;0.00;0.000;0.000;0.000;15983.04;38.018;-379.870;-18.0
20.890;6;C2C;Audio;38.018;-379.870;0.00;0.000;0.000;0.000;15952.56;38.018;-379.870;-18.0
20.990;6;C2C;Audio;38.018;-379.870;0.00;0.000;0.000;0.000;15951.13;38.018;-379.870;-18.0
21.092;6;C2C;Audio;38.018;-379.870;0.00;0.000;0.000;0.000;15962.45;38.018;-379.870;-18.0
21.192;6;C2C;Audio;38.017;-379.870;0.00;0.000;0.000;0.000;15977.66;38.017;-379.870;-18.0
21.292;6;C2C;Audio;38.017;-379.870;0.00;0.000;0.000;0.000;15978.32;38.017;-379.870;-18.0
21.394;6;C2C;Audio;38.017;-379.870;0.00;0.000;0.000;0.000;15977.28;38.017;-379.870;-18.0
