Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
21.696;7;C1C;Control;38.020;-379.870;0.15;0.000;0.000;0.000;15967.86;38.017;-379.870;-18.0
21.796;7;C1C;Control;38.020;-379.870;0.04;0.000;0.000;0.000;15967.86;38.017;-379.870;-18.0
21.896;7;C1C;Control;38.019;-379.870;0.02;0.000;0.000;0.000;15967.86;38.017;-379.870;-18.0
21.998;7;C1C;Control;38.019;-379.870;0.03;0.000;0.000;0.000;15967.86;38.017;-379.870;-18.0
22.098;7;C1C;Control;38.019;-379.870;0.01;0.000;0.000;0.000;15967.86;38.017;-379.870;-18.0
22.198;7;C1C;Control;38.019;-379.870;0.02;0.000;0.130;0.000;15967.86;38.017;-379.870;-18.0
22.300;7;C1C;Control;38.027;-379.870;0.18;0.000;0.570;0.000;15967.86;38.017;-379.870;-18.0
22.400;7;C1C;Control;38.061;-379.870;0.51;0.000;0.840;0.000;15967.86;38.017;-379.870;-18.0
22.500;7;C1C;Control;38.133;-379.870;0.92;0.000;0.990;0.000;15967.86;38.017;-379.870;-18.0
22.602;7;C1C;Control;38.251;-379.870;1.37;0.022;1.000;0.000;15967.86;38.017;-379.870;-18.0
22.702;7;C1C;Control;38.411;-379.871;1.80;0.022;1.000;0.000;15967.86;38.017;-379.870;-18.0
22.802;7;C1C;Control;38.614;-379.873;2.23;0.022;1.000;0.000;15967.86;38.017;-379.870;-18.0
22.904;7;C1C;Control;38.866;-379.876;2.66;0.022;1.000;0.000;15967.86;38.017;-379.870;-18.0
23.004;7;C1C;Control;39.154;-379.881;3.08;0.022;1.000;0.000;15967.86;38.017;-379.870;-18.0
23.104;7;C1C;Control;39.484;-379.887;3.50;0.022;1.000;0.000;15967.86;38.017;-379.870;-18.0
23.206;7;C1C;Control;39.863;-379.895;3.91;0.022;1.000;0.000;15967.86;38.017;-379.870;-18.0
23.306;7;C1C;Control;40.275;-379.906;4.31;0.022;0.980;0.000;15967.86;38.017;-379.870;-18.0
23.406;7;C1C;Control;40.726;-379.919;4.68;0.022;0.890;0.000;15967.86;38.017;-379.870;-18.0
23.508;7;C1C;Control;41.221;-379.936;5.00;0.022;0.760;0.000;15967.86;38.017;-379.870;-18.0
23.608;7;C1C;Control;41.735;-379.956;5.26;0.022;0.680;0.000;15967.86;38.017;-379.870;-18.0
23.710;7;C1C;Control;42.284;-379.980;5.48;0.022;0.570;0.000;15967.86;38.017;-379.870;-18.0
23.810;7;C1C;Control;42.841;-380.007;5.65;0.000;0.460;0.000;15967.86;38.017;-379.870;-18.0
23.910;7;C1C;Control;43.412;-380.036;5.78;0.000;0.410;0.000;15967.86;38.017;-379.870;-18.0
24.012;7;C1C;Control;44.007;-380.067;5.88;0.000;0.370;0.000;15967.86;38.017;-379.870;-18.0
24.112;7;C1C;Control;44.599;-380.098;5.97;-0.022;0.350;0.000;15967.86;38.017;-379.870;-18.0
24.212;7;C1C;Control;45.199;-380.127;6.05;-0.022;0.340;0.000;15967.86;38.017;-379.870;-18.0
24.314;7;C1C;Control;45.820;-380.154;6.12;-0.022;0.340;0.000;15967.86;38.017;-379.870;-18.0
24.414;7;C1C;Control;46.436;-380.177;6.20;-0.022;0.350;0.000;15967.86;38.017;-379.870;-18.0
24.514;7;C1C;Control;47.060;-380.196;6.28;-0.022;0.350;0.000;15967.86;38.017;-379.870;-18.0
24.616;7;C1C;Control;47.704;-380.212;6.36;-0.022;0.360;0.000;15967.86;38.017;-379.870;-18.0
24.716;7;C1C;Control;48.345;-380.223;6.45;-0.022;0.410;0.000;15967.86;38.017;-379.870;-18.0
24.816;7;C1C;Control;48.995;-380.230;6.56;-0.022;0.450;0.000;15967.86;38.017;-379.870;-18.0
24.918;7;C1C;Control;49.670;-380.232;6.68;-0.022;0.460;0.000;15967.86;38.017;-379.870;-18.0
25.018;7;C1C;Control;50.345;-380.229;6.80;-0.022;0.460;0.000;15967.86;38.017;-379.870;-18.0
25.118;7;C1C;Control;51.032;-380.222;6.92;-0.022;0.460;0.000;15967.86;38.017;-379.870;-18.0
25.220;7;C1C;Control;51.744;-380.209;7.04;-0.022;0.460;0.000;15967.86;38.017;-379.870;-18.0
25.320;7;C1C;Control;52.454;-380.191;7.16;0.000;0.420;0.000;15967.86;38.017;-379.870;-18.0
25.420;7;C1C;Control;53.174;-380.170;7.25;0.000;0.430;0.000;15967.86;38.017;-379.870;-18.0
25.522;7;C1C;Control;53.919;-380.146;7.36;0.000;0.530;0.000;15967.86;38.017;-379.870;-18.0
25.622;7;C1C;Control;54.663;-380.122;7.52;0.000;0.620;0.000;15967.86;38.017;-379.870;-18.0
25.722;7;C1C;Control;55.425;-380.096;7.72;0.000;0.790;0.000;15967.86;38.017;-379.870;-18.0
25.824;7;C1C;Control;56.227;-380.068;8.00;0.000;0.950;0.000;15967.86;38.017;-379.870;-18.0
25.924;7;C1C;Control;57.045;-380.040;8.34;0.000;1.000;0.000;15967.86;38.017;-379.870;-18.0
26.024;7;C1C;Control;57.897;-380.010;8.69;0.000;1.000;0.000;15967.86;38.017;-379.870;-18.0
26.126;7;C1C;Control;58.802;-379.979;9.04;0.000;1.000;0.000;15967.86;38.017;-379.870;-18.0
26.226;7;C1C;Control;59.723;-379.947;9.37;0.000;1.000;0.000;15967.86;38.017;-379.870;-18.0
26.326;7;C1C;Control;60.677;-379.914;9.70;0.000;1.000;0.000;15967.86;38.017;-379.870;-18.0
26.428;7;C1C;Control;61.684;-379.879;10.03;0.000;1.000;0.000;15967.86;38.017;-379.870;-18.0
26.528;7;C1C;Control;62.703;-379.844;10.36;0.022;1.000;0.000;15967.86;38.017;-379.870;-18.0
26.628;7;C1C;Control;63.755;-379.809;10.67;0.022;1.000;0.000;15967.86;38.017;-379.870;-18.0
26.730;7;C1C;Control;64.861;-379.777;10.99;0.000;1.000;0.000;15967.86;38.017;-379.870;-18.0
26.830;7;C1C;Control;65.976;-379.748;11.30;0.000;1.000;0.000;15967.86;38.017;-379.870;-18.0
26.930;7;C1C;Control;67.122;-379.722;11.61;0.000;0.960;0.000;15967.86;38.017;-379.870;-18.0
27.032;7;C1C;Control;68.321;-379.696;11.89;0.000;0.940;0.000;15967.86;38.017;-379.870;-18.0
27.132;7;C1C;Control;69.524;-379.671;12.16;-0.022;0.920;0.000;15967.86;38.017;-379.870;-18.0
