Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
0.134;1;C1B;Visual;-216.980;-288.111;0.33;0.022;1.000;0.000;5282.85;-216.270;-177.208;81.3
0.234;1;C1B;Visual;-216.980;-288.065;0.65;0.022;1.000;0.000;1837.05;-215.707;-129.160;81.3
0.334;1;C1B;Visual;-216.979;-287.981;1.02;0.022;1.000;0.000;1124.68;-215.537;-125.143;81.2
0.436;1;C1B;Visual;-216.978;-287.857;1.43;0.022;1.000;0.000;779.80;-215.316;-124.937;81.2
0.538;1;C1B;Visual;-216.976;-287.697;1.72;0.022;1.000;0.000;613.96;-215.054;-124.803;81.1
0.640;1;C1B;Visual;-216.974;-287.502;2.08;0.022;1.000;0.000;501.50;-214.711;-124.634;81.0
0.742;1;C1B;Visual;-216.970;-287.271;2.43;0.022;1.000;0.000;428.26;-214.335;-124.457;81.0
0.842;1;C1B;Visual;-216.965;-287.012;2.75;0.022;1.000;0.000;371.09;-213.886;-124.244;80.9
0.944;1;C1B;Visual;-216.959;-286.713;3.10;0.022;0.940;0.000;326.91;-213.380;-124.004;80.8
1.046;1;C1B;Visual;-216.951;-286.379;3.42;0.022;0.630;0.000;291.90;-212.823;-123.739;80.6
1.146;1;C1B;Visual;-216.941;-286.022;3.72;0.022;0.360;0.000;264.21;-212.243;-123.463;80.5
1.246;1;C1B;Visual;-216.929;-285.633;4.00;0.022;0.000;0.000;241.13;-211.577;-123.147;80.4
1.346;1;C1B;Visual;-216.915;-285.238;3.91;0.022;0.000;0.000;241.20;-210.855;-122.851;80.3
1.446;1;C1B;Visual;-216.899;-284.850;3.86;0.022;0.000;0.000;240.91;-210.070;-122.561;80.1
