Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
1.756;2;C2C;Visual;38.020;-379.870;0.14;0.022;0.000;0.000;18621.60;47.734;-379.877;-18.0
1.856;2;C2C;Visual;38.019;-379.870;0.03;0.022;0.000;0.000;15914.77;38.019;-379.870;-18.0
1.956;2;C2C;Visual;38.019;-379.870;0.02;0.022;0.000;0.000;15576.62;38.019;-379.870;-18.0
2.058;2;C2C;Visual;38.019;-379.870;0.03;0.022;0.000;0.000;15836.09;38.019;-379.870;-18.0
2.160;2;C2C;Visual;38.019;-379.870;0.01;0.022;0.000;0.000;16044.38;38.019;-379.870;-18.0
2.262;2;C2C;Visual;38.019;-379.870;0.00;0.022;0.000;0.000;16073.26;38.019;-379.870;-18.0
2.362;2;C2C;Visual;38.018;-379.870;0.01;0.022;0.000;0.000;16019.78;38.018;-379.870;-18.0
2.464;2;C2C;Visual;38.018;-379.870;0.00;0.022;0.000;0.000;15971.71;38.018;-379.870;-18.0
2.566;2;C2C;Visual;38.018;-379.870;0.00;0.022;0.000;0.000;15950.63;38.018;-379.870;-18.0
2.668;2;C2C;Visual;38.018;-379.870;0.00;0.022;0.000;0.000;15961.62;38.018;-379.870;-18.0
2.770;2;C2C;Visual;38.018;-379.870;0.00;0.022;0.000;0.000;15969.01;38.018;-379.870;-18.0
2.872;2;C2C;Visual;38.017;-379.870;0.00;0.022;0.000;0.000;15970.36;38.017;-379.870;-18.0
2.974;2;C2C;Visual;38.017;-379.870;0.00;0.022;0.000;0.000;15968.22;38.017;-379.870;-18.0
3.076;2;C2C;Visual;38.017;-379.870;0.00;0.022;0.000;0.000;15972.72;38.017;-379.870;-18.0
