Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
3.974;4;L2C;Audio;32.710;-379.829;0.11;0.022;0.000;0.000;18114.89;-282.070;-285.099;-1.3
4.074;4;L2C;Audio;32.710;-379.829;0.01;0.022;0.000;0.000;18114.89;-282.070;-285.099;-1.3
4.176;4;L2C;Audio;32.710;-379.829;0.03;0.022;0.000;0.000;18114.89;-282.070;-285.099;-1.3
4.278;4;L2C;Audio;32.710;-379.829;0.02;0.022;0.000;0.000;18114.89;-282.070;-285.099;-1.3
4.380;4;L2C;Audio;32.710;-379.829;0.01;0.022;0.000;0.000;18114.89;-282.070;-285.099;-1.3
4.482;4;L2C;Audio;32.709;-379.829;0.02;0.022;0.290;0.000;18114.89;-282.070;-285.099;-1.3
4.584;4;L2C;Audio;32.721;-379.829;0.22;0.022;0.910;0.000;18114.89;-282.070;-285.099;-1.3
4.686;4;L2C;Audio;32.769;-379.829;0.69;0.022;1.000;0.000;18114.89;-282.070;-285.099;-1.3
4.788;4;L2C;Audio;32.864;-379.829;1.15;0.022;1.000;0.000;18114.89;-282.070;-285.099;-1.3
4.890;4;L2C;Audio;33.006;-379.831;1.59;0.022;1.000;0.000;18114.89;-282.070;-285.099;-1.3
4.992;4;L2C;Audio;33.192;-379.833;2.03;0.022;1.000;0.000;18114.89;-282.070;-285.099;-1.3
5.094;4;L2C;Audio;33.423;-379.836;2.47;0.022;1.000;0.000;18114.89;-282.070;-285.099;-1.3
5.196;4;L2C;Audio;33.698;-379.841;2.90;0.022;1.000;0.000;18114.89;-282.070;-285.099;-1.3
5.296;4;L2C;Audio;34.010;-379.847;3.31;0.022;1.000;0.000;18114.89;-282.070;-285.099;-1.3
5.398;4;L2C;Audio;34.370;-379.855;3.73;0.022;1.000;0.000;18114.89;-282.070;-285.099;-1.3
5.500;4;L2C;Audio;34.772;-379.865;4.14;0.000;1.000;0.000;18114.89;-282.070;-285.099;-1.3
5.602;4;L2C;Audio;35.217;-379.876;4.55;0.000;1.000;0.000;18114.89;-282.070;-285.099;-1.3
5.704;4;L2C;Audio;35.702;-379.889;4.95;0.000;1.000;0.000;18114.89;-282.070;-285.099;-1.3
5.806;4;L2C;Audio;36.228;-379.903;5.35;-0.022;1.000;0.000;18114.89;-282.070;-285.099;-1.3
5.908;4;L2C;Audio;36.794;-379.915;5.73;-0.022;1.000;0.000;18114.89;-282.070;-285.099;-1.3
6.010;4;L2C;Audio;37.400;-379.925;6.12;-0.022;1.000;0.000;18114.89;-282.070;-285.099;-1.3
6.112;4;L2C;Audio;38.044;-379.932;6.50;0.000;1.000;0.000;18114.89;-282.070;-285.099;-1.3
6.214;4;L2C;Audio;38.728;-379.938;6.88;0.000;1.000;0.000;18114.89;-282.070;-285.099;-1.3
6.316;4;L2C;Audio;39.449;-379.943;7.24;0.000;1.000;0.000;18114.89;-282.070;-285.099;-1.3
