Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
20.312;5;L2B;Visual;-245.289;-142.329;0.22;0.000;0.000;0.000;Infinity;174.938;-380.580;0.0
20.412;5;L2B;Visual;-245.289;-142.329;0.15;0.000;0.000;0.000;Infinity;174.938;-380.580;0.0
20.512;5;L2B;Visual;-245.290;-142.329;0.04;0.000;0.000;0.000;Infinity;174.938;-380.580;0.0
20.612;5;L2B;Visual;-245.290;-142.329;0.02;0.000;0.000;0.000;Infinity;174.938;-380.580;0.0
20.712;5;L2B;Visual;-245.291;-142.329;0.03;0.000;0.000;0.000;Infinity;174.938;-380.580;0.0
20.814;5;L2B;Visual;-245.291;-142.329;0.01;0.000;0.000;0.000;Infinity;174.938;-380.580;0.0
20.914;5;L2B;Visual;-245.291;-142.329;0.01;0.000;0.000;0.000;Infinity;174.938;-380.580;0.0
21.014;5;L2B;Visual;-245.292;-142.329;0.01;0.000;0.000;0.000;Infinity;174.938;-380.580;0.0
21.116;5;L2B;Visual;-245.292;-142.329;0.00;0.000;0.000;0.000;Infinity;174.938;-380.580;0.0
21.216;5;L2B;Visual;-245.292;-142.329;0.00;0.000;0.000;0.000;Infinity;174.938;-380.580;0.0
21.316;5;L2B;Visual;-245.292;-142.329;0.00;0.000;0.000;0.000;Infinity;174.938;-380.580;0.0
21.418;5;L2B;Visual;-245.292;-142.329;0.00;0.000;0.000;0.000;Infinity;174.938;-380.580;0.0
21.518;5;L2B;Visual;-245.292;-142.329;0.00;0.000;0.000;0.000;Infinity;174.938;-380.580;0.0
21.618;5;L2B;Visual;-245.292;-142.329;0.00;0.000;0.000;0.000;Infinity;174.938;-380.580;0.0
21.720;5;L2B;Visual;-245.292;-142.329;0.00;0.000;0.000;0.000;Infinity;174.938;-380.580;0.0
21.820;5;L2B;Visual;-245.292;-142.329;0.00;0.000;0.000;0.000;Infinity;174.938;-380.580;0.0
21.920;5;L2B;Visual;-245.292;-142.329;0.00;0.000;0.000;0.000;Infinity;174.938;-380.580;0.0
22.022;5;L2B;Visual;-245.292;-142.329;0.00;0.000;0.000;0.000;Infinity;174.938;-380.580;0.0
22.122;5;L2B;Visual;-245.292;-142.329;0.00;0.000;0.000;0.000;Infinity;174.938;-380.580;0.0
22.224;5;L2B;Visual;-245.292;-142.329;0.00;0.000;0.000;0.000;Infinity;174.938;-380.580;0.0
22.324;5;L2B;Visual;-245.292;-142.329;0.00;0.000;0.000;0.000;Infinity;174.938;-380.580;0.0
22.424;5;L2B;Visual;-245.292;-142.329;0.00;0.000;0.000;0.000;Infinity;174.938;-380.580;0.0
