Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
22.704;6;C1C;Multimodal;38.020;-379.870;0.14;0.000;0.000;0.000;Infinity;174.938;-380.580;0.0
22.804;6;C1C;Multimodal;38.019;-379.870;0.03;0.000;0.000;0.000;Infinity;174.938;-380.580;0.0
22.904;6;C1C;Multimodal;38.019;-379.870;0.02;0.000;0.000;0.000;Infinity;174.938;-380.580;0.0
23.004;6;C1C;Multimodal;38.019;-379.870;0.03;0.000;0.000;0.000;Infinity;174.938;-380.580;0.0
23.104;6;C1C;Multimodal;38.019;-379.870;0.01;0.000;0.000;0.000;Infinity;174.938;-380.580;0.0
23.206;6;C1C;Multimodal;38.019;-379.870;0.03;0.000;0.140;0.000;Infinity;174.938;-380.580;0.0
23.306;6;C1C;Multimodal;38.029;-379.870;0.22;0.000;0.650;0.000;Infinity;174.938;-380.580;0.0
23.406;6;C1C;Multimodal;38.069;-379.870;0.59;0.000;0.920;0.000;Infinity;174.938;-380.580;0.0
23.508;6;C1C;Multimodal;38.152;-379.870;1.03;0.000;1.000;0.000;Infinity;174.938;-380.580;0.0
23.608;6;C1C;Multimodal;38.279;-379.870;1.47;0.000;1.000;0.000;Infinity;174.938;-380.580;0.0
23.710;6;C1C;Multimodal;38.453;-379.870;1.91;0.000;1.000;0.000;Infinity;174.938;-380.580;0.0
23.810;6;C1C;Multimodal;38.667;-379.870;2.34;0.000;1.000;0.000;Infinity;174.938;-380.580;0.0
23.910;6;C1C;Multimodal;38.923;-379.870;2.76;0.000;1.000;0.000;Infinity;174.938;-380.580;0.0
24.012;6;C1C;Multimodal;39.228;-379.870;3.19;0.000;1.000;0.000;Infinity;174.938;-380.580;0.0
24.112;6;C1C;Multimodal;39.568;-379.870;3.60;0.000;1.000;0.000;Infinity;174.938;-380.580;0.0
24.212;6;C1C;Multimodal;39.949;-379.870;4.00;0.000;1.000;0.000;Infinity;174.938;-380.580;0.0
24.314;6;C1C;Multimodal;40.380;-379.870;4.41;0.000;1.000;0.000;Infinity;174.938;-380.580;0.0
24.414;6;C1C;Multimodal;40.842;-379.870;4.81;0.000;1.000;0.000;Infinity;174.938;-380.580;0.0
24.514;6;C1C;Multimodal;41.343;-379.870;5.20;0.000;1.000;0.000;Infinity;174.938;-380.580;0.0
24.616;6;C1C;Multimodal;41.895;-379.870;5.59;0.000;1.000;0.000;Infinity;174.938;-380.580;0.0
24.716;6;C1C;Multimodal;42.474;-379.870;5.97;0.000;1.000;0.000;Infinity;174.938;-380.580;0.0
24.816;6;C1C;Multimodal;43.091;-379.870;6.34;0.000;1.000;0.000;Infinity;174.938;-380.580;0.0
24.918;6;C1C;Multimodal;43.758;-379.870;6.72;0.000;1.000;0.000;Infinity;174.938;-380.580;0.0
25.018;6;C1C;Multimodal;44.449;-379.870;7.09;0.000;1.000;0.000;Infinity;174.938;-380.580;0.0
25.118;6;C1C;Multimodal;45.177;-379.870;7.45;0.000;1.000;0.000;Infinity;174.938;-380.580;0.0
25.220;6;C1C;Multimodal;45.956;-379.870;7.81;0.000;1.000;0.000;Infinity;174.938;-380.580;0.0
25.320;6;C1C;Multimodal;46.756;-379.870;8.16;0.000;1.000;0.000;Infinity;174.938;-380.580;0.0
25.420;6;C1C;Multimodal;47.590;-379.870;8.51;0.000;1.000;0.000;Infinity;174.938;-380.580;0.0
25.522;6;C1C;Multimodal;48.477;-379.870;8.85;0.000;1.000;0.000;Infinity;174.938;-380.580;0.0
25.622;6;C1C;Multimodal;49.380;-379.870;9.19;0.000;1.000;0.000;Infinity;174.938;-380.580;0.0
25.722;6;C1C;Multimodal;50.317;-379.870;9.53;0.000;1.000;0.000;Infinity;174.938;-380.580;0.0
25.824;6;C1C;Multimodal;51.307;-379.870;9.86;0.000;1.000;0.000;Infinity;174.938;-380.580;0.0
