Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
0.156;1;T7A;Multimodal;-282.070;-285.101;0.20;-0.089;0.000;0.000;27236.44;-282.145;-278.811;-1.2
0.256;1;T7A;Multimodal;-282.070;-285.100;0.09;-0.089;0.000;0.000;20284.34;-282.114;-272.367;-1.2
0.358;1;T7A;Multimodal;-282.070;-285.100;0.02;-0.089;0.000;0.000;17766.56;-282.070;-285.100;-1.3
0.458;1;T7A;Multimodal;-282.070;-285.100;0.03;-0.089;0.000;0.000;17808.34;-282.070;-285.100;-1.3
0.560;1;T7A;Multimodal;-282.070;-285.099;0.02;-0.089;0.000;0.000;18059.31;-282.070;-285.099;-1.3
0.660;1;T7A;Multimodal;-282.070;-285.099;0.01;-0.089;0.000;0.000;18145.55;-282.070;-285.099;-1.3
0.760;1;T7A;Multimodal;-282.070;-285.099;0.00;-0.089;0.000;0.000;18075.61;-282.070;-285.099;-1.3
0.862;1;T7A;Multimodal;-282.070;-285.099;0.00;-0.089;0.000;0.000;17965.10;-282.070;-285.099;-1.3
0.962;1;T7A;Multimodal;-282.070;-285.099;0.00;-0.089;0.000;0.000;17875.62;-282.070;-285.099;-1.3
1.064;1;T7A;Multimodal;-282.070;-285.099;0.00;-0.089;0.000;0.000;17830.64;-282.070;-285.099;-1.3
1.164;1;T7A;Multimodal;-282.070;-285.099;0.00;-0.089;0.000;0.000;17779.62;-282.070;-285.099;-1.3
1.264;1;T7A;Multimodal;-282.070;-285.099;0.00;-0.089;0.000;0.000;17765.48;-282.070;-285.099;-1.3
1.364;1;T7A;Multimodal;-282.070;-285.099;0.00;-0.089;0.000;0.000;17721.33;-282.070;-285.099;-1.3
1.464;1;T7A;Multimodal;-282.070;-285.099;0.00;-0.111;0.000;0.000;17682.42;-282.070;-285.099;-1.3
1.564;1;T7A;Multimodal;-282.070;-285.099;0.00;-0.111;0.000;0.000;17647.28;-282.070;-285.099;-1.3
1.666;1;T7A;Multimodal;-282.070;-285.099;0.00;-0.111;0.000;0.000;17601.27;-282.070;-285.099;-1.3
1.768;1;T7A;Multimodal;-282.070;-285.099;0.00;-0.133;0.000;0.000;17557.12;-282.070;-285.099;-1.3
1.870;1;T7A;Multimodal;-282.070;-285.099;0.00;-0.133;0.000;0.000;17509.15;-282.070;-285.099;-1.3
1.970;1;T7A;Multimodal;-282.070;-285.099;0.00;-0.133;0.000;0.000;17462.03;-282.070;-285.099;-1.3
2.070;1;T7A;Multimodal;-282.070;-285.099;0.00;-0.133;0.000;0.000;17424.76;-282.070;-285.099;-1.4
2.172;1;T7A;Multimodal;-282.070;-285.099;0.00;-0.156;0.000;0.000;17379.79;-282.070;-285.099;-1.4
2.274;1;T7A;Multimodal;-282.070;-285.099;0.00;-0.133;0.000;0.000;17334.49;-282.070;-285.099;-1.4
2.376;1;T7A;Multimodal;-282.070;-285.099;0.00;-0.111;0.000;0.000;17293.78;-282.070;-285.099;-1.4
2.478;1;T7A;Multimodal;-282.070;-285.099;0.00;-0.111;0.000;0.000;17254.34;-282.070;-285.099;-1.4
2.580;1;T7A;Multimodal;-282.070;-285.099;0.00;-0.133;0.060;0.000;8796.54;-282.070;-285.099;-1.4
2.682;1;T7A;Multimodal;-282.070;-285.095;0.05;-0.133;0.080;0.000;3076.27;-282.070;-285.096;-1.4
2.784;1;T7A;Multimodal;-282.070;-285.088;0.09;-0.133;0.080;0.000;1871.58;-282.070;-285.089;-1.4
2.886;1;T7A;Multimodal;-282.070;-285.077;0.14;-0.133;0.140;0.000;1181.10;-289.682;-123.395;-1.4
2.988;1;T7A;Multimodal;-282.071;-285.059;0.21;-0.133;0.190;0.000;763.78;-290.131;-123.830;-1.3
3.090;1;T7A;Multimodal;-282.073;-285.032;0.31;-0.133;0.210;0.000;534.99;-290.557;-124.262;-1.3
3.192;1;T7A;Multimodal;-282.075;-284.995;0.41;-0.111;0.210;0.000;405.86;-290.018;-124.651;-1.3
3.294;1;T7A;Multimodal;-282.077;-284.949;0.49;-0.111;0.220;0.000;331.05;-290.210;-125.044;-1.2
3.396;1;T7A;Multimodal;-282.080;-284.893;0.60;-0.111;0.220;0.000;275.48;-290.739;-125.484;-1.2
3.498;1;T7A;Multimodal;-282.084;-284.828;0.67;-0.089;0.220;0.000;235.11;-290.411;-125.889;1.1
3.598;1;T7A;Multimodal;-282.088;-284.755;0.76;-0.089;0.220;0.000;208.76;-290.640;-126.270;1.2
3.700;1;T7A;Multimodal;-282.092;-284.672;0.86;-0.067;0.220;0.000;185.78;-290.492;-126.668;1.2
3.802;1;T7A;Multimodal;-282.097;-284.580;0.95;-0.044;0.220;0.000;166.15;-289.732;-127.072;1.3
3.904;1;T7A;Multimodal;-282.102;-284.477;1.05;-0.044;0.220;0.000;152.22;-289.672;-127.451;1.4
4.006;1;T7A;Multimodal;-282.107;-284.365;1.13;-0.022;0.240;0.000;139.32;-289.262;-127.839;1.5
4.106;1;T7A;Multimodal;-282.112;-284.246;1.25;-0.022;0.280;0.000;127.45;-289.037;-128.223;1.5
4.208;1;T7A;Multimodal;-282.118;-284.112;1.37;0.000;0.320;0.000;115.18;-288.475;-128.622;1.6
4.310;1;T7A;Multimodal;-282.125;-283.965;1.53;0.000;0.350;0.000;103.71;-288.037;-129.034;1.6
4.412;1;T7A;Multimodal;-282.131;-283.803;1.66;0.000;0.370;0.000;94.81;-287.959;-129.410;1.6
4.514;1;T7A;Multimodal;-282.138;-283.625;1.80;0.000;0.380;0.000;86.11;-287.929;-129.830;1.6
4.616;1;T7A;Multimodal;-282.145;-283.432;1.97;0.000;0.380;0.000;79.45;-287.912;-130.212;1.6
4.718;1;T7A;Multimodal;-282.153;-283.224;2.12;0.000;0.380;0.000;73.11;-287.895;-130.646;1.6
4.820;1;T7A;Multimodal;-282.161;-283.000;2.28;0.000;0.390;0.000;67.74;-287.878;-131.063;1.6
4.922;1;T7A;Multimodal;-282.170;-282.760;2.43;0.000;0.400;0.000;63.31;-287.864;-131.459;1.6
5.024;1;T7A;Multimodal;-282.179;-282.505;2.58;0.000;0.410;0.000;59.11;-287.848;-131.876;1.6
5.126;1;T7A;Multimodal;-282.190;-282.234;2.72;0.000;0.400;0.000;55.78;-287.835;-132.249;1.7
5.228;1;T7A;Multimodal;-282.203;-281.948;2.89;0.000;0.410;0.000;52.44;-287.821;-132.673;1.6
5.330;1;T7A;Multimodal;-282.215;-281.646;3.04;0.000;0.420;0.000;49.35;-287.806;-133.103;1.6
5.432;1;T7A;Multimodal;-282.229;-281.328;3.19;0.000;0.420;0.000;46.87;-287.793;-133.484;1.7
5.534;1;T7A;Multimodal;-282.242;-280.995;3.34;0.000;0.420;0.000;44.41;-287.778;-133.905;1.7
5.636;1;T7A;Multimodal;-282.254;-280.646;3.50;0.000;0.420;0.000;42.39;-287.763;-134.285;1.6
5.738;1;T7A;Multimodal;-282.269;-280.281;3.65;0.000;0.450;0.000;40.31;-287.750;-134.671;1.6
5.840;1;T7A;Multimodal;-282.283;-279.900;3.82;0.000;0.470;0.000;38.35;-287.737;-135.024;1.7
5.942;1;T7A;Multimodal;-282.298;-279.502;3.99;0.000;0.470;0.000;36.61;-287.725;-135.343;1.7
6.044;1;T7A;Multimodal;-282.314;-279.087;4.15;0.000;0.470;0.000;34.82;-287.712;-135.680;1.7
6.146;1;T7A;Multimodal;-282.330;-278.655;4.31;0.000;0.470;0.000;33.36;-287.701;-135.956;1.7
6.248;1;T7A;Multimodal;-282.347;-278.207;4.47;0.000;0.470;0.000;31.99;-287.692;-136.216;1.7
6.348;1;T7A;Multimodal;-282.364;-277.751;4.63;0.000;0.470;0.000;30.86;-287.683;-136.429;1.7
6.450;1;T7A;Multimodal;-282.381;-277.271;4.78;0.022;0.470;0.000;29.61;-287.244;-136.644;1.6
6.552;1;T7A;Multimodal;-282.396;-276.775;4.93;0.022;0.460;0.000;28.61;-286.543;-136.800;1.5
6.654;1;T7A;Multimodal;-282.409;-276.264;5.08;0.022;0.460;0.000;27.61;-285.741;-136.952;1.4
6.756;1;T7A;Multimodal;-282.420;-275.738;5.23;0.022;0.460;0.000;26.67;-284.917;-137.082;-1.4
6.858;1;T7A;Multimodal;-282.428;-275.197;5.37;0.022;0.460;0.000;25.88;-284.155;-137.183;-1.5
6.960;1;T7A;Multimodal;-282.433;-274.642;5.49;0.022;0.420;0.000;25.12;-283.297;-137.273;-1.7
7.062;1;T7A;Multimodal;-282.435;-274.075;5.62;0.000;0.420;0.000;24.48;-282.887;-137.341;-1.8
7.164;1;T7A;Multimodal;-282.436;-273.495;5.72;0.000;0.420;0.000;23.83;-282.753;-137.390;-1.8
7.266;1;T7A;Multimodal;-282.438;-272.903;5.86;0.000;0.420;0.000;23.29;-282.694;-137.409;-1.8
7.368;1;T7A;Multimodal;-282.439;-272.300;5.97;0.000;0.420;0.000;22.68;-282.658;-137.409;-1.8
7.470;1;T7A;Multimodal;-282.441;-271.686;6.07;0.000;0.420;0.000;22.20;-282.643;-137.409;-1.8
7.572;1;T7A;Multimodal;-282.442;-271.058;6.21;0.000;0.420;0.000;21.64;-282.634;-137.408;-1.8
7.674;1;T7A;Multimodal;-282.444;-270.419;6.32;0.000;0.420;0.000;21.22;-282.630;-137.408;-1.8
7.776;1;T7A;Multimodal;-282.446;-269.769;6.42;0.000;0.420;0.000;20.70;-282.628;-137.408;-1.8
7.878;1;T7A;Multimodal;-282.447;-269.107;6.55;0.000;0.420;0.000;20.28;-282.627;-137.408;-1.8
7.980;1;T7A;Multimodal;-282.449;-268.434;6.65;0.000;0.420;0.000;19.80;-282.627;-137.408;-1.8
8.082;1;T7A;Multimodal;-282.450;-267.750;6.76;0.000;0.420;0.000;19.42;-282.628;-137.408;-1.8
8.184;1;T7A;Multimodal;-282.452;-267.055;6.87;0.000;0.420;0.000;18.98;-282.628;-137.407;-1.8
8.284;1;T7A;Multimodal;-282.453;-266.364;6.96;0.000;0.420;0.000;18.64;-282.629;-137.407;-1.8
8.384;1;T7A;Multimodal;-282.455;-265.663;7.05;0.000;0.430;0.000;18.25;-282.630;-137.407;-1.8
8.486;1;T7A;Multimodal;-282.456;-264.937;7.17;0.000;0.430;0.000;17.87;-282.630;-137.407;-1.8
8.586;1;T7A;Multimodal;-282.458;-264.215;7.26;0.000;0.430;0.000;17.54;-282.631;-137.407;-1.8
8.686;1;T7A;Multimodal;-282.459;-263.483;7.37;0.000;0.440;0.000;17.18;-282.632;-137.407;-1.8
8.788;1;T7A;Multimodal;-282.461;-262.725;7.48;0.000;0.440;0.000;16.82;-282.632;-137.406;-1.8
8.888;1;T7A;Multimodal;-282.463;-261.971;7.58;0.000;0.440;0.000;16.53;-282.633;-137.406;-1.9
8.988;1;T7A;Multimodal;-282.464;-261.209;7.68;0.000;0.440;0.000;16.19;-282.634;-137.406;-1.9
9.090;1;T7A;Multimodal;-282.466;-260.421;7.78;0.000;0.440;0.000;15.87;-282.634;-137.406;-1.9
9.190;1;T7A;Multimodal;-282.467;-259.637;7.87;0.000;0.430;0.000;15.59;-282.635;-137.406;-1.9
9.290;1;T7A;Multimodal;-282.469;-258.844;7.98;0.000;0.430;0.000;15.29;-282.635;-137.405;-1.9
9.392;1;T7A;Multimodal;-282.470;-258.026;8.07;0.000;0.430;0.000;15.01;-282.636;-137.405;-1.9
9.492;1;T7A;Multimodal;-282.472;-257.213;8.16;0.000;0.430;0.000;14.75;-282.636;-137.405;-1.9
9.594;1;T7A;Multimodal;-282.473;-256.376;8.26;0.000;0.430;0.000;14.47;-282.637;-137.405;-1.9
9.696;1;T7A;Multimodal;-282.475;-255.529;8.35;0.000;0.430;0.000;14.23;-282.637;-137.405;-1.9
