Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
66.234;4;L2B;Control;-245.289;-142.329;0.16;0.000;0.000;0.000;0.52;-112.322;-79.772;14.2
66.336;4;L2B;Control;-245.290;-142.329;0.04;0.222;0.000;0.000;0.52;-112.322;-79.772;14.2
66.438;4;L2B;Control;-245.290;-142.329;0.02;0.222;0.000;0.000;0.52;-112.322;-79.772;14.2
66.540;4;L2B;Control;-245.291;-142.329;0.03;0.222;0.000;0.000;0.52;-112.322;-79.772;14.2
66.642;4;L2B;Control;-245.291;-142.329;0.01;0.222;0.000;0.000;0.52;-112.322;-79.772;14.2
66.744;4;L2B;Control;-245.291;-142.329;0.01;0.222;0.000;0.000;0.52;-112.322;-79.772;14.2
66.846;4;L2B;Control;-245.292;-142.329;0.01;0.222;0.000;0.000;0.52;-112.322;-79.772;14.2
66.946;4;L2B;Control;-245.292;-142.329;0.00;0.222;0.000;0.000;0.52;-112.322;-79.772;14.2
67.048;4;L2B;Control;-245.292;-142.328;0.00;0.222;0.000;0.000;0.52;-112.322;-79.772;14.2
67.150;4;L2B;Control;-245.292;-142.328;0.00;0.222;0.000;0.000;0.52;-112.322;-79.772;14.2
67.252;4;L2B;Control;-245.292;-142.328;0.00;0.222;0.000;0.000;0.52;-112.322;-79.772;14.2
67.354;4;L2B;Control;-245.292;-142.328;0.00;0.222;0.000;0.000;0.52;-112.322;-79.772;14.2
67.456;4;L2B;Control;-245.292;-142.328;0.00;0.200;0.000;0.000;0.52;-112.322;-79.772;14.2
67.558;4;L2B;Control;-245.292;-142.328;0.00;0.200;0.000;0.000;0.52;-112.322;-79.772;14.2
67.660;4;L2B;Control;-245.292;-142.328;0.00;0.156;0.000;0.000;0.52;-112.322;-79.772;14.2
67.762;4;L2B;Control;-245.292;-142.328;0.00;0.156;0.000;0.000;0.52;-112.322;-79.772;14.2
67.864;4;L2B;Control;-245.292;-142.328;0.00;0.156;0.000;0.000;0.52;-112.322;-79.772;14.2
67.966;4;L2B;Control;-245.292;-142.328;0.00;0.156;0.000;0.000;0.52;-112.322;-79.772;14.2
68.068;4;L2B;Control;-245.292;-142.328;0.00;0.156;0.000;0.000;0.52;-112.322;-79.772;14.2
68.168;4;L2B;Control;-245.292;-142.328;0.00;0.156;0.000;0.000;0.52;-112.322;-79.772;14.2
68.270;4;L2B;Control;-245.292;-142.328;0.04;0.133;0.200;0.000;0.52;-112.322;-79.772;14.2
68.372;4;L2B;Control;-245.281;-142.329;0.17;0.133;0.360;0.000;0.52;-112.322;-79.772;14.2
68.474;4;L2B;Control;-245.254;-142.330;0.36;0.133;0.420;0.000;0.52;-112.322;-79.772;14.2
68.576;4;L2B;Control;-245.207;-142.332;0.55;0.133;0.440;0.000;0.52;-112.322;-79.772;14.2
68.678;4;L2B;Control;-245.141;-142.336;0.75;0.133;0.450;0.000;0.52;-112.322;-79.772;14.2
68.780;4;L2B;Control;-245.054;-142.342;0.95;0.156;0.450;0.000;0.52;-112.322;-79.772;14.2
68.882;4;L2B;Control;-244.947;-142.350;1.14;0.156;0.450;0.000;0.52;-112.322;-79.772;14.2
68.984;4;L2B;Control;-244.820;-142.361;1.33;0.133;0.450;0.000;0.52;-112.322;-79.772;14.2
69.086;4;L2B;Control;-244.675;-142.374;1.53;0.133;0.450;0.000;0.52;-112.322;-79.772;14.2
69.188;4;L2B;Control;-244.510;-142.391;1.71;0.111;0.450;0.000;0.52;-112.322;-79.772;14.2
69.290;4;L2B;Control;-244.326;-142.411;1.90;0.111;0.450;0.000;0.52;-112.322;-79.772;14.2
69.390;4;L2B;Control;-244.129;-142.434;2.07;0.089;0.440;0.000;0.52;-112.322;-79.772;14.2
69.492;4;L2B;Control;-243.910;-142.461;2.22;0.089;0.360;0.000;0.52;-112.322;-79.772;14.2
69.594;4;L2B;Control;-243.678;-142.491;2.33;0.089;0.270;0.000;0.52;-112.322;-79.772;14.2
69.696;4;L2B;Control;-243.438;-142.526;2.43;0.067;0.270;0.000;0.52;-112.322;-79.772;14.2
69.798;4;L2B;Control;-243.188;-142.563;2.52;0.044;0.280;0.000;0.52;-112.322;-79.772;14.2
69.900;4;L2B;Control;-242.929;-142.602;2.61;0.044;0.260;0.000;0.52;-112.322;-79.772;14.2
70.002;4;L2B;Control;-242.661;-142.643;2.66;0.022;0.160;0.000;0.52;-112.322;-79.772;14.2
70.104;4;L2B;Control;-242.391;-142.685;2.69;0.022;0.100;0.000;0.52;-112.322;-79.772;14.2
70.206;4;L2B;Control;-242.119;-142.727;2.69;0.000;0.100;0.000;0.52;-112.322;-79.772;14.2
70.308;4;L2B;Control;-241.846;-142.769;2.71;-0.022;0.100;0.000;0.52;-112.322;-79.772;14.2
70.410;4;L2B;Control;-241.572;-142.808;2.72;-0.044;0.100;0.000;0.52;-112.322;-79.772;14.2
