Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
175.666;7;C1A;Control;-242.230;-80.120;0.16;0.067;0.000;0.000;24941.31;-231.863;-80.165;10.6
175.768;7;C1A;Control;-242.231;-80.120;0.05;0.067;0.000;0.000;20856.57;-242.231;-80.120;10.6
175.868;7;C1A;Control;-242.231;-80.120;0.02;0.067;0.000;0.000;20208.87;-242.231;-80.120;10.6
175.970;7;C1A;Control;-242.231;-80.120;0.03;0.067;0.000;0.000;20491.71;-242.231;-80.120;10.6
176.070;7;C1A;Control;-242.232;-80.120;0.02;0.067;0.000;0.000;20773.01;-242.232;-80.120;10.6
176.170;7;C1A;Control;-242.232;-80.120;0.00;0.067;0.000;0.000;20808.53;-242.232;-80.120;10.6
176.272;7;C1A;Control;-242.233;-80.120;0.01;0.067;0.000;0.000;20739.69;-242.233;-80.120;10.6
176.372;7;C1A;Control;-242.233;-80.120;0.00;0.067;0.000;0.000;20678.09;-242.233;-80.120;10.6
176.472;7;C1A;Control;-242.233;-80.120;0.00;0.067;0.000;0.000;20648.99;-242.233;-80.120;10.6
176.574;7;C1A;Control;-242.233;-80.120;0.00;0.044;0.000;0.000;20636.17;-242.233;-80.120;10.6
176.674;7;C1A;Control;-242.233;-80.120;0.00;0.067;0.000;0.000;20654.49;-242.233;-80.120;10.6
176.776;7;C1A;Control;-242.233;-80.120;0.00;0.044;0.000;0.000;20659.70;-242.233;-80.120;10.6
176.876;7;C1A;Control;-242.233;-80.120;0.00;0.044;0.000;0.000;20662.44;-242.233;-80.120;10.6
176.976;7;C1A;Control;-242.233;-80.120;0.00;0.000;0.000;0.000;20661.10;-242.233;-80.120;10.6
177.078;7;C1A;Control;-242.233;-80.120;0.00;0.067;0.000;0.000;20661.68;-242.233;-80.120;10.6
177.178;7;C1A;Control;-242.233;-80.120;0.00;0.067;0.000;0.000;20661.88;-242.233;-80.120;10.6
177.278;7;C1A;Control;-242.233;-80.120;0.00;-0.022;0.000;0.000;20657.90;-242.233;-80.120;10.6
177.380;7;C1A;Control;-242.233;-80.120;0.00;0.000;0.000;0.000;20657.27;-242.233;-80.120;10.6
177.480;7;C1A;Control;-242.233;-80.120;0.00;-0.022;0.000;0.000;20653.57;-242.233;-80.120;10.6
177.582;7;C1A;Control;-242.233;-80.120;0.01;-0.022;0.110;0.000;20657.55;-242.233;-80.120;10.6
177.684;7;C1A;Control;-242.230;-80.120;0.06;0.022;0.000;0.000;3346.93;-242.230;-80.120;10.6
177.784;7;C1A;Control;-242.224;-80.120;0.05;0.089;0.000;0.000;3238.82;-242.225;-80.120;10.6
177.886;7;C1A;Control;-242.219;-80.120;0.05;0.111;0.000;0.000;3272.63;-242.220;-80.120;10.6
177.986;7;C1A;Control;-242.214;-80.120;0.05;0.067;0.000;0.000;3312.39;-242.215;-80.120;10.6
178.086;7;C1A;Control;-242.210;-80.120;0.05;0.022;0.000;0.000;3361.59;-242.210;-80.120;10.6
178.188;7;C1A;Control;-242.205;-80.120;0.05;0.000;0.000;0.000;3411.48;-242.205;-80.120;10.6
178.288;7;C1A;Control;-242.200;-80.120;0.05;0.000;0.000;0.000;3454.52;-242.200;-80.120;10.6
178.388;7;C1A;Control;-242.195;-80.120;0.05;0.000;0.000;0.000;3498.40;-242.195;-80.120;10.6
178.490;7;C1A;Control;-242.191;-80.120;0.05;0.000;0.150;0.000;3543.67;-242.191;-80.120;10.6
178.590;7;C1A;Control;-242.182;-80.120;0.14;0.000;0.360;0.000;1655.44;-49.838;-80.211;10.6
178.692;7;C1A;Control;-242.158;-80.120;0.33;0.000;0.540;0.000;691.32;-49.839;-80.211;10.6
178.792;7;C1A;Control;-242.112;-80.120;0.58;0.000;0.640;0.000;368.08;-49.841;-80.210;10.6
178.892;7;C1A;Control;-242.039;-80.120;0.87;0.000;0.640;0.000;245.33;-49.840;-80.207;10.6
178.994;7;C1A;Control;-241.933;-80.120;1.18;-0.022;0.720;0.000;172.27;-49.841;-78.743;10.7
179.094;7;C1A;Control;-241.798;-80.119;1.50;-0.022;0.730;0.000;135.25;-49.841;-78.337;10.8
179.194;7;C1A;Control;-241.631;-80.117;1.81;-0.022;0.730;0.000;112.86;-49.840;-78.011;11.0
179.296;7;C1A;Control;-241.429;-80.114;2.14;-0.022;0.780;0.000;94.29;-49.841;-77.602;11.1
179.396;7;C1A;Control;-241.195;-80.111;2.50;-0.022;0.840;0.000;80.40;-49.842;-77.138;11.3
179.498;7;C1A;Control;-240.919;-80.106;2.88;-0.022;0.950;0.000;69.30;-49.846;-76.599;11.5
179.598;7;C1A;Control;-240.609;-80.100;3.28;-0.022;0.950;0.000;61.22;-49.850;-76.051;11.7
179.698;7;C1A;Control;-240.259;-80.091;3.68;-0.022;0.980;0.000;53.99;-49.858;-75.350;12.0
179.800;7;C1A;Control;-239.862;-80.080;4.08;-0.022;0.980;0.000;48.80;-49.868;-74.664;12.3
179.900;7;C1A;Control;-239.434;-80.068;4.47;0.000;0.980;0.000;44.27;-49.855;-74.771;12.4
180.000;7;C1A;Control;-238.966;-80.055;4.86;0.000;0.980;0.000;40.46;-49.841;-74.854;12.4
180.102;7;C1A;Control;-238.449;-80.041;5.24;0.000;0.980;0.000;37.34;-49.828;-74.881;12.5
180.202;7;C1A;Control;-237.905;-80.026;5.63;0.000;0.980;0.000;34.87;-49.816;-74.887;12.5
180.304;7;C1A;Control;-237.311;-80.010;5.99;0.000;0.980;0.000;32.58;-49.803;-74.886;12.6
180.406;7;C1A;Control;-236.680;-79.992;6.37;0.000;0.980;0.000;30.40;-49.787;-74.881;12.6
180.506;7;C1A;Control;-236.023;-79.974;6.73;0.000;0.980;0.000;28.79;-49.772;-74.875;12.6
180.608;7;C1A;Control;-235.317;-79.955;7.10;0.000;0.980;0.000;27.23;-49.756;-74.869;12.7
180.708;7;C1A;Control;-234.590;-79.935;7.44;0.000;0.980;0.000;25.78;-49.738;-74.861;12.7
180.808;7;C1A;Control;-233.826;-79.914;7.81;0.000;1.000;0.000;24.43;-49.719;-74.854;12.8
180.910;7;C1A;Control;-233.011;-79.892;8.16;0.022;1.000;0.000;23.35;-49.688;-75.348;12.6
181.010;7;C1A;Control;-232.177;-79.874;8.50;0.022;1.000;0.000;22.25;-49.649;-76.235;12.2
181.110;7;C1A;Control;-231.308;-79.861;8.85;0.022;1.000;0.000;21.22;-49.610;-77.330;11.8
181.212;7;C1A;Control;-230.388;-79.851;9.19;0.022;1.000;0.000;20.31;-49.578;-78.483;11.4
181.312;7;C1A;Control;-229.451;-79.848;9.51;0.022;1.000;0.000;19.44;-49.553;-79.738;11.0
181.414;7;C1A;Control;-228.461;-79.852;9.86;0.022;1.000;0.000;18.67;-49.538;-80.977;10.6
181.514;7;C1A;Control;-227.459;-79.862;10.16;0.022;0.980;0.000;17.95;-49.533;-82.258;10.2
181.614;7;C1A;Control;-226.426;-79.881;10.48;0.022;0.980;0.000;17.28;-49.537;-83.553;9.8
181.716;7;C1A;Control;-225.341;-79.906;10.78;0.000;0.970;0.000;16.72;-49.540;-84.357;9.8
181.816;7;C1A;Control;-224.246;-79.936;11.08;0.000;0.970;0.000;16.15;-49.536;-84.867;9.9
181.916;7;C1A;Control;-223.122;-79.969;11.38;0.000;0.970;0.000;15.64;-49.527;-85.139;10.0
182.018;7;C1A;Control;-221.946;-80.005;11.67;0.000;0.960;0.000;15.14;-49.514;-85.296;10.1
182.118;7;C1A;Control;-220.764;-80.041;11.95;0.000;0.960;0.000;14.68;-49.498;-85.382;10.2
182.220;7;C1A;Control;-219.530;-80.080;12.24;0.000;0.960;0.000;14.23;-49.480;-85.431;10.3
182.320;7;C1A;Control;-218.292;-80.119;12.52;0.000;0.970;0.000;13.80;-49.461;-85.460;10.4
182.420;7;C1A;Control;-217.026;-80.159;12.79;0.000;0.960;0.000;13.40;-49.441;-85.476;10.4
182.522;7;C1A;Control;-215.707;-80.201;13.07;0.000;0.960;0.000;13.02;-49.420;-85.485;10.5
182.622;7;C1A;Control;-214.387;-80.243;13.33;0.000;0.960;0.000;12.66;-49.398;-85.491;10.6
182.722;7;C1A;Control;-213.041;-80.286;13.59;0.000;0.960;0.000;12.35;-49.378;-85.495;10.7
182.824;7;C1A;Control;-211.641;-80.331;13.85;0.000;0.960;0.000;12.02;-49.354;-85.498;10.8
182.924;7;C1A;Control;-210.243;-80.376;14.11;0.000;0.960;0.000;11.69;-49.329;-85.501;10.9
183.026;7;C1A;Control;-208.790;-80.422;14.37;0.000;0.960;0.000;11.40;-49.305;-85.504;11.0
183.128;7;C1A;Control;-207.312;-80.469;14.62;0.000;0.960;0.000;11.09;-49.278;-85.506;11.1
183.228;7;C1A;Control;-205.838;-80.516;14.86;0.000;0.960;0.000;10.80;-49.250;-85.508;11.2
183.330;7;C1A;Control;-204.310;-80.565;15.11;0.000;0.960;0.000;10.54;-49.224;-85.510;11.3
183.430;7;C1A;Control;-202.787;-80.613;15.35;-0.022;0.960;0.000;10.26;-49.187;-85.332;11.6
183.530;7;C1A;Control;-201.241;-80.658;15.58;-0.022;0.960;0.000;10.03;-49.144;-84.882;12.3
183.632;7;C1A;Control;-199.639;-80.698;15.81;-0.022;0.950;0.000;9.79;-49.092;-84.166;13.0
183.732;7;C1A;Control;-198.047;-80.729;16.03;-0.022;0.950;0.000;9.56;-49.037;-83.286;13.6
183.832;7;C1A;Control;-196.432;-80.751;16.25;-0.022;0.940;0.000;9.38;-48.990;-82.459;14.1
183.934;7;C1A;Control;-194.765;-80.762;16.40;-0.022;0.770;0.000;9.18;-48.933;-81.401;14.8
184.034;7;C1A;Control;-193.125;-80.765;16.37;0.000;0.350;0.000;9.10;-48.886;-80.650;15.0
184.136;7;C1A;Control;-191.460;-80.760;16.28;0.000;0.300;0.000;9.05;-48.838;-80.123;15.1
184.236;7;C1A;Control;-189.836;-80.750;16.21;0.000;0.290;0.000;9.00;-48.789;-79.752;15.2
184.336;7;C1A;Control;-188.220;-80.737;16.13;0.000;0.270;0.000;8.96;-48.740;-79.494;15.3
184.438;7;C1A;Control;-186.580;-80.721;16.03;0.000;0.250;0.000;8.92;-48.682;-79.279;15.5
184.538;7;C1A;Control;-184.982;-80.703;15.93;0.000;0.240;0.000;8.88;-48.627;-79.138;15.6
184.638;7;C1A;Control;-183.394;-80.684;15.84;0.000;0.240;0.000;8.85;-48.571;-79.034;15.8
184.740;7;C1A;Control;-181.784;-80.664;15.74;0.000;0.240;0.000;8.81;-48.511;-78.955;16.0
184.840;7;C1A;Control;-180.215;-80.643;15.65;0.000;0.240;0.000;8.77;-48.456;-78.902;16.1
184.942;7;C1A;Control;-178.624;-80.622;15.55;0.000;0.240;0.000;8.73;-48.391;-78.856;16.3
185.042;7;C1A;Control;-177.074;-80.601;15.46;0.000;0.240;0.000;8.69;-48.329;-78.824;16.5
185.142;7;C1A;Control;-175.533;-80.579;15.37;0.000;0.240;0.000;8.65;-48.264;-78.801;16.7
185.244;7;C1A;Control;-173.970;-80.558;15.28;0.000;0.230;0.000;8.61;-48.200;-78.784;16.9
185.344;7;C1A;Control;-172.447;-80.536;15.18;0.000;0.230;0.000;8.57;-48.134;-78.771;17.1
185.444;7;C1A;Control;-170.933;-80.515;15.10;0.000;0.240;0.000;8.53;-48.069;-78.762;17.3
185.546;7;C1A;Control;-169.398;-80.493;15.02;0.000;0.240;0.000;8.49;-48.000;-78.754;17.5
185.646;7;C1A;Control;-167.901;-80.472;14.93;0.000;0.240;0.000;8.44;-47.929;-78.748;17.7
185.748;7;C1A;Control;-166.383;-80.450;14.85;0.000;0.240;0.000;8.40;-47.858;-78.743;17.9
185.850;7;C1A;Control;-164.873;-80.428;14.76;0.000;0.240;0.000;8.36;-47.784;-78.740;18.2
185.950;7;C1A;Control;-163.401;-80.407;14.70;0.000;0.280;0.000;8.31;-47.709;-78.737;18.4
186.052;7;C1A;Control;-161.904;-80.385;14.66;0.000;0.360;0.000;8.24;-47.628;-78.735;18.6
186.152;7;C1A;Control;-160.439;-80.363;14.65;-0.022;0.390;0.000;8.16;-47.553;-78.615;19.1
186.252;7;C1A;Control;-158.975;-80.338;14.64;0.000;0.390;0.000;8.09;-47.478;-78.362;19.8
186.354;7;C1A;Control;-157.483;-80.309;14.62;-0.022;0.390;0.000;8.02;-47.401;-78.028;20.3
186.454;7;C1A;Control;-156.022;-80.274;14.61;-0.022;0.390;0.000;7.95;-47.326;-77.522;21.1
