Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
227.232;9;T7B;Visual;-212.797;-261.022;0.16;0.000;0.000;0.000;32974.15;-207.084;-253.673;45.2
227.332;9;T7B;Visual;-212.797;-261.023;0.05;-0.111;0.000;0.000;26302.34;-212.797;-261.023;45.2
227.434;9;T7B;Visual;-212.797;-261.023;0.02;-0.111;0.000;0.000;25074.81;-212.797;-261.023;45.2
227.534;9;T7B;Visual;-212.797;-261.024;0.03;-0.111;0.000;0.000;25290.65;-212.797;-261.024;45.2
227.634;9;T7B;Visual;-212.797;-261.025;0.01;-0.111;0.000;0.000;25628.26;-212.797;-261.025;45.2
227.736;9;T7B;Visual;-212.797;-261.026;0.02;-0.111;0.000;0.000;25680.17;-212.797;-261.026;45.1
227.836;9;T7B;Visual;-212.797;-261.028;0.02;-0.111;0.000;0.000;25566.89;-212.797;-261.028;45.1
227.938;9;T7B;Visual;-212.796;-261.029;0.02;-0.111;0.000;0.000;25411.04;-212.797;-261.029;45.1
228.038;9;T7B;Visual;-212.796;-261.031;0.02;-0.111;0.000;0.000;25294.29;-212.796;-261.031;45.1
228.138;9;T7B;Visual;-212.796;-261.032;0.02;-0.111;0.000;0.000;25326.66;-212.796;-261.032;45.1
228.240;9;T7B;Visual;-212.796;-261.034;0.02;-0.111;0.000;0.000;25273.07;-212.796;-261.034;45.1
228.340;9;T7B;Visual;-212.796;-261.035;0.02;-0.111;0.000;0.000;25217.31;-212.796;-261.035;45.0
228.440;9;T7B;Visual;-212.796;-261.037;0.02;-0.111;0.000;0.000;25155.77;-212.796;-261.037;45.0
228.542;9;T7B;Visual;-212.796;-261.039;0.02;-0.111;0.000;0.000;25098.26;-212.796;-261.038;45.0
228.642;9;T7B;Visual;-212.796;-261.040;0.02;-0.111;0.000;0.000;25022.57;-212.796;-261.040;45.0
228.744;9;T7B;Visual;-212.796;-261.042;0.02;-0.111;0.000;0.000;24954.96;-212.796;-261.042;45.0
228.844;9;T7B;Visual;-212.796;-261.043;0.02;-0.111;0.000;0.000;24890.62;-212.796;-261.043;45.0
228.944;9;T7B;Visual;-212.796;-261.045;0.02;-0.111;0.000;0.000;24822.94;-212.796;-261.045;44.9
229.046;9;T7B;Visual;-212.796;-261.046;0.02;-0.133;0.000;0.000;24756.00;-212.796;-261.046;44.9
229.146;9;T7B;Visual;-212.796;-261.048;0.02;-0.133;0.000;0.000;24688.72;-212.796;-261.048;44.9
229.246;9;T7B;Visual;-212.796;-261.049;0.02;-0.156;0.000;0.000;24621.83;-212.796;-261.049;44.9
229.348;9;T7B;Visual;-212.796;-261.051;0.02;-0.156;0.000;0.000;24550.99;-212.796;-261.051;44.9
229.448;9;T7B;Visual;-212.796;-261.052;0.02;-0.133;0.000;0.000;24476.38;-212.796;-261.052;44.9
229.550;9;T7B;Visual;-212.796;-261.054;0.02;-0.156;0.000;0.000;24410.22;-212.796;-261.054;44.8
229.652;9;T7B;Visual;-212.796;-261.055;0.02;-0.178;0.000;0.000;24344.40;-212.796;-261.055;44.8
229.752;9;T7B;Visual;-212.796;-261.057;0.02;-0.178;0.000;0.000;24275.86;-212.796;-261.057;44.8
229.854;9;T7B;Visual;-212.796;-261.059;0.02;-0.178;0.000;0.000;24202.04;-212.796;-261.058;44.8
229.954;9;T7B;Visual;-212.796;-261.060;0.02;-0.222;0.000;0.000;24130.89;-212.796;-261.060;44.8
230.054;9;T7B;Visual;-212.796;-261.062;0.02;-0.200;0.000;0.000;24062.07;-212.796;-261.062;44.7
230.156;9;T7B;Visual;-212.796;-261.063;0.02;-0.200;0.000;0.000;23998.48;-212.796;-261.063;44.7
230.256;9;T7B;Visual;-212.796;-261.064;0.00;-0.200;0.070;0.000;23938.03;-212.796;-261.065;44.7
230.356;9;T7B;Visual;-212.795;-261.063;0.06;-0.200;0.320;0.000;6056.21;-212.795;-261.063;44.7
230.458;9;T7B;Visual;-212.787;-261.051;0.22;-0.178;0.480;0.000;1202.91;-122.971;-127.797;44.8
230.558;9;T7B;Visual;-212.768;-261.023;0.44;-0.178;0.630;0.000;597.97;-122.919;-128.283;45.0
230.660;9;T7B;Visual;-212.733;-260.971;0.75;-0.178;0.780;0.000;357.24;-123.750;-128.168;45.3
230.760;9;T7B;Visual;-212.681;-260.893;1.11;-0.156;0.870;0.000;240.25;-124.877;-127.852;45.8
230.860;9;T7B;Visual;-212.609;-260.783;1.49;-0.156;0.920;0.000;170.51;-125.584;-127.849;46.6
