Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
407.036;14;C1D;Audio;169.700;-240.300;0.14;0.000;0.000;0.000;27352.88;155.298;-240.303;5.1
407.136;14;C1D;Audio;169.701;-240.300;0.03;0.067;0.000;0.000;23980.07;169.701;-240.300;5.1
407.236;14;C1D;Audio;169.701;-240.300;0.02;0.089;0.000;0.000;23601.94;169.701;-240.300;5.1
407.336;14;C1D;Audio;169.701;-240.300;0.03;0.111;0.000;0.000;23998.70;169.701;-240.300;5.1
407.438;14;C1D;Audio;169.702;-240.300;0.01;0.111;0.000;0.000;24249.74;169.702;-240.300;5.2
407.538;14;C1D;Audio;169.702;-240.300;0.01;0.111;0.000;0.000;24230.10;169.702;-240.300;5.2
407.638;14;C1D;Audio;169.703;-240.300;0.01;0.089;0.000;0.000;24133.32;169.703;-240.300;5.2
407.740;14;C1D;Audio;169.703;-240.300;0.00;0.111;0.000;0.000;24058.96;169.703;-240.300;5.2
407.840;14;C1D;Audio;169.703;-240.300;0.00;-0.022;0.000;0.000;24039.00;169.703;-240.300;5.2
407.940;14;C1D;Audio;169.703;-240.300;0.00;-0.022;0.000;0.000;24057.49;169.703;-240.300;5.2
408.042;14;C1D;Audio;169.703;-240.300;0.00;-0.022;0.100;0.000;24063.28;169.703;-240.300;5.2
408.142;14;C1D;Audio;169.700;-240.300;0.06;-0.044;0.270;0.000;4421.48;169.701;-240.300;5.2
408.244;14;C1D;Audio;169.686;-240.300;0.21;-0.044;0.330;0.000;1215.30;-57.428;-243.754;5.2
408.344;14;C1D;Audio;169.658;-240.301;0.36;-0.044;0.390;0.000;708.74;-57.419;-244.090;5.3
408.444;14;C1D;Audio;169.613;-240.301;0.53;-0.044;0.460;0.000;453.56;-57.415;-244.380;5.3
408.546;14;C1D;Audio;169.547;-240.303;0.75;-0.044;0.500;0.000;317.55;-57.410;-244.714;5.5
408.646;14;C1D;Audio;169.460;-240.304;0.97;-0.044;0.500;0.000;247.41;-57.403;-245.134;5.6
408.746;14;C1D;Audio;169.352;-240.307;1.18;-0.044;0.500;0.000;199.31;-57.391;-245.729;5.8
408.848;14;C1D;Audio;169.220;-240.310;1.40;-0.022;0.500;0.000;169.83;-57.376;-246.366;6.0
408.948;14;C1D;Audio;169.070;-240.314;1.60;-0.022;0.510;0.000;145.67;-57.400;-245.482;6.1
409.048;14;C1D;Audio;168.898;-240.318;1.82;-0.022;0.510;0.000;127.74;-57.395;-245.747;6.2
409.150;14;C1D;Audio;168.701;-240.323;2.03;-0.022;0.530;0.000;114.12;-57.384;-246.225;6.4
409.250;14;C1D;Audio;168.487;-240.329;2.24;-0.022;0.540;0.000;103.42;-57.372;-246.752;6.5
409.352;14;C1D;Audio;168.247;-240.336;2.47;-0.022;0.540;0.000;93.62;-57.354;-247.391;6.7
409.452;14;C1D;Audio;167.989;-240.345;2.67;-0.022;0.540;0.000;86.58;-57.336;-247.995;6.9
409.552;14;C1D;Audio;167.711;-240.355;2.89;-0.022;0.540;0.000;79.98;-57.313;-248.711;7.1
409.654;14;C1D;Audio;167.405;-240.367;3.10;-0.022;0.570;0.000;73.96;-57.284;-249.523;7.4
409.754;14;C1D;Audio;167.084;-240.381;3.31;-0.022;0.570;0.000;69.37;-57.256;-250.256;7.6
409.854;14;C1D;Audio;166.740;-240.397;3.54;0.000;0.580;0.000;64.69;-57.218;-251.149;7.8
409.956;14;C1D;Audio;166.367;-240.414;3.77;0.000;0.580;0.000;60.95;-57.239;-250.770;7.9
410.056;14;C1D;Audio;165.980;-240.432;3.97;0.000;0.580;0.000;57.33;-57.250;-250.615;7.9
410.158;14;C1D;Audio;165.563;-240.451;4.19;0.000;0.580;0.000;54.20;-57.257;-250.556;7.9
410.258;14;C1D;Audio;165.133;-240.471;4.40;0.000;0.580;0.000;51.61;-57.262;-250.533;7.9
410.358;14;C1D;Audio;164.683;-240.491;4.61;0.000;0.580;0.000;49.37;-57.266;-250.523;7.9
410.460;14;C1D;Audio;164.203;-240.513;4.82;0.000;0.580;0.000;47.03;-57.271;-250.519;8.0
410.560;14;C1D;Audio;163.711;-240.535;5.02;0.000;0.580;0.000;44.96;-57.276;-250.515;8.0
410.660;14;C1D;Audio;163.199;-240.559;5.22;0.000;0.590;0.000;43.11;-57.281;-250.513;8.0
410.762;14;C1D;Audio;162.657;-240.583;5.41;0.000;0.590;0.000;41.34;-57.286;-250.508;8.0
410.862;14;C1D;Audio;162.106;-240.608;5.61;0.000;0.590;0.000;39.90;-57.291;-250.502;8.0
410.964;14;C1D;Audio;161.523;-240.634;5.81;0.000;0.580;0.000;38.37;-57.297;-250.497;8.0
411.064;14;C1D;Audio;160.933;-240.660;6.00;0.000;0.590;0.000;36.99;-57.303;-250.494;8.1
