Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
430.320;15;L2D;Multimodal;169.700;-240.300;0.12;0.000;0.000;0.000;44.48;-65.981;-247.792;175.2
430.420;15;L2D;Multimodal;169.701;-240.300;0.01;0.089;0.000;0.000;44.48;-65.981;-247.792;175.2
430.520;15;L2D;Multimodal;169.701;-240.300;0.03;0.111;0.000;0.000;44.48;-65.981;-247.792;175.2
430.620;15;L2D;Multimodal;169.701;-240.300;0.02;0.111;0.000;0.000;44.48;-65.981;-247.792;175.2
430.720;15;L2D;Multimodal;169.702;-240.300;0.01;0.111;0.000;0.000;44.48;-65.981;-247.792;175.2
430.822;15;L2D;Multimodal;169.702;-240.300;0.01;0.111;0.000;0.000;44.48;-65.981;-247.792;175.2
430.922;15;L2D;Multimodal;169.703;-240.300;0.01;0.111;0.000;0.000;44.48;-65.981;-247.792;175.2
431.022;15;L2D;Multimodal;169.703;-240.300;0.00;0.111;0.000;0.000;44.48;-65.981;-247.792;175.2
431.124;15;L2D;Multimodal;169.703;-240.300;0.00;0.111;0.000;0.000;44.48;-65.981;-247.792;175.2
431.224;15;L2D;Multimodal;169.703;-240.300;0.00;0.111;0.000;0.000;44.48;-65.981;-247.792;175.2
431.324;15;L2D;Multimodal;169.703;-240.300;0.00;0.111;0.000;0.000;44.48;-65.981;-247.792;175.2
431.426;15;L2D;Multimodal;169.703;-240.300;0.00;0.111;0.000;0.000;44.48;-65.981;-247.792;175.2
431.526;15;L2D;Multimodal;169.703;-240.300;0.00;0.111;0.000;0.000;44.48;-65.981;-247.792;175.2
431.628;15;L2D;Multimodal;169.703;-240.300;0.00;0.111;0.000;0.000;44.48;-65.981;-247.792;175.2
431.728;15;L2D;Multimodal;169.703;-240.300;0.00;0.111;0.000;0.000;44.48;-65.981;-247.792;175.2
431.828;15;L2D;Multimodal;169.703;-240.300;0.00;0.111;0.000;0.000;44.48;-65.981;-247.792;175.2
431.930;15;L2D;Multimodal;169.703;-240.300;0.00;0.111;0.000;0.000;44.48;-65.981;-247.792;175.2
432.030;15;L2D;Multimodal;169.703;-240.300;0.00;0.111;0.000;0.000;44.48;-65.981;-247.792;175.2
432.130;15;L2D;Multimodal;169.703;-240.300;0.00;0.044;0.000;0.000;44.48;-65.981;-247.792;175.2
432.232;15;L2D;Multimodal;169.703;-240.300;0.00;0.022;0.000;0.000;44.48;-65.981;-247.792;175.2
432.332;15;L2D;Multimodal;169.703;-240.300;0.00;-0.022;0.000;0.000;44.48;-65.981;-247.792;175.2
432.434;15;L2D;Multimodal;169.703;-240.300;0.00;-0.044;0.000;0.000;44.48;-65.981;-247.792;175.2
432.534;15;L2D;Multimodal;169.703;-240.300;0.00;-0.044;0.000;0.000;44.48;-65.981;-247.792;175.2
432.634;15;L2D;Multimodal;169.703;-240.300;0.02;-0.044;0.130;0.000;44.48;-65.981;-247.792;175.2
432.736;15;L2D;Multimodal;169.697;-240.300;0.10;-0.044;0.270;0.000;44.48;-65.981;-247.792;175.2
432.836;15;L2D;Multimodal;169.680;-240.300;0.24;-0.044;0.380;0.000;44.48;-65.981;-247.792;175.2
432.936;15;L2D;Multimodal;169.647;-240.301;0.42;-0.044;0.430;0.000;44.48;-65.981;-247.792;175.2
433.038;15;L2D;Multimodal;169.594;-240.302;0.63;-0.044;0.480;0.000;44.48;-65.981;-247.792;175.2
433.138;15;L2D;Multimodal;169.520;-240.303;0.85;-0.067;0.560;0.000;44.48;-65.981;-247.792;175.2
433.240;15;L2D;Multimodal;169.420;-240.306;1.10;-0.067;0.650;0.000;44.48;-65.981;-247.792;175.2
433.340;15;L2D;Multimodal;169.295;-240.310;1.39;-0.067;0.690;0.000;44.48;-65.981;-247.792;175.2
433.440;15;L2D;Multimodal;169.140;-240.316;1.69;-0.044;0.700;0.000;44.48;-65.981;-247.792;175.2
433.542;15;L2D;Multimodal;168.951;-240.323;1.99;-0.044;0.730;0.000;44.48;-65.981;-247.792;175.2
433.642;15;L2D;Multimodal;168.735;-240.332;2.30;-0.044;0.760;0.000;44.48;-65.981;-247.792;175.2
433.742;15;L2D;Multimodal;168.489;-240.343;2.62;-0.044;0.780;0.000;44.48;-65.981;-247.792;175.2
433.844;15;L2D;Multimodal;168.204;-240.358;2.95;-0.044;0.790;0.000;44.48;-65.981;-247.792;175.2
433.944;15;L2D;Multimodal;167.893;-240.376;3.26;-0.022;0.780;0.000;44.48;-65.981;-247.792;175.2
434.046;15;L2D;Multimodal;167.543;-240.396;3.58;-0.022;0.780;0.000;44.48;-65.981;-247.792;175.2
434.146;15;L2D;Multimodal;167.169;-240.419;3.89;-0.022;0.780;0.000;44.48;-65.981;-247.792;175.2
