Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
60.078;4;L2D;Control;169.687;-240.300;0.36;0.000;0.700;0.000;0.40;-110.483;-142.822;4.5
60.180;4;L2D;Control;169.638;-240.300;0.65;0.000;0.700;0.000;0.40;-110.483;-142.822;4.5
60.282;4;L2D;Control;169.557;-240.300;0.95;0.000;0.690;0.000;0.40;-110.483;-142.822;4.5
60.382;4;L2D;Control;169.446;-240.300;1.24;0.000;0.500;0.000;0.40;-110.483;-142.822;4.5
60.484;4;L2D;Control;169.310;-240.300;1.42;0.000;0.170;0.000;0.40;-110.483;-142.822;4.5
60.584;4;L2D;Control;169.167;-240.300;1.46;0.000;0.000;0.000;0.40;-110.483;-142.822;4.5
60.686;4;L2D;Control;169.021;-240.300;1.42;0.000;0.000;0.000;0.40;-110.483;-142.822;4.5
60.788;4;L2D;Control;168.877;-240.300;1.40;0.000;0.000;0.000;0.40;-110.483;-142.822;4.5
60.888;4;L2D;Control;168.738;-240.300;1.38;0.000;0.000;0.000;0.40;-110.483;-142.822;4.5
60.990;4;L2D;Control;168.598;-240.300;1.36;0.000;0.000;0.100;0.40;-110.483;-142.822;4.5
61.090;4;L2D;Control;168.475;-240.300;1.08;0.000;0.000;0.350;0.40;-110.483;-142.822;4.5
61.192;4;L2D;Control;168.411;-240.300;0.26;0.000;0.000;0.470;0.40;-110.483;-142.822;4.5
61.292;4;L2D;Control;168.409;-240.300;0.00;0.000;0.000;0.430;0.40;-110.483;-142.822;4.5
61.394;4;L2D;Control;168.409;-240.300;0.00;0.000;0.000;0.340;0.40;-110.483;-142.822;4.5
61.496;4;L2D;Control;168.409;-240.300;0.01;0.000;0.000;0.220;0.40;-110.483;-142.822;4.5
61.596;4;L2D;Control;168.409;-240.300;0.00;0.000;0.000;0.000;0.40;-110.483;-142.822;4.5
61.698;4;L2D;Control;168.410;-240.300;0.01;0.000;0.000;0.000;0.40;-110.483;-142.822;4.5
61.798;4;L2D;Control;168.410;-240.300;0.01;0.000;0.000;0.000;0.40;-110.483;-142.822;4.5
61.900;4;L2D;Control;168.411;-240.300;0.01;0.000;0.000;0.000;0.40;-110.483;-142.822;4.5
62.000;4;L2D;Control;168.411;-240.300;0.00;0.000;0.000;0.000;0.40;-110.483;-142.822;4.5
62.102;4;L2D;Control;168.411;-240.300;0.00;0.000;0.000;0.000;0.40;-110.483;-142.822;4.5
62.202;4;L2D;Control;168.411;-240.300;0.00;0.000;0.000;0.000;0.40;-110.483;-142.822;4.5
62.304;4;L2D;Control;168.411;-240.300;0.00;0.000;0.000;0.000;0.40;-110.483;-142.822;4.5
62.406;4;L2D;Control;168.411;-240.300;0.00;0.022;0.000;0.000;0.40;-110.483;-142.822;4.5
62.506;4;L2D;Control;168.411;-240.300;0.00;0.022;0.000;0.000;0.40;-110.483;-142.822;4.5
62.608;4;L2D;Control;168.411;-240.300;0.00;0.022;0.000;0.000;0.40;-110.483;-142.822;4.5
62.708;4;L2D;Control;168.411;-240.300;0.00;0.022;0.000;0.000;0.40;-110.483;-142.822;4.5
62.810;4;L2D;Control;168.411;-240.300;0.01;0.022;0.240;0.000;0.40;-110.483;-142.822;4.5
62.910;4;L2D;Control;168.403;-240.300;0.14;0.022;0.240;0.000;0.40;-110.483;-142.822;4.5
63.012;4;L2D;Control;168.375;-240.300;0.39;0.022;0.510;0.000;0.40;-110.483;-142.822;4.5
63.114;4;L2D;Control;168.320;-240.300;0.68;0.022;0.660;0.000;0.40;-110.483;-142.822;4.5
63.214;4;L2D;Control;168.236;-240.299;0.98;0.022;0.670;0.000;0.40;-110.483;-142.822;4.5
63.316;4;L2D;Control;168.121;-240.298;1.27;0.022;0.690;0.000;0.40;-110.483;-142.822;4.5
63.416;4;L2D;Control;167.978;-240.296;1.56;0.022;0.690;0.000;0.40;-110.483;-142.822;4.5
63.518;4;L2D;Control;167.802;-240.294;1.87;0.022;0.730;0.000;0.40;-110.483;-142.822;4.5
63.618;4;L2D;Control;167.598;-240.291;2.17;0.022;0.790;0.000;0.40;-110.483;-142.822;4.5
63.720;4;L2D;Control;167.358;-240.287;2.52;0.022;0.860;0.000;0.40;-110.483;-142.822;4.5
63.820;4;L2D;Control;167.086;-240.281;2.88;0.022;0.860;0.000;0.40;-110.483;-142.822;4.5
63.922;4;L2D;Control;166.772;-240.274;3.25;0.022;0.890;0.000;0.40;-110.483;-142.822;4.5
64.024;4;L2D;Control;166.420;-240.265;3.63;0.022;0.890;0.000;0.40;-110.483;-142.822;4.5
64.126;4;L2D;Control;166.031;-240.253;3.99;0.022;0.890;0.000;0.40;-110.483;-142.822;4.5
64.226;4;L2D;Control;165.614;-240.239;4.34;0.022;0.890;0.000;0.40;-110.483;-142.822;4.5
64.328;4;L2D;Control;165.152;-240.221;4.70;0.022;0.890;0.000;0.40;-110.483;-142.822;4.5
64.430;4;L2D;Control;164.655;-240.201;5.04;0.000;0.890;0.000;0.40;-110.483;-142.822;4.5
64.530;4;L2D;Control;164.134;-240.180;5.38;0.000;0.890;0.000;0.40;-110.483;-142.822;4.5
64.632;4;L2D;Control;163.567;-240.157;5.71;0.000;0.890;0.000;0.40;-110.483;-142.822;4.5
64.734;4;L2D;Control;162.966;-240.133;6.05;0.000;0.880;0.000;0.40;-110.483;-142.822;4.5
64.836;4;L2D;Control;162.332;-240.107;6.38;0.000;0.890;0.000;0.40;-110.483;-142.822;4.5
64.938;4;L2D;Control;161.664;-240.081;6.71;0.000;0.890;0.000;0.40;-110.483;-142.822;4.5
65.040;4;L2D;Control;160.963;-240.052;7.03;-0.022;0.890;0.000;0.40;-110.483;-142.822;4.5
65.142;4;L2D;Control;160.230;-240.024;7.34;-0.022;0.890;0.000;0.40;-110.483;-142.822;4.5
65.244;4;L2D;Control;159.465;-239.999;7.66;-0.022;0.890;0.000;0.40;-110.483;-142.822;4.5
65.346;4;L2D;Control;158.668;-239.977;7.96;-0.022;0.890;0.000;0.40;-110.483;-142.822;4.5
65.446;4;L2D;Control;157.856;-239.960;8.26;-0.022;0.890;0.000;0.40;-110.483;-142.822;4.5
65.548;4;L2D;Control;156.997;-239.948;8.56;-0.022;0.890;0.000;0.40;-110.483;-142.822;4.5
65.650;4;L2D;Control;156.108;-239.941;8.87;-0.022;0.890;0.000;0.40;-110.483;-142.822;4.5
65.752;4;L2D;Control;155.189;-239.941;9.15;-0.022;0.880;0.000;0.40;-110.483;-142.822;4.5
65.854;4;L2D;Control;154.240;-239.947;9.43;-0.022;0.880;0.000;0.40;-110.483;-142.822;4.5
65.956;4;L2D;Control;153.263;-239.961;9.72;-0.022;0.880;0.000;0.40;-110.483;-142.822;4.5
66.058;4;L2D;Control;152.258;-239.983;9.99;-0.022;0.870;0.000;0.40;-110.483;-142.822;4.5
66.160;4;L2D;Control;151.225;-240.014;10.26;-0.022;0.870;0.000;0.40;-110.483;-142.822;4.5
66.262;4;L2D;Control;150.165;-240.053;10.52;-0.022;0.850;0.000;0.40;-110.483;-142.822;4.5
66.364;4;L2D;Control;149.080;-240.101;10.77;-0.022;0.790;0.000;0.40;-110.483;-142.822;4.5
66.466;4;L2D;Control;147.971;-240.159;10.98;-0.022;0.730;0.000;0.40;-110.483;-142.822;4.5
66.568;4;L2D;Control;146.844;-240.227;11.16;0.000;0.620;0.000;0.40;-110.483;-142.822;4.5
66.668;4;L2D;Control;145.723;-240.302;11.28;0.022;0.440;0.000;0.40;-110.483;-142.822;4.5
66.770;4;L2D;Control;144.574;-240.380;11.32;0.022;0.330;0.000;0.40;-110.483;-142.822;4.5
66.872;4;L2D;Control;143.422;-240.457;11.31;0.022;0.220;0.000;0.40;-110.483;-142.822;4.5
66.974;4;L2D;Control;142.274;-240.528;11.25;0.022;0.110;0.000;0.40;-110.483;-142.822;4.5
67.076;4;L2D;Control;141.135;-240.592;11.14;0.022;0.000;0.000;0.40;-110.483;-142.822;4.5
67.178;4;L2D;Control;140.008;-240.646;10.98;0.022;0.000;0.000;0.40;-110.483;-142.822;4.5
67.280;4;L2D;Control;138.897;-240.690;10.83;0.022;0.000;0.000;0.40;-110.483;-142.822;4.5
67.382;4;L2D;Control;137.800;-240.722;10.69;0.022;0.000;0.000;0.40;-110.483;-142.822;4.5
67.484;4;L2D;Control;136.717;-240.743;10.56;0.044;0.000;0.000;0.40;-110.483;-142.822;4.5
67.586;4;L2D;Control;135.649;-240.749;10.41;0.044;0.000;0.000;0.40;-110.483;-142.822;4.5
67.688;4;L2D;Control;134.595;-240.738;10.26;0.044;0.000;0.000;0.40;-110.483;-142.822;4.5
67.790;4;L2D;Control;133.556;-240.707;10.13;0.044;0.200;0.000;0.40;-110.483;-142.822;4.5
67.890;4;L2D;Control;132.546;-240.657;10.12;0.044;0.460;0.000;0.40;-110.483;-142.822;4.5
67.992;4;L2D;Control;131.511;-240.584;10.22;0.022;0.530;0.000;0.40;-110.483;-142.822;4.5
68.094;4;L2D;Control;130.467;-240.491;10.32;0.022;0.530;0.000;0.40;-110.483;-142.822;4.5
68.196;4;L2D;Control;129.414;-240.382;10.43;0.000;0.530;0.000;0.40;-110.483;-142.822;4.5
68.298;4;L2D;Control;128.352;-240.260;10.53;0.000;0.470;0.000;0.40;-110.483;-142.822;4.5
68.400;4;L2D;Control;127.283;-240.131;10.56;0.000;0.000;0.000;0.40;-110.483;-142.822;4.5
68.502;4;L2D;Control;126.223;-239.999;10.40;0.000;0.000;0.000;0.40;-110.483;-142.822;4.5
68.604;4;L2D;Control;125.179;-239.866;10.26;0.000;0.000;0.000;0.40;-110.483;-142.822;4.5
68.706;4;L2D;Control;124.148;-239.733;10.12;0.000;0.000;0.000;0.40;-110.483;-142.822;4.5
68.808;4;L2D;Control;123.131;-239.601;10.00;-0.044;0.000;0.000;0.40;-110.483;-142.822;4.5
