Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
244.854;13;L2C;Multimodal;32.720;-379.829;0.28;-0.044;0.370;0.000;2761.01;-71.208;-242.597;81.6
244.956;13;L2C;Multimodal;32.747;-379.828;0.37;-0.067;0.390;0.000;2761.01;-71.208;-242.597;81.6
245.056;13;L2C;Multimodal;32.791;-379.827;0.52;-0.067;0.390;0.000;2761.01;-71.208;-242.597;81.6
245.158;13;L2C;Multimodal;32.854;-379.825;0.69;-0.067;0.390;0.000;2761.01;-71.208;-242.597;81.6
245.258;13;L2C;Multimodal;32.932;-379.823;0.87;-0.067;0.400;0.000;2761.01;-71.208;-242.597;81.6
245.358;13;L2C;Multimodal;33.029;-379.819;1.07;-0.067;0.470;0.000;2761.01;-71.208;-242.597;81.6
245.460;13;L2C;Multimodal;33.153;-379.815;1.35;-0.067;0.620;0.000;2761.01;-71.208;-242.597;81.6
245.560;13;L2C;Multimodal;33.304;-379.809;1.67;-0.067;0.740;0.000;2761.01;-71.208;-242.597;81.6
245.660;13;L2C;Multimodal;33.488;-379.800;2.00;-0.067;0.780;0.000;2761.01;-71.208;-242.597;81.6
245.762;13;L2C;Multimodal;33.710;-379.788;2.33;-0.067;0.790;0.000;2761.01;-71.208;-242.597;81.6
245.862;13;L2C;Multimodal;33.960;-379.773;2.66;-0.044;0.790;0.000;2761.01;-71.208;-242.597;81.6
245.964;13;L2C;Multimodal;34.249;-379.756;2.99;-0.044;0.800;0.000;2761.01;-71.208;-242.597;81.6
246.064;13;L2C;Multimodal;34.565;-379.735;3.33;-0.044;0.820;0.000;2761.01;-71.208;-242.597;81.6
246.164;13;L2C;Multimodal;34.915;-379.710;3.66;-0.022;0.830;0.000;2761.01;-71.208;-242.597;81.6
246.266;13;L2C;Multimodal;35.306;-379.681;4.00;-0.022;0.840;0.000;2761.01;-71.208;-242.597;81.6
246.366;13;L2C;Multimodal;35.722;-379.650;4.33;0.000;0.840;0.000;2761.01;-71.208;-242.597;81.6
246.466;13;L2C;Multimodal;36.171;-379.617;4.65;0.000;0.840;0.000;2761.01;-71.208;-242.597;81.6
