Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
256.864;14;C2C;Visual;38.020;-379.870;0.22;0.089;0.610;0.000;4146.71;62.692;-380.056;-18.0
256.964;14;C2C;Visual;38.042;-379.870;0.39;0.089;0.720;0.000;480.67;170.117;-383.776;-18.0
257.064;14;C2C;Visual;38.096;-379.872;0.69;0.089;0.690;0.000;247.14;181.668;-384.626;-18.2
257.166;14;C2C;Visual;38.182;-379.875;0.98;0.089;0.530;0.000;164.18;181.887;-385.252;-18.5
257.266;14;C2C;Visual;38.291;-379.880;1.18;0.089;0.210;0.000;134.26;181.868;-385.944;-18.8
257.368;14;C2C;Visual;38.414;-379.886;1.22;0.089;0.000;0.000;126.13;181.844;-387.061;-19.2
257.468;14;C2C;Visual;38.534;-379.892;1.19;0.089;0.000;0.000;128.08;181.799;-388.116;-19.6
257.568;14;C2C;Visual;38.652;-379.900;1.17;0.089;0.000;0.000;129.88;181.753;-388.999;-20.0
257.670;14;C2C;Visual;38.770;-379.908;1.16;0.089;0.000;0.000;131.90;181.698;-389.959;-20.4
257.770;14;C2C;Visual;38.885;-379.917;1.15;0.089;0.000;0.000;133.95;181.638;-390.902;-20.7
257.870;14;C2C;Visual;38.999;-379.927;1.13;0.111;0.000;0.000;135.88;181.578;-391.759;-21.1
257.972;14;C2C;Visual;39.113;-379.938;1.13;0.111;0.000;0.000;138.56;181.398;-393.855;-21.6
258.072;14;C2C;Visual;39.223;-379.949;1.10;0.089;0.000;0.000;140.67;181.291;-395.000;-22.0
258.174;14;C2C;Visual;39.334;-379.962;1.09;0.089;0.000;0.000;142.47;181.303;-394.985;-22.4
258.274;14;C2C;Visual;39.441;-379.974;1.07;0.089;0.130;0.000;144.56;181.236;-395.693;-22.7
258.374;14;C2C;Visual;39.551;-379.987;1.13;0.089;0.510;0.000;139.02;181.162;-396.442;-23.1
258.476;14;C2C;Visual;39.680;-380.003;1.39;0.089;0.690;0.000;116.64;181.095;-397.103;-23.5
258.576;14;C2C;Visual;39.834;-380.022;1.70;0.089;0.700;0.000;96.35;181.003;-397.962;-24.0
258.676;14;C2C;Visual;40.018;-380.046;1.99;0.089;0.720;0.000;81.88;180.874;-399.082;-24.6
258.778;14;C2C;Visual;40.235;-380.077;2.30;0.089;0.800;0.000;71.32;180.719;-400.350;-25.2
258.878;14;C2C;Visual;40.481;-380.115;2.64;0.089;0.800;0.000;62.16;180.526;-401.826;-26.0
258.978;14;C2C;Visual;40.761;-380.161;3.01;0.089;0.890;0.000;54.83;180.303;-403.408;-26.8
259.080;14;C2C;Visual;41.084;-380.218;3.40;0.089;0.920;0.000;48.75;180.025;-405.246;-27.8
259.180;14;C2C;Visual;41.438;-380.285;3.78;0.089;0.940;0.000;43.68;179.670;-407.399;-28.9
259.282;14;C2C;Visual;41.836;-380.367;4.17;0.067;0.940;0.000;39.97;179.281;-409.574;-30.1
259.382;14;C2C;Visual;42.262;-380.461;4.53;0.067;0.940;0.000;36.89;179.006;-411.122;-31.0
259.482;14;C2C;Visual;42.723;-380.568;4.90;0.044;0.950;0.000;34.22;178.817;-412.257;-31.8
