Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
271.802;15;C1C;Control;38.020;-379.870;0.22;-0.022;0.000;0.750;0.28;179.919;-381.128;-46.1
271.902;15;C1C;Control;38.020;-379.870;0.14;-0.022;0.000;0.000;0.28;179.919;-381.128;-46.1
272.002;15;C1C;Control;38.019;-379.870;0.03;-0.022;0.000;0.000;0.28;179.919;-381.128;-46.1
272.102;15;C1C;Control;38.019;-379.870;0.03;-0.022;0.000;0.000;0.28;179.919;-381.128;-46.1
272.202;15;C1C;Control;38.019;-379.870;0.03;-0.022;0.000;0.000;0.28;179.919;-381.128;-46.1
272.304;15;C1C;Control;38.019;-379.870;0.01;-0.022;0.080;0.000;0.28;179.919;-381.128;-46.1
272.404;15;C1C;Control;38.022;-379.870;0.08;-0.022;0.500;0.000;0.28;179.919;-381.128;-46.1
272.506;15;C1C;Control;38.045;-379.870;0.36;-0.022;0.860;0.000;0.28;179.919;-381.128;-46.1
272.606;15;C1C;Control;38.104;-379.870;0.79;-0.022;1.000;0.000;0.28;179.919;-381.128;-46.1
272.706;15;C1C;Control;38.206;-379.869;1.24;-0.022;1.000;0.000;0.28;179.919;-381.128;-46.1
272.808;15;C1C;Control;38.357;-379.867;1.68;-0.022;1.000;0.000;0.28;179.919;-381.128;-46.1
272.908;15;C1C;Control;38.547;-379.865;2.11;-0.022;1.000;0.000;0.28;179.919;-381.128;-46.1
273.008;15;C1C;Control;38.781;-379.862;2.54;-0.022;1.000;0.000;0.28;179.919;-381.128;-46.1
273.110;15;C1C;Control;39.063;-379.857;2.96;-0.022;1.000;0.000;0.28;179.919;-381.128;-46.1
273.210;15;C1C;Control;39.381;-379.851;3.38;-0.022;1.000;0.000;0.28;179.919;-381.128;-46.1
273.310;15;C1C;Control;39.740;-379.843;3.79;-0.022;1.000;0.000;0.28;179.919;-381.128;-46.1
273.412;15;C1C;Control;40.148;-379.832;4.20;-0.022;1.000;0.000;0.28;179.919;-381.128;-46.1
273.512;15;C1C;Control;40.589;-379.819;4.59;0.000;1.000;0.000;0.28;179.919;-381.128;-46.1
273.614;15;C1C;Control;41.079;-379.803;4.99;0.000;1.000;0.000;0.28;179.919;-381.128;-46.1
273.714;15;C1C;Control;41.599;-379.787;5.38;0.000;1.000;0.000;0.28;179.919;-381.128;-46.1
273.814;15;C1C;Control;42.157;-379.769;5.76;0.000;1.000;0.000;0.28;179.919;-381.128;-46.1
273.916;15;C1C;Control;42.765;-379.750;6.15;0.000;1.000;0.000;0.28;179.919;-381.128;-46.1
274.016;15;C1C;Control;43.400;-379.731;6.52;0.000;1.000;0.000;0.28;179.919;-381.128;-46.1
274.116;15;C1C;Control;44.071;-379.710;6.89;0.000;1.000;0.000;0.28;179.919;-381.128;-46.1
274.218;15;C1C;Control;44.793;-379.687;7.26;0.000;1.000;0.000;0.28;179.919;-381.128;-46.1
274.318;15;C1C;Control;45.538;-379.663;7.62;0.000;1.000;0.000;0.28;179.919;-381.128;-46.1
274.420;15;C1C;Control;46.334;-379.636;7.98;0.000;1.000;0.000;0.28;179.919;-381.128;-46.1
274.520;15;C1C;Control;47.150;-379.610;8.33;0.000;1.000;0.000;0.28;179.919;-381.128;-46.1
274.620;15;C1C;Control;48.001;-379.582;8.67;0.000;1.000;0.000;0.28;179.919;-381.128;-46.1
274.722;15;C1C;Control;48.903;-379.555;9.02;0.022;0.970;0.000;0.28;179.919;-381.128;-46.1
274.822;15;C1C;Control;49.822;-379.532;9.34;0.022;0.950;0.000;0.28;179.919;-381.128;-46.1
274.922;15;C1C;Control;50.771;-379.514;9.64;0.022;0.950;0.000;0.28;179.919;-381.128;-46.1
275.024;15;C1C;Control;51.771;-379.500;9.95;0.022;0.950;0.000;0.28;179.919;-381.128;-46.1
275.124;15;C1C;Control;52.783;-379.494;10.25;0.022;0.960;0.000;0.28;179.919;-381.128;-46.1
275.226;15;C1C;Control;53.844;-379.495;10.54;0.022;0.920;0.000;0.28;179.919;-381.128;-46.1
275.326;15;C1C;Control;54.912;-379.501;10.79;0.000;0.870;0.000;0.28;179.919;-381.128;-46.1
275.426;15;C1C;Control;56.005;-379.512;11.05;0.000;0.870;0.000;0.28;179.919;-381.128;-46.1
275.528;15;C1C;Control;57.145;-379.525;11.30;0.000;0.870;0.000;0.28;179.919;-381.128;-46.1
275.628;15;C1C;Control;58.289;-379.540;11.55;0.000;0.870;0.000;0.28;179.919;-381.128;-46.1
275.728;15;C1C;Control;59.457;-379.556;11.79;0.000;0.870;0.000;0.28;179.919;-381.128;-46.1
275.830;15;C1C;Control;60.673;-379.573;12.04;0.000;0.870;0.000;0.28;179.919;-381.128;-46.1
275.930;15;C1C;Control;61.889;-379.590;12.28;0.000;0.870;0.000;0.28;179.919;-381.128;-46.1
276.032;15;C1C;Control;63.155;-379.609;12.52;0.000;0.870;0.000;0.28;179.919;-381.128;-46.1
276.132;15;C1C;Control;64.418;-379.627;12.75;0.000;0.870;0.000;0.28;179.919;-381.128;-46.1
276.232;15;C1C;Control;65.705;-379.646;12.98;0.000;0.870;0.000;0.28;179.919;-381.128;-46.1
276.334;15;C1C;Control;67.041;-379.665;13.21;0.000;0.870;0.000;0.28;179.919;-381.128;-46.1
276.434;15;C1C;Control;68.373;-379.685;13.43;0.000;0.870;0.000;0.28;179.919;-381.128;-46.1
276.534;15;C1C;Control;69.728;-379.705;13.65;0.000;0.870;0.000;0.28;179.919;-381.128;-46.1
276.636;15;C1C;Control;71.131;-379.724;13.85;-0.022;0.830;0.000;0.28;179.919;-381.128;-46.1
276.736;15;C1C;Control;72.523;-379.739;13.98;-0.022;0.690;0.000;0.28;179.919;-381.128;-46.1
276.838;15;C1C;Control;73.953;-379.748;14.07;-0.022;0.610;0.000;0.28;179.919;-381.128;-46.1
