Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
204.182;13;C2B;Audio;-216.980;-288.108;0.24;0.022;0.350;0.000;2439.13;-216.073;-148.376;66.5
204.232;13;C2B;Audio;-216.980;-288.096;0.28;0.022;0.350;0.000;1752.31;-215.714;-122.545;66.4
204.282;13;C2B;Audio;-216.980;-288.079;0.35;0.022;0.350;0.000;1350.36;-215.577;-114.140;66.4
204.332;13;C2B;Audio;-216.980;-288.059;0.44;0.022;0.350;0.000;1071.92;-215.502;-112.893;66.4
204.384;13;C2B;Audio;-216.980;-288.035;0.50;0.022;0.340;0.000;873.77;-215.436;-113.062;66.4
204.434;13;C2B;Audio;-216.979;-288.007;0.58;0.022;0.340;0.000;766.45;-215.382;-113.063;66.4
204.484;13;C2B;Audio;-216.979;-287.976;0.66;0.044;0.340;0.000;676.40;-214.477;-112.985;66.4
204.534;13;C2B;Audio;-216.978;-287.941;0.73;0.044;0.340;0.000;594.48;-213.895;-112.888;66.3
204.584;13;C2B;Audio;-216.978;-287.902;0.79;0.044;0.330;0.000;545.15;-213.659;-112.840;66.3
204.636;13;C2B;Audio;-216.977;-287.859;0.89;0.044;0.330;0.000;493.85;-213.422;-112.805;66.2
204.688;13;C2B;Audio;-216.976;-287.811;0.95;0.044;0.330;0.000;452.90;-213.202;-112.782;66.2
204.738;13;C2B;Audio;-216.974;-287.762;1.01;0.044;0.330;0.000;423.03;-213.006;-112.762;66.1
204.788;13;C2B;Audio;-216.973;-287.710;1.08;0.044;0.330;0.000;396.86;-212.800;-112.740;66.1
204.838;13;C2B;Audio;-216.972;-287.653;1.16;0.044;0.330;0.000;369.05;-212.534;-112.709;66.0
204.888;13;C2B;Audio;-216.970;-287.594;1.22;0.044;0.340;0.000;348.51;-212.305;-112.683;65.9
204.940;13;C2B;Audio;-216.968;-287.529;1.28;0.044;0.340;0.000;325.45;-211.997;-112.649;65.8
204.990;13;C2B;Audio;-216.966;-287.462;1.36;0.044;0.360;0.000;309.22;-211.754;-112.622;65.8
205.040;13;C2B;Audio;-216.964;-287.392;1.45;0.044;0.360;0.000;290.42;-211.426;-112.587;65.7
205.090;13;C2B;Audio;-216.962;-287.318;1.50;0.044;0.350;0.000;277.43;-211.152;-112.558;65.6
205.140;13;C2B;Audio;-216.959;-287.241;1.57;0.044;0.350;0.000;262.55;-210.787;-112.522;65.5
205.192;13;C2B;Audio;-216.956;-287.157;1.65;0.044;0.340;0.000;251.58;-210.473;-112.491;65.4
205.244;13;C2B;Audio;-216.952;-287.070;1.71;0.044;0.340;0.000;239.56;-210.074;-112.453;65.3
205.294;13;C2B;Audio;-216.949;-286.983;1.76;0.044;0.220;0.000;233.07;-209.732;-112.423;65.2
205.344;13;C2B;Audio;-216.945;-286.895;1.80;0.044;0.220;0.000;226.38;-209.289;-112.386;65.1
205.394;13;C2B;Audio;-216.940;-286.804;1.83;0.044;0.190;0.000;220.78;-208.853;-112.350;64.9
205.444;13;C2B;Audio;-216.936;-286.712;1.85;0.044;0.190;0.000;216.51;-208.475;-112.321;64.8
205.496;13;C2B;Audio;-216.931;-286.615;1.91;0.044;0.300;0.000;209.70;-208.025;-112.284;64.7
205.546;13;C2B;Audio;-216.926;-286.518;1.97;0.044;0.300;0.000;203.70;-207.663;-112.255;64.6
205.596;13;C2B;Audio;-216.920;-286.418;2.06;0.022;0.470;0.000;195.38;-207.720;-112.190;64.5
