Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
98.324;7;C2B;Visual;-216.980;-288.098;0.43;0.000;0.720;0.000;1320.80;-216.979;-131.252;66.5
98.374;7;C2B;Visual;-216.980;-288.075;0.56;0.000;0.720;0.000;949.00;-216.979;-118.459;66.5
98.426;7;C2B;Visual;-216.980;-288.041;0.72;0.000;0.730;0.000;669.01;-216.979;-113.466;66.5
98.476;7;C2B;Visual;-216.980;-288.001;0.89;0.000;0.730;0.000;545.33;-216.980;-112.889;66.5
98.528;7;C2B;Visual;-216.980;-287.950;1.05;0.000;0.740;0.000;442.96;-216.980;-112.831;66.5
98.580;7;C2B;Visual;-216.980;-287.891;1.22;0.000;0.740;0.000;385.46;-216.980;-112.815;66.5
98.630;7;C2B;Visual;-216.980;-287.826;1.37;0.000;0.740;0.000;339.82;-216.980;-112.771;66.5
98.680;7;C2B;Visual;-216.980;-287.753;1.53;0.000;0.740;0.000;304.13;-216.980;-112.718;66.6
98.732;7;C2B;Visual;-216.980;-287.669;1.69;0.000;0.750;0.000;269.13;-216.980;-112.652;66.6
98.782;7;C2B;Visual;-216.980;-287.580;1.86;0.000;0.750;0.000;246.34;-216.980;-112.600;66.6
98.832;7;C2B;Visual;-216.980;-287.483;2.01;0.000;0.750;0.000;227.27;-216.980;-112.546;66.6
98.884;7;C2B;Visual;-216.980;-287.373;2.18;0.000;0.750;0.000;208.00;-216.980;-112.474;66.7
98.934;7;C2B;Visual;-216.980;-287.260;2.32;0.000;0.760;0.000;195.02;-216.980;-112.411;66.7
98.986;7;C2B;Visual;-216.980;-287.134;2.50;0.000;0.760;0.000;183.04;-216.980;-112.341;66.8
99.038;7;C2B;Visual;-216.980;-287.000;2.67;0.000;0.800;0.000;170.41;-216.980;-112.250;66.8
99.088;7;C2B;Visual;-216.980;-286.862;2.82;0.000;0.800;0.000;161.26;-216.980;-112.173;66.8
99.138;7;C2B;Visual;-216.980;-286.716;3.01;0.000;0.830;0.000;153.11;-216.980;-112.092;66.9
99.190;7;C2B;Visual;-216.980;-286.555;3.17;0.000;0.830;0.000;143.38;-216.980;-111.980;66.9
99.240;7;C2B;Visual;-216.980;-286.391;3.34;0.000;0.820;0.000;136.28;-216.980;-111.881;67.0
99.292;7;C2B;Visual;-216.980;-286.213;3.51;0.000;0.820;0.000;130.46;-216.980;-111.785;67.0
99.344;7;C2B;Visual;-216.980;-286.025;3.69;0.000;0.830;0.000;123.66;-216.980;-111.653;67.1
99.394;7;C2B;Visual;-216.980;-285.836;3.85;0.000;0.830;0.000;118.91;-216.980;-111.547;67.1
99.444;7;C2B;Visual;-216.980;-285.640;4.00;0.000;0.830;0.000;114.38;-216.980;-111.432;67.2
99.496;7;C2B;Visual;-216.980;-285.426;4.17;0.000;0.830;0.000;109.42;-216.980;-111.286;67.3
99.546;7;C2B;Visual;-216.980;-285.213;4.33;0.000;0.830;0.000;105.83;-216.980;-111.166;67.3
99.596;7;C2B;Visual;-216.980;-284.992;4.50;0.000;0.830;0.000;102.37;-216.980;-111.036;67.4
99.648;7;C2B;Visual;-216.980;-284.753;4.65;0.000;0.840;0.000;98.53;-216.980;-110.872;67.5
99.698;7;C2B;Visual;-216.980;-284.515;4.82;0.000;0.840;0.000;95.69;-216.980;-110.737;67.5
99.750;7;C2B;Visual;-216.980;-284.260;4.99;0.000;0.860;0.000;93.05;-216.980;-110.598;67.6
99.802;7;C2B;Visual;-216.980;-283.995;5.17;0.000;0.860;0.000;89.79;-216.980;-110.410;67.7
99.852;7;C2B;Visual;-216.980;-283.732;5.33;0.000;0.880;0.000;87.36;-216.980;-110.253;67.8
99.902;7;C2B;Visual;-216.980;-283.461;5.49;0.000;0.880;0.000;85.04;-216.980;-110.092;67.9
99.954;7;C2B;Visual;-216.980;-283.171;5.65;0.000;0.880;0.000;82.79;-216.980;-109.918;67.9
100.004;7;C2B;Visual;-216.980;-282.883;5.83;0.000;0.880;0.000;80.37;-216.980;-109.710;68.0
100.054;7;C2B;Visual;-216.980;-282.588;6.00;0.000;0.880;0.000;78.50;-216.980;-109.532;68.1
100.106;7;C2B;Visual;-216.980;-282.271;6.16;0.000;0.880;0.000;76.76;-216.980;-109.349;68.2
100.156;7;C2B;Visual;-216.980;-281.959;6.32;0.000;0.900;0.000;75.19;-216.980;-109.169;68.3
100.208;7;C2B;Visual;-216.980;-281.626;6.48;0.000;0.900;0.000;73.28;-216.980;-108.935;68.4
100.260;7;C2B;Visual;-216.980;-281.283;6.64;0.000;0.900;0.000;71.80;-216.980;-108.736;68.5
100.310;7;C2B;Visual;-216.980;-280.946;6.82;0.000;0.900;0.000;70.41;-216.980;-108.531;68.6
100.360;7;C2B;Visual;-216.980;-280.601;6.97;0.000;0.910;0.000;68.83;-216.980;-108.277;68.7
100.412;7;C2B;Visual;-216.980;-280.233;7.13;0.000;0.910;0.000;67.60;-216.980;-108.061;68.9
100.462;7;C2B;Visual;-216.980;-279.871;7.31;0.000;0.910;0.000;66.48;-216.980;-107.849;69.0
100.514;7;C2B;Visual;-216.980;-279.487;7.46;0.000;0.910;0.000;65.15;-216.980;-107.574;69.1
100.566;7;C2B;Visual;-216.980;-279.094;7.64;0.000;0.910;0.000;64.12;-216.980;-107.341;69.2
100.616;7;C2B;Visual;-216.980;-278.708;7.80;0.000;0.910;0.000;62.96;-216.980;-107.052;69.3
100.666;7;C2B;Visual;-216.980;-278.313;7.95;0.022;0.910;0.000;61.99;-216.917;-106.807;69.4
100.718;7;C2B;Visual;-216.979;-277.895;8.12;0.022;0.910;0.000;60.88;-216.645;-106.558;69.4
100.768;7;C2B;Visual;-216.978;-277.486;8.26;0.044;0.910;0.000;59.70;-216.243;-106.305;69.3
100.818;7;C2B;Visual;-216.974;-277.069;8.42;0.044;0.910;0.000;58.27;-215.533;-106.040;69.0
100.870;7;C2B;Visual;-216.969;-276.627;8.58;0.044;0.910;0.000;56.86;-214.729;-105.786;68.7
100.920;7;C2B;Visual;-216.961;-276.194;8.73;0.044;0.910;0.000;55.06;-213.584;-105.473;68.3
100.972;7;C2B;Visual;-216.950;-275.736;8.88;0.067;0.900;0.000;53.64;-212.566;-105.237;68.0
101.024;7;C2B;Visual;-216.934;-275.271;9.02;0.067;0.900;0.000;51.70;-210.941;-104.958;67.3
101.074;7;C2B;Visual;-216.915;-274.816;9.16;0.089;0.860;0.000;50.05;-209.400;-104.745;66.8
101.124;7;C2B;Visual;-216.891;-274.355;9.28;0.089;0.860;0.000;48.39;-207.623;-104.570;66.1
101.176;7;C2B;Visual;-216.859;-273.869;9.41;0.089;0.780;0.000;46.25;-205.085;-104.384;65.1
101.226;7;C2B;Visual;-216.823;-273.397;9.51;0.089;0.780;0.000;44.62;-202.910;-104.275;64.3
101.276;7;C2B;Visual;-216.779;-272.921;9.60;0.089;0.670;0.000;43.05;-200.629;-104.206;63.5
101.328;7;C2B;Visual;-216.725;-272.421;9.69;0.089;0.670;0.000;41.55;-198.173;-104.177;62.7
101.378;7;C2B;Visual;-216.667;-271.938;9.77;0.089;0.620;0.000;40.17;-195.738;-104.196;61.8
101.430;7;C2B;Visual;-216.597;-271.434;9.82;0.089;0.620;0.000;38.82;-193.135;-104.265;61.0
101.482;7;C2B;Visual;-216.519;-270.926;9.89;0.089;0.610;0.000;37.32;-190.033;-104.414;60.0
101.532;7;C2B;Visual;-216.435;-270.437;9.97;0.089;0.610;0.000;36.13;-187.411;-104.594;59.1
101.582;7;C2B;Visual;-216.343;-269.946;10.01;0.089;0.570;0.000;35.01;-184.750;-104.827;58.3
101.634;7;C2B;Visual;-216.238;-269.434;10.08;0.089;0.570;0.000;33.91;-181.952;-105.125;57.4
101.684;7;C2B;Visual;-216.128;-268.941;10.12;0.089;0.530;0.000;32.67;-178.562;-105.561;56.3
101.736;7;C2B;Visual;-216.004;-268.428;10.16;0.089;0.530;0.000;31.75;-175.831;-105.970;55.4
101.788;7;C2B;Visual;-215.870;-267.916;10.18;0.089;0.520;0.000;30.87;-173.081;-106.437;54.6
101.838;7;C2B;Visual;-215.733;-267.424;10.24;0.089;0.520;0.000;30.03;-170.316;-106.961;53.7
101.888;7;C2B;Visual;-215.586;-266.933;10.27;0.089;0.510;0.000;29.20;-167.425;-107.569;52.8
101.940;7;C2B;Visual;-215.423;-266.423;10.29;0.089;0.510;0.000;28.26;-163.947;-108.380;51.7
101.990;7;C2B;Visual;-215.258;-265.934;10.34;0.089;0.510;0.000;27.51;-161.048;-109.125;50.7
102.040;7;C2B;Visual;-215.082;-265.447;10.36;0.089;0.510;0.000;26.79;-158.151;-109.933;49.8
