Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
155.698;11;T7B;Control;-212.789;-261.012;0.33;0.000;0.530;0.000;1156.33;-138.877;-165.940;45.2
155.750;11;T7B;Control;-212.779;-260.999;0.41;0.000;0.530;0.000;756.39;-120.999;-142.944;45.2
155.800;11;T7B;Control;-212.766;-260.982;0.50;0.000;0.530;0.000;577.13;-112.271;-131.716;45.2
155.850;11;T7B;Control;-212.749;-260.960;0.61;0.000;0.530;0.000;435.64;-107.851;-126.031;45.2
155.900;11;T7B;Control;-212.728;-260.933;0.72;0.000;0.520;0.000;358.11;-107.083;-125.044;45.2
155.950;11;T7B;Control;-212.704;-260.902;0.83;0.000;0.520;0.000;306.74;-107.072;-125.029;45.2
156.002;11;T7B;Control;-212.675;-260.865;0.95;0.000;0.520;0.000;271.17;-107.155;-125.134;45.2
156.054;11;T7B;Control;-212.643;-260.824;1.07;0.000;0.520;0.000;240.95;-107.228;-125.226;45.2
156.104;11;T7B;Control;-212.608;-260.779;1.18;0.000;0.520;0.000;216.89;-107.291;-125.306;45.2
156.154;11;T7B;Control;-212.570;-260.730;1.29;0.000;0.520;0.000;193.76;-107.384;-125.424;45.3
156.204;11;T7B;Control;-212.529;-260.677;1.40;0.000;0.530;0.000;177.93;-107.475;-125.540;45.3
156.254;11;T7B;Control;-212.484;-260.619;1.51;0.000;0.530;0.000;164.33;-107.579;-125.672;45.3
156.306;11;T7B;Control;-212.434;-260.554;1.63;0.000;0.560;0.000;152.54;-107.687;-125.811;45.3
156.358;11;T7B;Control;-212.379;-260.485;1.77;0.000;0.560;0.000;142.33;-107.791;-125.944;45.3
156.408;11;T7B;Control;-212.324;-260.413;1.88;0.000;0.620;0.000;132.51;-107.897;-126.081;45.3
156.458;11;T7B;Control;-212.264;-260.336;2.01;0.000;0.620;0.000;123.96;-107.998;-126.210;45.3
156.508;11;T7B;Control;-212.200;-260.254;2.14;0.000;0.660;0.000;116.46;-108.100;-126.341;45.3
156.558;11;T7B;Control;-212.132;-260.167;2.27;0.000;0.660;0.000;109.15;-108.198;-126.467;45.4
156.610;11;T7B;Control;-212.057;-260.070;2.40;0.000;0.710;0.000;101.41;-108.321;-126.626;45.4
156.660;11;T7B;Control;-211.980;-259.972;2.57;0.000;0.710;0.000;95.43;-108.417;-126.749;45.4
156.710;11;T7B;Control;-211.899;-259.867;2.72;0.000;0.770;0.000;90.03;-108.516;-126.877;45.4
156.760;11;T7B;Control;-211.813;-259.756;2.88;0.000;0.770;0.000;85.09;-108.610;-126.999;45.5
156.810;11;T7B;Control;-211.722;-259.639;3.04;0.000;0.770;0.000;80.35;-108.708;-127.125;45.5
156.862;11;T7B;Control;-211.622;-259.511;3.19;0.000;0.770;0.000;76.12;-108.805;-127.249;45.5
