Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
204.020;14;T7D;Audio;144.210;-239.576;0.15;-0.022;0.460;1.000;21337.42;134.021;-239.592;-1.2
204.070;14;T7D;Audio;144.210;-239.576;0.09;-0.022;0.460;1.000;19209.65;144.210;-239.576;-1.2
204.120;14;T7D;Audio;144.211;-239.576;0.04;-0.022;0.370;0.600;18005.21;144.211;-239.576;-1.3
204.170;14;T7D;Audio;144.211;-239.576;0.01;-0.022;0.370;0.600;17666.83;144.211;-239.576;-1.3
204.220;14;T7D;Audio;144.211;-239.576;0.02;-0.022;0.340;0.070;27703.26;144.211;-239.576;-1.2
204.272;14;T7D;Audio;144.211;-239.576;0.03;-0.022;0.340;0.070;174468.20;144.211;-239.576;-1.2
204.322;14;T7D;Audio;144.211;-239.576;0.04;-0.022;0.300;0.000;16012.23;144.211;-239.576;-1.2
204.372;14;T7D;Audio;144.207;-239.576;0.11;-0.022;0.300;0.000;2041.65;144.208;-239.576;-1.3
204.422;14;T7D;Audio;144.200;-239.576;0.17;-0.022;0.310;0.000;1084.52;-25.183;-240.859;-1.4
204.472;14;T7D;Audio;144.190;-239.576;0.24;-0.022;0.310;0.000;820.48;-25.416;-240.941;-1.4
204.524;14;T7D;Audio;144.175;-239.576;0.31;-0.022;0.350;0.000;602.33;-25.260;-240.993;-1.4
204.576;14;T7D;Audio;144.156;-239.576;0.40;-0.022;0.350;0.000;467.43;-25.037;-241.042;-1.5
204.626;14;T7D;Audio;144.134;-239.576;0.47;-0.022;0.260;0.000;378.05;-24.807;-241.114;-1.5
204.676;14;T7D;Audio;144.110;-239.577;0.52;-0.022;0.260;0.000;336.44;-24.606;-241.183;-1.5
204.726;14;T7D;Audio;144.082;-239.577;0.56;-0.022;0.030;0.000;307.21;-24.399;-241.268;-1.5
204.776;14;T7D;Audio;144.055;-239.577;0.53;-0.022;0.030;0.000;308.29;-24.248;-241.349;-1.5
204.828;14;T7D;Audio;144.027;-239.578;0.53;-0.022;0.040;0.000;309.94;-24.034;-241.417;-1.4
204.878;14;T7D;Audio;144.001;-239.578;0.53;-0.022;0.040;0.000;311.58;-23.829;-241.475;-1.3
204.928;14;T7D;Audio;143.974;-239.579;0.56;-0.022;0.380;0.000;301.84;-23.617;-241.491;-1.2
204.978;14;T7D;Audio;143.943;-239.579;0.66;-0.022;0.380;0.000;259.80;-23.407;-241.502;-1.2
205.028;14;T7D;Audio;143.907;-239.579;0.76;-0.022;0.560;0.000;225.66;-23.196;-241.555;-1.2
205.080;14;T7D;Audio;143.864;-239.580;0.91;-0.022;0.560;0.000;192.36;-22.987;-241.619;-1.3
205.132;14;T7D;Audio;143.813;-239.580;1.04;-0.022;0.600;0.000;167.33;-22.774;-241.706;-1.4
205.182;14;T7D;Audio;143.757;-239.581;1.17;-0.022;0.600;0.000;150.65;-22.609;-241.785;-1.4
205.232;14;T7D;Audio;143.695;-239.582;1.31;-0.022;0.690;0.000;134.19;-22.404;-241.891;-1.5
205.282;14;T7D;Audio;143.626;-239.583;1.46;-0.022;0.690;0.000;119.13;-22.196;-242.012;-1.5
205.332;14;T7D;Audio;143.549;-239.584;1.60;-0.022;0.700;0.000;107.51;-21.990;-242.146;-1.6
205.384;14;T7D;Audio;143.461;-239.586;1.77;-0.022;0.700;0.000;97.19;-21.778;-242.303;-1.6
205.434;14;T7D;Audio;143.369;-239.587;1.91;-0.022;0.730;0.000;88.90;-21.563;-242.466;-1.6
205.484;14;T7D;Audio;143.269;-239.589;2.07;-0.022;0.730;0.000;83.27;-21.403;-242.600;-1.6
205.534;14;T7D;Audio;143.161;-239.591;2.21;-0.022;0.790;0.000;76.94;-21.187;-242.786;-1.6
205.584;14;T7D;Audio;143.045;-239.594;2.39;-0.022;0.790;0.000;71.08;-20.975;-242.984;-1.6
205.636;14;T7D;Audio;142.916;-239.597;2.57;-0.022;0.830;0.000;65.64;-20.753;-243.213;1.7
205.688;14;T7D;Audio;142.778;-239.600;2.74;-0.022;0.830;0.000;60.96;-20.532;-243.447;1.7
205.738;14;T7D;Audio;142.635;-239.603;2.92;-0.022;0.840;0.000;57.91;-20.364;-243.631;1.7
205.788;14;T7D;Audio;142.485;-239.607;3.09;-0.022;0.840;0.000;54.21;-20.145;-243.893;1.8
