Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
0.148;1;L2A;Multimodal;-245.289;-79.579;0.21;0.022;0.000;0.000;Infinity;0.000;0.000;0.0
0.198;1;L2A;Multimodal;-245.289;-79.579;0.16;0.022;0.000;0.000;Infinity;0.000;0.000;0.0
0.250;1;L2A;Multimodal;-245.290;-79.579;0.10;0.022;0.000;0.000;Infinity;0.000;0.000;0.0
0.300;1;L2A;Multimodal;-245.290;-79.579;0.05;0.022;0.000;0.000;Infinity;0.000;0.000;0.0
0.350;1;L2A;Multimodal;-245.290;-79.579;0.01;0.022;0.000;0.000;Infinity;0.000;0.000;0.0
0.402;1;L2A;Multimodal;-245.290;-79.579;0.02;0.022;0.000;0.000;Infinity;0.000;0.000;0.0
0.452;1;L2A;Multimodal;-245.290;-79.579;0.03;0.022;0.000;0.000;Infinity;0.000;0.000;0.0
0.502;1;L2A;Multimodal;-245.291;-79.579;0.03;0.022;0.000;0.000;Infinity;0.000;0.000;0.0
0.552;1;L2A;Multimodal;-245.291;-79.579;0.03;0.022;0.090;0.000;Infinity;0.000;0.000;0.0
0.602;1;L2A;Multimodal;-245.289;-79.579;0.04;0.022;0.090;0.000;Infinity;0.000;0.000;0.0
0.654;1;L2A;Multimodal;-245.286;-79.579;0.10;0.022;0.280;0.000;Infinity;0.000;0.000;0.0
0.704;1;L2A;Multimodal;-245.279;-79.579;0.17;0.022;0.280;0.000;Infinity;0.000;0.000;0.0
0.756;1;L2A;Multimodal;-245.267;-79.579;0.28;0.022;0.500;0.000;Infinity;0.000;0.000;0.0
0.806;1;L2A;Multimodal;-245.250;-79.579;0.40;0.022;0.500;0.000;Infinity;0.000;0.000;0.0
0.856;1;L2A;Multimodal;-245.226;-79.579;0.53;0.022;0.620;0.000;Infinity;0.000;0.000;0.0
0.908;1;L2A;Multimodal;-245.194;-79.579;0.69;0.022;0.620;0.000;Infinity;0.000;0.000;0.0
0.958;1;L2A;Multimodal;-245.156;-79.580;0.82;0.022;0.650;0.000;Infinity;0.000;0.000;0.0
1.010;1;L2A;Multimodal;-245.109;-79.580;0.97;0.022;0.650;0.000;Infinity;0.000;0.000;0.0
1.060;1;L2A;Multimodal;-245.056;-79.580;1.12;0.022;0.670;0.000;Infinity;0.000;0.000;0.0
1.112;1;L2A;Multimodal;-244.993;-79.581;1.27;0.022;0.670;0.000;Infinity;0.000;0.000;0.0
1.164;1;L2A;Multimodal;-244.923;-79.582;1.42;0.022;0.670;0.000;Infinity;0.000;0.000;0.0
1.214;1;L2A;Multimodal;-244.848;-79.583;1.56;0.022;0.670;0.000;Infinity;0.000;0.000;0.0
1.266;1;L2A;Multimodal;-244.762;-79.584;1.73;0.022;0.730;0.000;Infinity;0.000;0.000;0.0
1.316;1;L2A;Multimodal;-244.671;-79.585;1.88;0.022;0.730;0.000;Infinity;0.000;0.000;0.0
1.368;1;L2A;Multimodal;-244.569;-79.587;2.05;0.022;0.810;0.000;Infinity;0.000;0.000;0.0
1.418;1;L2A;Multimodal;-244.461;-79.588;2.24;0.022;0.810;0.000;Infinity;0.000;0.000;0.0
1.470;1;L2A;Multimodal;-244.340;-79.591;2.41;0.022;0.830;0.000;Infinity;0.000;0.000;0.0
1.520;1;L2A;Multimodal;-244.215;-79.593;2.59;0.022;0.830;0.000;Infinity;0.000;0.000;0.0
1.572;1;L2A;Multimodal;-244.076;-79.595;2.75;0.000;0.820;0.000;Infinity;0.000;0.000;0.0
1.622;1;L2A;Multimodal;-243.933;-79.598;2.93;0.000;0.820;0.000;Infinity;0.000;0.000;0.0
1.674;1;L2A;Multimodal;-243.776;-79.600;3.11;0.000;0.840;0.000;Infinity;0.000;0.000;0.0
1.724;1;L2A;Multimodal;-243.616;-79.603;3.27;0.000;0.840;0.000;Infinity;0.000;0.000;0.0
1.776;1;L2A;Multimodal;-243.440;-79.605;3.46;0.000;0.900;0.000;Infinity;0.000;0.000;0.0
1.828;1;L2A;Multimodal;-243.254;-79.608;3.65;0.000;0.900;0.000;Infinity;0.000;0.000;0.0
1.878;1;L2A;Multimodal;-243.066;-79.610;3.85;0.000;0.960;0.000;Infinity;0.000;0.000;0.0
1.930;1;L2A;Multimodal;-242.860;-79.613;4.06;0.000;0.960;0.000;Infinity;0.000;0.000;0.0
