Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
29.134;3;L2C;Visual;32.711;-379.829;0.22;0.022;0.010;0.000;0.43;-118.391;-79.665;19.1
29.184;3;L2C;Visual;32.711;-379.829;0.18;0.022;0.010;0.000;0.43;-118.391;-79.665;19.1
29.236;3;L2C;Visual;32.710;-379.829;0.12;0.022;0.000;0.000;0.43;-118.391;-79.665;19.1
29.288;3;L2C;Visual;32.710;-379.829;0.06;0.022;0.000;0.000;0.43;-118.391;-79.665;19.1
29.340;3;L2C;Visual;32.710;-379.829;0.01;0.022;0.000;0.000;0.43;-118.391;-79.665;19.1
29.392;3;L2C;Visual;32.710;-379.829;0.02;0.022;0.000;0.000;0.43;-118.391;-79.665;19.1
29.444;3;L2C;Visual;32.710;-379.829;0.03;0.022;0.000;0.000;0.43;-118.391;-79.665;19.1
29.496;3;L2C;Visual;32.710;-379.829;0.03;0.022;0.000;0.000;0.43;-118.391;-79.665;19.1
29.548;3;L2C;Visual;32.710;-379.829;0.02;0.022;0.000;0.000;0.43;-118.391;-79.665;19.1
29.600;3;L2C;Visual;32.710;-379.829;0.01;0.022;0.000;0.000;0.43;-118.391;-79.665;19.1
29.652;3;L2C;Visual;32.710;-379.829;0.01;0.022;0.000;0.000;0.43;-118.391;-79.665;19.1
29.704;3;L2C;Visual;32.709;-379.829;0.00;0.022;0.000;0.000;0.43;-118.391;-79.665;19.1
29.754;3;L2C;Visual;32.709;-379.829;0.00;0.000;0.000;0.000;0.43;-118.391;-79.665;19.1
29.806;3;L2C;Visual;32.709;-379.829;0.00;0.000;0.000;0.000;0.43;-118.391;-79.665;19.1
29.858;3;L2C;Visual;32.709;-379.829;0.00;0.000;0.000;0.000;0.43;-118.391;-79.665;19.1
29.910;3;L2C;Visual;32.709;-379.829;0.00;0.000;0.000;0.000;0.43;-118.391;-79.665;19.1
29.962;3;L2C;Visual;32.709;-379.829;0.00;0.000;0.010;0.000;0.43;-118.391;-79.665;19.1
30.014;3;L2C;Visual;32.709;-379.829;0.00;0.000;0.010;0.000;0.43;-118.391;-79.665;19.1
30.066;3;L2C;Visual;32.709;-379.829;0.00;0.000;0.040;0.000;0.43;-118.391;-79.665;19.1
