Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
164.876;10;T7D;Control;144.210;-239.576;0.22;-0.022;0.000;0.000;33198.26;139.242;-239.597;-1.2
164.926;10;T7D;Control;144.210;-239.576;0.18;-0.044;0.000;0.000;24223.78;136.710;-239.595;-1.2
164.976;10;T7D;Control;144.210;-239.576;0.12;-0.044;0.000;0.000;20501.65;132.374;-239.600;-1.2
165.028;10;T7D;Control;144.211;-239.576;0.06;-0.044;0.000;0.000;18517.15;144.211;-239.576;-1.3
165.080;10;T7D;Control;144.211;-239.576;0.02;-0.044;0.000;0.000;17818.18;144.211;-239.576;-1.3
165.130;10;T7D;Control;144.211;-239.576;0.02;-0.044;0.000;0.000;17612.46;144.211;-239.576;-1.3
165.180;10;T7D;Control;144.211;-239.576;0.03;-0.044;0.000;0.000;17660.77;144.211;-239.576;-1.3
165.230;10;T7D;Control;144.211;-239.576;0.03;-0.022;0.140;0.000;17802.86;144.211;-239.576;-1.3
165.280;10;T7D;Control;144.210;-239.576;0.05;-0.022;0.140;0.000;4970.63;144.211;-239.576;-1.2
165.332;10;T7D;Control;144.207;-239.576;0.08;-0.022;0.140;0.000;2565.75;144.208;-239.576;-1.3
165.382;10;T7D;Control;144.198;-239.576;0.30;-0.044;0.800;0.000;805.97;-25.732;-241.534;-1.2
165.432;10;T7D;Control;144.178;-239.576;0.49;-0.044;0.800;0.000;419.76;-25.625;-242.055;-1.3
165.482;10;T7D;Control;144.147;-239.577;0.72;-0.022;1.000;0.000;275.18;-25.412;-241.356;-1.5
165.532;10;T7D;Control;144.105;-239.577;0.94;-0.022;1.000;0.000;199.80;-25.209;-241.173;-1.7
165.584;10;T7D;Control;144.050;-239.578;1.17;-0.044;1.000;0.000;156.95;-24.993;-241.994;-1.8
165.636;10;T7D;Control;143.982;-239.579;1.40;-0.044;1.000;0.000;128.44;-24.776;-242.520;-1.9
165.686;10;T7D;Control;143.906;-239.580;1.62;-0.044;1.000;0.000;109.36;-24.565;-242.869;-1.9
165.736;10;T7D;Control;143.819;-239.582;1.83;-0.022;1.000;0.000;95.73;-24.359;-243.186;-2.0
165.786;10;T7D;Control;143.722;-239.584;2.05;-0.022;1.000;0.000;85.51;-24.172;-242.812;-2.0
165.836;10;T7D;Control;143.613;-239.586;2.26;-0.022;1.000;0.000;76.68;-23.972;-242.748;-2.0
