Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
261.644;15;T7A;Visual;-282.070;-285.100;0.22;0.067;0.000;0.000;34707.29;-282.022;-280.296;-1.1
261.696;15;T7A;Visual;-282.070;-285.101;0.18;0.067;0.000;0.000;24581.03;-282.022;-277.704;-1.2
261.748;15;T7A;Visual;-282.070;-285.100;0.12;0.067;0.000;0.000;20486.70;-282.036;-272.933;-1.2
261.800;15;T7A;Visual;-282.070;-285.100;0.06;0.067;0.000;0.000;19056.93;-282.070;-285.100;-1.2
261.852;15;T7A;Visual;-282.070;-285.100;0.02;0.067;0.000;0.000;17886.16;-282.070;-285.100;-1.3
261.904;15;T7A;Visual;-282.070;-285.100;0.01;0.067;0.000;0.000;17703.93;-282.070;-285.100;-1.3
261.956;15;T7A;Visual;-282.070;-285.100;0.03;0.067;0.000;0.000;17737.55;-282.070;-285.100;-1.3
262.008;15;T7A;Visual;-282.070;-285.100;0.03;0.067;0.000;0.000;17867.49;-282.070;-285.100;-1.3
262.060;15;T7A;Visual;-282.070;-285.099;0.02;0.067;0.000;0.000;18036.45;-282.070;-285.099;-1.3
262.110;15;T7A;Visual;-282.070;-285.099;0.02;0.067;0.000;0.000;18116.93;-282.070;-285.099;-1.3
262.162;15;T7A;Visual;-282.070;-285.099;0.01;0.044;0.000;0.000;18148.38;-282.070;-285.099;-1.3
262.214;15;T7A;Visual;-282.070;-285.099;0.00;0.044;0.000;0.000;18130.48;-282.070;-285.099;-1.3
262.266;15;T7A;Visual;-282.070;-285.099;0.00;0.044;0.000;0.000;18089.39;-282.070;-285.099;-1.3
262.318;15;T7A;Visual;-282.070;-285.099;0.00;0.044;0.000;0.000;18038.54;-282.070;-285.099;-1.3
262.370;15;T7A;Visual;-282.070;-285.098;0.05;0.044;0.140;0.000;4431.37;-282.070;-285.098;-1.3
262.422;15;T7A;Visual;-282.070;-285.095;0.09;0.044;0.720;0.000;2461.54;-282.070;-285.095;-1.3
262.474;15;T7A;Visual;-282.070;-285.084;0.31;0.044;0.720;0.000;727.53;-279.915;-115.554;-1.3
262.524;15;T7A;Visual;-282.070;-285.064;0.47;0.044;0.980;0.000;423.68;-279.564;-115.749;-1.4
262.576;15;T7A;Visual;-282.069;-285.033;0.72;0.044;0.980;0.000;273.04;-279.480;-115.947;-1.6
262.628;15;T7A;Visual;-282.069;-284.989;0.95;0.044;1.000;0.000;195.61;-279.282;-116.168;-1.8
262.680;15;T7A;Visual;-282.068;-284.933;1.19;0.044;1.000;0.000;155.56;-279.092;-116.367;-2.0
262.732;15;T7A;Visual;-282.067;-284.865;1.42;0.022;1.000;0.000;129.18;-278.872;-116.574;-2.2
262.784;15;T7A;Visual;-282.065;-284.785;1.62;0.022;1.000;0.000;110.49;-279.413;-116.759;-2.3
262.836;15;T7A;Visual;-282.063;-284.694;1.86;0.022;1.000;0.000;97.04;-279.516;-116.955;-2.4
262.886;15;T7A;Visual;-282.062;-284.595;2.06;0.022;1.000;0.000;86.15;-279.459;-117.155;-2.4
262.938;15;T7A;Visual;-282.060;-284.481;2.29;0.022;1.000;0.000;75.66;-279.289;-117.402;-2.5
262.990;15;T7A;Visual;-282.057;-284.356;2.50;0.022;1.000;0.000;69.15;-279.118;-117.599;-2.6
263.042;15;T7A;Visual;-282.055;-284.219;2.75;0.022;1.000;0.000;63.47;-278.915;-117.799;-2.6
263.094;15;T7A;Visual;-282.052;-284.070;2.96;0.022;1.000;0.000;58.84;-278.703;-117.996;-2.7
263.146;15;T7A;Visual;-282.049;-283.910;3.17;0.022;1.000;0.000;53.64;-278.395;-118.251;-2.8
263.198;15;T7A;Visual;-282.044;-283.738;3.39;0.022;1.000;0.000;50.31;-278.148;-118.453;-2.9
263.248;15;T7A;Visual;-282.040;-283.563;3.59;0.022;1.000;0.000;47.25;-277.876;-118.660;-3.0
263.300;15;T7A;Visual;-282.035;-283.370;3.79;0.022;1.000;0.000;44.55;-277.590;-118.865;-3.1
263.352;15;T7A;Visual;-282.029;-283.167;4.00;0.022;1.000;0.000;42.14;-277.291;-119.072;-3.2
263.404;15;T7A;Visual;-282.023;-282.953;4.21;0.022;1.000;0.000;39.57;-276.915;-119.327;-3.3
263.456;15;T7A;Visual;-282.015;-282.728;4.43;0.022;1.000;0.000;37.67;-276.588;-119.533;-3.4
263.508;15;T7A;Visual;-282.007;-282.492;4.64;0.022;1.000;0.000;36.00;-276.264;-119.740;-3.5
263.560;15;T7A;Visual;-281.998;-282.245;4.83;0.022;1.000;0.000;34.35;-275.902;-119.955;-3.7
263.610;15;T7A;Visual;-281.988;-281.999;5.02;0.022;1.000;0.000;32.90;-275.542;-120.173;-3.8
263.662;15;T7A;Visual;-281.977;-281.732;5.22;-0.022;1.000;0.000;31.58;-275.357;-120.380;-3.9
263.714;15;T7A;Visual;-281.966;-281.454;5.42;-0.022;1.000;0.000;30.34;-275.720;-120.565;-3.8
263.766;15;T7A;Visual;-281.955;-281.166;5.63;-0.022;1.000;0.000;29.15;-276.117;-120.753;-3.7
263.818;15;T7A;Visual;-281.945;-280.867;5.82;-0.022;1.000;0.000;27.89;-276.600;-120.980;-3.5
263.870;15;T7A;Visual;-281.936;-280.559;6.01;-0.022;1.000;0.000;26.91;-277.020;-121.167;-3.4
263.922;15;T7A;Visual;-281.926;-280.240;6.21;-0.022;1.000;0.000;26.00;-277.452;-121.353;-3.2
263.974;15;T7A;Visual;-281.918;-279.912;6.41;-0.044;1.000;0.000;25.05;-278.140;-121.555;-3.0
264.024;15;T7A;Visual;-281.912;-279.586;6.61;-0.044;1.000;0.000;24.22;-278.971;-121.742;-2.8
264.076;15;T7A;Visual;-281.906;-279.237;6.79;-0.044;1.000;0.000;23.48;-279.821;-121.929;-2.5
264.128;15;T7A;Visual;-281.903;-278.878;6.97;-0.044;1.000;0.000;22.80;-280.673;-122.118;-2.3
264.180;15;T7A;Visual;-281.902;-278.510;7.16;-0.044;1.000;0.000;22.14;-281.588;-122.313;-2.1
264.232;15;T7A;Visual;-281.903;-278.132;7.35;-0.044;1.000;0.000;21.51;-282.527;-122.512;-2.0
264.284;15;T7A;Visual;-281.907;-277.744;7.52;-0.022;1.000;0.000;20.80;-283.478;-122.759;2.0
264.336;15;T7A;Visual;-281.912;-277.347;7.72;-0.022;1.000;0.000;20.24;-284.131;-122.966;2.0
264.386;15;T7A;Visual;-281.919;-276.957;7.89;-0.022;1.000;0.000;19.70;-284.740;-123.173;2.0
264.438;15;T7A;Visual;-281.928;-276.541;8.09;-0.022;1.000;0.000;19.20;-285.317;-123.382;2.1
264.490;15;T7A;Visual;-281.938;-276.115;8.27;0.000;1.000;0.000;18.77;-285.656;-123.570;2.1
264.542;15;T7A;Visual;-281.949;-275.680;8.46;0.000;1.000;0.000;18.20;-285.970;-123.825;2.1
264.594;15;T7A;Visual;-281.961;-275.236;8.61;0.000;1.000;0.000;17.74;-286.151;-124.041;2.1
264.646;15;T7A;Visual;-281.974;-274.783;8.79;0.000;1.000;0.000;17.37;-286.261;-124.213;2.1
264.698;15;T7A;Visual;-281.987;-274.321;8.96;0.000;1.000;0.000;16.87;-286.369;-124.464;2.1
264.748;15;T7A;Visual;-282.001;-273.868;9.13;0.000;1.000;0.000;16.51;-286.424;-124.650;2.1
264.800;15;T7A;Visual;-282.015;-273.389;9.31;0.000;1.000;0.000;16.08;-286.471;-124.887;2.1
264.852;15;T7A;Visual;-282.030;-272.900;9.48;0.000;1.000;0.000;15.78;-286.495;-125.052;2.1
264.904;15;T7A;Visual;-282.046;-272.401;9.66;0.000;1.000;0.000;15.37;-286.518;-125.296;2.0
264.956;15;T7A;Visual;-282.061;-271.894;9.85;0.000;1.000;0.000;15.04;-286.529;-125.492;2.0
265.008;15;T7A;Visual;-282.077;-271.377;10.01;0.000;1.000;0.000;14.72;-286.536;-125.692;2.0
265.060;15;T7A;Visual;-282.092;-270.853;10.17;0.000;1.000;0.000;14.42;-286.540;-125.892;2.0
265.110;15;T7A;Visual;-282.108;-270.341;10.32;0.000;1.000;0.000;14.13;-286.540;-126.087;2.0
265.162;15;T7A;Visual;-282.125;-269.799;10.49;0.000;1.000;0.000;13.82;-286.539;-126.299;2.0
265.214;15;T7A;Visual;-282.141;-269.250;10.66;0.000;1.000;0.000;13.55;-286.537;-126.501;2.0
265.266;15;T7A;Visual;-282.158;-268.691;10.84;0.000;1.000;0.000;13.23;-286.532;-126.740;2.0
265.318;15;T7A;Visual;-282.176;-268.123;10.99;0.000;1.000;0.000;12.98;-286.528;-126.935;2.0
265.370;15;T7A;Visual;-282.193;-267.547;11.16;0.000;1.000;0.000;12.73;-286.523;-127.133;2.0
265.422;15;T7A;Visual;-282.211;-266.963;11.30;0.000;1.000;0.000;12.44;-286.517;-127.369;2.0
265.474;15;T7A;Visual;-282.230;-266.371;11.46;0.000;1.000;0.000;12.22;-286.512;-127.560;2.0
265.524;15;T7A;Visual;-282.247;-265.794;11.62;0.000;1.000;0.000;12.01;-286.507;-127.742;2.0
265.576;15;T7A;Visual;-282.266;-265.186;11.77;0.000;1.000;0.000;11.73;-286.500;-127.985;2.0
265.628;15;T7A;Visual;-282.285;-264.570;11.92;0.000;1.000;0.000;11.53;-286.495;-128.177;2.0
265.680;15;T7A;Visual;-282.304;-263.945;12.09;0.000;1.000;0.000;11.33;-286.489;-128.366;2.0
265.732;15;T7A;Visual;-282.323;-263.312;12.26;0.000;1.000;0.000;11.09;-286.482;-128.603;2.0
265.784;15;T7A;Visual;-282.343;-262.670;12.41;0.000;1.000;0.000;10.90;-286.476;-128.797;2.0
265.836;15;T7A;Visual;-282.363;-262.022;12.53;0.000;1.000;0.000;10.71;-286.470;-128.983;2.0
265.886;15;T7A;Visual;-282.382;-261.391;12.69;0.000;1.000;0.000;10.48;-286.463;-129.226;2.0
265.938;15;T7A;Visual;-282.403;-260.727;12.84;0.000;1.000;0.000;10.31;-286.457;-129.419;2.0
265.990;15;T7A;Visual;-282.423;-260.056;12.99;0.000;0.940;0.000;10.14;-286.452;-129.603;2.0
266.042;15;T7A;Visual;-282.444;-259.377;13.11;0.000;0.940;0.000;9.94;-286.444;-129.844;2.0
266.094;15;T7A;Visual;-282.465;-258.692;13.21;0.000;0.380;0.000;9.80;-286.438;-130.033;2.1
266.146;15;T7A;Visual;-282.487;-258.007;13.17;0.000;0.380;0.000;9.74;-286.433;-130.224;2.1
266.198;15;T7A;Visual;-282.508;-257.323;13.11;0.000;0.000;0.000;9.68;-286.427;-130.458;1.9
266.248;15;T7A;Visual;-282.528;-256.671;13.01;0.000;0.000;0.000;9.68;-286.421;-130.643;1.7
266.300;15;T7A;Visual;-282.549;-255.997;12.93;0.000;0.000;0.000;9.68;-286.414;-130.872;1.4
266.352;15;T7A;Visual;-282.569;-255.328;12.84;0.000;0.000;0.000;9.67;-286.408;-131.060;1.3
266.404;15;T7A;Visual;-282.590;-254.663;12.76;0.022;0.070;0.000;9.66;-286.323;-131.290;1.1
266.456;15;T7A;Visual;-282.609;-254.001;12.70;0.022;0.070;0.000;9.65;-286.180;-131.470;1.0
266.508;15;T7A;Visual;-282.627;-253.342;12.68;0.022;0.300;0.000;9.62;-285.967;-131.658;-0.9
266.560;15;T7A;Visual;-282.644;-252.684;12.66;0.022;0.300;0.000;9.56;-285.633;-131.874;-1.0
266.610;15;T7A;Visual;-282.658;-252.051;12.64;0.022;0.280;0.000;9.50;-285.285;-132.058;-1.3
266.662;15;T7A;Visual;-282.671;-251.394;12.62;0.022;0.280;0.000;9.45;-284.878;-132.243;-1.6
266.714;15;T7A;Visual;-282.681;-250.738;12.61;0.022;0.280;0.000;9.39;-284.359;-132.473;-1.9
266.766;15;T7A;Visual;-282.688;-250.083;12.59;0.022;0.280;0.000;9.34;-283.881;-132.663;-2.2
