Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
16.960;2;T7A;Control;-282.070;-285.100;0.14;0.000;0.000;1.000;20682.72;-282.071;-273.457;-1.2
17.012;2;T7A;Control;-282.070;-285.100;0.08;-0.067;0.000;0.720;19039.79;-282.070;-285.100;-1.2
17.064;2;T7A;Control;-282.070;-285.100;0.02;-0.067;0.000;0.720;17974.85;-282.070;-285.100;-1.3
17.116;2;T7A;Control;-282.070;-285.100;0.01;-0.133;0.000;0.230;17714.35;-282.070;-285.100;-1.3
17.168;2;T7A;Control;-282.070;-285.100;0.03;-0.133;0.000;0.230;17693.93;-282.070;-285.100;-1.3
17.220;2;T7A;Control;-282.070;-285.100;0.03;-0.200;0.000;0.110;17807.35;-282.070;-285.100;-1.3
17.272;2;T7A;Control;-282.070;-285.099;0.03;-0.200;0.000;0.110;17963.39;-282.070;-285.099;-1.3
17.324;2;T7A;Control;-282.070;-285.099;0.02;-0.200;0.000;0.030;18051.26;-282.070;-285.099;-1.3
17.376;2;T7A;Control;-282.070;-285.099;0.01;-0.200;0.000;0.030;18092.14;-282.070;-285.099;-1.3
17.428;2;T7A;Control;-282.070;-285.099;0.00;-0.222;0.000;0.000;18073.97;-282.070;-285.099;-1.3
17.480;2;T7A;Control;-282.070;-285.099;0.00;-0.222;0.000;0.000;18042.70;-282.070;-285.099;-1.3
17.532;2;T7A;Control;-282.070;-285.099;0.00;-0.222;0.000;0.000;17993.10;-282.070;-285.099;-1.3
17.584;2;T7A;Control;-282.070;-285.099;0.00;-0.222;0.000;0.000;17924.29;-282.070;-285.099;-1.3
17.636;2;T7A;Control;-282.070;-285.099;0.00;-0.156;0.000;0.000;17881.30;-282.070;-285.099;-1.3
17.688;2;T7A;Control;-282.070;-285.099;0.00;-0.156;0.000;0.000;17844.35;-282.070;-285.099;-1.3
17.740;2;T7A;Control;-282.070;-285.099;0.00;-0.111;0.000;0.000;17823.99;-282.070;-285.099;-1.3
17.792;2;T7A;Control;-282.070;-285.099;0.00;-0.111;0.000;0.000;17799.22;-282.070;-285.099;-1.3
17.844;2;T7A;Control;-282.070;-285.099;0.00;-0.044;0.000;0.000;17774.29;-282.070;-285.099;-1.3
17.896;2;T7A;Control;-282.070;-285.099;0.00;-0.044;0.000;0.000;17764.66;-282.070;-285.099;-1.3
17.946;2;T7A;Control;-282.070;-285.099;0.00;-0.022;0.000;0.000;17746.06;-282.070;-285.099;-1.3
17.998;2;T7A;Control;-282.070;-285.099;0.00;-0.022;0.000;0.000;17733.68;-282.070;-285.099;-1.3
18.050;2;T7A;Control;-282.070;-285.098;0.03;-0.022;0.160;0.000;5089.74;-282.070;-285.098;-1.3
18.102;2;T7A;Control;-282.070;-285.095;0.08;-0.022;0.160;0.000;2549.84;-282.070;-285.096;-1.3
18.154;2;T7A;Control;-282.070;-285.089;0.17;-0.022;0.380;0.000;1224.97;-283.163;-117.659;-1.3
18.206;2;T7A;Control;-282.070;-285.078;0.26;-0.022;0.380;0.000;787.19;-283.307;-117.851;-1.4
18.258;2;T7A;Control;-282.070;-285.061;0.37;-0.022;0.420;0.000;502.85;-283.384;-118.109;-1.5
18.310;2;T7A;Control;-282.070;-285.040;0.46;-0.022;0.420;0.000;397.16;-283.448;-118.297;-1.5
18.362;2;T7A;Control;-282.070;-285.013;0.55;-0.044;0.410;0.000;329.97;-284.284;-118.490;-1.5
18.414;2;T7A;Control;-282.071;-284.982;0.64;-0.044;0.410;0.000;271.50;-284.854;-118.740;-1.6
18.466;2;T7A;Control;-282.072;-284.946;0.73;-0.044;0.400;0.000;236.04;-285.074;-118.946;-1.5
18.518;2;T7A;Control;-282.073;-284.905;0.82;-0.067;0.410;0.000;209.06;-285.252;-119.158;-1.5
18.570;2;T7A;Control;-282.074;-284.859;0.92;-0.067;0.410;0.000;187.22;-286.391;-119.391;-1.5
18.622;2;T7A;Control;-282.075;-284.809;1.01;-0.067;0.410;0.000;172.05;-286.865;-119.580;-1.4
18.674;2;T7A;Control;-282.077;-284.754;1.10;-0.067;0.390;0.000;155.09;-287.350;-119.843;-1.4
18.726;2;T7A;Control;-282.079;-284.695;1.18;-0.067;0.350;0.000;144.67;-287.674;-120.038;-1.4
18.778;2;T7A;Control;-282.081;-284.632;1.24;-0.067;0.350;0.000;136.52;-288.017;-120.237;-1.4
18.830;2;T7A;Control;-282.084;-284.566;1.31;-0.067;0.350;0.000;126.63;-288.500;-120.510;1.3
18.882;2;T7A;Control;-282.087;-284.495;1.39;-0.067;0.350;0.000;119.88;-288.894;-120.722;1.3
18.932;2;T7A;Control;-282.090;-284.424;1.45;-0.067;0.350;0.000;113.59;-289.325;-120.951;1.3
18.984;2;T7A;Control;-282.094;-284.345;1.53;-0.067;0.350;0.000;108.16;-289.758;-121.166;1.4
19.036;2;T7A;Control;-282.098;-284.264;1.60;-0.044;0.320;0.000;103.61;-290.173;-121.372;1.4
19.088;2;T7A;Control;-282.102;-284.179;1.66;-0.044;0.320;0.000;98.54;-289.887;-121.608;1.5
19.140;2;T7A;Control;-282.106;-284.090;1.73;-0.044;0.320;0.000;95.25;-289.971;-121.786;1.6
19.192;2;T7A;Control;-282.111;-283.998;1.79;-0.044;0.320;0.000;91.25;-290.239;-122.036;1.7
19.244;2;T7A;Control;-282.116;-283.903;1.88;-0.044;0.350;0.000;88.31;-290.517;-122.228;1.7
19.296;2;T7A;Control;-282.121;-283.804;1.94;-0.044;0.350;0.000;84.41;-290.916;-122.489;1.9
19.348;2;T7A;Control;-282.127;-283.702;2.00;-0.022;0.430;0.000;81.29;-290.996;-122.691;1.9
19.400;2;T7A;Control;-282.133;-283.595;2.11;-0.022;0.430;0.000;77.96;-290.789;-122.866;2.0
19.452;2;T7A;Control;-282.139;-283.483;2.20;-0.022;0.480;0.000;74.17;-290.788;-123.104;2.1
19.504;2;T7A;Control;-282.145;-283.366;2.29;-0.022;0.480;0.000;71.30;-290.877;-123.282;2.2
19.556;2;T7A;Control;-282.152;-283.243;2.40;-0.022;0.490;0.000;67.72;-291.065;-123.534;2.3
19.608;2;T7A;Control;-282.159;-283.116;2.49;-0.022;0.490;0.000;65.27;-291.230;-123.717;2.4
19.660;2;T7A;Control;-282.167;-282.984;2.60;0.000;0.490;0.000;62.21;-291.097;-123.948;2.4
19.712;2;T7A;Control;-282.174;-282.846;2.69;0.000;0.490;0.000;60.14;-290.860;-124.115;2.4
19.764;2;T7A;Control;-282.182;-282.703;2.80;0.000;0.500;0.000;57.75;-290.693;-124.323;2.4
19.816;2;T7A;Control;-282.190;-282.555;2.89;0.000;0.500;0.000;55.70;-290.606;-124.512;2.4
19.868;2;T7A;Control;-282.198;-282.402;3.01;0.000;0.510;0.000;53.31;-290.541;-124.757;2.4
19.918;2;T7A;Control;-282.206;-282.250;3.09;0.000;0.510;0.000;51.80;-290.513;-124.924;2.4
19.970;2;T7A;Control;-282.214;-282.086;3.19;0.022;0.510;0.000;49.77;-290.155;-125.144;2.4
20.022;2;T7A;Control;-282.222;-281.918;3.30;0.022;0.510;0.000;48.33;-289.717;-125.306;2.3
20.074;2;T7A;Control;-282.230;-281.744;3.38;0.022;0.500;0.000;46.63;-289.246;-125.521;2.2
20.126;2;T7A;Control;-282.238;-281.565;3.48;0.022;0.500;0.000;45.34;-288.892;-125.694;2.1
20.178;2;T7A;Control;-282.246;-281.382;3.57;0.022;0.500;0.000;44.21;-288.582;-125.860;2.0
20.230;2;T7A;Control;-282.253;-281.194;3.68;0.022;0.500;0.000;42.76;-288.170;-126.079;1.9
20.282;2;T7A;Control;-282.260;-281.000;3.77;0.022;0.500;0.000;41.71;-287.856;-126.251;1.9
20.334;2;T7A;Control;-282.267;-280.801;3.86;0.022;0.500;0.000;40.38;-287.432;-126.486;1.8
20.386;2;T7A;Control;-282.273;-280.598;3.94;0.000;0.510;0.000;39.47;-287.386;-126.665;1.7
20.438;2;T7A;Control;-282.280;-280.390;4.05;0.000;0.510;0.000;38.56;-287.450;-126.848;1.7
20.490;2;T7A;Control;-282.288;-280.177;4.15;0.000;0.510;0.000;37.42;-287.498;-127.094;1.7
20.542;2;T7A;Control;-282.295;-279.959;4.24;0.000;0.510;0.000;36.60;-287.519;-127.276;1.7
20.594;2;T7A;Control;-282.302;-279.737;4.32;0.000;0.500;0.000;35.56;-287.533;-127.522;1.7
20.646;2;T7A;Control;-282.310;-279.510;4.40;0.000;0.500;0.000;34.83;-287.538;-127.704;1.7
20.698;2;T7A;Control;-282.319;-279.278;4.49;0.000;0.510;0.000;34.12;-287.539;-127.889;1.7
20.750;2;T7A;Control;-282.327;-279.042;4.58;0.000;0.500;0.000;33.19;-287.537;-128.135;1.7
20.802;2;T7A;Control;-282.335;-278.801;4.69;0.000;0.500;0.000;32.58;-287.534;-128.311;1.7
20.852;2;T7A;Control;-282.343;-278.565;4.75;0.000;0.500;0.000;31.78;-287.528;-128.556;1.7
20.904;2;T7A;Control;-282.352;-278.315;4.84;0.000;0.500;0.000;31.19;-287.523;-128.734;1.7
20.956;2;T7A;Control;-282.361;-278.061;4.93;0.000;0.510;0.000;30.46;-287.516;-128.976;1.7
21.008;2;T7A;Control;-282.369;-277.802;5.01;0.000;0.510;0.000;29.90;-287.510;-129.158;1.7
21.060;2;T7A;Control;-282.378;-277.539;5.11;0.022;0.570;0.000;29.21;-287.400;-129.392;1.7
21.112;2;T7A;Control;-282.387;-277.271;5.21;0.022;0.570;0.000;28.63;-287.069;-129.565;1.6
21.164;2;T7A;Control;-282.395;-276.997;5.31;0.022;0.570;0.000;28.09;-286.739;-129.728;1.6
21.216;2;T7A;Control;-282.402;-276.718;5.40;0.022;0.570;0.000;27.39;-286.270;-129.955;1.5
21.268;2;T7A;Control;-282.409;-276.434;5.51;0.022;0.570;0.000;26.87;-285.898;-130.127;1.5
21.320;2;T7A;Control;-282.415;-276.144;5.62;0.022;0.570;0.000;26.22;-285.401;-130.356;-1.5
21.372;2;T7A;Control;-282.421;-275.850;5.69;0.022;0.560;0.000;25.75;-285.012;-130.534;-1.5
21.424;2;T7A;Control;-282.425;-275.550;5.80;0.022;0.560;0.000;25.14;-284.481;-130.774;-1.6
21.476;2;T7A;Control;-282.429;-275.246;5.89;0.022;0.550;0.000;24.70;-284.065;-130.956;-1.6
21.528;2;T7A;Control;-282.431;-274.937;5.97;0.022;0.550;0.000;24.29;-283.662;-131.142;-1.7
21.580;2;T7A;Control;-282.433;-274.624;6.07;0.022;0.550;0.000;23.86;-283.220;-131.336;-1.8
21.632;2;T7A;Control;-282.434;-274.306;6.16;0.022;0.550;0.000;23.36;-282.685;-131.572;-1.9
21.684;2;T7A;Control;-282.434;-273.983;6.26;0.000;0.550;0.000;22.99;-282.364;-131.753;-2.0
21.736;2;T7A;Control;-282.433;-273.656;6.32;0.000;0.550;0.000;22.54;-282.192;-131.992;-2.0
21.788;2;T7A;Control;-282.433;-273.325;6.41;0.000;0.550;0.000;22.19;-282.092;-132.176;-2.0
21.838;2;T7A;Control;-282.432;-273.002;6.50;0.000;0.550;0.000;21.85;-282.018;-132.355;-2.0
21.890;2;T7A;Control;-282.431;-272.661;6.59;0.000;0.550;0.000;21.42;-281.949;-132.598;-2.0
21.942;2;T7A;Control;-282.430;-272.316;6.68;0.000;0.550;0.000;21.09;-281.911;-132.787;-2.1
21.994;2;T7A;Control;-282.428;-271.966;6.76;0.000;0.550;0.000;20.67;-281.876;-133.036;-2.1
22.046;2;T7A;Control;-282.426;-271.612;6.85;0.000;0.550;0.000;20.36;-281.857;-133.230;-2.1
22.098;2;T7A;Control;-282.425;-271.253;6.94;-0.022;0.580;0.000;20.06;-281.994;-133.413;-2.0
22.150;2;T7A;Control;-282.425;-270.890;7.03;-0.022;0.580;0.000;19.74;-282.251;-133.600;-1.9
22.202;2;T7A;Control;-282.425;-270.522;7.13;-0.022;0.670;0.000;19.30;-282.669;-133.857;-1.7
22.254;2;T7A;Control;-282.426;-270.147;7.25;-0.022;0.670;0.000;18.92;-283.058;-134.068;-1.6
22.306;2;T7A;Control;-282.429;-269.767;7.37;-0.022;0.710;0.000;18.59;-283.427;-134.242;-1.6
22.358;2;T7A;Control;-282.433;-269.381;7.49;-0.022;0.710;0.000;18.24;-283.830;-134.424;-1.6
22.410;2;T7A;Control;-282.438;-268.989;7.60;0.000;0.710;0.000;17.83;-284.216;-134.650;-1.6
22.462;2;T7A;Control;-282.443;-268.591;7.71;0.000;0.710;0.000;17.52;-284.387;-134.808;-1.6
22.514;2;T7A;Control;-282.450;-268.186;7.83;0.000;0.710;0.000;17.13;-284.553;-135.014;-1.6
22.566;2;T7A;Control;-282.456;-267.776;7.94;0.000;0.710;0.000;16.85;-284.644;-135.167;-1.6
22.618;2;T7A;Control;-282.464;-267.359;8.06;0.000;0.710;0.000;16.57;-284.712;-135.314;-1.6
22.670;2;T7A;Control;-282.471;-266.937;8.16;0.000;0.710;0.000;16.22;-284.776;-135.497;-1.6
22.722;2;T7A;Control;-282.478;-266.510;8.27;0.000;0.710;0.000;15.96;-284.811;-135.633;-1.6
22.774;2;T7A;Control;-282.486;-266.076;8.39;0.000;0.710;0.000;15.69;-284.839;-135.773;-1.6
22.824;2;T7A;Control;-282.494;-265.654;8.50;0.000;0.710;0.000;15.36;-284.864;-135.938;-1.6
22.876;2;T7A;Control;-282.502;-265.209;8.61;0.000;0.710;0.000;15.12;-284.877;-136.055;-1.6
22.928;2;T7A;Control;-282.510;-264.758;8.71;0.000;0.710;0.000;14.83;-284.888;-136.204;-1.6
22.980;2;T7A;Control;-282.519;-264.302;8.82;0.000;0.720;0.000;14.61;-284.894;-136.309;-1.6
23.032;2;T7A;Control;-282.527;-263.839;8.94;0.000;0.720;0.000;14.40;-284.899;-136.408;-1.6
23.084;2;T7A;Control;-282.536;-263.371;9.05;0.000;0.740;0.000;14.11;-284.903;-136.536;-1.6
23.136;2;T7A;Control;-282.545;-262.897;9.17;0.000;0.740;0.000;13.91;-284.904;-136.625;-1.6
23.188;2;T7A;Control;-282.554;-262.417;9.28;0.000;0.760;0.000;13.64;-284.905;-136.737;-1.7
23.240;2;T7A;Control;-282.562;-261.931;9.39;0.000;0.760;0.000;13.43;-284.905;-136.816;-1.7
