Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
70.724;5;C2C;Multimodal;38.023;-379.870;0.15;0.444;0.240;0.000;1973.36;116.238;-389.698;-18.0
70.776;5;C2C;Multimodal;38.029;-379.871;0.15;0.467;0.080;0.000;1324.22;158.222;-397.801;-18.1
70.826;5;C2C;Multimodal;38.036;-379.873;0.14;0.467;0.080;0.000;1146.89;178.116;-404.634;-18.2
70.876;5;C2C;Multimodal;38.043;-379.874;0.15;0.422;0.000;0.000;1054.60;179.616;-405.413;-18.3
70.928;5;C2C;Multimodal;38.050;-379.876;0.15;0.422;0.000;0.000;1055.53;177.870;-404.049;-18.5
70.978;5;C2C;Multimodal;38.057;-379.877;0.14;0.378;0.000;0.000;1060.47;177.127;-403.708;-18.6
71.030;5;C2C;Multimodal;38.065;-379.879;0.14;0.378;0.000;0.000;1060.72;178.154;-401.823;-18.7
71.082;5;C2C;Multimodal;38.072;-379.881;0.14;0.289;0.000;0.000;1067.30;179.144;-401.919;-18.8
71.132;5;C2C;Multimodal;38.078;-379.881;0.14;0.289;0.000;0.000;1060.19;180.400;-398.303;-18.8
71.182;5;C2C;Multimodal;38.085;-379.882;0.14;0.200;0.000;0.000;1059.99;181.070;-395.886;-18.9
71.234;5;C2C;Multimodal;38.092;-379.883;0.14;0.200;0.000;0.000;1058.62;181.355;-393.602;-19.0
71.284;5;C2C;Multimodal;38.099;-379.884;0.14;0.156;0.000;0.000;1062.04;181.465;-392.228;-19.0
71.336;5;C2C;Multimodal;38.106;-379.885;0.13;0.156;0.000;0.000;1064.86;181.557;-391.059;-19.1
71.388;5;C2C;Multimodal;38.113;-379.885;0.13;0.111;0.040;0.000;1070.52;181.578;-390.896;-19.1
71.438;5;C2C;Multimodal;38.120;-379.886;0.13;0.111;0.040;0.000;1071.46;181.712;-389.098;-19.1
71.488;5;C2C;Multimodal;38.127;-379.887;0.15;0.089;0.150;0.000;1014.10;181.781;-388.062;-19.2
71.540;5;C2C;Multimodal;38.136;-379.888;0.19;0.089;0.150;0.000;833.80;181.815;-387.447;-19.2
71.590;5;C2C;Multimodal;38.146;-379.889;0.23;0.089;0.130;0.000;719.78;181.814;-387.480;-19.2
71.640;5;C2C;Multimodal;38.158;-379.889;0.25;0.089;0.130;0.000;620.24;181.808;-387.612;-19.3
71.692;5;C2C;Multimodal;38.172;-379.890;0.28;0.067;0.120;0.000;565.17;181.803;-387.722;-19.3
71.742;5;C2C;Multimodal;38.186;-379.891;0.30;0.067;0.120;0.000;510.45;181.847;-386.886;-19.3
71.794;5;C2C;Multimodal;38.203;-379.892;0.33;0.067;0.150;0.000;465.92;181.850;-386.851;-19.4
71.846;5;C2C;Multimodal;38.221;-379.893;0.37;0.067;0.150;0.000;430.14;181.848;-386.915;-19.4
71.896;5;C2C;Multimodal;38.240;-379.894;0.40;0.067;0.200;0.000;384.55;181.845;-387.000;-19.5
71.946;5;C2C;Multimodal;38.261;-379.894;0.45;0.067;0.200;0.000;354.28;181.842;-387.082;-19.5
71.998;5;C2C;Multimodal;38.286;-379.896;0.51;0.067;0.320;0.000;317.07;181.837;-387.203;-19.6
72.048;5;C2C;Multimodal;38.313;-379.897;0.58;0.067;0.320;0.000;274.59;181.833;-387.324;-19.7
72.098;5;C2C;Multimodal;38.344;-379.899;0.65;0.044;0.370;0.000;247.84;181.826;-387.474;-19.7
72.150;5;C2C;Multimodal;38.381;-379.901;0.74;0.044;0.370;0.000;217.20;181.864;-386.765;-19.8
72.200;5;C2C;Multimodal;38.420;-379.902;0.82;0.044;0.360;0.000;193.05;181.869;-386.712;-19.9
72.252;5;C2C;Multimodal;38.465;-379.905;0.90;0.044;0.360;0.000;178.62;181.868;-386.794;-19.9
72.304;5;C2C;Multimodal;38.513;-379.907;0.97;0.044;0.320;0.000;163.44;181.864;-386.951;-20.0
72.354;5;C2C;Multimodal;38.564;-379.909;1.03;0.044;0.320;0.000;151.87;181.858;-387.139;-20.1
72.404;5;C2C;Multimodal;38.617;-379.912;1.10;0.022;0.300;0.000;141.61;181.866;-387.064;-20.2
72.456;5;C2C;Multimodal;38.676;-379.916;1.16;0.022;0.300;0.000;135.05;181.887;-386.703;-20.2
72.506;5;C2C;Multimodal;38.736;-379.919;1.22;0.022;0.310;0.000;127.27;181.897;-386.588;-20.3
72.558;5;C2C;Multimodal;38.801;-379.922;1.29;0.022;0.310;0.000;120.48;181.900;-386.628;-20.4
72.610;5;C2C;Multimodal;38.870;-379.925;1.36;0.022;0.370;0.000;115.45;181.900;-386.697;-20.4
72.660;5;C2C;Multimodal;38.940;-379.928;1.44;0.022;0.370;0.000;108.54;181.899;-386.812;-20.5
72.710;5;C2C;Multimodal;39.014;-379.932;1.52;0.000;0.420;0.000;102.42;181.909;-386.730;-20.5
72.762;5;C2C;Multimodal;39.096;-379.936;1.61;0.000;0.420;0.000;97.58;181.931;-386.334;-20.6
72.812;5;C2C;Multimodal;39.179;-379.940;1.70;0.000;0.450;0.000;91.99;181.947;-386.105;-20.6
72.862;5;C2C;Multimodal;39.266;-379.944;1.79;0.000;0.450;0.000;86.77;181.957;-386.010;-20.6
72.914;5;C2C;Multimodal;39.362;-379.948;1.89;-0.022;0.440;0.000;81.95;181.982;-385.576;-20.6
72.964;5;C2C;Multimodal;39.459;-379.952;1.97;-0.022;0.440;0.000;78.85;182.002;-385.175;-20.5
73.016;5;C2C;Multimodal;39.564;-379.956;2.06;-0.044;0.430;0.000;74.91;182.029;-384.594;-20.5
73.068;5;C2C;Multimodal;39.674;-379.959;2.15;-0.044;0.430;0.000;71.38;182.061;-383.741;-20.3
73.118;5;C2C;Multimodal;39.783;-379.961;2.23;-0.044;0.440;0.000;69.06;182.078;-383.286;-20.2
73.168;5;C2C;Multimodal;39.897;-379.963;2.32;-0.044;0.440;0.000;66.02;182.096;-382.746;-20.0
73.220;5;C2C;Multimodal;40.021;-379.966;2.42;-0.044;0.530;0.000;63.08;182.112;-382.276;-19.8
73.270;5;C2C;Multimodal;40.145;-379.967;2.53;-0.044;0.530;0.000;60.43;182.124;-381.870;-19.7
73.322;5;C2C;Multimodal;40.280;-379.968;2.65;-0.044;0.600;0.000;57.33;182.138;-381.378;-19.5
73.374;5;C2C;Multimodal;40.422;-379.969;2.78;-0.044;0.600;0.000;55.03;182.148;-380.997;-19.3
73.424;5;C2C;Multimodal;40.564;-379.970;2.90;-0.022;0.610;0.000;52.38;182.157;-380.793;-19.2
73.474;5;C2C;Multimodal;40.712;-379.971;3.02;-0.022;0.610;0.000;50.47;182.164;-380.764;-19.1
73.526;5;C2C;Multimodal;40.873;-379.972;3.14;-0.022;0.610;0.000;48.15;182.174;-380.615;-19.0
73.576;5;C2C;Multimodal;41.033;-379.972;3.26;-0.022;0.610;0.000;46.53;182.182;-380.452;-18.9
73.626;5;C2C;Multimodal;41.199;-379.973;3.38;0.000;0.610;0.000;45.03;182.190;-380.401;-18.8
73.678;5;C2C;Multimodal;41.379;-379.974;3.50;0.000;0.610;0.000;43.17;182.200;-380.610;-18.8
73.728;5;C2C;Multimodal;41.557;-379.975;3.61;0.000;0.610;0.000;41.56;182.210;-380.718;-18.9
73.780;5;C2C;Multimodal;41.748;-379.975;3.73;0.000;0.610;0.000;40.43;182.218;-380.769;-18.9
73.832;5;C2C;Multimodal;41.946;-379.976;3.85;0.000;0.610;0.000;38.98;182.229;-380.813;-18.9
73.882;5;C2C;Multimodal;42.142;-379.978;3.97;0.000;0.610;0.000;37.90;182.239;-380.835;-18.9
73.932;5;C2C;Multimodal;42.343;-379.979;4.09;0.000;0.640;0.000;36.63;182.251;-380.853;-19.0
73.984;5;C2C;Multimodal;42.559;-379.981;4.21;0.000;0.640;0.000;35.71;182.260;-380.861;-19.0
74.034;5;C2C;Multimodal;42.773;-379.982;4.32;0.000;0.630;0.000;34.52;182.274;-380.870;-19.0
74.084;5;C2C;Multimodal;42.992;-379.984;4.44;0.000;0.630;0.000;33.65;182.285;-380.874;-19.1
74.136;5;C2C;Multimodal;43.226;-379.985;4.55;0.000;0.610;0.000;32.63;182.299;-380.878;-19.1
74.186;5;C2C;Multimodal;43.457;-379.987;4.66;0.000;0.610;0.000;31.91;182.310;-380.881;-19.1
74.238;5;C2C;Multimodal;43.703;-379.989;4.77;0.000;0.610;0.000;31.01;182.325;-380.884;-19.2
74.290;5;C2C;Multimodal;43.955;-379.990;4.89;0.000;0.610;0.000;30.39;182.336;-380.887;-19.2
74.340;5;C2C;Multimodal;44.202;-379.992;5.00;0.000;0.650;0.000;29.55;182.352;-380.892;-19.2
74.390;5;C2C;Multimodal;44.456;-379.994;5.12;0.000;0.650;0.000;28.95;182.364;-380.894;-19.3
74.442;5;C2C;Multimodal;44.725;-379.996;5.25;0.000;0.710;0.000;28.09;182.382;-380.897;-19.3
74.492;5;C2C;Multimodal;44.992;-379.997;5.38;0.000;0.710;0.000;27.32;182.397;-380.899;-19.3
74.544;5;C2C;Multimodal;45.275;-379.999;5.51;0.000;0.710;0.000;26.75;182.410;-380.900;-19.4
74.596;5;C2C;Multimodal;45.565;-380.001;5.64;0.000;0.710;0.000;26.00;182.428;-380.902;-19.4
74.646;5;C2C;Multimodal;45.851;-380.002;5.77;0.000;0.710;0.000;25.46;182.442;-380.904;-19.5
74.696;5;C2C;Multimodal;46.143;-380.004;5.89;0.000;0.710;0.000;24.78;182.462;-380.906;-19.5
74.748;5;C2C;Multimodal;46.453;-380.006;6.02;0.000;0.710;0.000;24.29;182.477;-380.908;-19.6
74.798;5;C2C;Multimodal;46.757;-380.009;6.14;0.000;0.710;0.000;23.68;182.497;-380.911;-19.6
74.848;5;C2C;Multimodal;47.067;-380.011;6.27;0.000;0.760;0.000;23.24;182.512;-380.912;-19.6
74.900;5;C2C;Multimodal;47.397;-380.013;6.41;0.000;0.760;0.000;22.65;182.533;-380.915;-19.7
