Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
106.440;7;C1B;Multimodal;-216.980;-288.115;0.16;-0.044;0.120;0.000;15669.98;-218.189;-206.565;81.3
106.490;7;C1B;Multimodal;-216.980;-288.110;0.14;-0.044;0.120;0.000;12515.00;-218.790;-171.723;81.3
106.540;7;C1B;Multimodal;-216.980;-288.104;0.11;-0.044;0.060;0.000;10260.14;-219.536;-133.291;81.3
106.592;7;C1B;Multimodal;-216.980;-288.097;0.14;-0.044;0.060;0.000;8698.85;-219.640;-125.323;81.3
106.642;7;C1B;Multimodal;-216.980;-288.091;0.14;-0.022;0.000;0.000;8247.30;-218.881;-127.357;81.3
106.694;7;C1B;Multimodal;-216.980;-288.084;0.13;-0.022;0.000;0.000;8149.04;-218.461;-129.124;81.3
106.746;7;C1B;Multimodal;-216.980;-288.078;0.14;-0.022;0.000;0.000;8186.71;-218.426;-128.600;81.3
106.796;7;C1B;Multimodal;-216.980;-288.071;0.17;-0.022;0.000;0.000;8268.03;-218.442;-126.957;81.3
106.846;7;C1B;Multimodal;-216.980;-288.065;0.14;-0.022;0.000;0.000;8338.83;-218.462;-125.880;81.4
106.898;7;C1B;Multimodal;-216.980;-288.058;0.12;-0.022;0.000;0.000;8423.43;-218.483;-125.239;81.4
106.948;7;C1B;Multimodal;-216.980;-288.052;0.14;-0.022;0.000;0.000;8486.44;-218.496;-125.098;81.4
106.998;7;C1B;Multimodal;-216.980;-288.046;0.12;-0.022;0.000;0.000;8543.35;-218.508;-125.085;81.4
107.050;7;C1B;Multimodal;-216.980;-288.039;0.12;-0.022;0.000;0.000;8622.17;-218.524;-125.092;81.4
107.100;7;C1B;Multimodal;-216.980;-288.033;0.12;-0.022;0.000;0.000;8678.16;-218.536;-125.082;81.4
107.152;7;C1B;Multimodal;-216.980;-288.027;0.12;-0.022;0.030;0.000;8736.54;-218.553;-125.069;81.4
107.204;7;C1B;Multimodal;-216.980;-288.020;0.12;-0.022;0.030;0.000;8818.55;-218.581;-125.061;81.4
107.254;7;C1B;Multimodal;-216.980;-288.013;0.15;-0.022;0.140;0.000;7890.09;-218.528;-125.056;81.4
107.304;7;C1B;Multimodal;-216.980;-288.005;0.18;-0.022;0.140;0.000;6639.48;-218.546;-125.051;81.4
107.356;7;C1B;Multimodal;-216.980;-287.994;0.24;-0.022;0.230;0.000;5097.24;-218.558;-125.039;81.4
107.406;7;C1B;Multimodal;-216.980;-287.980;0.31;-0.022;0.230;0.000;4248.34;-218.607;-125.029;81.4
107.456;7;C1B;Multimodal;-216.980;-287.964;0.35;-0.022;0.260;0.000;3446.08;-218.652;-125.014;81.5
107.508;7;C1B;Multimodal;-216.980;-287.944;0.40;-0.022;0.260;0.000;2982.11;-218.692;-125.000;81.5
107.558;7;C1B;Multimodal;-216.981;-287.922;0.47;-0.022;0.270;0.000;2539.68;-218.751;-124.978;81.5
107.610;7;C1B;Multimodal;-216.981;-287.895;0.52;-0.022;0.270;0.000;2294.88;-218.794;-124.960;81.5
107.662;7;C1B;Multimodal;-216.982;-287.866;0.60;-0.022;0.300;0.000;2008.17;-218.860;-124.932;81.6
107.712;7;C1B;Multimodal;-216.982;-287.834;0.67;-0.022;0.300;0.000;1844.69;-218.914;-124.910;81.6
107.762;7;C1B;Multimodal;-216.982;-287.799;0.73;-0.022;0.330;0.000;1647.59;-218.991;-124.876;81.6
107.814;7;C1B;Multimodal;-216.983;-287.758;0.81;-0.022;0.330;0.000;1523.84;-219.059;-124.847;81.7
107.864;7;C1B;Multimodal;-216.983;-287.716;0.87;-0.022;0.330;0.000;1389.55;-219.157;-124.806;81.7
107.916;7;C1B;Multimodal;-216.984;-287.668;0.96;-0.022;0.330;0.000;1308.16;-219.233;-124.774;81.8
107.968;7;C1B;Multimodal;-216.985;-287.616;1.04;-0.022;0.360;0.000;1202.41;-219.346;-124.725;81.8
108.018;7;C1B;Multimodal;-216.986;-287.562;1.10;-0.022;0.360;0.000;1135.39;-219.438;-124.685;81.9
108.068;7;C1B;Multimodal;-216.987;-287.505;1.19;-0.022;0.380;0.000;1056.31;-219.565;-124.630;82.0
108.120;7;C1B;Multimodal;-216.988;-287.441;1.27;-0.022;0.380;0.000;1004.26;-219.670;-124.585;82.0
108.170;7;C1B;Multimodal;-216.989;-287.375;1.34;-0.022;0.370;0.000;944.80;-219.824;-124.519;82.1
108.220;7;C1B;Multimodal;-216.990;-287.306;1.43;-0.022;0.370;0.000;907.33;-219.944;-124.468;82.2
108.272;7;C1B;Multimodal;-216.992;-287.229;1.50;-0.022;0.380;0.000;862.94;-220.109;-124.397;82.3
108.322;7;C1B;Multimodal;-216.993;-287.152;1.59;-0.022;0.380;0.000;830.67;-220.253;-124.335;82.4
108.374;7;C1B;Multimodal;-216.995;-287.068;1.65;-0.022;0.380;0.000;803.23;-220.398;-124.273;82.4
108.426;7;C1B;Multimodal;-216.997;-286.980;1.72;-0.022;0.400;0.000;772.85;-220.590;-124.192;82.5
108.476;7;C1B;Multimodal;-216.999;-286.890;1.82;-0.022;0.400;0.000;750.85;-220.741;-124.126;82.6
108.526;7;C1B;Multimodal;-217.001;-286.797;1.91;-0.022;0.400;0.000;730.35;-220.905;-124.056;82.7
108.578;7;C1B;Multimodal;-217.004;-286.696;2.00;-0.022;0.460;0.000;702.63;-221.125;-123.959;82.9
108.628;7;C1B;Multimodal;-217.007;-286.594;2.09;-0.022;0.460;0.000;683.10;-221.303;-123.881;83.0
108.680;7;C1B;Multimodal;-217.010;-286.482;2.20;-0.022;0.520;0.000;658.10;-221.534;-123.777;83.1
108.732;7;C1B;Multimodal;-217.013;-286.365;2.31;-0.022;0.520;0.000;640.95;-221.718;-123.695;83.2
108.782;7;C1B;Multimodal;-217.017;-286.247;2.41;-0.022;0.520;0.000;620.99;-221.982;-123.577;83.4
108.832;7;C1B;Multimodal;-217.021;-286.123;2.50;-0.022;0.520;0.000;609.66;-222.166;-123.495;83.5
108.884;7;C1B;Multimodal;-217.025;-285.990;2.61;-0.022;0.530;0.000;595.73;-222.433;-123.376;83.6
108.934;7;C1B;Multimodal;-217.030;-285.856;2.72;-0.022;0.560;0.000;584.65;-222.701;-123.256;83.8
108.984;7;C1B;Multimodal;-217.035;-285.717;2.82;-0.022;0.560;0.000;576.42;-222.916;-123.158;83.9
109.036;7;C1B;Multimodal;-217.040;-285.566;2.96;-0.022;0.590;0.000;567.62;-223.214;-123.024;84.1
109.086;7;C1B;Multimodal;-217.046;-285.415;3.07;-0.022;0.590;0.000;560.76;-223.477;-122.904;84.2
109.138;7;C1B;Multimodal;-217.053;-285.252;3.19;-0.022;0.590;0.000;555.88;-223.738;-122.785;84.4
109.190;7;C1B;Multimodal;-217.060;-285.083;3.30;-0.022;0.590;0.000;552.31;-224.043;-122.646;84.5
109.240;7;C1B;Multimodal;-217.068;-284.915;3.41;0.000;0.600;0.000;550.73;-224.433;-122.467;84.8
109.290;7;C1B;Multimodal;-217.076;-284.741;3.53;0.000;0.600;0.000;533.03;-224.253;-122.313;84.9
109.342;7;C1B;Multimodal;-217.084;-284.554;3.65;0.000;0.600;0.000;519.90;-224.150;-122.165;84.9
109.392;7;C1B;Multimodal;-217.092;-284.369;3.77;0.000;0.640;0.000;504.52;-224.070;-121.958;85.0
109.442;7;C1B;Multimodal;-217.100;-284.177;3.89;0.000;0.640;0.000;494.98;-224.037;-121.803;85.1
109.494;7;C1B;Multimodal;-217.109;-283.970;4.05;0.000;0.730;0.000;482.70;-224.014;-121.599;85.1
109.544;7;C1B;Multimodal;-217.117;-283.764;4.17;0.000;0.800;0.000;472.02;-224.005;-121.395;85.2
109.596;7;C1B;Multimodal;-217.127;-283.542;4.35;0.000;0.800;0.000;463.45;-224.003;-121.230;85.3
109.648;7;C1B;Multimodal;-217.136;-283.311;4.51;0.000;0.700;0.000;453.83;-224.004;-121.012;85.4
109.698;7;C1B;Multimodal;-217.146;-283.083;4.64;0.000;0.700;0.000;447.78;-224.009;-120.776;85.5
109.748;7;C1B;Multimodal;-217.156;-282.848;4.75;0.000;0.610;0.000;444.05;-224.015;-120.595;85.5
109.800;7;C1B;Multimodal;-217.167;-282.598;4.86;0.000;0.610;0.000;441.89;-224.024;-120.329;85.6
109.850;7;C1B;Multimodal;-217.178;-282.352;4.96;0.000;0.550;0.000;440.93;-224.032;-120.120;85.7
109.902;7;C1B;Multimodal;-217.189;-282.091;5.06;0.000;0.550;0.000;441.62;-224.041;-119.898;85.8
109.954;7;C1B;Multimodal;-217.200;-281.826;5.15;0.000;0.530;0.000;443.36;-224.052;-119.605;85.9
110.004;7;C1B;Multimodal;-217.211;-281.566;5.22;0.000;0.530;0.000;445.47;-224.061;-119.393;86.0
110.054;7;C1B;Multimodal;-217.222;-281.302;5.31;0.000;0.530;0.000;448.05;-224.070;-119.177;86.1
110.106;7;C1B;Multimodal;-217.234;-281.023;5.42;0.000;0.530;0.000;452.04;-224.082;-118.898;86.2
110.156;7;C1B;Multimodal;-217.245;-280.750;5.51;0.022;0.530;0.000;456.66;-224.093;-118.623;86.3
110.206;7;C1B;Multimodal;-217.257;-280.473;5.57;0.022;0.530;0.000;447.58;-223.796;-118.394;86.2
110.258;7;C1B;Multimodal;-217.268;-280.180;5.66;0.022;0.530;0.000;435.08;-223.372;-118.083;86.2
110.308;7;C1B;Multimodal;-217.278;-279.895;5.74;0.022;0.530;0.000;422.28;-222.926;-117.780;86.1
110.360;7;C1B;Multimodal;-217.288;-279.594;5.83;0.044;0.530;0.000;408.75;-222.433;-117.461;86.0
110.412;7;C1B;Multimodal;-217.296;-279.287;5.94;0.044;0.530;0.000;388.19;-221.743;-117.211;85.8
110.462;7;C1B;Multimodal;-217.303;-278.989;6.01;0.067;0.530;0.000;361.97;-220.771;-116.877;85.5
110.512;7;C1B;Multimodal;-217.308;-278.686;6.09;0.067;0.530;0.000;327.79;-219.370;-116.552;85.0
110.564;7;C1B;Multimodal;-217.310;-278.366;6.18;0.067;0.510;0.000;302.57;-218.162;-116.295;84.6
110.614;7;C1B;Multimodal;-217.309;-278.056;6.26;0.067;0.510;0.000;273.99;-216.544;-115.979;84.0
110.666;7;C1B;Multimodal;-217.305;-277.729;6.32;0.067;0.500;0.000;249.80;-214.917;-115.690;83.5
110.718;7;C1B;Multimodal;-217.298;-277.399;6.38;0.067;0.500;0.000;233.13;-213.616;-115.477;83.1
110.768;7;C1B;Multimodal;-217.288;-277.077;6.46;0.067;0.500;0.000;214.05;-211.905;-115.218;82.6
110.818;7;C1B;Multimodal;-217.274;-276.753;6.52;0.067;0.500;0.000;196.71;-210.093;-114.970;82.0
110.870;7;C1B;Multimodal;-217.257;-276.411;6.62;0.067;0.490;0.000;185.65;-208.779;-114.805;81.6
110.920;7;C1B;Multimodal;-217.236;-276.080;6.67;0.067;0.490;0.000;171.82;-206.917;-114.594;81.0
