Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
150.144;9;L2B;Multimodal;-245.290;-142.329;0.12;-0.111;0.000;0.000;6.98;-72.655;-237.601;-77.6
150.196;9;L2B;Multimodal;-245.290;-142.329;0.06;-0.111;0.000;0.000;6.98;-72.655;-237.601;-77.6
150.248;9;L2B;Multimodal;-245.290;-142.329;0.01;-0.089;0.000;0.000;6.98;-72.655;-237.601;-77.6
150.298;9;L2B;Multimodal;-245.290;-142.329;0.02;-0.089;0.000;0.000;6.98;-72.655;-237.601;-77.6
150.348;9;L2B;Multimodal;-245.290;-142.329;0.03;-0.089;0.000;0.000;6.98;-72.655;-237.601;-77.6
150.398;9;L2B;Multimodal;-245.291;-142.329;0.03;-0.089;0.000;0.000;6.98;-72.655;-237.601;-77.6
150.448;9;L2B;Multimodal;-245.291;-142.329;0.04;-0.089;0.000;0.000;6.98;-72.655;-237.601;-77.6
150.500;9;L2B;Multimodal;-245.291;-142.329;0.02;-0.089;0.000;0.000;6.98;-72.655;-237.601;-77.6
150.550;9;L2B;Multimodal;-245.291;-142.329;0.01;-0.067;0.000;0.000;6.98;-72.655;-237.601;-77.6
150.600;9;L2B;Multimodal;-245.291;-142.329;0.00;-0.067;0.000;0.000;6.98;-72.655;-237.601;-77.6
150.650;9;L2B;Multimodal;-245.292;-142.329;0.01;-0.044;0.000;0.000;6.98;-72.655;-237.601;-77.6
150.700;9;L2B;Multimodal;-245.292;-142.329;0.01;-0.044;0.000;0.000;6.98;-72.655;-237.601;-77.6
150.752;9;L2B;Multimodal;-245.292;-142.329;0.01;-0.022;0.000;0.000;6.98;-72.655;-237.601;-77.6
150.804;9;L2B;Multimodal;-245.292;-142.329;0.00;-0.022;0.000;0.000;6.98;-72.655;-237.601;-77.6
150.854;9;L2B;Multimodal;-245.292;-142.329;0.00;-0.022;0.000;0.000;6.98;-72.655;-237.601;-77.6
150.904;9;L2B;Multimodal;-245.292;-142.329;0.00;-0.022;0.000;0.000;6.98;-72.655;-237.601;-77.6
150.954;9;L2B;Multimodal;-245.292;-142.329;0.01;-0.022;0.080;0.000;6.98;-72.655;-237.601;-77.6
151.004;9;L2B;Multimodal;-245.292;-142.329;0.02;-0.022;0.080;0.000;6.98;-72.655;-237.601;-77.6
151.056;9;L2B;Multimodal;-245.290;-142.329;0.05;-0.022;0.110;0.000;6.98;-72.655;-237.601;-77.6
151.106;9;L2B;Multimodal;-245.286;-142.329;0.08;-0.022;0.110;0.000;6.98;-72.655;-237.601;-77.6
151.156;9;L2B;Multimodal;-245.282;-142.329;0.10;-0.022;0.110;0.000;6.98;-72.655;-237.601;-77.6
151.206;9;L2B;Multimodal;-245.276;-142.329;0.12;-0.022;0.110;0.000;6.98;-72.655;-237.601;-77.6
151.256;9;L2B;Multimodal;-245.269;-142.329;0.14;-0.022;0.110;0.000;6.98;-72.655;-237.601;-77.6
151.308;9;L2B;Multimodal;-245.261;-142.329;0.18;-0.022;0.110;0.000;6.98;-72.655;-237.601;-77.6
151.360;9;L2B;Multimodal;-245.251;-142.329;0.20;-0.022;0.150;0.000;6.98;-72.655;-237.601;-77.6
151.410;9;L2B;Multimodal;-245.240;-142.329;0.23;-0.022;0.150;0.000;6.98;-72.655;-237.601;-77.6
151.460;9;L2B;Multimodal;-245.227;-142.329;0.27;-0.022;0.160;0.000;6.98;-72.655;-237.601;-77.6
151.510;9;L2B;Multimodal;-245.213;-142.329;0.31;-0.022;0.160;0.000;6.98;-72.655;-237.601;-77.6
151.560;9;L2B;Multimodal;-245.197;-142.329;0.34;-0.022;0.170;0.000;6.98;-72.655;-237.601;-77.6
151.612;9;L2B;Multimodal;-245.178;-142.329;0.37;-0.022;0.170;0.000;6.98;-72.655;-237.601;-77.6
