Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
220.120;13;T7D;Multimodal;144.210;-239.576;0.15;0.067;0.000;0.000;21206.99;133.806;-239.554;-1.2
220.170;13;T7D;Multimodal;144.211;-239.576;0.09;0.067;0.000;0.000;18963.76;144.211;-239.576;-1.2
220.220;13;T7D;Multimodal;144.211;-239.576;0.04;0.067;0.000;0.000;18142.15;144.211;-239.576;-1.3
220.272;13;T7D;Multimodal;144.211;-239.576;0.01;0.067;0.000;0.000;17634.21;144.211;-239.576;-1.3
220.322;13;T7D;Multimodal;144.211;-239.576;0.02;0.067;0.000;0.000;17603.41;144.211;-239.576;-1.3
220.372;13;T7D;Multimodal;144.211;-239.576;0.03;0.067;0.000;0.000;17694.81;144.211;-239.576;-1.3
220.422;13;T7D;Multimodal;144.212;-239.576;0.03;0.067;0.000;0.000;17821.64;144.212;-239.576;-1.3
220.472;13;T7D;Multimodal;144.212;-239.576;0.03;0.067;0.000;0.000;17953.78;144.212;-239.576;-1.3
220.524;13;T7D;Multimodal;144.212;-239.576;0.01;0.067;0.000;0.000;18011.86;144.212;-239.576;-1.3
220.576;13;T7D;Multimodal;144.212;-239.576;0.00;0.067;0.000;0.000;18020.79;144.212;-239.576;-1.3
220.626;13;T7D;Multimodal;144.212;-239.576;0.01;0.067;0.000;0.000;17996.26;144.212;-239.576;-1.3
220.676;13;T7D;Multimodal;144.213;-239.576;0.01;0.067;0.000;0.000;17944.63;144.213;-239.576;-1.3
220.726;13;T7D;Multimodal;144.213;-239.576;0.01;0.067;0.000;0.000;17898.76;144.213;-239.576;-1.3
220.776;13;T7D;Multimodal;144.213;-239.576;0.00;0.067;0.000;0.000;17844.39;144.213;-239.576;-1.3
220.828;13;T7D;Multimodal;144.213;-239.576;0.00;0.067;0.000;0.000;17792.34;144.213;-239.576;-1.3
220.878;13;T7D;Multimodal;144.213;-239.576;0.00;0.067;0.000;0.000;17761.77;144.213;-239.576;-1.3
220.928;13;T7D;Multimodal;144.213;-239.576;0.02;0.067;0.090;0.000;7289.38;144.213;-239.576;-1.3
220.978;13;T7D;Multimodal;144.211;-239.576;0.05;0.067;0.090;0.000;3847.71;144.212;-239.576;-1.3
221.028;13;T7D;Multimodal;144.208;-239.576;0.09;0.067;0.200;0.000;2193.73;144.209;-239.576;-1.3
221.080;13;T7D;Multimodal;144.201;-239.576;0.15;0.067;0.200;0.000;1226.67;-23.341;-235.890;-1.4
221.132;13;T7D;Multimodal;144.192;-239.576;0.22;0.067;0.350;0.000;845.01;-23.160;-235.895;-1.4
221.182;13;T7D;Multimodal;144.179;-239.575;0.31;0.067;0.350;0.000;587.07;-22.925;-235.650;-1.4
221.232;13;T7D;Multimodal;144.161;-239.575;0.41;0.044;0.480;0.000;451.59;-22.765;-236.401;-1.5
221.282;13;T7D;Multimodal;144.137;-239.574;0.53;0.044;0.480;0.000;362.74;-22.599;-236.637;-1.6
221.332;13;T7D;Multimodal;144.108;-239.574;0.63;0.044;0.540;0.000;279.95;-22.361;-236.596;-1.7
221.384;13;T7D;Multimodal;144.071;-239.573;0.76;0.044;0.540;0.000;237.86;-22.181;-236.487;-1.7
221.436;13;T7D;Multimodal;144.027;-239.572;0.90;0.044;0.580;0.000;196.80;-21.947;-236.319;-1.8
221.486;13;T7D;Multimodal;143.979;-239.571;1.01;0.044;0.580;0.000;173.72;-21.767;-236.166;-1.9
