Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
44.066;3;T7C;Multimodal;38.130;-380.280;0.10;0.044;0.000;1.000;19357.60;38.130;-380.280;-1.3
44.118;3;T7C;Multimodal;38.130;-380.280;0.05;0.044;0.000;1.000;18278.41;38.130;-380.280;-1.3
44.170;3;T7C;Multimodal;38.129;-380.280;0.00;0.044;0.000;1.000;17711.16;38.129;-380.280;-1.3
44.222;3;T7C;Multimodal;38.129;-380.280;0.02;0.044;0.000;0.580;17588.11;38.129;-380.280;-1.3
44.274;3;T7C;Multimodal;38.129;-380.280;0.03;0.044;0.000;0.000;17686.34;38.129;-380.280;-1.3
44.326;3;T7C;Multimodal;38.129;-380.280;0.03;0.044;0.000;0.000;17830.00;38.129;-380.280;-1.3
44.376;3;T7C;Multimodal;38.129;-380.280;0.02;0.044;0.000;0.000;17951.55;38.129;-380.280;-1.3
44.428;3;T7C;Multimodal;38.129;-380.280;0.01;0.044;0.000;0.000;18012.94;38.129;-380.280;-1.3
44.480;3;T7C;Multimodal;38.129;-380.280;0.01;0.067;0.000;0.000;18025.36;38.129;-380.280;-1.3
44.532;3;T7C;Multimodal;38.129;-380.280;0.00;0.067;0.000;0.000;18000.19;38.129;-380.280;-1.3
44.584;3;T7C;Multimodal;38.129;-380.280;0.00;0.067;0.000;0.000;17948.26;38.129;-380.280;-1.3
44.636;3;T7C;Multimodal;38.128;-380.280;0.00;0.067;0.000;0.000;17894.25;38.128;-380.280;-1.3
44.688;3;T7C;Multimodal;38.128;-380.280;0.00;0.044;0.000;0.000;17833.10;38.128;-380.280;-1.3
44.740;3;T7C;Multimodal;38.128;-380.280;0.00;0.044;0.000;0.000;17795.48;38.128;-380.280;-1.3
44.792;3;T7C;Multimodal;38.128;-380.280;0.01;0.044;0.280;0.000;17763.05;38.128;-380.280;-1.3
44.844;3;T7C;Multimodal;38.132;-380.280;0.10;0.044;0.280;0.000;1883.04;38.131;-380.280;-1.3
44.896;3;T7C;Multimodal;38.139;-380.280;0.19;0.022;0.830;0.000;1158.94;206.042;-382.722;-1.3
44.948;3;T7C;Multimodal;38.156;-380.280;0.42;0.022;0.830;0.000;530.23;205.863;-381.597;-1.3
45.000;3;T7C;Multimodal;38.184;-380.280;0.64;0.022;1.000;0.000;303.48;205.619;-381.602;-1.5
45.052;3;T7C;Multimodal;38.224;-380.280;0.89;0.022;1.000;0.000;220.99;205.433;-381.662;-1.7
45.104;3;T7C;Multimodal;38.277;-380.281;1.12;0.022;1.000;0.000;161.88;205.186;-381.771;-1.9
45.156;3;T7C;Multimodal;38.342;-380.282;1.35;0.022;1.000;0.000;134.19;204.998;-381.872;-2.1
45.208;3;T7C;Multimodal;38.418;-380.282;1.57;0.022;1.000;0.000;114.63;204.803;-381.989;-2.2
45.260;3;T7C;Multimodal;38.507;-380.283;1.80;0.022;1.000;0.000;99.56;204.603;-382.126;-2.2
45.312;3;T7C;Multimodal;38.607;-380.284;2.02;0.022;1.000;0.000;85.25;204.348;-382.323;-2.3
45.362;3;T7C;Multimodal;38.714;-380.286;2.23;0.022;1.000;0.000;76.67;204.145;-382.496;-2.4
45.414;3;T7C;Multimodal;38.836;-380.288;2.45;0.022;1.000;0.000;69.67;203.948;-382.685;-2.4
45.466;3;T7C;Multimodal;38.970;-380.290;2.67;0.022;1.000;0.000;64.07;203.753;-382.881;-2.5
45.518;3;T7C;Multimodal;39.115;-380.292;2.89;0.022;1.000;0.000;59.49;203.562;-383.082;-2.6
45.570;3;T7C;Multimodal;39.272;-380.295;3.11;0.022;1.000;0.000;54.12;203.302;-383.383;-2.6
45.622;3;T7C;Multimodal;39.440;-380.298;3.32;0.022;1.000;0.000;50.83;203.118;-383.614;-2.7
45.674;3;T7C;Multimodal;39.619;-380.302;3.54;0.022;1.000;0.000;47.21;202.877;-383.922;-2.8
45.726;3;T7C;Multimodal;39.809;-380.307;3.75;0.022;1.000;0.000;44.79;202.691;-384.168;-2.9
45.778;3;T7C;Multimodal;40.010;-380.312;3.96;0.022;1.000;0.000;41.87;202.450;-384.520;-3.0
45.830;3;T7C;Multimodal;40.221;-380.318;4.17;0.000;1.000;0.000;40.04;202.275;-384.519;-3.0
45.882;3;T7C;Multimodal;40.444;-380.323;4.38;0.000;1.000;0.000;37.69;202.044;-384.402;-3.1
45.934;3;T7C;Multimodal;40.678;-380.329;4.58;0.000;1.000;0.000;36.13;201.869;-384.349;-3.1
45.986;3;T7C;Multimodal;40.922;-380.335;4.79;0.000;1.000;0.000;34.20;201.631;-384.303;-3.1
46.038;3;T7C;Multimodal;41.176;-380.341;4.99;-0.022;1.000;0.000;32.97;201.466;-384.059;-3.0
46.090;3;T7C;Multimodal;41.442;-380.347;5.19;-0.022;1.000;0.000;31.36;201.240;-383.575;-2.9
46.142;3;T7C;Multimodal;41.718;-380.351;5.39;-0.022;1.000;0.000;30.26;201.069;-383.221;-2.8
46.194;3;T7C;Multimodal;42.004;-380.356;5.59;-0.022;1.000;0.000;28.94;200.844;-382.747;-2.7
46.246;3;T7C;Multimodal;42.300;-380.359;5.79;-0.044;1.000;0.000;27.72;200.620;-381.951;-2.5
46.298;3;T7C;Multimodal;42.607;-380.361;5.99;-0.022;1.000;0.000;26.82;200.447;-381.216;-2.3
46.348;3;T7C;Multimodal;42.911;-380.362;6.17;-0.022;1.000;0.000;26.01;200.269;-380.781;-2.2
46.400;3;T7C;Multimodal;43.238;-380.362;6.37;-0.022;1.000;0.000;24.98;200.033;-380.195;-2.1
