Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
146.192;9;L2B;Visual;-245.290;-142.329;0.12;-0.022;0.000;0.000;5.52;-68.620;-242.001;87.4
146.242;9;L2B;Visual;-245.290;-142.329;0.06;-0.022;0.000;0.000;5.52;-68.620;-242.001;87.4
146.292;9;L2B;Visual;-245.290;-142.329;0.02;-0.022;0.000;0.000;5.52;-68.620;-242.001;87.4
146.342;9;L2B;Visual;-245.290;-142.329;0.02;-0.022;0.000;0.000;5.52;-68.620;-242.001;87.4
146.392;9;L2B;Visual;-245.290;-142.329;0.03;-0.022;0.000;0.000;5.52;-68.620;-242.001;87.4
146.444;9;L2B;Visual;-245.291;-142.329;0.03;-0.022;0.000;0.000;5.52;-68.620;-242.001;87.4
146.494;9;L2B;Visual;-245.291;-142.329;0.02;-0.022;0.000;0.000;5.52;-68.620;-242.001;87.4
146.544;9;L2B;Visual;-245.291;-142.329;0.02;-0.022;0.000;0.000;5.52;-68.620;-242.001;87.4
146.594;9;L2B;Visual;-245.291;-142.329;0.01;-0.022;0.000;0.000;5.52;-68.620;-242.001;87.4
146.644;9;L2B;Visual;-245.291;-142.329;0.00;-0.022;0.000;0.000;5.52;-68.620;-242.001;87.4
146.696;9;L2B;Visual;-245.291;-142.329;0.02;-0.022;0.410;0.000;5.52;-68.620;-242.001;87.4
146.748;9;L2B;Visual;-245.287;-142.329;0.14;-0.022;0.410;0.000;5.52;-68.620;-242.001;87.4
146.798;9;L2B;Visual;-245.277;-142.329;0.24;-0.022;0.410;0.000;5.52;-68.620;-242.001;87.4
146.848;9;L2B;Visual;-245.260;-142.329;0.43;-0.022;0.750;0.000;5.52;-68.620;-242.001;87.4
146.898;9;L2B;Visual;-245.233;-142.328;0.60;-0.022;0.750;0.000;5.52;-68.620;-242.001;87.4
146.948;9;L2B;Visual;-245.198;-142.328;0.79;-0.022;0.840;0.000;5.52;-68.620;-242.001;87.4
147.000;9;L2B;Visual;-245.151;-142.328;0.99;-0.022;0.890;0.000;5.52;-68.620;-242.001;87.4
147.050;9;L2B;Visual;-245.096;-142.327;1.19;-0.022;0.890;0.000;5.52;-68.620;-242.001;87.4
147.100;9;L2B;Visual;-245.031;-142.326;1.39;-0.022;0.940;0.000;5.52;-68.620;-242.001;87.4
147.150;9;L2B;Visual;-244.956;-142.326;1.59;-0.022;0.940;0.000;5.52;-68.620;-242.001;87.4
147.200;9;L2B;Visual;-244.871;-142.325;1.79;-0.022;0.940;0.000;5.52;-68.620;-242.001;87.4
147.252;9;L2B;Visual;-244.771;-142.323;2.02;-0.022;0.980;0.000;5.52;-68.620;-242.001;87.4
147.304;9;L2B;Visual;-244.660;-142.322;2.23;-0.022;1.000;0.000;5.52;-68.620;-242.001;87.4
147.354;9;L2B;Visual;-244.542;-142.320;2.45;-0.022;1.000;0.000;5.52;-68.620;-242.001;87.4
147.404;9;L2B;Visual;-244.414;-142.318;2.66;-0.022;1.000;0.000;5.52;-68.620;-242.001;87.4
147.454;9;L2B;Visual;-244.275;-142.315;2.87;-0.022;1.000;0.000;5.52;-68.620;-242.001;87.4
