Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
158.850;10;L2D;Audio;169.700;-240.300;0.14;0.000;0.000;0.000;0.50;-118.158;-142.904;12.3
158.900;10;L2D;Audio;169.700;-240.300;0.08;0.000;0.000;0.000;0.50;-118.158;-142.904;12.3
158.950;10;L2D;Audio;169.700;-240.300;0.08;0.000;0.680;0.000;0.50;-118.158;-142.904;12.3
159.002;10;L2D;Audio;169.690;-240.300;0.27;0.000;0.680;0.000;0.50;-118.158;-142.904;12.3
159.054;10;L2D;Audio;169.671;-240.300;0.41;0.022;0.560;0.000;0.50;-118.158;-142.904;12.3
159.104;10;L2D;Audio;169.647;-240.300;0.53;0.022;0.560;0.000;0.50;-118.158;-142.904;12.3
159.154;10;L2D;Audio;169.616;-240.300;0.69;0.022;0.650;0.000;0.50;-118.158;-142.904;12.3
159.204;10;L2D;Audio;169.578;-240.299;0.82;0.022;0.650;0.000;0.50;-118.158;-142.904;12.3
159.254;10;L2D;Audio;169.533;-240.299;0.98;0.022;0.710;0.000;0.50;-118.158;-142.904;12.3
159.306;10;L2D;Audio;169.477;-240.298;1.14;0.022;0.710;0.000;0.50;-118.158;-142.904;12.3
159.358;10;L2D;Audio;169.414;-240.298;1.30;0.022;0.690;0.000;0.50;-118.158;-142.904;12.3
159.408;10;L2D;Audio;169.345;-240.297;1.44;0.022;0.690;0.000;0.50;-118.158;-142.904;12.3
159.458;10;L2D;Audio;169.268;-240.296;1.59;0.000;0.640;0.000;0.50;-118.158;-142.904;12.3
159.508;10;L2D;Audio;169.186;-240.296;1.71;0.000;0.640;0.000;0.50;-118.158;-142.904;12.3
159.558;10;L2D;Audio;169.095;-240.295;1.88;0.022;0.760;0.000;0.50;-118.158;-142.904;12.3
159.610;10;L2D;Audio;168.993;-240.294;2.05;0.022;0.760;0.000;0.50;-118.158;-142.904;12.3
159.660;10;L2D;Audio;168.885;-240.293;2.25;0.000;1.000;0.000;0.50;-118.158;-142.904;12.3
159.710;10;L2D;Audio;168.766;-240.291;2.48;0.000;1.000;0.000;0.50;-118.158;-142.904;12.3
159.760;10;L2D;Audio;168.636;-240.290;2.69;0.000;1.000;0.000;0.50;-118.158;-142.904;12.3
159.810;10;L2D;Audio;168.496;-240.289;2.90;0.000;1.000;0.000;0.50;-118.158;-142.904;12.3
159.862;10;L2D;Audio;168.339;-240.288;3.11;0.000;1.000;0.000;0.50;-118.158;-142.904;12.3
159.914;10;L2D;Audio;168.171;-240.287;3.33;0.000;1.000;0.000;0.50;-118.158;-142.904;12.3
159.964;10;L2D;Audio;167.998;-240.285;3.53;0.000;1.000;0.000;0.50;-118.158;-142.904;12.3
160.014;10;L2D;Audio;167.816;-240.284;3.74;0.000;1.000;0.000;0.50;-118.158;-142.904;12.3
160.064;10;L2D;Audio;167.623;-240.282;3.94;0.022;1.000;0.000;0.50;-118.158;-142.904;12.3
160.114;10;L2D;Audio;167.421;-240.280;4.14;0.022;1.000;0.000;0.50;-118.158;-142.904;12.3
160.166;10;L2D;Audio;167.199;-240.277;4.35;0.022;1.000;0.000;0.50;-118.158;-142.904;12.3
160.216;10;L2D;Audio;166.976;-240.274;4.55;0.022;1.000;0.000;0.50;-118.158;-142.904;12.3
160.266;10;L2D;Audio;166.743;-240.269;4.74;0.022;1.000;0.000;0.50;-118.158;-142.904;12.3
160.316;10;L2D;Audio;166.501;-240.264;4.95;0.022;1.000;0.000;0.50;-118.158;-142.904;12.3
160.366;10;L2D;Audio;166.248;-240.259;5.14;0.022;1.000;0.000;0.50;-118.158;-142.904;12.3
160.418;10;L2D;Audio;165.976;-240.252;5.33;0.022;1.000;0.000;0.50;-118.158;-142.904;12.3
160.470;10;L2D;Audio;165.692;-240.244;5.54;0.022;1.000;0.000;0.50;-118.158;-142.904;12.3
160.520;10;L2D;Audio;165.410;-240.235;5.72;0.022;1.000;0.000;0.50;-118.158;-142.904;12.3
160.570;10;L2D;Audio;165.119;-240.225;5.92;0.022;1.000;0.000;0.50;-118.158;-142.904;12.3
160.620;10;L2D;Audio;164.818;-240.215;6.11;0.022;1.000;0.000;0.50;-118.158;-142.904;12.3
160.670;10;L2D;Audio;164.508;-240.203;6.28;0.000;1.000;0.000;0.50;-118.158;-142.904;12.3
160.722;10;L2D;Audio;164.175;-240.190;6.49;0.000;1.000;0.000;0.50;-118.158;-142.904;12.3
160.772;10;L2D;Audio;163.846;-240.177;6.67;0.000;1.000;0.000;0.50;-118.158;-142.904;12.3
160.822;10;L2D;Audio;163.507;-240.164;6.85;0.000;1.000;0.000;0.50;-118.158;-142.904;12.3
160.872;10;L2D;Audio;163.160;-240.151;7.04;0.000;1.000;0.000;0.50;-118.158;-142.904;12.3
160.922;10;L2D;Audio;162.803;-240.136;7.22;0.000;1.000;0.000;0.50;-118.158;-142.904;12.3
160.974;10;L2D;Audio;162.423;-240.122;7.41;0.000;1.000;0.000;0.50;-118.158;-142.904;12.3
161.026;10;L2D;Audio;162.033;-240.106;7.58;0.000;1.000;0.000;0.50;-118.158;-142.904;12.3
161.076;10;L2D;Audio;161.649;-240.091;7.77;0.000;1.000;0.000;0.50;-118.158;-142.904;12.3
161.126;10;L2D;Audio;161.256;-240.075;7.95;0.000;1.000;0.000;0.50;-118.158;-142.904;12.3
161.176;10;L2D;Audio;160.854;-240.059;8.11;0.000;1.000;0.000;0.50;-118.158;-142.904;12.3
161.226;10;L2D;Audio;160.444;-240.043;8.29;0.000;1.000;0.000;0.50;-118.158;-142.904;12.3
161.278;10;L2D;Audio;160.008;-240.026;8.48;0.000;1.000;0.000;0.50;-118.158;-142.904;12.3
161.330;10;L2D;Audio;159.562;-240.008;8.65;0.000;1.000;0.000;0.50;-118.158;-142.904;12.3
161.380;10;L2D;Audio;159.125;-239.990;8.82;0.000;1.000;0.000;0.50;-118.158;-142.904;12.3
161.430;10;L2D;Audio;158.680;-239.972;8.99;0.000;1.000;0.000;0.50;-118.158;-142.904;12.3
161.480;10;L2D;Audio;158.226;-239.954;9.16;0.000;1.000;0.000;0.50;-118.158;-142.904;12.3
161.530;10;L2D;Audio;157.764;-239.936;9.32;0.000;1.000;0.000;0.50;-118.158;-142.904;12.3
161.582;10;L2D;Audio;157.274;-239.916;9.50;0.000;1.000;0.000;0.50;-118.158;-142.904;12.3
161.632;10;L2D;Audio;156.795;-239.897;9.67;0.000;1.000;0.000;0.50;-118.158;-142.904;12.3
161.682;10;L2D;Audio;156.307;-239.877;9.83;0.000;1.000;0.000;0.50;-118.158;-142.904;12.3
161.732;10;L2D;Audio;155.812;-239.857;9.99;0.000;1.000;0.000;0.50;-118.158;-142.904;12.3
161.782;10;L2D;Audio;155.309;-239.838;10.15;-0.022;1.000;0.000;0.50;-118.158;-142.904;12.3
161.834;10;L2D;Audio;154.776;-239.817;10.31;-0.022;1.000;0.000;0.50;-118.158;-142.904;12.3
161.886;10;L2D;Audio;154.236;-239.798;10.48;-0.022;1.000;0.000;0.50;-118.158;-142.904;12.3
161.936;10;L2D;Audio;153.708;-239.780;10.64;-0.022;1.000;0.000;0.50;-118.158;-142.904;12.3
161.986;10;L2D;Audio;153.171;-239.764;10.79;-0.022;1.000;0.000;0.50;-118.158;-142.904;12.3
162.036;10;L2D;Audio;152.627;-239.748;10.96;-0.022;1.000;0.000;0.50;-118.158;-142.904;12.3
162.086;10;L2D;Audio;152.075;-239.735;11.11;-0.022;1.000;0.000;0.50;-118.158;-142.904;12.3
162.138;10;L2D;Audio;151.493;-239.722;11.27;-0.022;1.000;0.000;0.50;-118.158;-142.904;12.3
162.188;10;L2D;Audio;150.925;-239.712;11.42;-0.022;1.000;0.000;0.50;-118.158;-142.904;12.3
162.238;10;L2D;Audio;150.350;-239.703;11.57;-0.022;1.000;0.000;0.50;-118.158;-142.904;12.3
162.288;10;L2D;Audio;149.767;-239.697;11.73;-0.022;1.000;0.000;0.50;-118.158;-142.904;12.3
162.338;10;L2D;Audio;149.176;-239.692;11.88;-0.022;1.000;0.000;0.50;-118.158;-142.904;12.3
162.390;10;L2D;Audio;148.554;-239.689;12.03;-0.022;1.000;0.000;0.50;-118.158;-142.904;12.3
162.442;10;L2D;Audio;147.924;-239.689;12.18;-0.022;1.000;0.000;0.50;-118.158;-142.904;12.3
162.492;10;L2D;Audio;147.311;-239.691;12.33;0.000;1.000;0.000;0.50;-118.158;-142.904;12.3
162.542;10;L2D;Audio;146.691;-239.695;12.48;0.000;1.000;0.000;0.50;-118.158;-142.904;12.3
