Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
0.146;1;L2B;Audio;-245.289;-142.329;0.21;0.044;0.000;0.000;Infinity;0.000;0.000;0.0
0.198;1;L2B;Audio;-245.289;-142.329;0.16;0.044;0.000;0.000;Infinity;0.000;0.000;0.0
0.250;1;L2B;Audio;-245.290;-142.329;0.10;0.044;0.000;0.000;Infinity;0.000;0.000;0.0
0.300;1;L2B;Audio;-245.290;-142.329;0.05;0.044;0.000;0.000;Infinity;0.000;0.000;0.0
0.350;1;L2B;Audio;-245.290;-142.329;0.01;0.044;0.000;0.000;Infinity;0.000;0.000;0.0
0.402;1;L2B;Audio;-245.290;-142.329;0.02;0.044;0.000;0.000;Infinity;0.000;0.000;0.0
0.452;1;L2B;Audio;-245.290;-142.329;0.03;0.044;0.000;0.000;Infinity;0.000;0.000;0.0
0.502;1;L2B;Audio;-245.291;-142.329;0.03;0.044;0.000;0.000;Infinity;0.000;0.000;0.0
0.552;1;L2B;Audio;-245.291;-142.329;0.02;0.044;0.000;0.000;Infinity;0.000;0.000;0.0
0.602;1;L2B;Audio;-245.291;-142.329;0.02;0.044;0.000;0.000;Infinity;0.000;0.000;0.0
0.654;1;L2B;Audio;-245.291;-142.329;0.01;0.044;0.000;0.000;Infinity;0.000;0.000;0.0
0.704;1;L2B;Audio;-245.291;-142.329;0.01;0.044;0.000;0.000;Infinity;0.000;0.000;0.0
0.756;1;L2B;Audio;-245.292;-142.329;0.01;0.044;0.000;0.000;Infinity;0.000;0.000;0.0
0.806;1;L2B;Audio;-245.292;-142.329;0.01;0.044;0.000;0.000;Infinity;0.000;0.000;0.0
0.856;1;L2B;Audio;-245.292;-142.329;0.00;0.044;0.000;0.000;Infinity;0.000;0.000;0.0
0.908;1;L2B;Audio;-245.292;-142.329;0.00;0.044;0.140;0.000;Infinity;0.000;0.000;0.0
0.958;1;L2B;Audio;-245.291;-142.329;0.04;0.044;0.140;0.000;Infinity;0.000;0.000;0.0
1.010;1;L2B;Audio;-245.288;-142.329;0.08;0.044;0.140;0.000;Infinity;0.000;0.000;0.0
1.060;1;L2B;Audio;-245.282;-142.329;0.15;0.044;0.320;0.000;Infinity;0.000;0.000;0.0
1.112;1;L2B;Audio;-245.272;-142.329;0.23;0.044;0.320;0.000;Infinity;0.000;0.000;0.0
1.164;1;L2B;Audio;-245.257;-142.329;0.31;0.044;0.350;0.000;Infinity;0.000;0.000;0.0
1.214;1;L2B;Audio;-245.240;-142.329;0.40;0.044;0.360;0.000;Infinity;0.000;0.000;0.0
1.266;1;L2B;Audio;-245.217;-142.330;0.47;0.044;0.360;0.000;Infinity;0.000;0.000;0.0
1.316;1;L2B;Audio;-245.191;-142.330;0.56;0.044;0.360;0.000;Infinity;0.000;0.000;0.0
1.368;1;L2B;Audio;-245.159;-142.331;0.64;0.044;0.360;0.000;Infinity;0.000;0.000;0.0
1.418;1;L2B;Audio;-245.125;-142.331;0.72;0.044;0.360;0.000;Infinity;0.000;0.000;0.0
1.470;1;L2B;Audio;-245.086;-142.332;0.79;0.044;0.360;0.000;Infinity;0.000;0.000;0.0
1.520;1;L2B;Audio;-245.044;-142.333;0.87;0.044;0.360;0.000;Infinity;0.000;0.000;0.0
1.572;1;L2B;Audio;-244.997;-142.334;0.95;0.044;0.350;0.000;Infinity;0.000;0.000;0.0
1.622;1;L2B;Audio;-244.947;-142.335;1.02;0.044;0.280;0.000;Infinity;0.000;0.000;0.0
