Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
49.130;4;C1D;Control;169.700;-240.300;0.14;0.200;0.000;0.000;26952.41;154.359;-240.227;5.1
49.180;4;C1D;Control;169.700;-240.300;0.08;0.200;0.000;0.000;25077.73;169.700;-240.300;5.1
49.232;4;C1D;Control;169.701;-240.300;0.03;0.178;0.000;0.000;23851.49;169.701;-240.300;5.1
49.284;4;C1D;Control;169.701;-240.300;0.01;0.178;0.000;0.000;23553.12;169.701;-240.300;5.1
49.336;4;C1D;Control;169.701;-240.300;0.03;0.156;0.000;0.000;23611.94;169.701;-240.300;5.1
49.388;4;C1D;Control;169.701;-240.300;0.03;0.156;0.000;0.000;23847.00;169.701;-240.300;5.1
49.438;4;C1D;Control;169.701;-240.300;0.03;0.133;0.000;0.000;24026.28;169.701;-240.300;5.1
49.490;4;C1D;Control;169.702;-240.300;0.02;0.111;0.000;0.000;24190.38;169.702;-240.300;5.1
49.542;4;C1D;Control;169.702;-240.300;0.01;0.111;0.000;0.000;24254.93;169.702;-240.300;5.1
49.594;4;C1D;Control;169.702;-240.300;0.00;0.111;0.000;0.000;24258.21;169.702;-240.300;5.1
49.646;4;C1D;Control;169.702;-240.300;0.01;0.111;0.000;0.000;24212.08;169.702;-240.300;5.1
49.698;4;C1D;Control;169.703;-240.300;0.01;0.111;0.000;0.000;24166.32;169.703;-240.300;5.1
49.750;4;C1D;Control;169.703;-240.300;0.01;0.111;0.000;0.000;24115.01;169.703;-240.300;5.1
49.802;4;C1D;Control;169.703;-240.300;0.00;0.089;0.000;0.000;24071.62;169.703;-240.300;5.1
49.854;4;C1D;Control;169.703;-240.300;0.00;0.089;0.000;0.000;24052.58;169.703;-240.300;5.1
49.906;4;C1D;Control;169.703;-240.300;0.00;0.044;0.000;0.000;24043.68;169.703;-240.300;5.1
49.958;4;C1D;Control;169.703;-240.300;0.00;0.044;0.000;0.000;24036.56;169.703;-240.300;5.1
50.010;4;C1D;Control;169.703;-240.300;0.00;0.044;0.000;0.000;24044.59;169.703;-240.300;5.1
50.062;4;C1D;Control;169.703;-240.300;0.00;0.044;0.000;0.000;24054.68;169.703;-240.300;5.1
50.114;4;C1D;Control;169.703;-240.300;0.01;0.044;0.170;0.000;24066.10;169.703;-240.300;5.1
50.166;4;C1D;Control;169.701;-240.300;0.06;0.044;0.170;0.000;4590.38;169.702;-240.300;5.1
50.218;4;C1D;Control;169.697;-240.300;0.13;0.044;0.480;0.000;2003.14;-57.439;-237.509;5.1
50.270;4;C1D;Control;169.687;-240.300;0.25;0.044;0.480;0.000;1105.41;-57.428;-237.228;5.1
50.322;4;C1D;Control;169.670;-240.300;0.38;0.044;0.610;0.000;665.94;-57.421;-236.895;5.1
50.374;4;C1D;Control;169.646;-240.299;0.53;0.044;0.610;0.000;492.85;-57.417;-236.745;5.1
50.424;4;C1D;Control;169.615;-240.299;0.68;0.044;0.750;0.000;365.59;-57.415;-236.559;5.1
50.476;4;C1D;Control;169.574;-240.298;0.86;0.044;0.750;0.000;298.64;-57.413;-236.413;5.1
50.528;4;C1D;Control;169.525;-240.297;1.04;0.044;0.790;0.000;238.04;-57.410;-236.147;5.0
50.580;4;C1D;Control;169.465;-240.296;1.22;0.044;0.790;0.000;197.91;-57.406;-235.846;5.0
50.632;4;C1D;Control;169.397;-240.295;1.40;0.044;0.790;0.000;174.87;-57.402;-235.568;4.9
50.684;4;C1D;Control;169.319;-240.293;1.57;0.044;0.790;0.000;152.41;-57.394;-235.172;4.8
50.736;4;C1D;Control;169.232;-240.291;1.76;0.044;0.830;0.000;134.76;-57.385;-234.731;4.7
50.788;4;C1D;Control;169.135;-240.288;1.95;0.044;0.830;0.000;123.78;-57.377;-234.367;4.6
50.840;4;C1D;Control;169.028;-240.285;2.14;0.044;0.870;0.000;111.04;-57.362;-233.823;4.5
50.892;4;C1D;Control;168.912;-240.281;2.33;0.044;0.870;0.000;100.81;-57.346;-233.244;4.3
50.944;4;C1D;Control;168.785;-240.277;2.52;0.044;0.880;0.000;92.59;-57.327;-232.637;4.2
50.996;4;C1D;Control;168.649;-240.272;2.71;0.044;0.880;0.000;86.81;-57.308;-232.107;4.0
51.048;4;C1D;Control;168.503;-240.267;2.89;0.044;0.880;0.000;80.44;-57.282;-231.388;3.8
51.100;4;C1D;Control;168.347;-240.260;3.09;0.044;0.880;0.000;74.97;-57.251;-230.620;3.6
51.152;4;C1D;Control;168.181;-240.252;3.30;0.044;0.990;0.000;70.86;-57.223;-229.987;3.5
51.204;4;C1D;Control;168.003;-240.244;3.51;0.044;0.990;0.000;66.07;-57.183;-229.142;3.3
51.256;4;C1D;Control;167.814;-240.234;3.73;0.044;1.000;0.000;61.87;-57.138;-228.250;3.1
51.308;4;C1D;Control;167.615;-240.222;3.94;0.044;1.000;0.000;58.94;-57.098;-227.518;2.9
51.360;4;C1D;Control;167.404;-240.210;4.15;0.044;1.000;0.000;55.48;-57.038;-226.511;2.7
51.410;4;C1D;Control;167.192;-240.196;4.35;0.044;1.000;0.000;53.23;-56.991;-225.751;2.6
51.462;4;C1D;Control;166.961;-240.180;4.55;0.044;1.000;0.000;50.50;-56.921;-224.701;2.4
51.514;4;C1D;Control;166.719;-240.162;4.76;0.044;1.000;0.000;47.97;-56.840;-223.570;2.2
51.566;4;C1D;Control;166.466;-240.143;4.96;0.022;1.000;0.000;46.29;-56.800;-223.040;2.1
51.618;4;C1D;Control;166.203;-240.122;5.17;0.022;1.000;0.000;44.18;-56.756;-222.478;2.1
51.670;4;C1D;Control;165.929;-240.100;5.37;0.000;1.000;0.000;42.25;-56.745;-222.329;2.1
51.722;4;C1D;Control;165.646;-240.078;5.56;0.000;1.000;0.000;40.95;-56.744;-222.316;2.1
51.774;4;C1D;Control;165.352;-240.055;5.75;-0.022;1.000;0.000;39.46;-56.765;-222.589;2.1
51.826;4;C1D;Control;165.048;-240.031;5.95;-0.044;1.000;0.000;37.88;-56.811;-223.182;2.1
51.878;4;C1D;Control;164.733;-240.008;6.16;-0.044;1.000;0.000;36.85;-56.874;-224.030;2.2
51.930;4;C1D;Control;164.408;-239.987;6.35;-0.044;1.000;0.000;35.52;-56.962;-225.291;2.5
51.982;4;C1D;Control;164.073;-239.966;6.54;-0.044;1.000;0.000;34.58;-57.027;-226.314;2.7
52.034;4;C1D;Control;163.728;-239.947;6.72;-0.044;1.000;0.000;33.37;-57.113;-227.780;3.0
52.086;4;C1D;Control;163.373;-239.929;6.92;-0.044;1.000;0.000;32.47;-57.177;-228.998;3.3
52.138;4;C1D;Control;163.008;-239.913;7.11;-0.044;1.000;0.000;31.52;-57.243;-230.406;3.7
52.190;4;C1D;Control;162.633;-239.898;7.30;-0.044;1.000;0.000;30.72;-57.295;-231.688;4.0
52.242;4;C1D;Control;162.249;-239.886;7.48;-0.044;1.000;0.000;29.82;-57.349;-233.268;4.4
52.292;4;C1D;Control;161.870;-239.877;7.65;-0.044;1.000;0.000;29.17;-57.383;-234.487;4.8
52.344;4;C1D;Control;161.467;-239.869;7.84;-0.022;1.000;0.000;28.33;-57.417;-236.072;5.2
52.396;4;C1D;Control;161.054;-239.864;8.03;-0.022;1.000;0.000;27.76;-57.431;-236.935;5.4
52.448;4;C1D;Control;160.632;-239.860;8.20;-0.022;1.000;0.000;27.00;-57.445;-238.078;5.6
52.500;4;C1D;Control;160.200;-239.858;8.38;-0.022;1.000;0.000;26.44;-57.452;-238.894;5.8
