Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
16.706;2;L2D;Visual;169.701;-240.300;0.01;0.000;0.000;0.000;0.49;168.397;-379.685;12.7
16.758;2;L2D;Visual;169.701;-240.300;0.02;0.000;0.000;0.000;0.49;168.397;-379.685;12.7
16.810;2;L2D;Visual;169.701;-240.300;0.03;0.000;0.000;0.000;0.49;168.397;-379.685;12.7
16.862;2;L2D;Visual;169.701;-240.300;0.03;0.000;0.000;0.000;0.49;168.397;-379.685;12.7
16.914;2;L2D;Visual;169.702;-240.300;0.02;0.000;0.000;0.000;0.49;168.397;-379.685;12.7
16.966;2;L2D;Visual;169.702;-240.300;0.02;0.000;0.000;0.000;0.49;168.397;-379.685;12.7
17.018;2;L2D;Visual;169.702;-240.300;0.01;0.000;0.000;0.000;0.49;168.397;-379.685;12.7
17.070;2;L2D;Visual;169.702;-240.300;0.01;0.000;0.000;0.000;0.49;168.397;-379.685;12.7
17.122;2;L2D;Visual;169.702;-240.300;0.01;0.000;0.000;0.000;0.49;168.397;-379.685;12.7
17.174;2;L2D;Visual;169.703;-240.300;0.01;0.000;0.000;0.000;0.49;168.397;-379.685;12.7
17.226;2;L2D;Visual;169.703;-240.300;0.00;0.000;0.000;0.000;0.49;168.397;-379.685;12.7
17.278;2;L2D;Visual;169.703;-240.300;0.00;0.000;0.000;0.000;0.49;168.397;-379.685;12.7
17.328;2;L2D;Visual;169.703;-240.300;0.00;0.000;0.000;0.000;0.49;168.397;-379.685;12.7
17.380;2;L2D;Visual;169.703;-240.300;0.00;0.000;0.000;0.000;0.49;168.397;-379.685;12.7
17.432;2;L2D;Visual;169.703;-240.300;0.00;0.000;0.000;0.000;0.49;168.397;-379.685;12.7
17.484;2;L2D;Visual;169.703;-240.300;0.00;0.000;0.000;0.000;0.49;168.397;-379.685;12.7
17.536;2;L2D;Visual;169.703;-240.300;0.00;0.000;0.000;0.000;0.49;168.397;-379.685;12.7
17.588;2;L2D;Visual;169.703;-240.300;0.00;0.000;0.000;0.000;0.49;168.397;-379.685;12.7
17.640;2;L2D;Visual;169.703;-240.300;0.00;0.000;0.000;0.000;0.49;168.397;-379.685;12.7
17.692;2;L2D;Visual;169.703;-240.300;0.00;0.000;0.030;0.000;0.49;168.397;-379.685;12.7
17.744;2;L2D;Visual;169.703;-240.300;0.00;0.000;0.030;0.000;0.49;168.397;-379.685;12.7
17.796;2;L2D;Visual;169.702;-240.300;0.04;0.000;0.130;0.000;0.49;168.397;-379.685;12.7
17.848;2;L2D;Visual;169.700;-240.300;0.07;0.000;0.250;0.000;0.49;168.397;-379.685;12.7
17.900;2;L2D;Visual;169.694;-240.300;0.14;0.000;0.250;0.000;0.49;168.397;-379.685;12.7
17.952;2;L2D;Visual;169.685;-240.300;0.19;0.000;0.250;0.000;0.49;168.397;-379.685;12.7
18.004;2;L2D;Visual;169.673;-240.300;0.27;0.000;0.290;0.000;0.49;168.397;-379.685;12.7
18.056;2;L2D;Visual;169.658;-240.300;0.33;0.000;0.290;0.000;0.49;168.397;-379.685;12.7
18.108;2;L2D;Visual;169.638;-240.300;0.40;0.000;0.310;0.000;0.49;168.397;-379.685;12.7
18.160;2;L2D;Visual;169.615;-240.300;0.47;0.000;0.360;0.000;0.49;168.397;-379.685;12.7
18.212;2;L2D;Visual;169.588;-240.300;0.56;0.000;0.360;0.000;0.49;168.397;-379.685;12.7
18.264;2;L2D;Visual;169.557;-240.300;0.64;0.000;0.400;0.000;0.49;168.397;-379.685;12.7
18.314;2;L2D;Visual;169.522;-240.300;0.72;0.000;0.400;0.000;0.49;168.397;-379.685;12.7
18.366;2;L2D;Visual;169.481;-240.300;0.82;0.000;0.430;0.000;0.49;168.397;-379.685;12.7
