Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
80.288;6;T7A;Audio;-282.070;-285.100;0.10;0.000;0.020;0.000;21558.81;-282.071;-270.717;-1.2
80.338;6;T7A;Audio;-282.070;-285.100;0.05;0.000;0.020;0.000;20789.46;-282.070;-285.100;-1.2
80.390;6;T7A;Audio;-282.070;-285.100;0.01;0.000;0.010;0.000;19413.56;-282.070;-285.100;-1.3
80.442;6;T7A;Audio;-282.070;-285.100;0.02;0.000;0.010;0.000;18958.27;-282.070;-285.100;-1.3
80.492;6;T7A;Audio;-282.070;-285.099;0.03;0.000;0.010;0.000;18861.21;-282.070;-285.099;-1.3
80.542;6;T7A;Audio;-282.070;-285.099;0.03;0.000;0.020;0.000;19011.79;-282.070;-285.099;-1.3
80.594;6;T7A;Audio;-282.070;-285.098;0.03;0.000;0.020;0.000;19972.19;-282.070;-285.098;-1.3
80.644;6;T7A;Audio;-282.070;-285.098;0.01;0.000;0.020;0.000;20400.49;-282.070;-285.098;-1.3
80.696;6;T7A;Audio;-282.070;-285.098;0.02;0.000;0.100;0.000;7625.06;-282.070;-285.098;-1.3
80.748;6;T7A;Audio;-282.070;-285.096;0.06;0.000;0.270;0.000;3463.59;-282.070;-285.096;-1.3
80.798;6;T7A;Audio;-282.070;-285.091;0.14;0.000;0.270;0.000;1593.78;-282.070;-115.138;-1.3
80.848;6;T7A;Audio;-282.070;-285.083;0.20;0.000;0.270;0.000;1033.76;-282.070;-115.345;-1.3
80.900;6;T7A;Audio;-282.070;-285.070;0.29;0.000;0.400;0.000;693.09;-282.070;-115.525;-1.4
80.950;6;T7A;Audio;-282.070;-285.053;0.38;0.000;0.490;0.000;474.46;-282.070;-115.754;-1.5
81.000;6;T7A;Audio;-282.070;-285.031;0.49;0.000;0.490;0.000;370.13;-282.070;-115.935;-1.5
81.052;6;T7A;Audio;-282.070;-285.002;0.61;0.000;0.490;0.000;303.50;-282.070;-116.111;-1.6
81.102;6;T7A;Audio;-282.070;-284.968;0.72;0.000;0.520;0.000;253.99;-282.070;-116.297;-1.6
81.154;6;T7A;Audio;-282.070;-284.927;0.84;0.000;0.580;0.000;208.02;-282.070;-116.552;-1.7
81.206;6;T7A;Audio;-282.070;-284.879;0.98;0.000;0.580;0.000;181.69;-282.070;-116.739;-1.7
81.256;6;T7A;Audio;-282.070;-284.827;1.11;0.000;0.600;0.000;160.55;-282.070;-116.925;-1.7
81.306;6;T7A;Audio;-282.070;-284.768;1.24;0.000;0.600;0.000;143.32;-282.070;-117.119;-1.7
81.358;6;T7A;Audio;-282.070;-284.700;1.37;0.000;0.600;0.000;129.46;-282.070;-117.311;-1.8
81.408;6;T7A;Audio;-282.070;-284.628;1.51;0.000;0.640;0.000;114.05;-282.070;-117.567;-1.8
81.460;6;T7A;Audio;-282.070;-284.545;1.65;0.000;0.690;0.000;104.58;-282.070;-117.759;-1.8
81.512;6;T7A;Audio;-282.070;-284.454;1.80;0.000;0.690;0.000;95.98;-282.070;-117.947;-1.8
81.562;6;T7A;Audio;-282.070;-284.360;1.95;0.000;0.690;0.000;88.98;-282.070;-118.132;-1.8
81.612;6;T7A;Audio;-282.070;-284.258;2.09;0.000;0.730;0.000;80.69;-282.070;-118.379;-1.9
81.664;6;T7A;Audio;-282.070;-284.144;2.27;0.000;0.760;0.000;75.42;-282.070;-118.565;-1.9
81.714;6;T7A;Audio;-282.070;-284.026;2.43;0.000;0.760;0.000;70.42;-282.070;-118.756;-1.9
81.764;6;T7A;Audio;-282.070;-283.900;2.58;0.000;0.760;0.000;66.22;-282.070;-118.944;-1.9
81.816;6;T7A;Audio;-282.070;-283.761;2.75;0.000;0.780;0.000;62.13;-282.070;-119.139;-1.9
81.866;6;T7A;Audio;-282.070;-283.619;2.91;0.000;0.790;0.000;57.53;-282.070;-119.399;-2.0
81.918;6;T7A;Audio;-282.070;-283.463;3.08;0.000;0.790;0.000;54.24;-282.070;-119.601;-2.0
81.970;6;T7A;Audio;-282.070;-283.298;3.23;0.000;0.790;0.000;51.62;-282.070;-119.788;-2.0
82.020;6;T7A;Audio;-282.070;-283.132;3.40;0.000;0.790;0.000;49.15;-282.070;-119.980;-2.0
82.070;6;T7A;Audio;-282.070;-282.957;3.56;0.000;0.800;0.000;47.00;-282.070;-120.162;-2.0
82.122;6;T7A;Audio;-282.070;-282.767;3.72;0.000;0.800;0.000;44.84;-282.070;-120.364;-2.0
82.172;6;T7A;Audio;-282.070;-282.577;3.88;0.000;0.820;0.000;42.42;-282.070;-120.613;-2.0
82.224;6;T7A;Audio;-282.070;-282.370;4.06;0.000;0.820;0.000;40.67;-282.070;-120.805;-2.0
82.276;6;T7A;Audio;-282.070;-282.154;4.21;0.000;0.840;0.000;39.07;-282.070;-120.997;-2.0
82.326;6;T7A;Audio;-282.070;-281.939;4.38;0.000;0.840;0.000;37.48;-282.070;-121.190;-2.0
82.376;6;T7A;Audio;-282.070;-281.715;4.55;0.000;0.840;0.000;36.13;-282.070;-121.377;-2.0
82.428;6;T7A;Audio;-282.070;-281.474;4.71;0.000;0.850;0.000;34.45;-282.070;-121.625;-2.0
82.478;6;T7A;Audio;-282.070;-281.233;4.87;0.000;0.850;0.000;33.29;-282.070;-121.806;-2.1
82.528;6;T7A;Audio;-282.070;-280.985;5.04;0.000;0.850;0.000;32.16;-282.070;-122.001;-2.1
82.580;6;T7A;Audio;-282.070;-280.718;5.22;0.000;0.850;0.000;30.81;-282.070;-122.249;-2.1
82.630;6;T7A;Audio;-282.070;-280.453;5.36;0.000;0.850;0.000;29.84;-282.070;-122.441;-2.1
82.682;6;T7A;Audio;-282.070;-280.170;5.52;0.000;0.860;0.000;28.92;-282.070;-122.629;-2.1
82.734;6;T7A;Audio;-282.070;-279.877;5.71;0.000;0.860;0.000;28.05;-282.070;-122.823;-2.1
82.784;6;T7A;Audio;-282.070;-279.588;5.84;0.000;0.950;0.000;27.03;-282.070;-123.060;-2.1
82.834;6;T7A;Audio;-282.070;-279.290;6.04;0.000;0.950;0.000;26.22;-282.070;-123.249;-2.1
82.886;6;T7A;Audio;-282.070;-278.971;6.23;0.000;1.000;0.000;25.41;-282.070;-123.441;-2.1
82.936;6;T7A;Audio;-282.070;-278.655;6.41;0.000;1.000;0.000;24.62;-282.070;-123.631;-2.1
82.986;6;T7A;Audio;-282.070;-278.329;6.61;0.000;1.000;0.000;23.68;-282.070;-123.872;-2.2
83.038;6;T7A;Audio;-282.070;-277.980;6.79;0.000;1.000;0.000;22.98;-282.070;-124.062;-2.2
83.088;6;T7A;Audio;-282.070;-277.635;6.99;0.000;1.000;0.000;22.32;-282.070;-124.255;-2.2
83.140;6;T7A;Audio;-282.070;-277.267;7.16;0.000;1.000;0.000;21.61;-282.070;-124.466;-2.2
83.192;6;T7A;Audio;-282.070;-276.889;7.35;0.000;1.000;0.000;20.95;-282.070;-124.682;-2.3
83.242;6;T7A;Audio;-282.070;-276.517;7.52;0.000;1.000;0.000;20.49;-282.070;-124.844;-2.3
83.292;6;T7A;Audio;-282.070;-276.136;7.71;0.000;1.000;0.000;19.88;-282.070;-125.060;-2.3
83.344;6;T7A;Audio;-282.070;-275.730;7.89;0.000;1.000;0.000;19.34;-282.070;-125.265;-2.3
83.394;6;T7A;Audio;-282.070;-275.331;8.06;0.000;1.000;0.000;18.84;-282.070;-125.464;-2.3
83.446;6;T7A;Audio;-282.070;-274.907;8.24;0.000;1.000;0.000;18.36;-282.070;-125.668;-2.3
83.498;6;T7A;Audio;-282.070;-274.473;8.42;0.000;1.000;0.000;17.88;-282.070;-125.871;-2.3
83.548;6;T7A;Audio;-282.070;-274.047;8.59;0.000;1.000;0.000;17.45;-282.070;-126.073;-2.3
83.598;6;T7A;Audio;-282.070;-273.613;8.76;0.000;1.000;0.000;17.01;-282.070;-126.277;-2.3
83.650;6;T7A;Audio;-282.070;-273.152;8.94;0.000;1.000;0.000;16.60;-282.070;-126.486;-2.3
83.700;6;T7A;Audio;-282.070;-272.699;9.12;0.000;1.000;0.000;16.20;-282.070;-126.693;-2.3
83.750;6;T7A;Audio;-282.070;-272.238;9.29;0.000;1.000;0.000;15.85;-282.070;-126.887;-2.3
83.802;6;T7A;Audio;-282.070;-271.751;9.45;0.000;1.000;0.000;15.49;-282.070;-127.087;-2.3
83.852;6;T7A;Audio;-282.070;-271.273;9.61;0.000;1.000;0.000;15.16;-282.070;-127.276;-2.3
83.904;6;T7A;Audio;-282.070;-270.768;9.78;0.000;1.000;0.000;14.76;-282.070;-127.528;-2.3
83.956;6;T7A;Audio;-282.070;-270.255;9.95;0.000;1.000;0.000;14.47;-282.070;-127.710;-2.3
84.006;6;T7A;Audio;-282.070;-269.752;10.12;0.000;1.000;0.000;14.18;-282.070;-127.901;-2.3
84.056;6;T7A;Audio;-282.070;-269.241;10.30;0.000;1.000;0.000;13.91;-282.070;-128.087;-2.3
84.108;6;T7A;Audio;-282.070;-268.701;10.45;0.000;1.000;0.000;13.54;-282.070;-128.338;-2.3
84.158;6;T7A;Audio;-282.070;-268.174;10.60;0.000;1.000;0.000;13.29;-282.070;-128.524;-2.3
84.208;6;T7A;Audio;-282.070;-267.639;10.76;0.000;1.000;0.000;13.05;-282.070;-128.706;-2.3
84.260;6;T7A;Audio;-282.070;-267.075;10.93;0.000;1.000;0.000;12.80;-282.070;-128.898;-2.3
84.310;6;T7A;Audio;-282.070;-266.525;11.08;0.000;1.000;0.000;12.48;-282.070;-129.154;-2.3
84.362;6;T7A;Audio;-282.070;-265.944;11.25;0.000;1.000;0.000;12.26;-282.070;-129.336;-2.3
84.414;6;T7A;Audio;-282.070;-265.355;11.40;0.000;1.000;0.000;12.04;-282.070;-129.524;-2.3
84.464;6;T7A;Audio;-282.070;-264.779;11.57;0.000;1.000;0.000;11.76;-282.070;-129.772;-2.3
84.514;6;T7A;Audio;-282.070;-264.197;11.72;0.000;1.000;0.000;11.55;-282.070;-129.966;-2.4
84.566;6;T7A;Audio;-282.070;-263.583;11.86;0.000;1.000;0.000;11.33;-282.070;-130.169;-2.4
84.616;6;T7A;Audio;-282.070;-262.986;12.01;0.000;1.000;0.000;11.13;-282.070;-130.359;-2.4
84.668;6;T7A;Audio;-282.070;-262.357;12.16;0.000;1.000;0.000;10.93;-282.070;-130.550;-2.4
84.720;6;T7A;Audio;-282.070;-261.720;12.31;0.000;1.000;0.000;10.75;-282.070;-130.735;-2.4
84.770;6;T7A;Audio;-282.070;-261.100;12.47;0.000;1.000;0.000;10.50;-282.070;-130.988;-2.4
84.820;6;T7A;Audio;-282.070;-260.472;12.60;0.000;0.900;0.000;10.32;-282.070;-131.179;-2.4
84.872;6;T7A;Audio;-282.070;-259.813;12.73;0.000;0.900;0.000;10.17;-282.070;-131.363;-2.4
84.922;6;T7A;Audio;-282.070;-259.173;12.83;0.000;0.810;0.000;10.02;-282.070;-131.551;-2.4
84.972;6;T7A;Audio;-282.070;-258.529;12.94;0.000;0.810;0.000;9.88;-282.070;-131.742;-2.4
85.024;6;T7A;Audio;-282.070;-257.853;13.03;0.000;0.750;0.000;9.71;-282.070;-131.988;-2.3
85.074;6;T7A;Audio;-282.070;-257.198;13.11;0.000;0.750;0.000;9.59;-282.070;-132.172;-2.3
85.126;6;T7A;Audio;-282.070;-256.514;13.20;0.000;0.650;0.000;9.47;-282.070;-132.360;-2.3
85.178;6;T7A;Audio;-282.070;-255.826;13.26;0.000;0.650;0.000;9.33;-282.070;-132.608;-2.3
85.228;6;T7A;Audio;-282.070;-255.161;13.31;0.000;0.550;0.000;9.24;-282.070;-132.794;-2.3
85.278;6;T7A;Audio;-282.070;-254.495;13.34;0.000;0.550;0.000;9.15;-282.070;-132.979;-2.2
85.330;6;T7A;Audio;-282.070;-253.800;13.37;0.000;0.490;0.000;9.06;-282.070;-133.173;-2.2
85.380;6;T7A;Audio;-282.070;-253.131;13.40;0.000;0.490;0.000;8.96;-282.070;-133.420;-2.2
85.432;6;T7A;Audio;-282.070;-252.433;13.42;0.000;0.460;0.000;8.88;-282.070;-133.614;-2.1
85.484;6;T7A;Audio;-282.070;-251.735;13.44;0.000;0.460;0.000;8.81;-282.070;-133.799;-2.1
85.534;6;T7A;Audio;-282.070;-251.063;13.44;0.000;0.410;0.000;8.74;-282.070;-133.983;-2.1
85.584;6;T7A;Audio;-282.070;-250.391;13.45;0.000;0.410;0.000;8.66;-282.070;-134.210;-2.1
