Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
202.122;13;T7B;Multimodal;-212.797;-261.023;0.11;0.000;0.000;0.000;28872.99;-203.751;-249.385;45.2
202.172;13;T7B;Multimodal;-212.797;-261.023;0.06;0.000;0.000;0.000;26820.67;-212.797;-261.023;45.2
202.222;13;T7B;Multimodal;-212.797;-261.023;0.01;0.000;0.000;0.000;25458.86;-212.797;-261.023;45.2
202.274;13;T7B;Multimodal;-212.797;-261.023;0.02;0.000;0.000;0.000;25133.36;-212.797;-261.023;45.2
202.324;13;T7B;Multimodal;-212.797;-261.024;0.03;0.000;0.000;0.000;25152.19;-212.797;-261.024;45.2
202.374;13;T7B;Multimodal;-212.797;-261.024;0.03;0.000;0.000;0.000;25307.05;-212.797;-261.024;45.2
202.424;13;T7B;Multimodal;-212.797;-261.025;0.03;0.000;0.000;0.000;25532.60;-212.797;-261.025;45.2
202.474;13;T7B;Multimodal;-212.797;-261.025;0.02;0.000;0.090;0.000;15614.49;-212.797;-261.025;45.2
202.526;13;T7B;Multimodal;-212.796;-261.024;0.04;0.000;0.090;0.000;6957.56;-212.796;-261.024;45.2
202.578;13;T7B;Multimodal;-212.794;-261.022;0.06;0.000;0.160;0.000;4487.27;-212.795;-261.023;45.2
202.628;13;T7B;Multimodal;-212.792;-261.019;0.10;0.000;0.160;0.000;2533.83;-212.792;-261.019;45.1
202.678;13;T7B;Multimodal;-212.788;-261.014;0.14;0.000;0.290;0.000;1744.12;-107.683;-125.805;45.1
202.728;13;T7B;Multimodal;-212.782;-261.007;0.22;0.000;0.290;0.000;1192.35;-107.782;-125.933;45.1
202.778;13;T7B;Multimodal;-212.775;-260.996;0.29;0.000;0.360;0.000;922.01;-107.877;-126.055;45.1
202.830;13;T7B;Multimodal;-212.764;-260.983;0.36;0.000;0.360;0.000;712.55;-107.984;-126.192;45.1
202.882;13;T7B;Multimodal;-212.750;-260.965;0.46;0.000;0.390;0.000;551.58;-108.126;-126.374;45.1
202.932;13;T7B;Multimodal;-212.735;-260.945;0.54;0.000;0.390;0.000;462.93;-108.237;-126.515;45.1
