Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
236.890;15;T7C;Control;38.130;-380.280;0.05;0.000;0.000;0.000;18137.72;38.130;-380.280;-1.3
236.940;15;T7C;Control;38.130;-380.280;0.01;0.022;0.070;0.000;11514.24;38.130;-380.280;-1.3
236.992;15;T7C;Control;38.131;-380.280;0.03;0.022;0.070;0.000;5326.88;38.130;-380.280;-1.3
237.042;15;T7C;Control;38.133;-380.280;0.05;0.022;0.070;0.000;3400.40;38.133;-380.280;-1.3
237.092;15;T7C;Control;38.135;-380.280;0.07;0.022;0.070;0.000;2679.15;38.135;-380.280;-1.3
237.142;15;T7C;Control;38.139;-380.280;0.08;0.022;0.070;0.000;2150.42;38.138;-380.280;-1.3
237.192;15;T7C;Control;38.143;-380.280;0.09;0.022;0.070;0.000;1792.52;38.142;-380.280;-1.3
237.244;15;T7C;Control;38.148;-380.280;0.11;0.022;0.080;0.000;1527.16;207.122;-381.605;-1.4
237.296;15;T7C;Control;38.155;-380.280;0.13;0.022;0.080;0.000;1266.24;207.383;-381.661;-1.4
237.346;15;T7C;Control;38.162;-380.280;0.17;0.022;0.190;0.000;1024.78;207.181;-381.633;-1.3
237.396;15;T7C;Control;38.172;-380.280;0.21;0.022;0.190;0.000;825.98;206.975;-381.691;-1.4
237.446;15;T7C;Control;38.184;-380.280;0.30;0.022;0.500;0.000;651.48;206.795;-381.674;-1.4
237.496;15;T7C;Control;38.203;-380.280;0.43;0.022;0.500;0.000;429.23;206.574;-381.720;-1.4
237.548;15;T7C;Control;38.230;-380.280;0.59;0.022;0.700;0.000;325.02;206.407;-381.745;-1.5
237.598;15;T7C;Control;38.264;-380.280;0.75;0.022;0.700;0.000;238.55;206.172;-381.829;-1.6
237.648;15;T7C;Control;38.306;-380.281;0.94;0.022;0.840;0.000;195.39;205.997;-381.885;-1.7
237.698;15;T7C;Control;38.359;-380.281;1.13;0.022;0.840;0.000;157.20;205.768;-381.982;-1.9
237.748;15;T7C;Control;38.420;-380.282;1.31;0.022;0.860;0.000;135.22;205.588;-382.078;-2.0
237.800;15;T7C;Control;38.494;-380.283;1.51;0.022;0.860;0.000;119.19;205.411;-382.183;-2.0
237.852;15;T7C;Control;38.578;-380.284;1.70;0.022;0.860;0.000;103.11;205.174;-382.339;-2.1
237.902;15;T7C;Control;38.668;-380.285;1.89;0.022;0.860;0.000;93.18;204.993;-382.478;-2.2
237.952;15;T7C;Control;38.768;-380.287;2.07;0.022;0.850;0.000;82.85;204.752;-382.680;-2.3
238.002;15;T7C;Control;38.876;-380.288;2.25;0.022;0.850;0.000;76.67;204.569;-382.840;-2.3
238.052;15;T7C;Control;38.993;-380.290;2.40;0.022;0.750;0.000;71.74;204.391;-383.017;-2.4
238.104;15;T7C;Control;39.122;-380.293;2.56;0.022;0.750;0.000;66.24;204.149;-383.273;-2.5
238.154;15;T7C;Control;39.254;-380.295;2.70;0.022;0.710;0.000;62.85;203.972;-383.473;-2.5
238.204;15;T7C;Control;39.393;-380.298;2.84;0.022;0.710;0.000;58.84;203.728;-383.760;-2.5
238.254;15;T7C;Control;39.539;-380.301;2.99;0.022;0.710;0.000;56.20;203.545;-383.980;-2.6
238.304;15;T7C;Control;39.693;-380.305;3.13;0.022;0.710;0.000;53.80;203.359;-384.208;-2.7
238.356;15;T7C;Control;39.859;-380.309;3.28;0.022;0.710;0.000;50.84;203.113;-384.533;-2.8
238.408;15;T7C;Control;40.034;-380.314;3.42;0.022;0.710;0.000;48.87;202.929;-384.780;-2.8
238.458;15;T7C;Control;40.209;-380.319;3.56;0.000;0.710;0.000;46.49;202.699;-384.826;-2.9
238.508;15;T7C;Control;40.391;-380.323;3.70;0.000;0.710;0.000;44.91;202.532;-384.697;-2.9
238.558;15;T7C;Control;40.579;-380.328;3.84;0.000;0.710;0.000;42.83;202.299;-384.583;-2.9
238.608;15;T7C;Control;40.775;-380.334;3.97;0.000;0.710;0.000;41.42;202.124;-384.531;-2.9
238.660;15;T7C;Control;40.985;-380.339;4.11;0.000;0.710;0.000;39.76;201.898;-384.487;-2.9
238.712;15;T7C;Control;41.203;-380.345;4.25;0.000;0.710;0.000;38.49;201.719;-384.462;-2.9
238.762;15;T7C;Control;41.420;-380.350;4.38;0.000;0.700;0.000;37.01;201.488;-384.439;-2.9
238.812;15;T7C;Control;41.642;-380.355;4.51;0.000;0.700;0.000;36.02;201.317;-384.426;-2.9
238.862;15;T7C;Control;41.872;-380.361;4.64;0.000;0.700;0.000;34.73;201.085;-384.412;-2.9
238.912;15;T7C;Control;42.107;-380.367;4.77;0.000;0.700;0.000;33.77;200.905;-384.403;-2.9
238.964;15;T7C;Control;42.359;-380.375;4.90;0.000;0.690;0.000;32.68;200.681;-384.394;-2.9
239.014;15;T7C;Control;42.608;-380.381;5.03;0.000;0.690;0.000;31.88;200.505;-384.388;-2.9
239.064;15;T7C;Control;42.863;-380.388;5.15;0.000;0.670;0.000;31.12;200.327;-384.382;-2.9
239.114;15;T7C;Control;43.123;-380.396;5.27;0.000;0.670;0.000;30.19;200.094;-384.376;-3.0
239.164;15;T7C;Control;43.390;-380.403;5.39;0.000;0.670;0.000;29.52;199.921;-384.371;-3.0
239.216;15;T7C;Control;43.673;-380.410;5.51;0.000;0.670;0.000;28.66;199.685;-384.365;-3.0
239.268;15;T7C;Control;43.963;-380.417;5.63;0.000;0.670;0.000;28.05;199.507;-384.360;-3.0
239.318;15;T7C;Control;44.248;-380.424;5.74;0.000;0.670;0.000;27.29;199.272;-384.352;-3.0
239.368;15;T7C;Control;44.538;-380.432;5.87;0.000;0.720;0.000;26.73;199.100;-384.348;-3.0
239.418;15;T7C;Control;44.835;-380.439;5.99;0.000;0.720;0.000;26.00;198.876;-384.342;-3.0
239.468;15;T7C;Control;45.138;-380.447;6.13;0.000;0.790;0.000;25.31;198.668;-384.336;-3.0
239.520;15;T7C;Control;45.461;-380.455;6.28;0.000;0.790;0.000;24.72;198.489;-384.331;-3.0
239.570;15;T7C;Control;45.779;-380.463;6.42;0.000;0.820;0.000;23.98;198.253;-384.326;-3.0
239.620;15;T7C;Control;46.104;-380.472;6.57;0.000;0.820;0.000;23.44;198.078;-384.322;-3.0
239.670;15;T7C;Control;46.437;-380.481;6.72;0.000;0.830;0.000;22.78;197.854;-384.317;-3.0
239.720;15;T7C;Control;46.776;-380.489;6.86;0.000;0.830;0.000;22.62;197.795;-384.316;-3.1
239.772;15;T7C;Control;47.137;-380.498;7.01;0.000;0.870;0.000;21.71;197.470;-384.307;-3.1
239.824;15;T7C;Control;47.507;-380.507;7.17;0.000;0.870;0.000;21.13;197.259;-384.302;-3.1
239.874;15;T7C;Control;47.870;-380.516;7.35;0.000;0.990;0.000;20.56;197.057;-384.298;-3.1
239.924;15;T7C;Control;48.243;-380.526;7.53;0.000;0.990;0.000;20.00;196.859;-384.293;-3.1
239.974;15;T7C;Control;48.624;-380.535;7.71;0.000;0.990;0.000;19.46;196.658;-384.289;-3.2
240.024;15;T7C;Control;49.014;-380.545;7.88;0.000;0.990;0.000;18.95;196.457;-384.284;-3.2
240.076;15;T7C;Control;49.429;-380.556;8.05;-0.022;0.920;0.000;18.45;196.256;-384.201;-3.2
240.126;15;T7C;Control;49.836;-380.565;8.21;-0.022;0.920;0.000;18.02;196.060;-383.950;-3.1
240.176;15;T7C;Control;50.250;-380.574;8.35;-0.022;0.870;0.000;17.62;195.866;-383.639;-2.9
240.226;15;T7C;Control;50.672;-380.582;8.49;-0.022;0.870;0.000;17.25;195.672;-383.274;-2.7
240.276;15;T7C;Control;51.100;-380.589;8.63;-0.022;0.860;0.000;16.89;195.484;-382.871;-2.5
240.328;15;T7C;Control;51.553;-380.595;8.78;-0.022;0.860;0.000;16.54;195.285;-382.437;-2.4
240.380;15;T7C;Control;52.014;-380.600;8.92;-0.022;0.830;0.000;16.23;195.100;-382.000;-2.2
240.430;15;T7C;Control;52.463;-380.603;9.04;-0.022;0.830;0.000;15.91;194.899;-381.511;-2.1
240.480;15;T7C;Control;52.919;-380.605;9.17;-0.022;0.810;0.000;15.61;194.701;-381.028;-2.0
240.530;15;T7C;Control;53.381;-380.605;9.29;-0.022;0.810;0.000;15.32;194.495;-380.516;-1.9
240.580;15;T7C;Control;53.849;-380.603;9.41;-0.022;0.810;0.000;15.04;194.291;-380.016;-1.8
240.632;15;T7C;Control;54.342;-380.600;9.54;-0.022;0.810;0.000;14.77;194.078;-379.491;-1.8
240.684;15;T7C;Control;54.842;-380.594;9.67;0.000;0.810;0.000;14.51;193.879;-379.045;1.8
240.734;15;T7C;Control;55.329;-380.588;9.79;0.000;0.810;0.000;14.27;193.679;-378.754;1.7
240.784;15;T7C;Control;55.821;-380.581;9.91;0.000;0.810;0.000;14.02;193.475;-378.515;1.7
240.834;15;T7C;Control;56.320;-380.573;10.03;0.000;0.810;0.000;13.77;193.266;-378.328;1.7
240.884;15;T7C;Control;56.825;-380.564;10.15;0.000;0.820;0.000;13.54;193.059;-378.194;1.7
240.936;15;T7C;Control;57.356;-380.555;10.27;0.000;0.820;0.000;13.31;192.861;-378.094;1.7
240.986;15;T7C;Control;57.873;-380.545;10.40;0.000;0.840;0.000;13.11;192.680;-378.028;1.7
241.036;15;T7C;Control;58.396;-380.535;10.52;0.000;0.840;0.000;12.82;192.423;-377.957;-1.7
241.086;15;T7C;Control;58.926;-380.525;10.64;0.000;0.840;0.000;12.62;192.240;-377.921;-1.7
241.136;15;T7C;Control;59.461;-380.514;10.77;0.000;0.840;0.000;12.42;192.052;-377.893;-1.8
241.188;15;T7C;Control;60.024;-380.503;10.89;0.000;0.830;0.000;12.17;191.811;-377.868;-1.8
241.240;15;T7C;Control;60.594;-380.492;11.01;0.000;0.830;0.000;11.99;191.624;-377.856;-1.8
241.290;15;T7C;Control;61.148;-380.481;11.12;0.000;0.800;0.000;11.81;191.439;-377.846;-1.8
241.340;15;T7C;Control;61.707;-380.469;11.23;0.000;0.800;0.000;11.64;191.252;-377.840;-1.8
241.390;15;T7C;Control;62.271;-380.458;11.34;0.000;0.790;0.000;11.43;191.017;-377.836;-1.7
241.440;15;T7C;Control;62.841;-380.446;11.44;0.000;0.790;0.000;11.27;190.836;-377.835;-1.7
241.492;15;T7C;Control;63.439;-380.435;11.55;0.000;0.790;0.000;11.07;190.597;-377.836;-1.7
241.542;15;T7C;Control;64.019;-380.423;11.66;0.000;0.790;0.000;10.91;190.412;-377.838;-1.7
241.592;15;T7C;Control;64.605;-380.411;11.76;0.000;0.800;0.000;10.77;190.232;-377.840;-1.7
241.642;15;T7C;Control;65.196;-380.398;11.87;0.000;0.800;0.000;10.57;189.996;-377.844;-1.7
241.692;15;T7C;Control;65.792;-380.386;11.97;0.000;0.800;0.000;10.44;189.822;-377.848;-1.7
241.744;15;T7C;Control;66.418;-380.374;12.08;0.000;0.800;0.000;10.29;189.637;-377.852;-1.7
241.796;15;T7C;Control;67.049;-380.361;12.19;0.000;0.810;0.000;10.11;189.404;-377.858;-1.7
241.846;15;T7C;Control;67.661;-380.349;12.30;0.000;0.810;0.000;9.96;189.220;-377.862;-1.7
241.896;15;T7C;Control;68.279;-380.336;12.40;0.000;0.810;0.000;9.78;188.974;-377.869;-1.7
241.946;15;T7C;Control;68.901;-380.323;12.50;0.000;0.810;0.000;9.65;188.796;-377.874;-1.7
241.996;15;T7C;Control;69.529;-380.310;12.60;0.000;0.800;0.000;9.52;188.620;-377.878;-1.7
242.048;15;T7C;Control;70.187;-380.297;12.71;0.000;0.800;0.000;9.36;188.383;-377.884;-1.7
242.098;15;T7C;Control;70.825;-380.284;12.80;0.000;0.790;0.000;9.24;188.209;-377.888;-1.7
242.148;15;T7C;Control;71.468;-380.271;12.90;0.000;0.790;0.000;9.07;187.967;-377.894;-1.7
242.198;15;T7C;Control;72.115;-380.258;12.99;0.000;0.770;0.000;8.95;187.788;-377.899;-1.7
242.248;15;T7C;Control;72.767;-380.245;13.08;0.000;0.770;0.000;8.84;187.599;-377.904;-1.7
242.300;15;T7C;Control;73.450;-380.231;13.18;0.000;0.750;0.000;8.72;187.410;-377.909;-1.7
242.352;15;T7C;Control;74.137;-380.216;13.26;0.000;0.750;0.000;8.57;187.165;-377.915;-1.7
242.402;15;T7C;Control;74.803;-380.202;13.35;0.000;0.770;0.000;8.46;186.993;-377.919;-1.7
242.452;15;T7C;Control;75.472;-380.188;13.43;0.000;0.770;0.000;8.35;186.820;-377.924;-1.7
242.502;15;T7C;Control;76.146;-380.174;13.53;0.000;0.790;0.000;8.20;186.581;-377.930;-1.7
242.552;15;T7C;Control;76.825;-380.160;13.62;0.000;0.790;0.000;8.08;186.400;-377.934;-1.7
242.604;15;T7C;Control;77.536;-380.146;13.71;0.000;0.780;0.000;7.98;186.243;-377.938;-1.7
242.654;15;T7C;Control;78.224;-380.132;13.80;0.000;0.780;0.000;7.87;186.083;-377.943;-1.7
242.704;15;T7C;Control;78.916;-380.118;13.87;0.000;0.660;0.000;7.74;185.890;-377.947;-1.7
242.754;15;T7C;Control;79.611;-380.104;13.93;0.000;0.660;0.000;7.66;185.749;-377.950;-1.7
242.804;15;T7C;Control;80.309;-380.090;13.98;0.000;0.550;0.000;7.56;185.573;-377.955;-1.7
242.856;15;T7C;Control;81.036;-380.075;14.01;0.000;0.550;0.000;7.49;185.442;-377.958;-1.6
