Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
97.958;7;C1D;Multimodal;169.700;-240.300;0.16;-0.044;0.000;0.670;28339.09;156.959;-240.340;5.1
98.010;7;C1D;Multimodal;169.700;-240.300;0.10;-0.044;0.000;0.670;25809.71;150.323;-240.334;5.1
98.060;7;C1D;Multimodal;169.701;-240.300;0.04;-0.044;0.000;0.410;24141.58;169.701;-240.300;5.1
98.110;7;C1D;Multimodal;169.701;-240.300;0.01;-0.044;0.000;0.410;23646.09;169.701;-240.300;5.1
98.162;7;C1D;Multimodal;169.701;-240.300;0.02;-0.044;0.000;0.000;23571.62;169.701;-240.300;5.1
98.212;7;C1D;Multimodal;169.701;-240.300;0.03;-0.044;0.000;0.000;23737.52;169.701;-240.300;5.1
98.264;7;C1D;Multimodal;169.701;-240.300;0.03;-0.022;0.000;0.000;23944.42;169.701;-240.300;5.1
98.316;7;C1D;Multimodal;169.702;-240.300;0.02;-0.022;0.000;0.000;24119.00;169.702;-240.300;5.1
98.366;7;C1D;Multimodal;169.702;-240.300;0.02;-0.022;0.000;0.000;24239.60;169.702;-240.300;5.1
98.416;7;C1D;Multimodal;169.702;-240.300;0.01;-0.022;0.000;0.000;24259.56;169.702;-240.300;5.1
98.468;7;C1D;Multimodal;169.702;-240.300;0.01;-0.022;0.000;0.000;24227.73;169.702;-240.300;5.1
98.518;7;C1D;Multimodal;169.702;-240.300;0.01;-0.022;0.000;0.000;24190.35;169.702;-240.300;5.1
98.568;7;C1D;Multimodal;169.703;-240.300;0.01;-0.022;0.000;0.000;24134.05;169.703;-240.300;5.1
98.620;7;C1D;Multimodal;169.703;-240.300;0.00;-0.022;0.000;0.000;24099.46;169.703;-240.300;5.1
98.670;7;C1D;Multimodal;169.703;-240.300;0.00;-0.022;0.000;0.000;24069.96;169.703;-240.300;5.1
98.722;7;C1D;Multimodal;169.703;-240.300;0.00;-0.022;0.000;0.000;24049.93;169.703;-240.300;5.1
98.774;7;C1D;Multimodal;169.701;-240.300;0.08;-0.044;0.360;0.000;3944.82;169.702;-240.300;5.1
98.824;7;C1D;Multimodal;169.695;-240.300;0.17;-0.044;0.360;0.000;1491.17;-57.432;-243.435;5.2
98.874;7;C1D;Multimodal;169.683;-240.300;0.28;-0.044;0.510;0.000;946.48;-57.427;-243.656;5.2
98.926;7;C1D;Multimodal;169.665;-240.301;0.40;-0.044;0.510;0.000;661.10;-57.422;-243.880;5.2
98.976;7;C1D;Multimodal;169.642;-240.301;0.53;-0.044;0.550;0.000;472.89;-57.418;-244.077;5.3
99.028;7;C1D;Multimodal;169.610;-240.301;0.66;-0.044;0.550;0.000;380.65;-57.415;-244.248;5.4
99.080;7;C1D;Multimodal;169.572;-240.302;0.80;-0.044;0.610;0.000;303.66;-57.412;-244.453;5.4
99.130;7;C1D;Multimodal;169.529;-240.303;0.93;-0.044;0.610;0.000;262.63;-57.409;-244.652;5.5
99.180;7;C1D;Multimodal;169.478;-240.304;1.07;-0.044;0.650;0.000;230.27;-57.406;-244.866;5.6
99.232;7;C1D;Multimodal;169.418;-240.305;1.23;-0.044;0.650;0.000;194.84;-57.400;-245.233;5.7
99.282;7;C1D;Multimodal;169.353;-240.307;1.37;-0.044;0.670;0.000;175.20;-57.394;-245.526;5.8
99.332;7;C1D;Multimodal;169.281;-240.309;1.50;-0.044;0.670;0.000;157.19;-57.387;-245.891;5.9
99.384;7;C1D;Multimodal;169.198;-240.311;1.66;-0.044;0.690;0.000;141.85;-57.377;-246.305;6.0
99.434;7;C1D;Multimodal;169.111;-240.313;1.80;-0.044;0.690;0.000;130.46;-57.367;-246.710;6.2
99.486;7;C1D;Multimodal;169.012;-240.316;1.96;-0.044;0.690;0.000;120.46;-57.355;-247.166;6.3
99.538;7;C1D;Multimodal;168.906;-240.320;2.11;-0.044;0.690;0.000;110.98;-57.338;-247.718;6.5
99.588;7;C1D;Multimodal;168.797;-240.323;2.25;-0.044;0.690;0.000;104.56;-57.324;-248.183;6.6
99.638;7;C1D;Multimodal;168.681;-240.328;2.39;-0.044;0.690;0.000;98.87;-57.307;-248.674;6.7
99.690;7;C1D;Multimodal;168.552;-240.333;2.54;-0.022;0.700;0.000;91.75;-57.311;-248.606;6.9
99.740;7;C1D;Multimodal;168.421;-240.338;2.69;-0.022;0.700;0.000;87.29;-57.312;-248.606;7.0
99.790;7;C1D;Multimodal;168.283;-240.343;2.82;-0.022;0.710;0.000;81.85;-57.306;-248.804;7.1
99.842;7;C1D;Multimodal;168.131;-240.349;2.98;-0.022;0.710;0.000;78.43;-57.299;-249.022;7.2
99.892;7;C1D;Multimodal;167.979;-240.355;3.12;-0.044;0.720;0.000;74.02;-57.256;-250.118;7.4
99.944;7;C1D;Multimodal;167.812;-240.363;3.27;-0.044;0.720;0.000;71.10;-57.218;-250.973;7.6
99.996;7;C1D;Multimodal;167.638;-240.371;3.42;-0.022;0.730;0.000;67.54;-57.200;-251.384;7.8
100.046;7;C1D;Multimodal;167.463;-240.380;3.57;-0.022;0.730;0.000;65.06;-57.190;-251.624;7.9
100.096;7;C1D;Multimodal;167.281;-240.390;3.71;-0.022;0.730;0.000;62.77;-57.177;-251.920;8.0
100.148;7;C1D;Multimodal;167.084;-240.400;3.85;-0.022;0.730;0.000;59.82;-57.154;-252.400;8.2
100.198;7;C1D;Multimodal;166.888;-240.411;4.00;-0.022;0.730;0.000;57.90;-57.136;-252.772;8.3
100.250;7;C1D;Multimodal;166.676;-240.423;4.14;-0.022;0.730;0.000;55.56;-57.109;-253.292;8.5
100.302;7;C1D;Multimodal;166.457;-240.436;4.29;-0.022;0.730;0.000;53.91;-57.087;-253.704;8.6
100.352;7;C1D;Multimodal;166.239;-240.449;4.42;-0.022;0.730;0.000;51.83;-57.054;-254.287;8.8
100.402;7;C1D;Multimodal;166.015;-240.464;4.56;-0.022;0.730;0.000;50.41;-57.029;-254.729;8.9
100.454;7;C1D;Multimodal;165.774;-240.480;4.70;0.000;0.740;0.000;48.60;-56.992;-255.349;9.1
100.504;7;C1D;Multimodal;165.536;-240.496;4.85;0.000;0.740;0.000;47.38;-56.996;-255.326;9.1
100.554;7;C1D;Multimodal;165.290;-240.512;4.97;0.000;0.740;0.000;45.80;-57.000;-255.317;9.2
100.606;7;C1D;Multimodal;165.028;-240.529;5.12;0.000;0.740;0.000;44.63;-57.003;-255.311;9.2
100.656;7;C1D;Multimodal;164.769;-240.547;5.25;0.000;0.740;0.000;43.56;-57.006;-255.307;9.2
100.708;7;C1D;Multimodal;164.492;-240.565;5.40;0.000;0.740;0.000;42.23;-57.011;-255.302;9.2
100.760;7;C1D;Multimodal;164.208;-240.584;5.54;0.000;0.740;0.000;41.75;-57.012;-255.301;9.2
100.810;7;C1D;Multimodal;163.929;-240.602;5.66;0.022;0.740;0.000;39.96;-57.048;-254.847;9.1
100.860;7;C1D;Multimodal;163.642;-240.620;5.79;0.022;0.740;0.000;38.99;-57.084;-254.324;8.9
100.912;7;C1D;Multimodal;163.337;-240.638;5.93;0.022;0.740;0.000;38.09;-57.121;-253.784;8.8
100.962;7;C1D;Multimodal;163.038;-240.656;6.05;0.022;0.740;0.000;37.21;-57.159;-253.191;8.6
101.014;7;C1D;Multimodal;162.720;-240.673;6.19;0.022;0.740;0.000;36.39;-57.195;-252.598;8.4
101.066;7;C1D;Multimodal;162.395;-240.690;6.32;0.022;0.740;0.000;35.62;-57.230;-251.987;8.3
101.116;7;C1D;Multimodal;162.075;-240.705;6.45;0.022;0.740;0.000;34.87;-57.265;-251.361;8.1
101.166;7;C1D;Multimodal;161.750;-240.720;6.58;0.022;0.740;0.000;34.13;-57.299;-250.696;7.9
101.218;7;C1D;Multimodal;161.404;-240.735;6.71;0.022;0.740;0.000;33.40;-57.333;-249.991;7.7
101.268;7;C1D;Multimodal;161.065;-240.748;6.83;0.022;0.740;0.000;32.53;-57.373;-249.108;7.5
101.318;7;C1D;Multimodal;160.720;-240.761;6.95;0.022;0.740;0.000;31.91;-57.400;-248.436;7.3
101.370;7;C1D;Multimodal;160.355;-240.773;7.08;0.022;0.740;0.000;31.37;-57.424;-247.812;7.1
101.420;7;C1D;Multimodal;159.998;-240.783;7.21;0.022;0.740;0.000;30.65;-57.453;-246.952;6.9
101.472;7;C1D;Multimodal;159.620;-240.793;7.33;0.022;0.740;0.000;30.15;-57.473;-246.315;6.7
101.524;7;C1D;Multimodal;159.235;-240.802;7.45;0.022;0.740;0.000;29.49;-57.496;-245.437;6.5
101.574;7;C1D;Multimodal;158.859;-240.809;7.57;0.022;0.740;0.000;29.04;-57.511;-244.817;6.3
101.624;7;C1D;Multimodal;158.478;-240.815;7.69;0.022;0.740;0.000;28.57;-57.524;-244.134;6.2
101.676;7;C1D;Multimodal;158.074;-240.820;7.81;0.022;0.730;0.000;28.00;-57.539;-243.265;5.9
101.726;7;C1D;Multimodal;157.680;-240.823;7.93;0.022;0.730;0.000;27.58;-57.547;-242.601;5.7
101.776;7;C1D;Multimodal;157.281;-240.825;8.04;0.000;0.720;0.000;27.04;-57.555;-241.690;5.5
101.828;7;C1D;Multimodal;156.859;-240.826;8.16;0.000;0.720;0.000;26.65;-57.558;-241.306;5.4
101.878;7;C1D;Multimodal;156.448;-240.827;8.26;0.000;0.710;0.000;26.19;-57.561;-240.931;5.5
101.930;7;C1D;Multimodal;156.015;-240.827;8.38;0.000;0.710;0.000;25.86;-57.562;-240.718;5.5
101.982;7;C1D;Multimodal;155.577;-240.826;8.50;0.000;0.710;0.000;25.42;-57.564;-240.497;5.5
102.032;7;C1D;Multimodal;155.149;-240.825;8.59;0.000;0.710;0.000;25.11;-57.566;-240.378;5.5
102.082;7;C1D;Multimodal;154.717;-240.824;8.70;0.000;0.710;0.000;24.69;-57.568;-240.253;5.5
102.134;7;C1D;Multimodal;154.261;-240.823;8.81;0.000;0.710;0.000;24.29;-57.570;-240.164;5.5
102.184;7;C1D;Multimodal;153.818;-240.821;8.91;0.000;0.710;0.000;24.01;-57.571;-240.115;5.6
102.236;7;C1D;Multimodal;153.351;-240.820;9.02;0.000;0.710;0.000;23.63;-57.573;-240.063;5.6
102.288;7;C1D;Multimodal;152.879;-240.818;9.12;0.000;0.710;0.000;23.36;-57.575;-240.034;5.6
102.338;7;C1D;Multimodal;152.420;-240.816;9.23;0.000;0.710;0.000;23.02;-57.577;-240.004;5.6
102.388;7;C1D;Multimodal;151.955;-240.814;9.33;0.000;0.710;0.000;22.68;-57.579;-239.981;5.6
102.440;7;C1D;Multimodal;151.467;-240.812;9.44;0.000;0.710;0.000;22.42;-57.581;-239.966;5.6
102.490;7;C1D;Multimodal;150.993;-240.810;9.54;0.000;0.710;0.000;22.10;-57.583;-239.951;5.6
102.540;7;C1D;Multimodal;150.513;-240.809;9.64;0.000;0.710;0.000;21.85;-57.585;-239.942;5.6
102.592;7;C1D;Multimodal;150.009;-240.807;9.74;0.000;0.710;0.000;21.55;-57.587;-239.932;5.7
102.642;7;C1D;Multimodal;149.519;-240.805;9.83;0.000;0.710;0.000;21.31;-57.589;-239.925;5.7
102.694;7;C1D;Multimodal;149.005;-240.802;9.93;0.000;0.710;0.000;21.02;-57.592;-239.918;5.7
