Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
119.988;8;L2A;Visual;-245.290;-79.579;0.12;-0.022;0.000;1.000;202.99;-68.674;-240.296;-5.1
120.040;8;L2A;Visual;-245.290;-79.579;0.06;-0.022;0.000;1.000;202.99;-68.674;-240.296;-5.1
120.092;8;L2A;Visual;-245.290;-79.579;0.02;-0.022;0.000;1.000;202.99;-68.674;-240.296;-5.1
120.142;8;L2A;Visual;-245.290;-79.579;0.02;0.000;0.000;1.000;202.99;-68.674;-240.296;-5.1
120.192;8;L2A;Visual;-245.290;-79.579;0.03;0.000;0.000;0.870;202.99;-68.674;-240.296;-5.1
120.244;8;L2A;Visual;-245.291;-79.579;0.03;0.000;0.000;0.870;202.99;-68.674;-240.296;-5.1
120.294;8;L2A;Visual;-245.291;-79.579;0.03;0.000;0.000;0.870;202.99;-68.674;-240.296;-5.1
120.344;8;L2A;Visual;-245.291;-79.579;0.02;0.000;0.000;0.210;202.99;-68.674;-240.296;-5.1
120.396;8;L2A;Visual;-245.291;-79.579;0.01;0.000;0.000;0.000;202.99;-68.674;-240.296;-5.1
120.446;8;L2A;Visual;-245.291;-79.579;0.00;0.000;0.000;0.000;202.99;-68.674;-240.296;-5.1
120.498;8;L2A;Visual;-245.292;-79.579;0.01;0.000;0.000;0.000;202.99;-68.674;-240.296;-5.1
120.550;8;L2A;Visual;-245.292;-79.579;0.01;0.000;0.000;0.000;202.99;-68.674;-240.296;-5.1
120.600;8;L2A;Visual;-245.292;-79.579;0.01;0.000;0.000;0.000;202.99;-68.674;-240.296;-5.1
120.650;8;L2A;Visual;-245.292;-79.579;0.00;0.000;0.000;0.000;202.99;-68.674;-240.296;-5.1
120.702;8;L2A;Visual;-245.292;-79.579;0.00;0.000;0.000;0.000;202.99;-68.674;-240.296;-5.1
120.752;8;L2A;Visual;-245.292;-79.579;0.00;0.000;0.000;0.000;202.99;-68.674;-240.296;-5.1
120.804;8;L2A;Visual;-245.292;-79.579;0.00;0.000;0.000;0.000;202.99;-68.674;-240.296;-5.1
120.856;8;L2A;Visual;-245.292;-79.579;0.00;0.000;0.000;0.000;202.99;-68.674;-240.296;-5.1
120.906;8;L2A;Visual;-245.292;-79.579;0.00;-0.022;0.220;0.000;202.99;-68.674;-240.296;-5.1
120.956;8;L2A;Visual;-245.291;-79.579;0.06;-0.022;0.220;0.000;202.99;-68.674;-240.296;-5.1
121.008;8;L2A;Visual;-245.286;-79.579;0.12;-0.022;0.370;0.000;202.99;-68.674;-240.296;-5.1
121.058;8;L2A;Visual;-245.277;-79.579;0.22;-0.022;0.370;0.000;202.99;-68.674;-240.296;-5.1
121.108;8;L2A;Visual;-245.263;-79.578;0.31;-0.022;0.440;0.000;202.99;-68.674;-240.296;-5.1
121.160;8;L2A;Visual;-245.244;-79.578;0.42;-0.022;0.440;0.000;202.99;-68.674;-240.296;-5.1
121.210;8;L2A;Visual;-245.221;-79.578;0.51;-0.022;0.480;0.000;202.99;-68.674;-240.296;-5.1
121.262;8;L2A;Visual;-245.191;-79.578;0.63;-0.022;0.480;0.000;202.99;-68.674;-240.296;-5.1
121.314;8;L2A;Visual;-245.155;-79.577;0.73;-0.022;0.500;0.000;202.99;-68.674;-240.296;-5.1
121.364;8;L2A;Visual;-245.115;-79.577;0.85;-0.022;0.500;0.000;202.99;-68.674;-240.296;-5.1
121.414;8;L2A;Visual;-245.069;-79.577;0.96;-0.022;0.530;0.000;202.99;-68.674;-240.296;-5.1
121.466;8;L2A;Visual;-245.016;-79.576;1.08;-0.022;0.530;0.000;202.99;-68.674;-240.296;-5.1
121.516;8;L2A;Visual;-244.959;-79.575;1.19;-0.022;0.570;0.000;202.99;-68.674;-240.296;-5.1
121.566;8;L2A;Visual;-244.896;-79.575;1.32;-0.022;0.570;0.000;202.99;-68.674;-240.296;-5.1
121.618;8;L2A;Visual;-244.823;-79.574;1.45;-0.022;0.610;0.000;202.99;-68.674;-240.296;-5.1
121.668;8;L2A;Visual;-244.747;-79.572;1.58;-0.022;0.610;0.000;202.99;-68.674;-240.296;-5.1
121.720;8;L2A;Visual;-244.661;-79.571;1.71;-0.022;0.620;0.000;202.99;-68.674;-240.296;-5.1
121.772;8;L2A;Visual;-244.568;-79.570;1.85;-0.022;0.620;0.000;202.99;-68.674;-240.296;-5.1
121.822;8;L2A;Visual;-244.472;-79.568;1.98;-0.022;0.640;0.000;202.99;-68.674;-240.296;-5.1
121.872;8;L2A;Visual;-244.370;-79.566;2.11;-0.022;0.640;0.000;202.99;-68.674;-240.296;-5.1
121.924;8;L2A;Visual;-244.256;-79.564;2.25;-0.022;0.660;0.000;202.99;-68.674;-240.296;-5.1
121.974;8;L2A;Visual;-244.140;-79.561;2.38;-0.022;0.660;0.000;202.99;-68.674;-240.296;-5.1
122.026;8;L2A;Visual;-244.012;-79.559;2.53;-0.022;0.660;0.000;202.99;-68.674;-240.296;-5.1
122.078;8;L2A;Visual;-243.876;-79.555;2.67;-0.022;0.660;0.000;202.99;-68.674;-240.296;-5.1
122.128;8;L2A;Visual;-243.739;-79.552;2.80;-0.022;0.660;0.000;202.99;-68.674;-240.296;-5.1
122.178;8;L2A;Visual;-243.596;-79.548;2.93;-0.022;0.660;0.000;202.99;-68.674;-240.296;-5.1
122.230;8;L2A;Visual;-243.439;-79.544;3.06;-0.022;0.680;0.000;202.99;-68.674;-240.296;-5.1
122.280;8;L2A;Visual;-243.282;-79.539;3.21;-0.022;0.680;0.000;202.99;-68.674;-240.296;-5.1
122.330;8;L2A;Visual;-243.118;-79.534;3.34;0.000;0.690;0.000;202.99;-68.674;-240.296;-5.1
122.382;8;L2A;Visual;-242.941;-79.529;3.47;0.000;0.690;0.000;202.99;-68.674;-240.296;-5.1
122.432;8;L2A;Visual;-242.763;-79.523;3.61;0.000;0.700;0.000;202.99;-68.674;-240.296;-5.1
122.484;8;L2A;Visual;-242.571;-79.518;3.76;0.000;0.700;0.000;202.99;-68.674;-240.296;-5.1
122.536;8;L2A;Visual;-242.372;-79.512;3.89;0.000;0.710;0.000;202.99;-68.674;-240.296;-5.1
122.586;8;L2A;Visual;-242.174;-79.506;4.03;0.000;0.710;0.000;202.99;-68.674;-240.296;-5.1
122.636;8;L2A;Visual;-241.968;-79.501;4.17;0.000;0.710;0.000;202.99;-68.674;-240.296;-5.1
122.688;8;L2A;Visual;-241.748;-79.494;4.30;0.000;0.710;0.000;202.99;-68.674;-240.296;-5.1
122.738;8;L2A;Visual;-241.529;-79.488;4.45;0.000;0.710;0.000;202.99;-68.674;-240.296;-5.1
122.788;8;L2A;Visual;-241.303;-79.482;4.57;0.000;0.710;0.000;202.99;-68.674;-240.296;-5.1
122.840;8;L2A;Visual;-241.062;-79.475;4.71;0.000;0.710;0.000;202.99;-68.674;-240.296;-5.1
122.890;8;L2A;Visual;-240.823;-79.468;4.84;0.000;0.710;0.000;202.99;-68.674;-240.296;-5.1
122.942;8;L2A;Visual;-240.567;-79.461;4.98;0.000;0.720;0.000;202.99;-68.674;-240.296;-5.1
122.994;8;L2A;Visual;-240.305;-79.454;5.11;0.000;0.720;0.000;202.99;-68.674;-240.296;-5.1
123.044;8;L2A;Visual;-240.045;-79.447;5.25;0.022;0.730;0.000;202.99;-68.674;-240.296;-5.1
123.094;8;L2A;Visual;-239.780;-79.440;5.38;0.022;0.730;0.000;202.99;-68.674;-240.296;-5.1
123.146;8;L2A;Visual;-239.496;-79.434;5.52;0.022;0.730;0.000;202.99;-68.674;-240.296;-5.1
123.196;8;L2A;Visual;-239.217;-79.428;5.64;0.022;0.730;0.000;202.99;-68.674;-240.296;-5.1
123.248;8;L2A;Visual;-238.920;-79.423;5.78;0.022;0.730;0.000;202.99;-68.674;-240.296;-5.1
123.300;8;L2A;Visual;-238.615;-79.419;5.91;0.022;0.730;0.000;202.99;-68.674;-240.296;-5.1
123.350;8;L2A;Visual;-238.317;-79.415;6.04;0.022;0.730;0.000;202.99;-68.674;-240.296;-5.1
123.400;8;L2A;Visual;-238.011;-79.412;6.16;0.022;0.730;0.000;202.99;-68.674;-240.296;-5.1
123.452;8;L2A;Visual;-237.687;-79.411;6.29;0.022;0.730;0.000;202.99;-68.674;-240.296;-5.1
123.502;8;L2A;Visual;-237.368;-79.410;6.42;0.022;0.730;0.000;202.99;-68.674;-240.296;-5.1
123.552;8;L2A;Visual;-237.044;-79.410;6.54;0.022;0.730;0.000;202.99;-68.674;-240.296;-5.1
123.604;8;L2A;Visual;-236.701;-79.411;6.67;0.022;0.730;0.000;202.99;-68.674;-240.296;-5.1
123.654;8;L2A;Visual;-236.363;-79.413;6.80;0.022;0.730;0.000;202.99;-68.674;-240.296;-5.1
123.706;8;L2A;Visual;-236.007;-79.417;6.91;0.022;0.730;0.000;202.99;-68.674;-240.296;-5.1
123.758;8;L2A;Visual;-235.644;-79.422;7.04;0.022;0.730;0.000;202.99;-68.674;-240.296;-5.1
123.808;8;L2A;Visual;-235.288;-79.428;7.16;0.022;0.730;0.000;202.99;-68.674;-240.296;-5.1
123.858;8;L2A;Visual;-234.927;-79.435;7.28;0.000;0.730;0.000;202.99;-68.674;-240.296;-5.1
123.910;8;L2A;Visual;-234.545;-79.443;7.40;0.000;0.730;0.000;202.99;-68.674;-240.296;-5.1
123.960;8;L2A;Visual;-234.171;-79.451;7.52;0.000;0.730;0.000;202.99;-68.674;-240.296;-5.1
124.012;8;L2A;Visual;-233.777;-79.460;7.65;0.000;0.730;0.000;202.99;-68.674;-240.296;-5.1
124.064;8;L2A;Visual;-233.376;-79.470;7.77;0.000;0.730;0.000;202.99;-68.674;-240.296;-5.1
124.114;8;L2A;Visual;-232.984;-79.480;7.88;0.000;0.730;0.000;202.99;-68.674;-240.296;-5.1
124.164;8;L2A;Visual;-232.587;-79.489;7.99;0.000;0.730;0.000;202.99;-68.674;-240.296;-5.1
124.216;8;L2A;Visual;-232.168;-79.500;8.11;0.000;0.730;0.000;202.99;-68.674;-240.296;-5.1
124.266;8;L2A;Visual;-231.760;-79.510;8.22;0.000;0.730;0.000;202.99;-68.674;-240.296;-5.1
124.316;8;L2A;Visual;-231.345;-79.521;8.33;0.000;0.730;0.000;202.99;-68.674;-240.296;-5.1
124.368;8;L2A;Visual;-230.909;-79.532;8.45;0.000;0.720;0.000;202.99;-68.674;-240.296;-5.1
124.418;8;L2A;Visual;-230.483;-79.542;8.56;0.000;0.720;0.000;202.99;-68.674;-240.296;-5.1
124.470;8;L2A;Visual;-230.035;-79.554;8.68;0.000;0.720;0.000;202.99;-68.674;-240.296;-5.1
124.522;8;L2A;Visual;-229.581;-79.566;8.78;0.000;0.720;0.000;202.99;-68.674;-240.296;-5.1
124.572;8;L2A;Visual;-229.139;-79.577;8.90;0.000;0.730;0.000;202.99;-68.674;-240.296;-5.1
124.622;8;L2A;Visual;-228.691;-79.589;9.00;0.000;0.730;0.000;202.99;-68.674;-240.296;-5.1
124.674;8;L2A;Visual;-228.220;-79.601;9.12;0.000;0.720;0.000;202.99;-68.674;-240.296;-5.1
124.724;8;L2A;Visual;-227.762;-79.613;9.22;0.000;0.720;0.000;202.99;-68.674;-240.296;-5.1
124.774;8;L2A;Visual;-227.298;-79.625;9.32;0.000;0.720;0.000;202.99;-68.674;-240.296;-5.1
124.826;8;L2A;Visual;-226.811;-79.637;9.43;0.000;0.720;0.000;202.99;-68.674;-240.296;-5.1
124.876;8;L2A;Visual;-226.337;-79.650;9.52;0.000;0.720;0.000;202.99;-68.674;-240.296;-5.1
124.928;8;L2A;Visual;-225.838;-79.663;9.64;0.000;0.720;0.000;202.99;-68.674;-240.296;-5.1
124.980;8;L2A;Visual;-225.335;-79.676;9.74;0.000;0.720;0.000;202.99;-68.674;-240.296;-5.1
125.030;8;L2A;Visual;-224.845;-79.688;9.84;0.000;0.720;0.000;202.99;-68.674;-240.296;-5.1
125.080;8;L2A;Visual;-224.351;-79.701;9.94;0.000;0.710;0.000;202.99;-68.674;-240.296;-5.1
125.132;8;L2A;Visual;-223.831;-79.715;10.04;0.000;0.710;0.000;202.99;-68.674;-240.296;-5.1
