Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
170.848;11;C2A;Audio;-242.230;-80.120;0.18;0.000;0.000;1.000;27601.31;-232.606;-80.119;-7.7
170.898;11;C2A;Audio;-242.230;-80.120;0.12;0.000;0.000;1.000;23727.44;-226.025;-80.117;-7.7
170.948;11;C2A;Audio;-242.230;-80.120;0.06;0.022;0.000;1.000;22386.31;-242.230;-80.120;-7.7
171.000;11;C2A;Audio;-242.231;-80.120;0.01;0.022;0.000;1.000;21417.56;-242.231;-80.120;-7.7
171.052;11;C2A;Audio;-242.231;-80.120;0.02;0.022;0.000;1.000;21266.53;-242.231;-80.120;-7.7
171.102;11;C2A;Audio;-242.231;-80.120;0.03;0.022;0.000;1.000;21346.22;-242.231;-80.120;-7.7
171.152;11;C2A;Audio;-242.231;-80.120;0.03;0.000;0.000;0.770;21568.19;-242.231;-80.120;-7.7
171.202;11;C2A;Audio;-242.231;-80.120;0.02;0.000;0.000;0.770;21732.60;-242.231;-80.120;-7.7
171.252;11;C2A;Audio;-242.232;-80.120;0.02;0.000;0.000;0.000;21848.29;-242.232;-80.120;-7.7
171.304;11;C2A;Audio;-242.232;-80.120;0.01;0.000;0.000;0.000;21906.11;-242.232;-80.120;-7.7
171.354;11;C2A;Audio;-242.232;-80.120;0.00;0.022;0.000;0.000;21908.18;-242.232;-80.120;-7.7
171.404;11;C2A;Audio;-242.232;-80.120;0.01;0.022;0.000;0.000;21870.07;-242.232;-80.120;-7.7
171.454;11;C2A;Audio;-242.233;-80.120;0.01;0.000;0.000;0.000;21834.31;-242.233;-80.120;-7.7
171.504;11;C2A;Audio;-242.233;-80.120;0.01;0.000;0.000;0.000;21796.43;-242.233;-80.120;-7.7
171.556;11;C2A;Audio;-242.233;-80.120;0.00;0.000;0.000;0.000;21768.34;-242.233;-80.120;-7.7
171.608;11;C2A;Audio;-242.233;-80.120;0.00;0.000;0.000;0.000;21734.51;-242.233;-80.120;-7.7
171.658;11;C2A;Audio;-242.233;-80.120;0.00;0.000;0.000;0.000;21723.08;-242.233;-80.120;-7.7
171.708;11;C2A;Audio;-242.233;-80.120;0.00;0.000;0.000;0.000;21724.82;-242.233;-80.120;-7.7
171.758;11;C2A;Audio;-242.233;-80.120;0.03;0.000;0.320;0.000;21727.41;-242.233;-80.120;-7.7
171.808;11;C2A;Audio;-242.229;-80.120;0.11;0.000;0.320;0.000;2039.10;-38.013;-80.066;-7.7
171.860;11;C2A;Audio;-242.220;-80.120;0.23;0.000;0.590;0.000;1090.77;-38.013;-80.062;-7.7
171.910;11;C2A;Audio;-242.205;-80.120;0.37;0.000;0.590;0.000;675.87;-38.017;-80.061;-7.7
171.960;11;C2A;Audio;-242.183;-80.120;0.51;0.000;0.690;0.000;438.32;-38.019;-80.061;-7.7
172.010;11;C2A;Audio;-242.153;-80.120;0.68;0.000;0.690;0.000;333.51;-38.019;-80.061;-7.8
172.060;11;C2A;Audio;-242.115;-80.120;0.84;0.000;0.760;0.000;269.92;-38.018;-80.056;-7.8
172.112;11;C2A;Audio;-242.066;-80.120;1.01;0.000;0.760;0.000;224.57;-38.017;-80.048;-7.8
172.164;11;C2A;Audio;-242.009;-80.120;1.20;0.000;0.810;0.000;182.73;-38.015;-80.039;-7.8
172.214;11;C2A;Audio;-241.944;-80.120;1.37;0.000;0.810;0.000;160.57;-38.014;-80.036;-7.8
172.264;11;C2A;Audio;-241.871;-80.120;1.55;0.000;0.840;0.000;142.40;-38.012;-80.033;-7.8
172.314;11;C2A;Audio;-241.788;-80.120;1.73;0.000;0.840;0.000;127.07;-38.011;-80.031;-7.8
172.364;11;C2A;Audio;-241.697;-80.120;1.91;0.000;0.850;0.000;111.60;-38.009;-80.028;-7.9
172.416;11;C2A;Audio;-241.592;-80.120;2.10;0.000;0.850;0.000;101.95;-38.007;-80.027;-7.9
172.468;11;C2A;Audio;-241.477;-80.120;2.29;0.000;0.860;0.000;94.15;-38.006;-80.027;-7.9
172.518;11;C2A;Audio;-241.358;-80.120;2.46;0.000;0.860;0.000;87.17;-38.005;-80.026;-7.9
172.568;11;C2A;Audio;-241.230;-80.120;2.66;0.000;0.870;0.000;79.34;-38.003;-80.025;-7.9
172.618;11;C2A;Audio;-241.092;-80.120;2.82;0.000;0.870;0.000;74.31;-38.002;-80.024;-7.9
172.668;11;C2A;Audio;-240.946;-80.120;3.01;0.000;0.890;0.000;70.04;-38.000;-80.023;-7.9
172.720;11;C2A;Audio;-240.784;-80.120;3.20;0.000;0.890;0.000;66.03;-37.999;-80.022;-7.9
172.770;11;C2A;Audio;-240.618;-80.120;3.39;0.000;0.910;0.000;62.61;-37.997;-80.022;-7.9
172.820;11;C2A;Audio;-240.444;-80.120;3.57;0.000;0.910;0.000;58.45;-37.995;-80.021;-7.9
172.870;11;C2A;Audio;-240.261;-80.120;3.75;0.000;0.930;0.000;55.70;-37.994;-80.021;-7.9
172.920;11;C2A;Audio;-240.068;-80.120;3.94;0.000;0.930;0.000;53.16;-37.992;-80.020;-7.9
172.972;11;C2A;Audio;-239.857;-80.120;4.14;0.000;0.920;0.000;50.10;-37.990;-80.019;-7.9
173.024;11;C2A;Audio;-239.636;-80.120;4.33;0.000;0.920;0.000;47.99;-37.988;-80.017;-8.0
173.074;11;C2A;Audio;-239.415;-80.119;4.51;0.000;0.920;0.000;46.06;-37.986;-80.016;-8.0
173.124;11;C2A;Audio;-239.185;-80.119;4.68;0.000;0.920;0.000;44.35;-37.984;-80.016;-8.0
173.174;11;C2A;Audio;-238.946;-80.119;4.85;0.000;0.920;0.000;42.70;-37.982;-80.015;-8.0
173.224;11;C2A;Audio;-238.698;-80.119;5.04;0.000;0.920;0.000;40.81;-37.979;-80.015;-8.0
173.276;11;C2A;Audio;-238.431;-80.119;5.23;0.000;0.920;0.000;39.43;-37.977;-80.014;-8.0
173.326;11;C2A;Audio;-238.165;-80.118;5.39;0.000;0.920;0.000;38.13;-37.974;-80.013;-8.0
173.376;11;C2A;Audio;-237.890;-80.118;5.57;0.000;0.920;0.000;37.02;-37.972;-80.013;-8.0
173.426;11;C2A;Audio;-237.607;-80.118;5.74;0.000;0.920;0.000;35.56;-37.969;-80.012;-8.0
173.476;11;C2A;Audio;-237.315;-80.118;5.91;-0.022;0.920;0.000;34.50;-37.966;-79.879;-8.0
173.528;11;C2A;Audio;-237.002;-80.117;6.10;-0.022;0.920;0.000;33.55;-37.965;-79.490;-7.9
173.580;11;C2A;Audio;-236.681;-80.115;6.27;-0.022;0.920;0.000;32.34;-37.964;-78.905;-7.7
173.630;11;C2A;Audio;-236.363;-80.113;6.44;-0.022;0.920;0.000;31.46;-37.965;-78.413;-7.5
173.680;11;C2A;Audio;-236.036;-80.109;6.60;-0.022;0.920;0.000;30.90;-37.966;-78.071;-7.4
173.730;11;C2A;Audio;-235.702;-80.105;6.77;-0.022;0.920;0.000;29.94;-37.971;-77.427;-7.2
173.780;11;C2A;Audio;-235.359;-80.099;6.93;-0.022;0.920;0.000;29.10;-37.978;-76.806;-7.0
