Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
236.704;15;L2C;Control;32.710;-379.829;0.09;0.156;0.000;0.000;2591.91;-73.425;-241.580;79.6
236.754;15;L2C;Control;32.710;-379.829;0.03;0.156;0.000;0.000;2591.91;-73.425;-241.580;79.6
236.804;15;L2C;Control;32.710;-379.829;0.00;0.133;0.010;0.000;2591.91;-73.425;-241.580;79.6
236.856;15;L2C;Control;32.710;-379.829;0.02;0.133;0.010;0.000;2591.91;-73.425;-241.580;79.6
236.908;15;L2C;Control;32.711;-379.829;0.06;0.133;0.210;0.000;2591.91;-73.425;-241.580;79.6
236.958;15;L2C;Control;32.716;-379.829;0.11;0.111;0.380;0.000;2591.91;-73.425;-241.580;79.6
237.008;15;L2C;Control;32.724;-379.829;0.21;0.111;0.380;0.000;2591.91;-73.425;-241.580;79.6
237.058;15;L2C;Control;32.736;-379.829;0.29;0.111;0.380;0.000;2591.91;-73.425;-241.580;79.6
237.108;15;L2C;Control;32.754;-379.830;0.40;0.089;0.490;0.000;2591.91;-73.425;-241.580;79.6
237.160;15;L2C;Control;32.778;-379.831;0.52;0.089;0.490;0.000;2591.91;-73.425;-241.580;79.6
237.210;15;L2C;Control;32.807;-379.832;0.64;0.089;0.580;0.000;2591.91;-73.425;-241.580;79.6
237.260;15;L2C;Control;32.843;-379.833;0.77;0.089;0.580;0.000;2591.91;-73.425;-241.580;79.6
237.310;15;L2C;Control;32.885;-379.835;0.92;0.067;0.660;0.000;2591.91;-73.425;-241.580;79.6
237.360;15;L2C;Control;32.936;-379.836;1.07;0.067;0.660;0.000;2591.91;-73.425;-241.580;79.6
237.412;15;L2C;Control;32.996;-379.838;1.23;0.067;0.740;0.000;2591.91;-73.425;-241.580;79.6
237.464;15;L2C;Control;33.065;-379.841;1.40;0.067;0.740;0.000;2591.91;-73.425;-241.580;79.6
237.514;15;L2C;Control;33.140;-379.844;1.58;0.067;0.800;0.000;2591.91;-73.425;-241.580;79.6
237.564;15;L2C;Control;33.223;-379.847;1.75;0.067;0.800;0.000;2591.91;-73.425;-241.580;79.6
237.614;15;L2C;Control;33.315;-379.851;1.92;0.044;0.800;0.000;2591.91;-73.425;-241.580;79.6
237.664;15;L2C;Control;33.416;-379.855;2.09;0.044;0.800;0.000;2591.91;-73.425;-241.580;79.6
237.716;15;L2C;Control;33.530;-379.860;2.26;0.044;0.800;0.000;2591.91;-73.425;-241.580;79.6
237.768;15;L2C;Control;33.652;-379.866;2.44;0.044;0.800;0.000;2591.91;-73.425;-241.580;79.6
237.818;15;L2C;Control;33.779;-379.872;2.60;0.044;0.800;0.000;2591.91;-73.425;-241.580;79.6
237.868;15;L2C;Control;33.913;-379.878;2.77;0.044;0.800;0.000;2591.91;-73.425;-241.580;79.6
237.918;15;L2C;Control;34.056;-379.885;2.93;0.022;0.810;0.000;2591.91;-73.425;-241.580;79.6
237.968;15;L2C;Control;34.207;-379.893;3.10;0.022;0.810;0.000;2591.91;-73.425;-241.580;79.6
238.020;15;L2C;Control;34.373;-379.902;3.28;0.022;0.830;0.000;2591.91;-73.425;-241.580;79.6
238.070;15;L2C;Control;34.541;-379.911;3.44;0.022;0.830;0.000;2591.91;-73.425;-241.580;79.6
238.120;15;L2C;Control;34.718;-379.920;3.61;0.022;0.840;0.000;2591.91;-73.425;-241.580;79.6
238.170;15;L2C;Control;34.903;-379.930;3.78;0.022;0.840;0.000;2591.91;-73.425;-241.580;79.6
238.220;15;L2C;Control;35.096;-379.941;3.95;0.000;0.860;0.000;2591.91;-73.425;-241.580;79.6
238.272;15;L2C;Control;35.306;-379.953;4.12;0.000;0.860;0.000;2591.91;-73.425;-241.580;79.6
238.324;15;L2C;Control;35.525;-379.965;4.30;0.000;0.870;0.000;2591.91;-73.425;-241.580;79.6
