Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
17.600;2;C1D;Visual;169.695;-240.300;0.23;0.000;0.610;0.000;1530.13;1.496;-240.319;5.1
17.650;2;C1D;Visual;169.682;-240.300;0.34;0.000;0.610;0.000;911.04;-43.124;-240.327;5.1
17.702;2;C1D;Visual;169.661;-240.300;0.46;0.000;0.570;0.000;585.57;-56.380;-240.334;5.2
17.754;2;C1D;Visual;169.633;-240.300;0.60;0.000;0.330;0.000;416.29;-57.451;-240.337;5.2
17.806;2;C1D;Visual;169.601;-240.300;0.65;0.000;0.330;0.000;372.91;-57.336;-240.343;5.3
17.858;2;C1D;Visual;169.565;-240.300;0.71;0.000;0.020;0.000;328.60;-57.300;-240.351;5.3
17.910;2;C1D;Visual;169.529;-240.300;0.68;0.000;0.020;0.000;330.17;-57.317;-240.358;5.3
17.962;2;C1D;Visual;169.494;-240.300;0.67;0.000;0.000;0.000;332.46;-57.386;-240.368;5.2
18.014;2;C1D;Visual;169.459;-240.300;0.66;0.000;0.000;0.000;334.30;-57.427;-240.372;5.2
18.064;2;C1D;Visual;169.426;-240.300;0.66;0.000;0.000;0.000;336.83;-57.453;-240.377;5.2
18.116;2;C1D;Visual;169.392;-240.300;0.66;0.000;0.000;0.000;338.70;-57.457;-240.380;5.2
18.168;2;C1D;Visual;169.357;-240.300;0.65;0.000;0.000;0.000;341.27;-57.457;-240.381;5.2
18.220;2;C1D;Visual;169.324;-240.300;0.66;0.000;0.000;0.000;343.24;-57.457;-240.380;5.2
18.272;2;C1D;Visual;169.290;-240.300;0.64;0.000;0.000;0.000;345.83;-57.458;-240.380;5.2
18.324;2;C1D;Visual;169.256;-240.300;0.64;0.000;0.000;0.000;347.75;-57.458;-240.382;5.2
18.376;2;C1D;Visual;169.223;-240.300;0.64;0.000;0.000;0.000;350.28;-57.458;-240.386;5.2
18.428;2;C1D;Visual;169.190;-240.300;0.63;0.000;0.000;0.000;352.13;-57.457;-240.389;5.2
18.480;2;C1D;Visual;169.157;-240.300;0.63;0.000;0.000;0.000;354.79;-57.457;-240.390;5.2
18.532;2;C1D;Visual;169.125;-240.300;0.63;0.000;0.000;0.000;357.38;-57.457;-240.391;5.2
18.584;2;C1D;Visual;169.092;-240.300;0.63;0.000;0.000;0.000;359.45;-57.457;-240.391;5.2
18.636;2;C1D;Visual;169.060;-240.300;0.62;0.000;0.000;0.000;361.44;-57.457;-240.391;5.2
18.688;2;C1D;Visual;169.028;-240.300;0.62;0.000;0.000;0.000;364.17;-57.457;-240.391;5.2
18.740;2;C1D;Visual;168.996;-240.300;0.61;0.000;0.000;0.000;366.74;-57.457;-240.394;5.2
18.792;2;C1D;Visual;168.964;-240.300;0.61;0.000;0.000;0.000;368.86;-57.458;-240.397;5.2
18.844;2;C1D;Visual;168.932;-240.300;0.60;0.000;0.000;0.000;371.56;-57.458;-240.401;5.2
18.896;2;C1D;Visual;168.901;-240.300;0.60;0.000;0.000;0.000;373.62;-57.458;-240.403;5.2
