Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
178.686;11;T7C;Visual;38.130;-380.280;0.11;-0.133;0.000;0.000;19664.85;52.654;-380.237;-1.2
178.736;11;T7C;Visual;38.130;-380.280;0.06;-0.133;0.000;0.000;18515.73;38.130;-380.280;-1.3
178.786;11;T7C;Visual;38.129;-380.280;0.01;-0.133;0.000;0.000;17774.73;38.129;-380.280;-1.3
178.836;11;T7C;Visual;38.129;-380.280;0.02;-0.133;0.000;0.000;17592.07;38.129;-380.280;-1.3
178.888;11;T7C;Visual;38.129;-380.280;0.03;-0.133;0.000;0.000;17653.37;38.129;-380.280;-1.3
178.940;11;T7C;Visual;38.129;-380.280;0.03;-0.111;0.000;0.000;17781.11;38.129;-380.280;-1.3
178.990;11;T7C;Visual;38.129;-380.280;0.02;-0.111;0.000;0.000;17908.13;38.129;-380.280;-1.3
179.040;11;T7C;Visual;38.129;-380.280;0.02;-0.111;0.000;0.000;17982.45;38.129;-380.280;-1.3
179.090;11;T7C;Visual;38.129;-380.280;0.01;-0.111;0.000;0.000;18020.72;38.129;-380.280;-1.3
179.140;11;T7C;Visual;38.129;-380.280;0.00;-0.111;0.000;0.000;18007.80;38.129;-380.280;-1.3
179.192;11;T7C;Visual;38.129;-380.280;0.00;-0.111;0.000;0.000;17972.52;38.129;-380.280;-1.3
179.242;11;T7C;Visual;38.128;-380.280;0.00;-0.089;0.000;0.000;17915.00;38.128;-380.280;-1.3
179.292;11;T7C;Visual;38.128;-380.280;0.00;-0.089;0.000;0.000;17857.80;38.128;-380.280;-1.3
179.342;11;T7C;Visual;38.128;-380.280;0.01;-0.067;0.000;0.000;17807.62;38.128;-380.280;-1.3
179.392;11;T7C;Visual;38.128;-380.280;0.00;-0.067;0.000;0.000;17774.59;38.128;-380.280;-1.3
179.444;11;T7C;Visual;38.128;-380.280;0.02;-0.067;0.280;0.000;5951.44;38.128;-380.280;-1.3
179.496;11;T7C;Visual;38.132;-380.280;0.10;-0.067;0.280;0.000;2002.70;38.131;-380.280;-1.3
179.546;11;T7C;Visual;38.139;-380.280;0.19;-0.067;0.500;0.000;1216.54;205.949;-376.769;-1.3
179.596;11;T7C;Visual;38.152;-380.280;0.31;-0.067;0.500;0.000;713.89;205.769;-376.691;-1.3
179.646;11;T7C;Visual;38.171;-380.280;0.44;-0.044;0.600;0.000;430.46;205.508;-376.874;-1.4
179.696;11;T7C;Visual;38.196;-380.279;0.57;-0.044;0.600;0.000;329.79;205.340;-377.344;-1.5
179.748;11;T7C;Visual;38.230;-380.278;0.72;-0.022;0.670;0.000;250.80;205.114;-377.749;-1.5
179.798;11;T7C;Visual;38.270;-380.277;0.87;-0.022;0.670;0.000;209.57;204.944;-378.274;-1.6
179.848;11;T7C;Visual;38.318;-380.276;1.02;-0.022;0.710;0.000;170.88;204.709;-378.380;-1.6
179.898;11;T7C;Visual;38.374;-380.275;1.18;-0.022;0.710;0.000;150.58;204.539;-378.340;-1.7
179.948;11;T7C;Visual;38.437;-380.275;1.34;-0.022;0.770;0.000;133.95;204.364;-378.259;-1.7
180.000;11;T7C;Visual;38.511;-380.274;1.51;-0.022;0.770;0.000;115.16;204.128;-378.127;-1.7
180.052;11;T7C;Visual;38.595;-380.273;1.69;-0.022;0.810;0.000;101.28;203.890;-377.974;-1.7
180.102;11;T7C;Visual;38.684;-380.271;1.86;-0.022;0.810;0.000;92.50;203.712;-377.845;-1.7
180.152;11;T7C;Visual;38.782;-380.270;2.04;-0.022;0.860;0.000;85.13;203.535;-377.702;-1.7
180.202;11;T7C;Visual;38.889;-380.268;2.22;-0.022;0.860;0.000;76.07;203.284;-377.487;-1.7
180.252;11;T7C;Visual;39.006;-380.266;2.41;-0.022;0.870;0.000;70.96;203.112;-377.328;-1.8
180.304;11;T7C;Visual;39.136;-380.263;2.59;-0.022;0.870;0.000;64.69;202.869;-377.083;-1.8
180.356;11;T7C;Visual;39.277;-380.261;2.78;-0.022;0.870;0.000;60.76;202.692;-376.891;-1.8
180.406;11;T7C;Visual;39.421;-380.257;2.96;-0.022;0.870;0.000;57.28;202.509;-376.688;1.8
180.456;11;T7C;Visual;39.574;-380.254;3.14;-0.022;0.870;0.000;53.14;202.266;-376.394;1.8
180.506;11;T7C;Visual;39.736;-380.250;3.32;-0.022;0.870;0.000;50.35;202.075;-376.157;1.8
180.556;11;T7C;Visual;39.906;-380.245;3.49;0.000;0.870;0.000;47.23;201.835;-375.993;1.9
180.608;11;T7C;Visual;40.093;-380.240;3.67;0.000;0.870;0.000;44.93;201.654;-376.170;1.9
180.658;11;T7C;Visual;40.282;-380.236;3.85;0.000;0.870;0.000;43.09;201.482;-376.266;1.9
180.708;11;T7C;Visual;40.479;-380.231;4.02;0.000;0.870;0.000;40.64;201.243;-376.353;1.9
180.758;11;T7C;Visual;40.684;-380.226;4.19;0.000;0.870;0.000;39.06;201.066;-376.392;1.9
180.808;11;T7C;Visual;40.899;-380.221;4.36;0.000;0.870;0.000;37.53;200.885;-376.420;1.9
180.860;11;T7C;Visual;41.131;-380.215;4.54;0.022;0.870;0.000;35.83;200.654;-376.444;1.9
180.912;11;T7C;Visual;41.372;-380.210;4.71;0.022;0.870;0.000;34.22;200.433;-376.935;1.8
