Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
211.348;13;C2A;Multimodal;-242.227;-80.120;0.19;0.000;0.150;0.000;3215.16;-170.506;-80.115;-7.7
211.398;13;C2A;Multimodal;-242.223;-80.120;0.14;0.000;0.000;0.000;2675.60;-133.672;-80.110;-7.7
211.448;13;C2A;Multimodal;-242.220;-80.120;0.09;0.000;0.000;0.000;2679.44;-94.465;-80.105;-7.7
211.498;13;C2A;Multimodal;-242.217;-80.120;0.07;0.000;0.000;0.000;2686.59;-242.218;-80.120;-7.7
211.550;13;C2A;Multimodal;-242.213;-80.120;0.06;0.000;0.000;0.000;2700.84;-242.214;-80.120;-7.7
211.600;13;C2A;Multimodal;-242.210;-80.120;0.07;0.000;0.000;0.000;2715.89;-242.211;-80.120;-7.7
211.650;13;C2A;Multimodal;-242.207;-80.120;0.07;0.000;0.000;0.000;2733.06;-242.207;-80.120;-7.7
211.700;13;C2A;Multimodal;-242.204;-80.120;0.07;0.000;0.000;0.000;2750.81;-242.204;-80.120;-7.7
211.750;13;C2A;Multimodal;-242.200;-80.120;0.07;0.000;0.000;0.000;2769.20;-242.201;-80.120;-7.7
211.802;13;C2A;Multimodal;-242.197;-80.120;0.06;0.000;0.000;0.000;2786.99;-242.198;-80.120;-7.7
211.854;13;C2A;Multimodal;-242.194;-80.120;0.06;0.000;0.000;0.000;2805.45;-242.195;-80.120;-7.7
211.904;13;C2A;Multimodal;-242.191;-80.120;0.06;0.000;0.000;0.000;2824.39;-242.192;-80.120;-7.7
211.954;13;C2A;Multimodal;-242.188;-80.120;0.05;0.000;0.000;0.000;2843.80;-242.188;-80.120;-7.7
212.004;13;C2A;Multimodal;-242.185;-80.120;0.06;-0.022;0.000;0.000;2861.73;-242.185;-80.120;-7.7
212.054;13;C2A;Multimodal;-242.182;-80.120;0.06;-0.022;0.000;0.000;2877.54;-242.182;-80.120;-7.7
212.106;13;C2A;Multimodal;-242.179;-80.120;0.06;-0.022;0.000;0.000;2895.77;-242.179;-80.120;-7.7
212.156;13;C2A;Multimodal;-242.176;-80.120;0.06;-0.022;0.000;0.000;2914.29;-242.176;-80.120;-7.7
212.206;13;C2A;Multimodal;-242.173;-80.120;0.06;-0.022;0.040;0.000;2933.97;-242.173;-80.120;-7.7
212.256;13;C2A;Multimodal;-242.170;-80.120;0.06;-0.022;0.040;0.000;2952.76;-242.170;-80.120;-7.7
212.306;13;C2A;Multimodal;-242.166;-80.120;0.11;-0.022;0.220;0.000;2020.04;-38.030;-78.647;-7.7
212.358;13;C2A;Multimodal;-242.159;-80.120;0.16;-0.022;0.220;0.000;1339.19;-38.017;-78.512;-7.7
212.410;13;C2A;Multimodal;-242.148;-80.120;0.25;-0.022;0.390;0.000;902.65;-38.017;-78.491;-7.7
212.460;13;C2A;Multimodal;-242.133;-80.120;0.34;-0.022;0.390;0.000;654.46;-38.020;-78.399;-7.7
212.510;13;C2A;Multimodal;-242.113;-80.120;0.44;-0.022;0.520;0.000;493.38;-38.022;-78.337;-7.7
212.560;13;C2A;Multimodal;-242.088;-80.119;0.56;-0.022;0.520;0.000;386.39;-38.023;-78.276;-7.7
212.610;13;C2A;Multimodal;-242.056;-80.119;0.72;-0.022;0.680;0.000;330.78;-38.024;-78.244;-7.7
212.662;13;C2A;Multimodal;-242.014;-80.119;0.87;-0.022;0.680;0.000;249.01;-38.024;-78.136;-7.6
212.712;13;C2A;Multimodal;-241.966;-80.118;1.05;-0.022;0.820;0.000;206.43;-38.025;-78.044;-7.6
212.762;13;C2A;Multimodal;-241.908;-80.118;1.24;-0.022;0.820;0.000;181.52;-38.025;-77.954;-7.6
212.812;13;C2A;Multimodal;-241.841;-80.117;1.42;-0.022;0.890;0.000;154.41;-38.025;-77.808;-7.6
212.862;13;C2A;Multimodal;-241.764;-80.116;1.63;-0.022;0.890;0.000;134.79;-38.026;-77.657;-7.5
212.914;13;C2A;Multimodal;-241.674;-80.115;1.82;-0.022;0.910;0.000;119.01;-38.027;-77.477;-7.5
212.966;13;C2A;Multimodal;-241.574;-80.113;2.03;-0.022;0.910;0.000;106.00;-38.029;-77.265;-7.4
213.016;13;C2A;Multimodal;-241.467;-80.112;2.22;-0.044;0.920;0.000;96.25;-38.036;-76.699;-7.4
213.066;13;C2A;Multimodal;-241.351;-80.109;2.41;-0.044;0.920;0.000;88.10;-38.053;-75.779;-7.2
213.116;13;C2A;Multimodal;-241.225;-80.106;2.61;-0.044;0.920;0.000;81.25;-38.068;-75.057;-7.1
213.166;13;C2A;Multimodal;-241.089;-80.102;2.80;-0.044;0.920;0.000;75.21;-38.085;-74.379;-6.9
213.218;13;C2A;Multimodal;-240.938;-80.098;3.00;-0.044;0.920;0.000;70.02;-38.104;-73.714;-6.7
213.270;13;C2A;Multimodal;-240.776;-80.092;3.19;-0.044;0.920;0.000;65.51;-38.125;-73.035;-6.5
213.320;13;C2A;Multimodal;-240.611;-80.086;3.39;-0.022;1.000;0.000;61.61;-38.141;-72.583;-6.3
213.370;13;C2A;Multimodal;-240.436;-80.079;3.60;-0.022;1.000;0.000;57.69;-38.144;-72.464;-6.2
213.420;13;C2A;Multimodal;-240.250;-80.072;3.79;-0.022;1.000;0.000;55.47;-38.149;-72.316;-6.1
213.470;13;C2A;Multimodal;-240.055;-80.064;4.01;-0.022;1.000;0.000;52.51;-38.159;-72.031;-6.0
213.522;13;C2A;Multimodal;-239.841;-80.055;4.21;-0.022;1.000;0.000;48.96;-38.177;-71.560;-5.8
213.572;13;C2A;Multimodal;-239.624;-80.046;4.41;-0.022;1.000;0.000;46.74;-38.192;-71.190;-5.7
213.622;13;C2A;Multimodal;-239.398;-80.036;4.61;0.000;1.000;0.000;44.65;-38.201;-70.967;-5.6
213.672;13;C2A;Multimodal;-239.163;-80.025;4.80;0.000;1.000;0.000;42.74;-38.197;-71.035;-5.6
213.722;13;C2A;Multimodal;-238.917;-80.014;5.01;0.000;1.000;0.000;40.99;-38.194;-71.076;-5.6
213.774;13;C2A;Multimodal;-238.651;-80.002;5.21;0.000;1.000;0.000;39.39;-38.192;-71.101;-5.6
213.826;13;C2A;Multimodal;-238.375;-79.990;5.41;0.022;1.000;0.000;37.91;-38.184;-71.262;-5.6
213.876;13;C2A;Multimodal;-238.099;-79.979;5.60;0.022;1.000;0.000;36.55;-38.163;-71.725;-5.8
213.926;13;C2A;Multimodal;-237.814;-79.967;5.79;0.022;1.000;0.000;35.28;-38.142;-72.211;-5.9
213.976;13;C2A;Multimodal;-237.520;-79.957;5.98;0.022;1.000;0.000;34.15;-38.122;-72.698;-6.1
214.026;13;C2A;Multimodal;-237.216;-79.946;6.17;0.022;1.000;0.000;33.05;-38.102;-73.223;-6.3
214.078;13;C2A;Multimodal;-236.890;-79.936;6.36;0.022;1.000;0.000;32.03;-38.083;-73.762;-6.5
214.128;13;C2A;Multimodal;-236.567;-79.927;6.54;0.044;1.000;0.000;31.06;-38.061;-74.441;-6.7
214.178;13;C2A;Multimodal;-236.235;-79.919;6.73;0.044;1.000;0.000;30.10;-38.032;-75.500;-7.1
214.228;13;C2A;Multimodal;-235.893;-79.913;6.91;0.044;1.000;0.000;29.26;-38.009;-76.553;-7.5
214.278;13;C2A;Multimodal;-235.542;-79.909;7.10;0.044;1.000;0.000;28.54;-37.992;-77.573;-7.8
214.330;13;C2A;Multimodal;-235.168;-79.906;7.28;0.044;1.000;0.000;27.70;-37.978;-78.865;-8.3
