Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
230.626;14;L2A;Audio;-245.290;-79.579;0.13;0.044;0.000;0.000;535.07;-41.207;-79.051;126.6
230.676;14;L2A;Audio;-245.290;-79.579;0.07;0.044;0.000;0.000;535.07;-41.207;-79.051;126.6
230.726;14;L2A;Audio;-245.290;-79.579;0.02;0.044;0.000;0.000;535.07;-41.207;-79.051;126.6
230.776;14;L2A;Audio;-245.290;-79.579;0.01;0.044;0.000;0.000;535.07;-41.207;-79.051;126.6
230.828;14;L2A;Audio;-245.290;-79.579;0.03;0.044;0.000;0.000;535.07;-41.207;-79.051;126.6
230.880;14;L2A;Audio;-245.291;-79.579;0.03;0.044;0.000;0.000;535.07;-41.207;-79.051;126.6
230.930;14;L2A;Audio;-245.291;-79.579;0.03;0.044;0.000;0.000;535.07;-41.207;-79.051;126.6
230.980;14;L2A;Audio;-245.291;-79.579;0.02;0.044;0.000;0.000;535.07;-41.207;-79.051;126.6
231.030;14;L2A;Audio;-245.291;-79.579;0.01;0.044;0.000;0.000;535.07;-41.207;-79.051;126.6
231.080;14;L2A;Audio;-245.291;-79.579;0.04;0.044;0.270;0.000;535.07;-41.207;-79.051;126.6
231.132;14;L2A;Audio;-245.286;-79.579;0.11;0.044;0.270;0.000;535.07;-41.207;-79.051;126.6
231.182;14;L2A;Audio;-245.279;-79.579;0.21;0.022;0.650;0.000;535.07;-41.207;-79.051;126.6
231.232;14;L2A;Audio;-245.264;-79.579;0.37;0.022;0.650;0.000;535.07;-41.207;-79.051;126.6
231.282;14;L2A;Audio;-245.240;-79.579;0.54;0.022;0.790;0.000;535.07;-41.207;-79.051;126.6
231.332;14;L2A;Audio;-245.208;-79.579;0.72;0.022;0.790;0.000;535.07;-41.207;-79.051;126.6
231.384;14;L2A;Audio;-245.165;-79.580;0.92;0.022;0.820;0.000;535.07;-41.207;-79.051;126.6
231.436;14;L2A;Audio;-245.111;-79.580;1.11;0.022;0.820;0.000;535.07;-41.207;-79.051;126.6
231.486;14;L2A;Audio;-245.051;-79.581;1.28;0.022;0.830;0.000;535.07;-41.207;-79.051;126.6
231.536;14;L2A;Audio;-244.982;-79.581;1.46;0.022;0.830;0.000;535.07;-41.207;-79.051;126.6
231.586;14;L2A;Audio;-244.904;-79.582;1.65;0.022;0.880;0.000;535.07;-41.207;-79.051;126.6
231.636;14;L2A;Audio;-244.816;-79.583;1.84;0.022;0.880;0.000;535.07;-41.207;-79.051;126.6
231.688;14;L2A;Audio;-244.714;-79.585;2.04;0.022;0.920;0.000;535.07;-41.207;-79.051;126.6
231.738;14;L2A;Audio;-244.607;-79.586;2.24;0.022;0.920;0.000;535.07;-41.207;-79.051;126.6
231.788;14;L2A;Audio;-244.489;-79.588;2.43;0.022;0.920;0.000;535.07;-41.207;-79.051;126.6
231.838;14;L2A;Audio;-244.362;-79.590;2.62;0.022;0.920;0.000;535.07;-41.207;-79.051;126.6
231.888;14;L2A;Audio;-244.226;-79.592;2.81;0.022;0.910;0.000;535.07;-41.207;-79.051;126.6
231.940;14;L2A;Audio;-244.074;-79.595;3.01;0.022;0.910;0.000;535.07;-41.207;-79.051;126.6
231.992;14;L2A;Audio;-243.912;-79.599;3.21;0.022;0.950;0.000;535.07;-41.207;-79.051;126.6
232.042;14;L2A;Audio;-243.746;-79.603;3.40;0.022;0.950;0.000;535.07;-41.207;-79.051;126.6
