Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
214.128;13;C1A;Visual;-242.217;-80.120;0.32;0.089;0.060;0.000;813.13;-77.273;-84.791;10.5
214.178;13;C1A;Visual;-242.203;-80.121;0.27;0.089;0.060;0.000;786.34;-62.511;-86.427;10.5
214.228;13;C1A;Visual;-242.190;-80.121;0.26;0.089;0.060;0.000;741.02;-52.606;-86.781;10.5
214.278;13;C1A;Visual;-242.177;-80.122;0.26;0.089;0.000;0.000;735.33;-49.968;-87.051;10.5
214.330;13;C1A;Visual;-242.164;-80.122;0.25;0.089;0.000;0.000;740.78;-50.843;-87.145;10.4
214.382;13;C1A;Visual;-242.152;-80.123;0.25;0.089;0.000;0.000;745.33;-51.338;-87.246;10.4
214.432;13;C1A;Visual;-242.139;-80.123;0.25;0.089;0.000;0.000;749.82;-51.153;-87.380;10.3
214.482;13;C1A;Visual;-242.127;-80.124;0.25;0.089;0.000;0.000;754.40;-50.689;-87.527;10.3
214.532;13;C1A;Visual;-242.115;-80.125;0.24;0.089;0.000;0.000;759.02;-50.287;-87.670;10.2
214.582;13;C1A;Visual;-242.103;-80.125;0.24;0.089;0.000;0.000;763.66;-50.071;-87.804;10.2
214.634;13;C1A;Visual;-242.090;-80.126;0.24;0.089;0.000;0.000;768.50;-50.001;-87.934;10.2
214.684;13;C1A;Visual;-242.078;-80.126;0.24;0.067;0.000;0.000;773.95;-49.960;-87.007;10.1
214.734;13;C1A;Visual;-242.066;-80.127;0.24;0.067;0.000;0.000;780.27;-49.954;-86.650;10.1
214.784;13;C1A;Visual;-242.054;-80.127;0.23;0.044;0.040;0.000;785.28;-49.922;-85.698;10.1
214.834;13;C1A;Visual;-242.042;-80.127;0.24;0.044;0.040;0.000;790.37;-49.907;-85.276;10.1
214.886;13;C1A;Visual;-242.027;-80.128;0.37;0.022;0.520;0.000;552.46;-49.873;-83.684;10.0
214.938;13;C1A;Visual;-242.003;-80.128;0.50;0.022;0.520;0.000;429.74;-49.869;-83.530;10.0
214.988;13;C1A;Visual;-241.973;-80.129;0.70;0.022;0.830;0.000;326.73;-49.869;-83.495;10.0
215.038;13;C1A;Visual;-241.932;-80.130;0.89;0.022;0.830;0.000;236.23;-49.870;-83.592;10.0
215.088;13;C1A;Visual;-241.882;-80.130;1.11;0.022;1.000;0.000;193.45;-49.872;-83.666;10.0
215.138;13;C1A;Visual;-241.820;-80.132;1.34;0.022;1.000;0.000;161.01;-49.873;-83.766;10.0
215.190;13;C1A;Visual;-241.744;-80.133;1.56;0.022;1.000;0.000;130.69;-49.875;-83.944;9.9
215.242;13;C1A;Visual;-241.656;-80.135;1.79;0.022;1.000;0.000;115.78;-49.876;-84.084;9.9
215.292;13;C1A;Visual;-241.560;-80.137;2.01;0.022;1.000;0.000;103.02;-49.878;-84.256;9.9
215.342;13;C1A;Visual;-241.454;-80.139;2.22;0.022;1.000;0.000;93.21;-49.880;-84.438;9.8
215.392;13;C1A;Visual;-241.337;-80.142;2.43;0.022;1.000;0.000;82.66;-49.884;-84.709;9.7
215.442;13;C1A;Visual;-241.210;-80.145;2.64;0.022;1.000;0.000;76.28;-49.887;-84.928;9.7
215.494;13;C1A;Visual;-241.066;-80.149;2.86;0.000;1.000;0.000;70.86;-49.880;-84.727;9.6
215.544;13;C1A;Visual;-240.918;-80.152;3.07;0.000;1.000;0.000;65.99;-49.871;-84.455;9.6
215.594;13;C1A;Visual;-240.759;-80.156;3.27;0.000;1.000;0.000;60.79;-49.865;-84.282;9.6
215.644;13;C1A;Visual;-240.589;-80.159;3.48;0.000;1.000;0.000;57.34;-49.861;-84.211;9.6
215.694;13;C1A;Visual;-240.409;-80.163;3.69;0.000;1.000;0.000;54.14;-49.858;-84.168;9.6
215.746;13;C1A;Visual;-240.211;-80.167;3.90;0.000;1.000;0.000;50.73;-49.854;-84.138;9.7
215.798;13;C1A;Visual;-240.003;-80.171;4.11;0.000;1.000;0.000;48.33;-49.851;-84.123;9.7
215.848;13;C1A;Visual;-239.792;-80.176;4.30;0.000;1.000;0.000;45.61;-49.847;-84.110;9.7
215.898;13;C1A;Visual;-239.571;-80.180;4.50;0.000;1.000;0.000;43.59;-49.844;-84.101;9.7
215.948;13;C1A;Visual;-239.341;-80.185;4.70;0.000;1.000;0.000;41.82;-49.841;-84.095;9.7
215.998;13;C1A;Visual;-239.100;-80.190;4.90;0.000;1.000;0.000;39.79;-49.837;-84.087;9.7
216.050;13;C1A;Visual;-238.839;-80.196;5.11;0.000;1.000;0.000;38.32;-49.834;-84.081;9.7
216.100;13;C1A;Visual;-238.579;-80.201;5.30;0.000;1.000;0.000;36.96;-49.830;-84.077;9.7
216.150;13;C1A;Visual;-238.309;-80.207;5.49;0.000;1.000;0.000;35.33;-49.826;-84.070;9.8
216.200;13;C1A;Visual;-238.029;-80.212;5.68;0.000;1.000;0.000;34.17;-49.822;-84.065;9.8
216.250;13;C1A;Visual;-237.740;-80.218;5.86;0.000;1.000;0.000;33.13;-49.818;-84.061;9.8
216.302;13;C1A;Visual;-237.429;-80.224;6.07;0.000;1.000;0.000;31.82;-49.813;-84.055;9.8
216.354;13;C1A;Visual;-237.109;-80.231;6.26;0.000;1.000;0.000;30.92;-49.809;-84.050;9.8
216.404;13;C1A;Visual;-236.790;-80.238;6.45;0.000;1.000;0.000;30.00;-49.805;-84.045;9.8
216.454;13;C1A;Visual;-236.463;-80.244;6.62;0.000;1.000;0.000;28.93;-49.799;-84.038;9.9
216.504;13;C1A;Visual;-236.127;-80.251;6.81;0.000;1.000;0.000;28.19;-49.795;-84.034;9.9
216.554;13;C1A;Visual;-235.781;-80.258;7.00;0.000;1.000;0.000;27.27;-49.789;-84.030;9.9
216.606;13;C1A;Visual;-235.412;-80.265;7.19;0.000;1.000;0.000;26.61;-49.784;-84.027;9.9
216.656;13;C1A;Visual;-235.047;-80.273;7.36;0.000;1.000;0.000;25.79;-49.778;-84.023;9.9
216.706;13;C1A;Visual;-234.674;-80.280;7.55;0.000;1.000;0.000;25.18;-49.773;-84.019;10.0
216.756;13;C1A;Visual;-234.292;-80.288;7.71;0.000;1.000;0.000;24.59;-49.768;-84.015;10.0
216.806;13;C1A;Visual;-233.901;-80.296;7.90;-0.022;1.000;0.000;24.06;-49.761;-83.921;10.0
216.858;13;C1A;Visual;-233.485;-80.303;8.08;-0.022;1.000;0.000;23.38;-49.747;-83.531;10.3
216.910;13;C1A;Visual;-233.060;-80.310;8.26;-0.022;1.000;0.000;22.86;-49.734;-83.142;10.5
216.960;13;C1A;Visual;-232.642;-80.315;8.43;-0.022;1.000;0.000;22.35;-49.721;-82.678;10.7
217.010;13;C1A;Visual;-232.216;-80.320;8.61;-0.022;1.000;0.000;21.88;-49.709;-82.189;11.0
217.060;13;C1A;Visual;-231.780;-80.323;8.78;-0.022;1.000;0.000;21.32;-49.694;-81.536;11.3
217.110;13;C1A;Visual;-231.337;-80.325;8.94;-0.022;0.980;0.000;20.93;-49.685;-81.035;11.5
217.162;13;C1A;Visual;-230.867;-80.326;9.11;-0.022;0.980;0.000;20.47;-49.674;-80.378;11.8
217.214;13;C1A;Visual;-230.388;-80.325;9.29;-0.022;0.970;0.000;20.12;-49.667;-79.850;12.0
217.264;13;C1A;Visual;-229.920;-80.322;9.44;-0.022;0.970;0.000;19.70;-49.659;-79.165;12.3
217.314;13;C1A;Visual;-229.444;-80.318;9.59;-0.022;0.970;0.000;19.38;-49.655;-78.619;12.5
217.364;13;C1A;Visual;-228.960;-80.311;9.75;-0.022;0.970;0.000;18.99;-49.651;-77.916;12.8
217.414;13;C1A;Visual;-228.468;-80.303;9.90;-0.022;0.980;0.000;18.69;-49.650;-77.359;13.0
217.466;13;C1A;Visual;-227.948;-80.293;10.07;-0.022;0.980;0.000;18.32;-49.650;-76.644;13.3
217.516;13;C1A;Visual;-227.440;-80.281;10.23;-0.022;1.000;0.000;18.03;-49.652;-76.055;13.5
217.566;13;C1A;Visual;-226.924;-80.267;10.40;-0.022;1.000;0.000;17.68;-49.656;-75.334;13.8
217.616;13;C1A;Visual;-226.400;-80.251;10.55;-0.022;1.000;0.000;17.34;-49.662;-74.612;14.1
217.666;13;C1A;Visual;-225.868;-80.233;10.71;-0.022;1.000;0.000;17.08;-49.668;-74.044;14.4
217.718;13;C1A;Visual;-225.307;-80.212;10.87;-0.022;1.000;0.000;16.76;-49.679;-73.297;14.7
217.770;13;C1A;Visual;-224.738;-80.188;11.03;-0.022;1.000;0.000;16.53;-49.687;-72.756;14.9
217.820;13;C1A;Visual;-224.182;-80.163;11.19;0.000;1.000;0.000;16.23;-49.696;-72.116;15.2
217.870;13;C1A;Visual;-223.619;-80.136;11.34;0.000;1.000;0.000;15.99;-49.697;-71.746;15.2
217.920;13;C1A;Visual;-223.048;-80.108;11.49;0.000;1.000;0.000;15.70;-49.694;-71.398;15.2
217.970;13;C1A;Visual;-222.470;-80.078;11.64;0.000;1.000;0.000;15.49;-49.688;-71.192;15.2
218.022;13;C1A;Visual;-221.861;-80.047;11.80;0.000;1.000;0.000;15.22;-49.676;-70.996;15.2
218.072;13;C1A;Visual;-221.268;-80.015;11.95;0.000;1.000;0.000;15.02;-49.666;-70.885;15.2
218.122;13;C1A;Visual;-220.667;-79.983;12.10;0.022;1.000;0.000;14.75;-49.643;-70.858;15.2
218.172;13;C1A;Visual;-220.059;-79.951;12.25;0.022;1.000;0.000;14.55;-49.620;-70.967;15.1
218.222;13;C1A;Visual;-219.443;-79.919;12.40;0.022;1.000;0.000;14.29;-49.583;-71.221;14.8
218.274;13;C1A;Visual;-218.795;-79.887;12.54;0.022;1.000;0.000;14.10;-49.550;-71.502;14.6
218.326;13;C1A;Visual;-218.139;-79.856;12.69;0.022;1.000;0.000;13.87;-49.507;-71.924;14.4
218.376;13;C1A;Visual;-217.500;-79.827;12.84;0.022;1.000;0.000;13.63;-49.461;-72.429;14.1
218.426;13;C1A;Visual;-216.855;-79.800;12.98;0.022;0.990;0.000;13.45;-49.424;-72.860;14.0
218.476;13;C1A;Visual;-216.202;-79.775;13.12;0.022;0.990;0.000;13.27;-49.387;-73.314;13.8
218.526;13;C1A;Visual;-215.543;-79.751;13.26;0.022;0.970;0.000;13.04;-49.340;-73.938;13.6
218.578;13;C1A;Visual;-214.850;-79.729;13.40;0.022;0.970;0.000;12.82;-49.295;-74.582;13.4
218.628;13;C1A;Visual;-214.176;-79.709;13.52;0.000;0.940;0.000;12.67;-49.266;-74.985;13.3
218.678;13;C1A;Visual;-213.497;-79.691;13.65;0.000;0.940;0.000;12.48;-49.231;-75.427;13.4
218.728;13;C1A;Visual;-212.812;-79.674;13.76;0.000;0.890;0.000;12.33;-49.206;-75.692;13.5
218.778;13;C1A;Visual;-212.121;-79.658;13.87;0.000;0.890;0.000;12.16;-49.177;-75.950;13.6
218.830;13;C1A;Visual;-211.396;-79.642;13.99;0.000;0.890;0.000;12.03;-49.155;-76.110;13.7
218.882;13;C1A;Visual;-210.666;-79.626;14.10;0.000;0.890;0.000;11.87;-49.128;-76.258;13.8
218.932;13;C1A;Visual;-209.958;-79.611;14.21;0.000;0.890;0.000;11.74;-49.108;-76.347;13.9
218.982;13;C1A;Visual;-209.244;-79.597;14.32;0.000;0.890;0.000;11.58;-49.082;-76.436;14.0
219.032;13;C1A;Visual;-208.525;-79.583;14.45;0.000;0.930;0.000;11.46;-49.063;-76.485;14.0
219.082;13;C1A;Visual;-207.800;-79.569;14.56;0.000;0.930;0.000;11.31;-49.037;-76.536;14.1
219.134;13;C1A;Visual;-207.039;-79.555;14.69;0.000;0.980;0.000;11.19;-49.018;-76.566;14.2
