Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
231.278;14;T7C;Audio;38.130;-380.280;0.10;0.000;0.000;0.000;19423.58;53.804;-380.279;-1.3
231.328;14;T7C;Audio;38.130;-380.280;0.05;0.000;0.000;0.000;18425.29;38.130;-380.280;-1.3
231.380;14;T7C;Audio;38.129;-380.280;0.01;0.000;0.000;0.000;17699.20;38.129;-380.280;-1.3
231.430;14;T7C;Audio;38.129;-380.280;0.02;0.000;0.000;0.000;17585.68;38.129;-380.280;-1.3
231.480;14;T7C;Audio;38.129;-380.280;0.03;0.000;0.000;0.000;17646.66;38.129;-380.280;-1.3
231.530;14;T7C;Audio;38.129;-380.280;0.03;0.000;0.000;0.000;17812.22;38.129;-380.280;-1.3
231.580;14;T7C;Audio;38.129;-380.280;0.02;0.000;0.000;0.000;17921.13;38.129;-380.280;-1.3
231.632;14;T7C;Audio;38.129;-380.280;0.01;0.000;0.000;0.000;17994.20;38.129;-380.280;-1.3
231.682;14;T7C;Audio;38.129;-380.280;0.01;0.000;0.000;0.000;18025.01;38.129;-380.280;-1.3
231.732;14;T7C;Audio;38.129;-380.280;0.01;0.000;0.370;0.000;18012.61;38.129;-380.280;-1.3
231.782;14;T7C;Audio;38.132;-380.280;0.12;0.000;0.370;0.000;1573.90;207.210;-380.309;-1.2
231.832;14;T7C;Audio;38.141;-380.280;0.22;0.000;0.920;0.000;931.22;207.028;-380.309;-1.3
231.884;14;T7C;Audio;38.160;-380.280;0.47;0.000;0.920;0.000;463.09;206.875;-380.311;-1.3
231.936;14;T7C;Audio;38.191;-380.280;0.70;0.000;1.000;0.000;269.62;206.656;-380.313;-1.5
231.986;14;T7C;Audio;38.233;-380.280;0.93;0.000;1.000;0.000;205.04;206.485;-380.315;-1.7
232.036;14;T7C;Audio;38.286;-380.280;1.15;0.000;1.000;0.000;164.08;206.309;-380.316;-1.9
232.086;14;T7C;Audio;38.350;-380.280;1.37;0.000;1.000;0.000;131.14;206.079;-380.319;-2.0
232.136;14;T7C;Audio;38.424;-380.280;1.59;0.000;1.000;0.000;113.19;205.901;-380.321;-2.1
232.188;14;T7C;Audio;38.514;-380.280;1.82;0.000;1.000;0.000;97.05;205.674;-380.322;-2.1
232.238;14;T7C;Audio;38.610;-380.280;2.03;0.000;1.000;0.000;86.50;205.486;-380.323;-2.1
232.288;14;T7C;Audio;38.718;-380.280;2.24;0.000;1.000;0.000;78.68;205.309;-380.324;-2.2
232.338;14;T7C;Audio;38.836;-380.280;2.45;0.000;1.000;0.000;70.07;205.068;-380.325;-2.2
232.388;14;T7C;Audio;38.965;-380.280;2.67;0.000;1.000;0.000;64.87;204.894;-380.325;-2.2
232.440;14;T7C;Audio;39.110;-380.280;2.88;0.000;1.000;0.000;59.09;204.660;-380.325;-2.2
232.492;14;T7C;Audio;39.266;-380.280;3.10;0.000;1.000;0.000;55.20;204.477;-380.325;-2.2
232.542;14;T7C;Audio;39.427;-380.280;3.31;0.000;1.000;0.000;51.66;204.291;-380.325;-2.2
232.592;14;T7C;Audio;39.598;-380.280;3.51;0.000;1.000;0.000;48.06;204.063;-380.325;-2.2
232.642;14;T7C;Audio;39.779;-380.280;3.72;0.000;1.000;0.000;45.47;203.878;-380.325;-2.2
232.692;14;T7C;Audio;39.971;-380.280;3.92;0.000;1.000;0.000;43.14;203.701;-380.325;-2.2
232.744;14;T7C;Audio;40.181;-380.280;4.13;0.000;1.000;0.000;40.52;203.463;-380.325;-2.2
232.796;14;T7C;Audio;40.401;-380.280;4.34;0.000;1.000;0.000;38.20;203.232;-380.325;-2.2
232.846;14;T7C;Audio;40.624;-380.280;4.54;0.000;1.000;0.000;36.47;203.045;-380.325;-2.2
232.896;14;T7C;Audio;40.856;-380.280;4.73;0.000;1.000;0.000;35.08;202.872;-380.325;-2.2
232.946;14;T7C;Audio;41.098;-380.280;4.93;0.000;1.000;0.000;33.68;202.691;-380.325;-2.2
232.996;14;T7C;Audio;41.350;-380.280;5.13;0.000;1.000;0.000;32.01;202.454;-380.325;-2.2
233.048;14;T7C;Audio;41.623;-380.280;5.33;0.000;1.000;0.000;30.59;202.223;-380.325;-2.2
233.098;14;T7C;Audio;41.894;-380.280;5.52;0.000;1.000;0.000;29.56;202.048;-380.324;-2.2
233.148;14;T7C;Audio;42.176;-380.280;5.71;0.000;1.000;0.000;28.55;201.869;-380.323;-2.2
233.198;14;T7C;Audio;42.466;-380.280;5.90;0.000;1.000;0.000;27.37;201.635;-380.322;-2.2
233.248;14;T7C;Audio;42.767;-380.280;6.09;0.000;1.000;0.000;26.54;201.456;-380.322;-2.2
233.300;14;T7C;Audio;43.089;-380.280;6.28;0.000;1.000;0.000;25.52;201.230;-380.321;-2.2
233.352;14;T7C;Audio;43.421;-380.280;6.48;0.000;1.000;0.000;24.82;201.059;-380.321;-2.2
233.402;14;T7C;Audio;43.750;-380.280;6.66;0.000;1.000;0.000;23.95;200.833;-380.321;-2.2
233.452;14;T7C;Audio;44.088;-380.280;6.84;0.000;1.000;0.000;23.30;200.656;-380.321;-2.2
233.502;14;T7C;Audio;44.435;-380.280;7.02;0.000;1.000;0.000;22.52;200.432;-380.321;-2.2
