Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
0.130;1;T7D;Visual;144.210;-239.576;0.22;-0.044;0.000;0.000;33200.92;139.242;-239.625;-1.2
0.182;1;T7D;Visual;144.210;-239.576;0.18;-0.044;0.000;0.000;24232.68;136.716;-239.613;-1.2
0.234;1;T7D;Visual;144.210;-239.576;0.12;-0.044;0.000;0.000;20503.02;132.380;-239.603;-1.2
0.286;1;T7D;Visual;144.211;-239.576;0.06;-0.044;0.000;0.000;18395.98;144.211;-239.576;-1.3
0.336;1;T7D;Visual;144.211;-239.576;0.01;-0.044;0.000;0.000;17800.56;144.211;-239.576;-1.3
0.388;1;T7D;Visual;144.211;-239.576;0.02;-0.044;0.000;0.000;17606.40;144.211;-239.576;-1.3
0.438;1;T7D;Visual;144.211;-239.576;0.03;-0.044;0.000;0.000;17655.88;144.211;-239.576;-1.3
0.488;1;T7D;Visual;144.211;-239.576;0.03;-0.044;0.000;0.000;17800.42;144.211;-239.576;-1.3
0.538;1;T7D;Visual;144.212;-239.576;0.02;-0.044;0.000;0.000;17929.26;144.212;-239.576;-1.3
0.590;1;T7D;Visual;144.212;-239.576;0.02;-0.044;0.000;0.000;18022.87;144.212;-239.576;-1.3
0.640;1;T7D;Visual;144.212;-239.576;0.01;-0.044;0.000;0.000;18058.18;144.212;-239.576;-1.3
0.690;1;T7D;Visual;144.212;-239.576;0.00;-0.044;0.000;0.000;18045.38;144.212;-239.576;-1.3
0.742;1;T7D;Visual;144.212;-239.576;0.01;-0.044;0.000;0.000;18008.32;144.212;-239.576;-1.3
0.792;1;T7D;Visual;144.213;-239.576;0.01;-0.044;0.000;0.000;17957.29;144.213;-239.576;-1.3
0.842;1;T7D;Visual;144.213;-239.576;0.01;-0.044;0.000;0.000;17896.43;144.213;-239.576;-1.3
0.894;1;T7D;Visual;144.213;-239.576;0.00;-0.044;0.000;0.000;17852.09;144.213;-239.576;-1.3
0.944;1;T7D;Visual;144.213;-239.576;0.02;-0.044;0.000;0.000;17817.44;144.213;-239.576;-1.3
