Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
51.478;4;T7B;Audio;-212.797;-261.023;0.14;0.044;0.000;0.000;30414.89;-205.599;-251.804;45.2
51.528;4;T7B;Audio;-212.797;-261.023;0.08;0.044;0.000;0.000;27758.62;-212.797;-261.023;45.2
51.580;4;T7B;Audio;-212.797;-261.023;0.03;0.044;0.000;0.000;25886.73;-212.797;-261.023;45.2
51.632;4;T7B;Audio;-212.797;-261.023;0.01;0.044;0.000;0.000;25239.69;-212.797;-261.023;45.2
51.684;4;T7B;Audio;-212.797;-261.024;0.03;0.044;0.000;0.000;25130.00;-212.797;-261.024;45.2
51.736;4;T7B;Audio;-212.797;-261.024;0.03;0.044;0.000;0.000;25304.02;-212.797;-261.024;45.2
51.788;4;T7B;Audio;-212.797;-261.025;0.03;0.044;0.000;0.000;25519.38;-212.797;-261.025;45.2
51.840;4;T7B;Audio;-212.797;-261.025;0.02;0.044;0.000;0.000;25711.70;-212.797;-261.025;45.2
51.892;4;T7B;Audio;-212.797;-261.025;0.01;0.044;0.000;0.000;25868.16;-212.797;-261.025;45.2
51.944;4;T7B;Audio;-212.797;-261.026;0.02;0.044;0.000;0.000;25899.70;-212.797;-261.026;45.2
51.996;4;T7B;Audio;-212.797;-261.027;0.02;0.067;0.000;0.000;25887.91;-212.797;-261.027;45.1
52.048;4;T7B;Audio;-212.797;-261.028;0.02;0.044;0.000;0.000;25827.07;-212.797;-261.028;45.1
52.100;4;T7B;Audio;-212.797;-261.028;0.02;0.044;0.000;0.000;25725.27;-212.797;-261.028;45.1
52.152;4;T7B;Audio;-212.796;-261.029;0.02;0.022;0.000;0.000;25642.05;-212.796;-261.029;45.1
52.204;4;T7B;Audio;-212.796;-261.030;0.02;0.022;0.000;0.000;25552.83;-212.796;-261.030;45.1
52.256;4;T7B;Audio;-212.796;-261.031;0.02;0.022;0.000;0.000;25475.53;-212.796;-261.031;45.1
52.308;4;T7B;Audio;-212.796;-261.032;0.02;0.022;0.000;0.000;25410.16;-212.796;-261.031;45.1
52.360;4;T7B;Audio;-212.796;-261.032;0.01;0.022;0.110;0.000;13865.37;-212.796;-261.032;45.1
52.410;4;T7B;Audio;-212.796;-261.031;0.04;0.022;0.110;0.000;5948.77;-212.796;-261.031;45.1
52.462;4;T7B;Audio;-212.794;-261.029;0.06;0.000;0.120;0.000;3770.02;-212.794;-261.029;45.1
52.514;4;T7B;Audio;-212.791;-261.026;0.09;0.000;0.120;0.000;2659.69;-212.792;-261.026;45.1
52.566;4;T7B;Audio;-212.788;-261.021;0.13;0.000;0.250;0.000;1828.62;-108.962;-127.462;45.1
52.618;4;T7B;Audio;-212.782;-261.014;0.21;0.000;0.250;0.000;1308.20;-109.083;-127.599;45.0
52.670;4;T7B;Audio;-212.775;-261.005;0.27;0.000;0.440;0.000;1007.43;-109.196;-127.741;45.0
52.722;4;T7B;Audio;-212.764;-260.991;0.38;0.000;0.440;0.000;719.85;-109.315;-127.893;45.0
52.774;4;T7B;Audio;-212.750;-260.973;0.50;0.000;0.540;0.000;525.56;-109.459;-128.077;45.0
52.826;4;T7B;Audio;-212.732;-260.949;0.62;0.000;0.540;0.000;418.69;-109.571;-128.221;45.0
52.878;4;T7B;Audio;-212.710;-260.921;0.76;0.000;0.630;0.000;329.37;-109.716;-128.406;45.0
52.930;4;T7B;Audio;-212.683;-260.886;0.91;0.000;0.630;0.000;277.86;-109.822;-128.543;45.0
52.982;4;T7B;Audio;-212.652;-260.846;1.05;0.000;0.640;0.000;241.59;-109.927;-128.677;45.0
53.034;4;T7B;Audio;-212.615;-260.799;1.20;0.000;0.640;0.000;205.23;-110.067;-128.854;45.1
53.086;4;T7B;Audio;-212.575;-260.747;1.35;0.000;0.660;0.000;184.51;-110.169;-128.984;45.1
53.138;4;T7B;Audio;-212.529;-260.688;1.49;0.000;0.660;0.000;165.96;-110.275;-129.120;45.1
53.190;4;T7B;Audio;-212.479;-260.624;1.63;0.000;0.650;0.000;148.27;-110.408;-129.291;45.1
53.242;4;T7B;Audio;-212.425;-260.554;1.77;0.000;0.650;0.000;137.19;-110.508;-129.418;45.1
53.294;4;T7B;Audio;-212.365;-260.478;1.90;0.000;0.610;0.000;127.86;-110.602;-129.539;45.1
53.346;4;T7B;Audio;-212.302;-260.396;2.03;0.000;0.610;0.000;117.93;-110.727;-129.699;45.1
53.396;4;T7B;Audio;-212.238;-260.313;2.16;0.000;0.600;0.000;111.67;-110.815;-129.813;45.1
53.448;4;T7B;Audio;-212.166;-260.221;2.30;0.000;0.600;0.000;104.43;-110.936;-129.967;45.2
53.500;4;T7B;Audio;-212.091;-260.125;2.41;-0.022;0.600;0.000;99.62;-111.378;-129.812;45.2
53.552;4;T7B;Audio;-212.013;-260.022;2.54;-0.022;0.600;0.000;94.03;-111.954;-129.612;45.4
53.604;4;T7B;Audio;-211.930;-259.914;2.65;-0.022;0.590;0.000;90.17;-112.310;-129.530;45.5
53.656;4;T7B;Audio;-211.844;-259.801;2.79;-0.022;0.590;0.000;85.64;-112.719;-129.450;45.6
53.708;4;T7B;Audio;-211.755;-259.683;2.90;-0.022;0.580;0.000;82.64;-113.008;-129.407;45.7
53.760;4;T7B;Audio;-211.662;-259.560;3.02;-0.022;0.580;0.000;78.93;-113.393;-129.350;45.9
53.812;4;T7B;Audio;-211.565;-259.432;3.14;-0.022;0.580;0.000;76.33;-113.685;-129.300;46.0
53.864;4;T7B;Audio;-211.465;-259.299;3.24;-0.022;0.580;0.000;74.01;-113.970;-129.254;46.1
53.916;4;T7B;Audio;-211.362;-259.160;3.37;-0.022;0.580;0.000;71.10;-114.360;-129.182;46.3
53.968;4;T7B;Audio;-211.256;-259.017;3.48;-0.022;0.580;0.000;69.04;-114.662;-129.119;46.5
54.020;4;T7B;Audio;-211.146;-258.869;3.59;-0.022;0.580;0.000;66.55;-115.068;-129.037;46.7
54.072;4;T7B;Audio;-211.033;-258.716;3.71;-0.022;0.580;0.000;64.85;-115.367;-128.969;46.8
54.124;4;T7B;Audio;-210.917;-258.558;3.82;0.000;0.580;0.000;62.45;-115.439;-129.124;46.9
54.176;4;T7B;Audio;-210.797;-258.396;3.93;0.000;0.580;0.000;60.54;-115.451;-129.296;47.0
54.228;4;T7B;Audio;-210.674;-258.229;4.04;0.000;0.580;0.000;58.97;-115.483;-129.425;47.0
54.280;4;T7B;Audio;-210.547;-258.057;4.14;0.022;0.580;0.000;57.11;-115.544;-129.578;47.1
54.332;4;T7B;Audio;-210.417;-257.882;4.28;0.022;0.580;0.000;55.58;-115.269;-129.928;47.0
54.382;4;T7B;Audio;-210.287;-257.709;4.37;0.022;0.580;0.000;54.01;-115.004;-130.291;46.9
54.434;4;T7B;Audio;-210.149;-257.525;4.47;0.022;0.580;0.000;52.42;-114.728;-130.669;46.8
54.486;4;T7B;Audio;-210.007;-257.337;4.58;0.044;0.570;0.000;51.02;-114.482;-131.018;46.7
54.538;4;T7B;Audio;-209.861;-257.145;4.67;0.044;0.570;0.000;49.47;-113.851;-131.665;46.5
54.590;4;T7B;Audio;-209.710;-256.950;4.79;0.044;0.570;0.000;48.17;-113.307;-132.243;46.2
54.642;4;T7B;Audio;-209.556;-256.752;4.89;0.044;0.570;0.000;46.87;-112.735;-132.846;46.0
54.694;4;T7B;Audio;-209.396;-256.550;4.99;0.044;0.570;0.000;45.63;-112.157;-133.451;45.7
54.746;4;T7B;Audio;-209.233;-256.346;5.09;0.044;0.570;0.000;44.13;-111.419;-134.247;45.3
54.798;4;T7B;Audio;-209.065;-256.138;5.19;0.044;0.570;0.000;43.09;-110.882;-134.827;45.1
54.850;4;T7B;Audio;-208.892;-255.927;5.28;0.044;0.570;0.000;42.06;-110.313;-135.436;44.8
54.902;4;T7B;Audio;-208.715;-255.713;5.39;0.044;0.560;0.000;40.78;-109.575;-136.240;44.4
54.954;4;T7B;Audio;-208.534;-255.496;5.47;0.044;0.560;0.000;39.89;-109.025;-136.850;44.2
55.006;4;T7B;Audio;-208.348;-255.277;5.57;0.044;0.560;0.000;38.95;-108.421;-137.519;43.9
55.058;4;T7B;Audio;-208.157;-255.055;5.66;0.044;0.560;0.000;38.01;-107.786;-138.224;43.6
55.110;4;T7B;Audio;-207.962;-254.830;5.76;0.044;0.560;0.000;37.05;-107.097;-138.993;43.2
55.162;4;T7B;Audio;-207.763;-254.603;5.85;0.044;0.560;0.000;36.21;-106.484;-139.695;42.9
55.214;4;T7B;Audio;-207.558;-254.374;5.94;0.044;0.560;0.000;35.41;-105.864;-140.403;42.6
55.266;4;T7B;Audio;-207.350;-254.143;6.03;0.044;0.560;0.000;34.66;-105.270;-141.095;42.3
55.318;4;T7B;Audio;-207.136;-253.909;6.13;0.044;0.560;0.000;33.76;-104.522;-141.968;41.9
55.368;4;T7B;Audio;-206.926;-253.683;6.21;0.044;0.560;0.000;33.10;-103.946;-142.644;41.6
55.420;4;T7B;Audio;-206.703;-253.445;6.30;0.044;0.560;0.000;32.27;-103.196;-143.542;41.2
55.472;4;T7B;Audio;-206.476;-253.206;6.39;0.044;0.560;0.000;31.67;-102.648;-144.211;41.0
55.524;4;T7B;Audio;-206.243;-252.965;6.48;0.067;0.560;0.000;30.86;-101.748;-145.274;40.5
55.576;4;T7B;Audio;-206.005;-252.723;6.57;0.067;0.560;0.000;30.25;-100.982;-146.177;40.0
55.628;4;T7B;Audio;-205.762;-252.480;6.65;0.067;0.560;0.000;29.45;-99.896;-147.459;39.4
55.680;4;T7B;Audio;-205.513;-252.237;6.74;0.067;0.560;0.000;28.88;-99.084;-148.436;38.9
55.732;4;T7B;Audio;-205.258;-251.993;6.82;0.089;0.570;0.000;28.09;-97.835;-149.949;38.1
55.784;4;T7B;Audio;-204.997;-251.749;6.90;0.089;0.570;0.000;27.47;-96.756;-151.264;37.4
55.836;4;T7B;Audio;-204.729;-251.506;7.00;0.089;0.610;0.000;26.66;-95.315;-153.069;36.5
55.888;4;T7B;Audio;-204.454;-251.263;7.09;0.089;0.610;0.000;26.08;-94.246;-154.446;35.8
55.940;4;T7B;Audio;-204.172;-251.021;7.18;0.089;0.610;0.000;25.31;-92.780;-156.373;34.9
