Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
84.000;6;L2C;Audio;32.710;-379.829;0.10;-0.133;0.000;0.000;443.37;175.651;-380.818;-11.7
84.052;6;L2C;Audio;32.710;-379.829;0.04;-0.133;0.000;0.000;443.37;175.651;-380.818;-11.7
84.102;6;L2C;Audio;32.710;-379.829;0.00;-0.133;0.000;0.000;443.37;175.651;-380.818;-11.7
84.154;6;L2C;Audio;32.710;-379.829;0.02;-0.133;0.000;0.000;443.37;175.651;-380.818;-11.7
84.206;6;L2C;Audio;32.710;-379.829;0.03;-0.133;0.000;0.000;443.37;175.651;-380.818;-11.7
84.256;6;L2C;Audio;32.710;-379.829;0.03;-0.133;0.000;0.000;443.37;175.651;-380.818;-11.7
84.306;6;L2C;Audio;32.710;-379.829;0.02;-0.133;0.000;0.000;443.37;175.651;-380.818;-11.7
84.358;6;L2C;Audio;32.710;-379.829;0.01;-0.133;0.000;0.000;443.37;175.651;-380.818;-11.7
84.408;6;L2C;Audio;32.709;-379.829;0.01;-0.133;0.000;0.000;443.37;175.651;-380.818;-11.7
84.458;6;L2C;Audio;32.709;-379.829;0.00;-0.133;0.000;0.000;443.37;175.651;-380.818;-11.7
84.510;6;L2C;Audio;32.709;-379.829;0.00;-0.133;0.030;0.000;443.37;175.651;-380.818;-11.7
84.560;6;L2C;Audio;32.709;-379.829;0.00;-0.133;0.030;0.000;443.37;175.651;-380.818;-11.7
84.612;6;L2C;Audio;32.710;-379.829;0.05;-0.111;0.250;0.000;443.37;175.651;-380.818;-11.7
84.664;6;L2C;Audio;32.715;-379.829;0.12;-0.111;0.250;0.000;443.37;175.651;-380.818;-11.7
84.714;6;L2C;Audio;32.724;-379.829;0.23;-0.111;0.520;0.000;443.37;175.651;-380.818;-11.7
84.764;6;L2C;Audio;32.739;-379.828;0.36;-0.111;0.520;0.000;443.37;175.651;-380.818;-11.7
84.816;6;L2C;Audio;32.762;-379.827;0.50;-0.111;0.600;0.000;443.37;175.651;-380.818;-11.7
84.866;6;L2C;Audio;32.790;-379.826;0.64;-0.111;0.600;0.000;443.37;175.651;-380.818;-11.7
84.918;6;L2C;Audio;32.829;-379.824;0.82;-0.111;0.780;0.000;443.37;175.651;-380.818;-11.7
84.970;6;L2C;Audio;32.876;-379.822;1.00;-0.111;0.780;0.000;443.37;175.651;-380.818;-11.7
85.020;6;L2C;Audio;32.932;-379.819;1.21;-0.111;0.920;0.000;443.37;175.651;-380.818;-11.7
85.070;6;L2C;Audio;32.998;-379.816;1.41;-0.111;0.920;0.000;443.37;175.651;-380.818;-11.7
85.122;6;L2C;Audio;33.078;-379.812;1.64;-0.111;1.000;0.000;443.37;175.651;-380.818;-11.7
85.172;6;L2C;Audio;33.165;-379.806;1.85;-0.111;1.000;0.000;443.37;175.651;-380.818;-11.7
85.222;6;L2C;Audio;33.264;-379.800;2.07;-0.111;1.000;0.000;443.37;175.651;-380.818;-11.7
85.274;6;L2C;Audio;33.378;-379.792;2.29;-0.111;1.000;0.000;443.37;175.651;-380.818;-11.7
85.324;6;L2C;Audio;33.498;-379.783;2.50;-0.089;1.000;0.000;443.37;175.651;-380.818;-11.7
85.376;6;L2C;Audio;33.634;-379.773;2.72;-0.089;1.000;0.000;443.37;175.651;-380.818;-11.7
85.428;6;L2C;Audio;33.781;-379.761;2.94;-0.089;1.000;0.000;443.37;175.651;-380.818;-11.7
85.478;6;L2C;Audio;33.933;-379.747;3.15;-0.089;1.000;0.000;443.37;175.651;-380.818;-11.7
85.528;6;L2C;Audio;34.096;-379.732;3.35;-0.067;1.000;0.000;443.37;175.651;-380.818;-11.7
85.580;6;L2C;Audio;34.275;-379.715;3.56;-0.067;1.000;0.000;443.37;175.651;-380.818;-11.7
85.630;6;L2C;Audio;34.458;-379.697;3.77;-0.044;1.000;0.000;443.37;175.651;-380.818;-11.7
85.682;6;L2C;Audio;34.659;-379.677;3.98;-0.044;1.000;0.000;443.37;175.651;-380.818;-11.7
85.734;6;L2C;Audio;34.871;-379.655;4.19;-0.044;1.000;0.000;443.37;175.651;-380.818;-11.7
85.784;6;L2C;Audio;35.085;-379.632;4.39;-0.044;1.000;0.000;443.37;175.651;-380.818;-11.7
85.834;6;L2C;Audio;35.308;-379.607;4.59;-0.022;1.000;0.000;443.37;175.651;-380.818;-11.7
85.886;6;L2C;Audio;35.551;-379.580;4.79;-0.022;1.000;0.000;443.37;175.651;-380.818;-11.7
85.936;6;L2C;Audio;35.795;-379.552;4.99;-0.022;1.000;0.000;443.37;175.651;-380.818;-11.7
85.986;6;L2C;Audio;36.048;-379.523;5.18;-0.022;1.000;0.000;443.37;175.651;-380.818;-11.7
86.038;6;L2C;Audio;36.321;-379.491;5.38;0.000;1.000;0.000;443.37;175.651;-380.818;-11.7
86.088;6;L2C;Audio;36.594;-379.459;5.57;0.000;1.000;0.000;443.37;175.651;-380.818;-11.7
86.140;6;L2C;Audio;36.887;-379.425;5.77;0.000;1.000;0.000;443.37;175.651;-380.818;-11.7
86.192;6;L2C;Audio;37.191;-379.389;5.97;0.000;1.000;0.000;443.37;175.651;-380.818;-11.7
86.242;6;L2C;Audio;37.492;-379.354;6.16;0.000;1.000;0.000;443.37;175.651;-380.818;-11.7
86.292;6;L2C;Audio;37.803;-379.318;6.34;0.000;1.000;0.000;443.37;175.651;-380.818;-11.7
86.344;6;L2C;Audio;38.137;-379.279;6.54;0.000;1.000;0.000;443.37;175.651;-380.818;-11.7
86.394;6;L2C;Audio;38.466;-379.240;6.72;0.000;1.000;0.000;443.37;175.651;-380.818;-11.7
86.444;6;L2C;Audio;38.805;-379.201;6.90;0.022;1.000;0.000;443.37;175.651;-380.818;-11.7
86.496;6;L2C;Audio;39.167;-379.159;7.09;0.022;1.000;0.000;443.37;175.651;-380.818;-11.7
86.546;6;L2C;Audio;39.525;-379.119;7.27;0.044;1.000;0.000;443.37;175.651;-380.818;-11.7
86.598;6;L2C;Audio;39.906;-379.079;7.46;0.044;1.000;0.000;443.37;175.651;-380.818;-11.7
86.650;6;L2C;Audio;40.297;-379.040;7.64;0.067;1.000;0.000;443.37;175.651;-380.818;-11.7
86.700;6;L2C;Audio;40.682;-379.004;7.82;0.089;1.000;0.000;443.37;175.651;-380.818;-11.7
86.750;6;L2C;Audio;41.077;-378.972;7.99;0.089;1.000;0.000;443.37;175.651;-380.818;-11.7
86.802;6;L2C;Audio;41.496;-378.942;8.17;0.089;1.000;0.000;443.37;175.651;-380.818;-11.7
86.852;6;L2C;Audio;41.909;-378.918;8.34;0.089;1.000;0.000;443.37;175.651;-380.818;-11.7
86.904;6;L2C;Audio;42.347;-378.897;8.51;0.089;1.000;0.000;443.37;175.651;-380.818;-11.7
86.956;6;L2C;Audio;42.794;-378.883;8.68;0.089;1.000;0.000;443.37;175.651;-380.818;-11.7
87.006;6;L2C;Audio;43.232;-378.875;8.84;0.089;1.000;0.000;443.37;175.651;-380.818;-11.7
87.056;6;L2C;Audio;43.679;-378.872;9.01;0.067;0.990;0.000;443.37;175.651;-380.818;-11.7
87.108;6;L2C;Audio;44.152;-378.875;9.17;0.067;0.990;0.000;443.37;175.651;-380.818;-11.7
87.158;6;L2C;Audio;44.615;-378.883;9.33;0.044;0.970;0.000;443.37;175.651;-380.818;-11.7
87.208;6;L2C;Audio;45.086;-378.896;9.48;0.044;0.970;0.000;443.37;175.651;-380.818;-11.7
87.260;6;L2C;Audio;45.583;-378.914;9.65;0.022;0.970;0.000;443.37;175.651;-380.818;-11.7
87.310;6;L2C;Audio;46.070;-378.935;9.80;0.022;0.970;0.000;443.37;175.651;-380.818;-11.7
87.362;6;L2C;Audio;46.583;-378.960;9.96;0.022;0.970;0.000;443.37;175.651;-380.818;-11.7
87.414;6;L2C;Audio;47.105;-378.989;10.12;0.022;0.970;0.000;443.37;175.651;-380.818;-11.7
87.464;6;L2C;Audio;47.615;-379.019;10.28;0.022;0.970;0.000;443.37;175.651;-380.818;-11.7
87.514;6;L2C;Audio;48.132;-379.053;10.43;0.022;0.970;0.000;443.37;175.651;-380.818;-11.7
87.566;6;L2C;Audio;48.677;-379.090;10.59;0.000;0.970;0.000;443.37;175.651;-380.818;-11.7
