Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
236.110;15;C1B;Control;-216.980;-288.120;0.15;0.000;0.000;0.000;296161.60;-216.981;-278.393;81.3
236.162;15;C1B;Control;-216.980;-288.120;0.09;0.000;0.000;0.000;165734.80;-216.980;-288.120;81.3
236.214;15;C1B;Control;-216.980;-288.120;0.03;0.000;0.000;0.000;130165.00;-216.980;-288.120;81.3
236.264;15;C1B;Control;-216.980;-288.120;0.00;0.000;0.000;0.000;112702.50;-216.980;-288.120;81.3
236.314;15;C1B;Control;-216.980;-288.120;0.02;0.000;0.000;0.000;102855.70;-216.980;-288.120;81.3
236.364;15;C1B;Control;-216.980;-288.120;0.03;0.000;0.000;0.000;101481.10;-216.980;-288.120;81.3
236.414;15;C1B;Control;-216.980;-288.119;0.03;0.000;0.000;0.000;102778.20;-216.980;-288.119;81.3
236.466;15;C1B;Control;-216.980;-288.119;0.02;0.000;0.000;0.000;105170.70;-216.980;-288.119;81.3
236.518;15;C1B;Control;-216.980;-288.119;0.02;-0.022;0.000;0.000;108553.20;-216.980;-288.119;81.3
236.568;15;C1B;Control;-216.980;-288.119;0.00;-0.022;0.000;0.000;110698.80;-216.980;-288.119;81.3
236.618;15;C1B;Control;-216.980;-288.119;0.00;-0.022;0.060;0.000;55790.74;-216.980;-288.119;81.3
236.668;15;C1B;Control;-216.980;-288.118;0.03;-0.022;0.060;0.000;41802.47;-216.980;-288.118;81.3
236.718;15;C1B;Control;-216.980;-288.115;0.12;-0.022;0.510;0.000;10402.58;-217.819;-125.274;81.3
236.770;15;C1B;Control;-216.980;-288.105;0.24;-0.022;0.510;0.000;5313.52;-218.090;-125.186;81.3
236.820;15;C1B;Control;-216.980;-288.088;0.40;-0.044;0.670;0.000;3585.45;-218.676;-125.152;81.3
236.870;15;C1B;Control;-216.981;-288.064;0.55;-0.044;0.670;0.000;2412.44;-219.418;-125.124;81.3
236.920;15;C1B;Control;-216.981;-288.032;0.72;-0.044;0.700;0.000;1930.67;-219.599;-125.099;81.4
236.970;15;C1B;Control;-216.982;-287.992;0.85;-0.044;0.700;0.000;1538.21;-219.785;-125.063;81.5
