Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
57.618;4;C1C;Audio;38.020;-379.870;0.12;0.022;0.000;0.000;16.18;-40.660;-80.072;73.4
57.670;4;C1C;Audio;38.020;-379.870;0.06;0.022;0.000;0.000;16.18;-40.660;-80.072;73.4
57.722;4;C1C;Audio;38.019;-379.870;0.02;0.022;0.000;0.000;16.18;-40.660;-80.072;73.4
57.774;4;C1C;Audio;38.019;-379.870;0.01;0.022;0.000;0.000;16.18;-40.660;-80.072;73.4
57.826;4;C1C;Audio;38.019;-379.870;0.03;0.022;0.000;0.000;16.18;-40.660;-80.072;73.4
57.878;4;C1C;Audio;38.019;-379.870;0.03;0.022;0.000;0.000;16.18;-40.660;-80.072;73.4
57.930;4;C1C;Audio;38.019;-379.870;0.02;0.022;0.000;0.000;16.18;-40.660;-80.072;73.4
57.982;4;C1C;Audio;38.019;-379.870;0.02;0.022;0.000;0.000;16.18;-40.660;-80.072;73.4
58.034;4;C1C;Audio;38.019;-379.870;0.01;0.022;0.000;0.000;16.18;-40.660;-80.072;73.4
58.086;4;C1C;Audio;38.019;-379.870;0.00;0.022;0.000;0.000;16.18;-40.660;-80.072;73.4
58.138;4;C1C;Audio;38.019;-379.870;0.00;0.022;0.000;0.000;16.18;-40.660;-80.072;73.4
58.190;4;C1C;Audio;38.018;-379.870;0.00;0.022;0.000;0.000;16.18;-40.660;-80.072;73.4
58.242;4;C1C;Audio;38.018;-379.870;0.00;0.022;0.000;0.000;16.18;-40.660;-80.072;73.4
58.294;4;C1C;Audio;38.018;-379.870;0.00;0.022;0.000;0.000;16.18;-40.660;-80.072;73.4
58.346;4;C1C;Audio;38.018;-379.870;0.00;0.022;0.000;0.000;16.18;-40.660;-80.072;73.4
58.398;4;C1C;Audio;38.018;-379.870;0.00;0.022;0.000;0.000;16.18;-40.660;-80.072;73.4
58.450;4;C1C;Audio;38.018;-379.870;0.00;0.022;0.000;0.000;16.18;-40.660;-80.072;73.4
58.502;4;C1C;Audio;38.018;-379.870;0.00;0.022;0.000;0.000;16.18;-40.660;-80.072;73.4
58.554;4;C1C;Audio;38.018;-379.870;0.00;0.022;0.000;0.000;16.18;-40.660;-80.072;73.4
58.606;4;C1C;Audio;38.018;-379.870;0.00;0.022;0.000;0.000;16.18;-40.660;-80.072;73.4
58.658;4;C1C;Audio;38.017;-379.870;0.00;0.022;0.000;0.000;16.18;-40.660;-80.072;73.4
58.708;4;C1C;Audio;38.017;-379.870;0.00;0.022;0.000;0.000;16.18;-40.660;-80.072;73.4
58.760;4;C1C;Audio;38.017;-379.870;0.00;0.022;0.000;0.000;16.18;-40.660;-80.072;73.4
58.812;4;C1C;Audio;38.017;-379.870;0.00;0.022;0.000;0.000;16.18;-40.660;-80.072;73.4
58.864;4;C1C;Audio;38.017;-379.870;0.00;0.022;0.000;0.000;16.18;-40.660;-80.072;73.4
58.916;4;C1C;Audio;38.018;-379.870;0.06;0.022;0.270;0.000;16.18;-40.660;-80.072;73.4
58.968;4;C1C;Audio;38.024;-379.870;0.13;0.022;0.600;0.000;16.18;-40.660;-80.072;73.4
59.020;4;C1C;Audio;38.036;-379.870;0.30;0.022;0.600;0.000;16.18;-40.660;-80.072;73.4
59.072;4;C1C;Audio;38.055;-379.870;0.44;0.022;0.840;0.000;16.18;-40.660;-80.072;73.4
59.124;4;C1C;Audio;38.085;-379.870;0.66;0.022;0.840;0.000;16.18;-40.660;-80.072;73.4
59.176;4;C1C;Audio;38.125;-379.870;0.86;0.022;1.000;0.000;16.18;-40.660;-80.072;73.4
59.228;4;C1C;Audio;38.177;-379.871;1.10;0.022;1.000;0.000;16.18;-40.660;-80.072;73.4
59.280;4;C1C;Audio;38.240;-379.872;1.33;0.022;1.000;0.000;16.18;-40.660;-80.072;73.4
59.332;4;C1C;Audio;38.316;-379.872;1.56;0.022;1.000;0.000;16.18;-40.660;-80.072;73.4
59.384;4;C1C;Audio;38.404;-379.873;1.78;0.022;1.000;0.000;16.18;-40.660;-80.072;73.4
59.436;4;C1C;Audio;38.503;-379.874;2.01;0.022;1.000;0.000;16.18;-40.660;-80.072;73.4
59.488;4;C1C;Audio;38.614;-379.876;2.23;0.022;1.000;0.000;16.18;-40.660;-80.072;73.4
59.540;4;C1C;Audio;38.736;-379.878;2.45;0.022;1.000;0.000;16.18;-40.660;-80.072;73.4
59.592;4;C1C;Audio;38.869;-379.880;2.67;0.022;1.000;0.000;16.18;-40.660;-80.072;73.4
59.644;4;C1C;Audio;39.015;-379.882;2.89;0.022;1.000;0.000;16.18;-40.660;-80.072;73.4
59.694;4;C1C;Audio;39.165;-379.885;3.09;0.000;1.000;0.000;16.18;-40.660;-80.072;73.4
59.746;4;C1C;Audio;39.332;-379.888;3.31;0.000;1.000;0.000;16.18;-40.660;-80.072;73.4
59.798;4;C1C;Audio;39.510;-379.892;3.52;0.000;1.000;0.000;16.18;-40.660;-80.072;73.4
