Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
0.128;1;C1A;Visual;-242.230;-80.120;0.22;-0.022;0.000;0.000;37828.42;-236.750;-80.091;10.6
0.228;1;C1A;Visual;-242.230;-80.120;0.13;-0.022;0.000;0.000;23235.63;-228.909;-80.103;10.6
0.330;1;C1A;Visual;-242.231;-80.120;0.02;-0.022;0.000;0.000;20443.42;-242.231;-80.120;10.6
0.432;1;C1A;Visual;-242.231;-80.120;0.03;-0.022;0.000;0.000;20274.05;-242.231;-80.120;10.6
0.534;1;C1A;Visual;-242.231;-80.120;0.03;-0.022;0.000;0.000;20591.77;-242.231;-80.120;10.6
0.636;1;C1A;Visual;-242.232;-80.120;0.01;-0.022;0.000;0.000;20797.44;-242.232;-80.120;10.6
0.736;1;C1A;Visual;-242.232;-80.120;0.01;-0.022;0.000;0.000;20774.08;-242.232;-80.120;10.6
0.838;1;C1A;Visual;-242.233;-80.120;0.01;-0.022;0.000;0.000;20697.09;-242.233;-80.120;10.6
0.940;1;C1A;Visual;-242.233;-80.120;0.00;-0.022;0.000;0.000;20640.88;-242.233;-80.120;10.6
1.040;1;C1A;Visual;-242.233;-80.120;0.00;-0.022;0.000;0.000;20634.58;-242.233;-80.120;10.6
1.140;1;C1A;Visual;-242.233;-80.120;0.00;-0.022;0.000;0.000;20644.81;-242.233;-80.120;10.6
1.242;1;C1A;Visual;-242.233;-80.120;0.00;-0.022;0.000;0.000;20658.21;-242.233;-80.120;10.6
1.344;1;C1A;Visual;-242.233;-80.120;0.00;-0.022;0.000;0.000;20658.29;-242.233;-80.120;10.6
1.444;1;C1A;Visual;-242.233;-80.120;0.00;-0.022;0.000;0.000;20655.33;-242.233;-80.120;10.6
1.546;1;C1A;Visual;-242.233;-80.120;0.00;-0.022;0.000;0.000;20654.89;-242.233;-80.120;10.6
1.648;1;C1A;Visual;-242.233;-80.120;0.00;-0.022;0.000;0.000;20649.78;-242.233;-80.120;10.6
1.750;1;C1A;Visual;-242.233;-80.120;0.00;-0.022;0.000;0.000;20649.68;-242.233;-80.120;10.6
1.850;1;C1A;Visual;-242.233;-80.120;0.00;-0.022;0.000;0.000;20650.94;-242.233;-80.120;10.6
1.952;1;C1A;Visual;-242.233;-80.120;0.00;-0.022;0.000;0.000;20649.75;-242.233;-80.120;10.6
2.054;1;C1A;Visual;-242.233;-80.120;0.00;-0.022;0.000;0.000;20646.01;-242.233;-80.120;10.6
2.156;1;C1A;Visual;-242.233;-80.120;0.00;-0.022;0.000;0.000;20650.87;-242.233;-80.120;10.6
