Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
22.416;2;C2D;Multimodal;169.700;-240.300;0.22;0.000;0.000;0.000;41463.74;162.973;-240.301;-5.5
22.516;2;C2D;Multimodal;169.700;-240.300;0.12;0.000;0.000;0.000;26397.11;152.474;-240.303;-5.5
22.616;2;C2D;Multimodal;169.701;-240.300;0.02;0.000;0.000;0.000;23797.95;169.701;-240.300;-5.6
22.716;2;C2D;Multimodal;169.701;-240.300;0.03;0.000;0.000;0.000;23721.69;169.701;-240.300;-5.6
22.816;2;C2D;Multimodal;169.702;-240.300;0.03;0.000;0.000;0.000;24134.30;169.702;-240.300;-5.6
22.918;2;C2D;Multimodal;169.699;-240.300;0.09;0.000;0.300;0.000;3089.07;169.700;-240.300;-5.5
23.018;2;C2D;Multimodal;169.677;-240.300;0.38;0.000;0.740;0.000;733.32;-57.919;-240.363;-5.6
23.118;2;C2D;Multimodal;169.619;-240.300;0.78;0.000;0.910;0.000;326.00;-57.913;-240.368;-5.6
23.220;2;C2D;Multimodal;169.517;-240.300;1.21;0.000;0.940;0.000;210.38;-57.929;-240.379;-5.7
23.320;2;C2D;Multimodal;169.375;-240.300;1.60;0.000;0.940;0.000;152.60;-57.939;-240.385;-5.8
23.420;2;C2D;Multimodal;169.193;-240.300;2.01;0.000;0.940;0.000;117.50;-57.943;-240.386;-5.8
23.522;2;C2D;Multimodal;168.966;-240.300;2.42;0.000;0.940;0.000;97.37;-57.946;-240.387;-5.8
23.622;2;C2D;Multimodal;168.703;-240.300;2.81;0.000;0.930;0.000;83.32;-57.948;-240.388;-5.8
23.722;2;C2D;Multimodal;168.402;-240.300;3.20;0.000;0.930;0.000;73.31;-57.950;-240.388;-5.8
23.824;2;C2D;Multimodal;168.055;-240.300;3.58;0.000;0.920;0.000;65.41;-57.952;-240.388;-5.8
23.924;2;C2D;Multimodal;167.678;-240.300;3.94;0.000;0.910;0.000;58.58;-57.954;-240.388;-5.8
24.024;2;C2D;Multimodal;167.265;-240.300;4.30;0.000;0.910;0.000;53.68;-57.956;-240.388;-5.8
24.126;2;C2D;Multimodal;166.806;-240.300;4.67;0.000;0.910;0.000;49.09;-57.958;-240.387;-5.8
24.226;2;C2D;Multimodal;166.321;-240.300;5.02;0.000;0.910;0.000;45.64;-57.960;-240.387;-5.9
24.328;2;C2D;Multimodal;165.790;-240.300;5.37;0.000;0.910;0.000;42.61;-57.963;-240.387;-5.9
24.428;2;C2D;Multimodal;165.234;-240.300;5.71;0.000;0.910;0.000;39.72;-57.966;-240.387;-5.9
24.528;2;C2D;Multimodal;164.645;-240.300;6.06;0.000;0.920;0.000;37.37;-57.969;-240.386;-5.9
24.630;2;C2D;Multimodal;164.009;-240.300;6.39;0.000;0.920;0.000;35.35;-57.972;-240.386;-5.9
24.730;2;C2D;Multimodal;163.351;-240.300;6.72;0.000;0.910;0.000;33.56;-57.975;-240.386;-5.9
24.830;2;C2D;Multimodal;162.661;-240.300;7.05;0.000;0.900;0.000;31.78;-57.978;-240.386;-5.9
24.932;2;C2D;Multimodal;161.925;-240.300;7.37;0.000;0.900;0.000;30.25;-57.982;-240.385;-6.0
25.032;2;C2D;Multimodal;161.171;-240.300;7.69;0.000;0.910;0.000;28.93;-57.986;-240.385;-6.0
25.132;2;C2D;Multimodal;160.386;-240.300;8.00;0.000;0.900;0.000;27.70;-57.990;-240.385;-6.0
25.234;2;C2D;Multimodal;159.553;-240.300;8.31;0.000;0.900;0.000;26.54;-57.994;-240.384;-6.0
25.334;2;C2D;Multimodal;158.707;-240.300;8.60;0.000;0.900;0.000;25.51;-57.998;-240.384;-6.0
25.434;2;C2D;Multimodal;157.831;-240.300;8.90;0.000;0.900;0.000;24.60;-58.003;-240.384;-6.1
25.536;2;C2D;Multimodal;156.907;-240.300;9.20;0.000;0.890;0.000;23.66;-58.007;-240.383;-6.1
25.636;2;C2D;Multimodal;155.972;-240.300;9.48;0.000;0.890;0.000;22.90;-58.012;-240.383;-6.1
25.736;2;C2D;Multimodal;155.010;-240.300;9.75;0.000;0.880;0.000;22.17;-58.017;-240.383;-6.1
25.838;2;C2D;Multimodal;154.000;-240.300;10.03;0.000;0.870;0.000;21.42;-58.022;-240.382;-6.1
25.938;2;C2D;Multimodal;152.983;-240.301;10.29;0.000;0.850;0.000;20.80;-58.028;-240.383;-6.2
26.038;2;C2D;Multimodal;151.941;-240.302;10.54;0.000;0.840;0.000;20.21;-58.033;-240.383;-6.2
26.140;2;C2D;Multimodal;150.853;-240.303;10.78;0.000;0.820;0.000;19.61;-58.039;-240.383;-6.2
