Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
44.082;3;C1D;Audio;169.700;-240.300;0.13;0.022;0.000;0.000;26435.72;152.898;-240.295;5.1
44.182;3;C1D;Audio;169.701;-240.300;0.02;0.022;0.000;0.000;23711.55;169.701;-240.300;5.1
44.284;3;C1D;Audio;169.701;-240.300;0.03;0.022;0.000;0.000;23662.57;169.701;-240.300;5.1
44.384;3;C1D;Audio;169.701;-240.300;0.03;0.022;0.000;0.000;24041.87;169.701;-240.300;5.2
44.486;3;C1D;Audio;169.702;-240.300;0.01;0.022;0.000;0.000;24256.33;169.702;-240.300;5.2
44.588;3;C1D;Audio;169.699;-240.300;0.11;0.022;0.500;0.000;2418.43;169.700;-240.300;5.1
44.688;3;C1D;Audio;169.673;-240.300;0.40;0.022;0.770;0.000;642.77;-57.391;-238.733;5.2
44.790;3;C1D;Audio;169.611;-240.300;0.79;0.022;0.910;0.000;321.85;-57.427;-238.542;5.2
44.890;3;C1D;Audio;169.510;-240.299;1.22;0.022;1.000;0.000;201.86;-57.437;-238.306;5.2
44.992;3;C1D;Audio;169.361;-240.297;1.66;0.022;1.000;0.000;143.80;-57.438;-237.964;5.2
45.092;3;C1D;Audio;169.172;-240.295;2.10;0.022;1.000;0.000;114.37;-57.437;-237.561;5.1
45.194;3;C1D;Audio;168.934;-240.292;2.53;0.044;1.000;0.000;92.76;-57.423;-236.473;4.9
45.294;3;C1D;Audio;168.659;-240.285;2.95;0.044;1.000;0.000;79.99;-57.390;-234.809;4.6
45.396;3;C1D;Audio;168.336;-240.276;3.37;0.044;1.000;0.000;69.48;-57.348;-233.240;4.2
45.498;3;C1D;Audio;167.970;-240.263;3.79;0.044;1.000;0.000;61.33;-57.291;-231.587;3.8
45.598;3;C1D;Audio;167.570;-240.245;4.19;0.022;1.000;0.000;55.16;-57.235;-230.206;3.4
45.700;3;C1D;Audio;167.121;-240.224;4.60;0.000;1.000;0.000;50.07;-57.216;-229.792;3.2
45.800;3;C1D;Audio;166.641;-240.202;4.98;-0.022;0.990;0.000;46.03;-57.239;-230.274;3.2
45.902;3;C1D;Audio;166.112;-240.181;5.37;-0.022;0.970;0.000;42.42;-57.291;-231.506;3.5
