Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
65.792;4;C1B;Multimodal;-216.980;-288.120;0.10;0.022;0.000;0.000;178796.60;-216.980;-288.120;81.3
65.892;4;C1B;Multimodal;-216.980;-288.120;0.02;0.022;0.000;0.000;111673.90;-216.980;-288.120;81.3
65.994;4;C1B;Multimodal;-216.980;-288.116;0.14;0.022;0.440;0.000;9894.88;-216.139;-131.155;81.3
66.096;4;C1B;Multimodal;-216.980;-288.088;0.46;0.044;0.840;0.000;2525.89;-214.822;-125.292;81.2
66.196;4;C1B;Multimodal;-216.979;-288.020;0.87;0.044;0.960;0.000;1231.73;-214.363;-125.078;81.2
66.298;4;C1B;Multimodal;-216.977;-287.907;1.31;0.044;0.980;0.000;797.66;-213.980;-125.006;81.1
66.400;4;C1B;Multimodal;-216.974;-287.749;1.76;0.044;0.980;0.000;569.79;-213.426;-124.878;80.9
66.502;4;C1B;Multimodal;-216.969;-287.547;2.17;0.044;0.970;0.000;450.36;-212.791;-124.730;80.7
66.604;4;C1B;Multimodal;-216.961;-287.302;2.60;0.044;0.980;0.000;363.36;-211.947;-124.538;80.4
66.706;4;C1B;Multimodal;-216.951;-287.014;3.01;0.044;0.980;0.000;308.01;-211.071;-124.346;80.1
66.808;4;C1B;Multimodal;-216.938;-286.684;3.42;0.044;0.980;0.000;262.69;-209.993;-124.114;79.8
66.910;4;C1B;Multimodal;-216.921;-286.313;3.83;0.022;0.970;0.000;231.74;-209.345;-123.836;79.5
67.012;4;C1B;Multimodal;-216.901;-285.901;4.23;0.000;0.970;0.000;212.87;-209.367;-123.507;79.5
67.114;4;C1B;Multimodal;-216.881;-285.449;4.61;0.000;0.950;0.000;198.38;-209.531;-123.123;79.7
67.216;4;C1B;Multimodal;-216.859;-284.959;4.99;0.000;0.940;0.000;187.21;-209.578;-122.742;79.8
67.318;4;C1B;Multimodal;-216.836;-284.431;5.35;-0.022;0.930;0.000;180.19;-210.026;-122.288;80.1
67.418;4;C1B;Multimodal;-216.814;-283.877;5.71;-0.022;0.930;0.000;177.32;-210.820;-121.797;80.7
67.520;4;C1B;Multimodal;-216.794;-283.277;6.06;-0.022;0.930;0.000;176.39;-211.668;-121.275;81.2
67.622;4;C1B;Multimodal;-216.777;-282.640;6.41;-0.022;0.930;0.000;177.43;-212.596;-120.698;81.8
67.724;4;C1B;Multimodal;-216.762;-281.969;6.75;-0.022;0.930;0.000;180.56;-213.547;-120.100;82.5
67.826;4;C1B;Multimodal;-216.750;-281.262;7.10;0.000;0.930;0.000;183.11;-214.212;-119.476;83.0
67.928;4;C1B;Multimodal;-216.739;-280.521;7.42;0.022;0.920;0.000;180.71;-214.153;-118.842;83.1
68.030;4;C1B;Multimodal;-216.724;-279.747;7.74;0.022;0.910;0.000;174.22;-213.521;-118.177;82.9
68.132;4;C1B;Multimodal;-216.705;-278.941;8.06;0.022;0.900;0.000;166.52;-212.625;-117.478;82.7
68.234;4;C1B;Multimodal;-216.680;-278.103;8.37;0.044;0.900;0.000;156.02;-211.236;-116.756;82.3
68.336;4;C1B;Multimodal;-216.644;-277.234;8.65;0.067;0.890;0.000;141.96;-209.132;-116.130;81.5
68.438;4;C1B;Multimodal;-216.591;-276.337;8.95;0.067;0.890;0.000;124.80;-206.053;-115.501;80.4
68.540;4;C1B;Multimodal;-216.518;-275.411;9.24;0.067;0.880;0.000;110.37;-202.837;-114.989;79.3
68.640;4;C1B;Multimodal;-216.425;-274.479;9.49;0.067;0.880;0.000;96.53;-198.981;-114.504;78.1
68.742;4;C1B;Multimodal;-216.306;-273.503;9.76;0.067;0.880;0.000;86.36;-195.482;-114.166;77.1
68.844;4;C1B;Multimodal;-216.160;-272.502;10.04;0.067;0.880;0.000;76.90;-191.524;-113.886;75.9
68.946;4;C1B;Multimodal;-215.986;-271.480;10.31;0.067;0.880;0.000;69.67;-187.881;-113.721;74.9
69.048;4;C1B;Multimodal;-215.783;-270.435;10.55;0.067;0.880;0.000;62.75;-183.734;-113.640;73.7
69.150;4;C1B;Multimodal;-215.550;-269.371;10.80;0.067;0.880;0.000;57.48;-180.019;-113.660;72.6
69.252;4;C1B;Multimodal;-215.285;-268.288;11.05;0.067;0.870;0.000;52.29;-175.740;-113.793;71.5
69.354;4;C1B;Multimodal;-214.986;-267.188;11.28;0.089;0.870;0.000;47.97;-171.584;-114.107;70.1
69.456;4;C1B;Multimodal;-214.649;-266.075;11.50;0.089;0.860;0.000;43.88;-167.023;-114.665;68.5
69.558;4;C1B;Multimodal;-214.271;-264.952;11.72;0.089;0.860;0.000;40.12;-162.137;-115.466;66.8
69.660;4;C1B;Multimodal;-213.848;-263.822;11.92;0.111;0.860;0.000;36.23;-156.215;-116.748;64.7
69.762;4;C1B;Multimodal;-213.375;-262.689;12.11;0.111;0.860;0.000;33.14;-150.704;-118.252;62.6
69.864;4;C1B;Multimodal;-212.851;-261.558;12.31;0.111;0.860;0.000;30.33;-144.888;-120.136;60.5
69.966;4;C1B;Multimodal;-212.272;-260.433;12.48;0.111;0.860;0.000;27.54;-138.183;-122.678;58.1
70.068;4;C1B;Multimodal;-211.638;-259.317;12.66;0.111;0.860;0.000;25.39;-132.245;-125.272;56.0
70.168;4;C1B;Multimodal;-210.961;-258.237;12.83;0.133;0.860;0.000;23.45;-126.160;-128.315;53.6
70.270;4;C1B;Multimodal;-210.211;-257.155;12.97;0.133;0.850;0.000;21.69;-119.901;-131.887;50.9
70.372;4;C1B;Multimodal;-209.402;-256.099;13.11;0.133;0.850;0.000;20.04;-113.276;-136.182;48.1
70.474;4;C1B;Multimodal;-208.532;-255.074;13.24;0.133;0.850;0.000;18.67;-107.167;-140.653;45.5
70.576;4;C1B;Multimodal;-207.603;-254.085;13.37;0.133;0.850;0.000;17.44;-101.167;-145.581;42.8
70.678;4;C1B;Multimodal;-206.615;-253.136;13.49;0.133;0.850;0.000;16.35;-95.458;-150.833;40.2
70.780;4;C1B;Multimodal;-205.572;-252.231;13.60;0.133;0.850;0.000;15.49;-90.587;-155.820;37.8
70.882;4;C1B;Multimodal;-204.474;-251.371;13.72;0.111;0.850;0.000;14.63;-85.575;-161.507;35.4
70.984;4;C1B;Multimodal;-203.326;-250.558;13.85;0.111;0.840;0.000;13.90;-81.233;-166.968;33.3
71.086;4;C1B;Multimodal;-202.132;-249.791;13.98;0.111;0.840;0.000;13.25;-77.345;-172.379;31.2
71.188;4;C1B;Multimodal;-200.894;-249.070;14.11;0.089;0.840;0.000;12.64;-73.709;-177.973;29.3
71.290;4;C1B;Multimodal;-199.616;-248.393;14.25;0.089;0.840;0.000;12.16;-70.939;-182.655;27.8
71.390;4;C1B;Multimodal;-198.327;-247.769;14.38;0.089;0.840;0.000;11.72;-68.503;-187.153;26.2
71.492;4;C1B;Multimodal;-196.976;-247.176;14.54;0.089;0.840;0.000;11.27;-66.121;-191.993;24.5
71.594;4;C1B;Multimodal;-195.592;-246.624;14.68;0.089;0.840;0.000;10.87;-64.079;-196.592;22.8
71.696;4;C1B;Multimodal;-194.175;-246.116;14.81;0.089;0.840;0.000;10.55;-62.492;-200.546;21.3
71.798;4;C1B;Multimodal;-192.729;-245.652;14.95;0.089;0.830;0.000;10.16;-60.705;-205.527;19.4
71.900;4;C1B;Multimodal;-191.255;-245.233;15.10;0.067;0.820;0.000;9.88;-59.496;-209.307;18.2
72.002;4;C1B;Multimodal;-189.756;-244.854;15.22;0.067;0.820;0.000;9.59;-58.387;-213.170;17.1
72.104;4;C1B;Multimodal;-188.232;-244.514;15.37;0.044;0.820;0.000;9.32;-57.509;-216.574;16.3
72.206;4;C1B;Multimodal;-186.686;-244.207;15.53;0.044;0.820;0.000;9.04;-56.770;-219.748;15.6
72.308;4;C1B;Multimodal;-185.118;-243.929;15.68;0.022;0.820;0.000;8.81;-56.283;-222.002;15.4
72.410;4;C1B;Multimodal;-183.531;-243.672;15.84;0.022;0.820;0.000;8.59;-55.911;-223.803;15.4
72.512;4;C1B;Multimodal;-181.924;-243.432;16.00;0.022;0.820;0.000;8.38;-55.623;-225.237;15.3
72.612;4;C1B;Multimodal;-180.330;-243.212;16.16;0.022;0.820;0.000;8.19;-55.381;-226.468;15.2
72.714;4;C1B;Multimodal;-178.686;-243.002;16.32;0.044;0.820;0.000;7.98;-55.136;-227.823;14.6
72.816;4;C1B;Multimodal;-177.024;-242.810;16.47;0.044;0.810;0.000;7.80;-54.907;-229.243;13.8
72.918;4;C1B;Multimodal;-175.346;-242.638;16.60;0.044;0.760;0.000;7.62;-54.677;-230.857;13.1
