Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
81.738;5;L2A;Control;-245.289;-79.579;0.22;0.022;0.000;0.000;463.57;-73.565;-242.635;-14.6
81.840;5;L2A;Control;-245.290;-79.579;0.13;0.022;0.000;0.000;463.57;-73.565;-242.635;-14.6
81.942;5;L2A;Control;-245.287;-79.579;0.06;0.022;0.120;0.000;463.57;-73.565;-242.635;-14.6
82.042;5;L2A;Control;-245.270;-79.579;0.28;0.000;0.470;0.000;463.57;-73.565;-242.635;-14.6
82.144;5;L2A;Control;-245.225;-79.579;0.63;0.022;0.790;0.000;463.57;-73.565;-242.635;-14.6
82.246;5;L2A;Control;-245.139;-79.579;1.05;0.022;0.910;0.000;463.57;-73.565;-242.635;-14.6
82.348;5;L2A;Control;-245.011;-79.581;1.45;0.022;0.920;0.000;463.57;-73.565;-242.635;-14.6
82.450;5;L2A;Control;-244.841;-79.582;1.85;0.022;0.920;0.000;463.57;-73.565;-242.635;-14.6
82.552;5;L2A;Control;-244.630;-79.585;2.26;0.022;0.920;0.000;463.57;-73.565;-242.635;-14.6
82.654;5;L2A;Control;-244.379;-79.589;2.65;0.022;0.910;0.000;463.57;-73.565;-242.635;-14.6
82.756;5;L2A;Control;-244.088;-79.594;3.04;0.022;0.920;0.000;463.57;-73.565;-242.635;-14.6
82.858;5;L2A;Control;-243.757;-79.601;3.41;0.022;0.910;0.000;463.57;-73.565;-242.635;-14.6
82.960;5;L2A;Control;-243.389;-79.610;3.79;0.022;0.910;0.000;463.57;-73.565;-242.635;-14.6
83.062;5;L2A;Control;-242.982;-79.620;4.15;0.000;0.900;0.000;463.57;-73.565;-242.635;-14.6
83.164;5;L2A;Control;-242.540;-79.630;4.49;-0.022;0.860;0.000;463.57;-73.565;-242.635;-14.6
83.264;5;L2A;Control;-242.074;-79.637;4.82;-0.022;0.850;0.000;463.57;-73.565;-242.635;-14.6
83.366;5;L2A;Control;-241.564;-79.643;5.15;-0.022;0.850;0.000;463.57;-73.565;-242.635;-14.6
83.468;5;L2A;Control;-241.021;-79.647;5.49;0.000;0.860;0.000;463.57;-73.565;-242.635;-14.6
83.570;5;L2A;Control;-240.445;-79.651;5.80;0.000;0.860;0.000;463.57;-73.565;-242.635;-14.6
83.672;5;L2A;Control;-239.836;-79.656;6.12;0.000;0.850;0.000;463.57;-73.565;-242.635;-14.6
83.774;5;L2A;Control;-239.195;-79.660;6.43;0.000;0.850;0.000;463.57;-73.565;-242.635;-14.6
83.876;5;L2A;Control;-238.522;-79.665;6.74;0.000;0.860;0.000;463.57;-73.565;-242.635;-14.6
83.978;5;L2A;Control;-237.819;-79.670;7.04;0.000;0.850;0.000;463.57;-73.565;-242.635;-14.6
84.080;5;L2A;Control;-237.084;-79.675;7.34;0.000;0.840;0.000;463.57;-73.565;-242.635;-14.6
84.182;5;L2A;Control;-236.320;-79.680;7.64;0.000;0.840;0.000;463.57;-73.565;-242.635;-14.6
84.284;5;L2A;Control;-235.526;-79.685;7.93;0.000;0.840;0.000;463.57;-73.565;-242.635;-14.6
84.386;5;L2A;Control;-234.702;-79.691;8.21;0.000;0.850;0.000;463.57;-73.565;-242.635;-14.6
84.486;5;L2A;Control;-233.867;-79.697;8.48;0.000;0.850;0.000;463.57;-73.565;-242.635;-14.6
84.588;5;L2A;Control;-232.987;-79.702;8.77;0.000;0.850;0.000;463.57;-73.565;-242.635;-14.6
84.690;5;L2A;Control;-232.078;-79.709;9.04;0.000;0.850;0.000;463.57;-73.565;-242.635;-14.6
84.792;5;L2A;Control;-231.142;-79.715;9.30;0.000;0.840;0.000;463.57;-73.565;-242.635;-14.6
84.894;5;L2A;Control;-230.179;-79.722;9.57;0.000;0.830;0.000;463.57;-73.565;-242.635;-14.6
84.996;5;L2A;Control;-229.190;-79.728;9.81;0.000;0.810;0.000;463.57;-73.565;-242.635;-14.6
85.098;5;L2A;Control;-228.175;-79.735;10.06;0.000;0.810;0.000;463.57;-73.565;-242.635;-14.6
85.200;5;L2A;Control;-227.136;-79.742;10.30;0.000;0.810;0.000;463.57;-73.565;-242.635;-14.6
