Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
94.904;6;C2A;Control;-242.230;-80.120;0.13;-0.022;0.000;0.000;24261.97;-227.777;-80.103;-7.7
95.006;6;C2A;Control;-242.231;-80.120;0.02;-0.022;0.000;0.000;21540.34;-242.231;-80.120;-7.7
95.108;6;C2A;Control;-242.230;-80.120;0.05;-0.022;0.220;0.000;6295.18;-242.231;-80.120;-7.7
95.208;6;C2A;Control;-242.219;-80.120;0.24;-0.022;0.730;0.000;1099.86;-39.760;-78.828;-7.7
95.310;6;C2A;Control;-242.174;-80.120;0.64;-0.022;0.980;0.000;384.97;-38.023;-78.542;-7.7
95.412;6;C2A;Control;-242.084;-80.119;1.10;-0.022;1.000;0.000;202.56;-38.032;-78.307;-7.7
95.514;6;C2A;Control;-241.947;-80.118;1.55;-0.022;1.000;0.000;140.52;-38.033;-78.020;-7.7
95.616;6;C2A;Control;-241.766;-80.115;1.99;-0.022;1.000;0.000;108.33;-38.029;-77.662;-7.6
95.718;6;C2A;Control;-241.539;-80.112;2.43;-0.022;1.000;0.000;88.95;-38.029;-77.234;-7.5
95.820;6;C2A;Control;-241.269;-80.108;2.85;-0.022;1.000;0.000;73.94;-38.035;-76.648;-7.3
95.922;6;C2A;Control;-240.956;-80.102;3.27;0.000;1.000;0.000;64.01;-38.037;-76.384;-7.1
96.024;6;C2A;Control;-240.599;-80.096;3.69;0.000;1.000;0.000;56.78;-38.028;-76.750;-7.1
96.124;6;C2A;Control;-240.208;-80.090;4.10;0.000;1.000;0.000;50.94;-38.023;-76.868;-7.1
96.226;6;C2A;Control;-239.768;-80.083;4.50;0.000;0.990;0.000;46.31;-38.019;-76.905;-7.1
96.328;6;C2A;Control;-239.288;-80.076;4.90;0.022;0.990;0.000;42.03;-38.009;-77.296;-7.2
96.430;6;C2A;Control;-238.767;-80.070;5.29;0.000;0.980;0.000;38.87;-37.998;-77.924;-7.5
96.532;6;C2A;Control;-238.207;-80.064;5.67;0.000;0.980;0.000;36.16;-37.993;-77.969;-7.5
96.634;6;C2A;Control;-237.608;-80.057;6.04;-0.022;0.970;0.000;33.86;-37.990;-77.792;-7.5
96.736;6;C2A;Control;-236.972;-80.048;6.41;0.000;0.950;0.000;31.86;-37.995;-77.098;-7.2
96.838;6;C2A;Control;-236.299;-80.038;6.76;-0.022;0.950;0.000;29.86;-37.996;-76.649;-7.1
96.940;6;C2A;Control;-235.591;-80.023;7.10;-0.022;0.950;0.000;28.30;-38.010;-75.686;-6.7
97.042;6;C2A;Control;-234.848;-80.004;7.45;-0.022;0.950;0.000;26.84;-38.034;-74.527;-6.3
97.144;6;C2A;Control;-234.070;-79.980;7.79;-0.022;0.950;0.000;25.59;-38.066;-73.348;-6.0
97.246;6;C2A;Control;-233.257;-79.949;8.12;0.000;0.950;0.000;24.45;-38.099;-72.338;-5.7
97.346;6;C2A;Control;-232.428;-79.916;8.45;0.000;0.950;0.000;23.42;-38.114;-71.868;-5.7
97.448;6;C2A;Control;-231.549;-79.879;8.77;0.000;0.950;0.000;22.36;-38.121;-71.592;-5.8
97.550;6;C2A;Control;-230.638;-79.839;9.10;0.000;0.950;0.000;21.50;-38.122;-71.465;-5.8
97.652;6;C2A;Control;-229.693;-79.798;9.42;0.022;0.950;0.000;20.68;-38.113;-71.571;-5.9
97.754;6;C2A;Control;-228.717;-79.759;9.73;0.022;0.950;0.000;19.86;-38.077;-72.334;-6.5
97.856;6;C2A;Control;-227.708;-79.723;10.04;0.022;0.950;0.000;19.21;-38.037;-73.279;-6.9
97.958;6;C2A;Control;-226.668;-79.692;10.34;0.044;0.950;0.000;18.51;-37.987;-74.724;-7.6
98.060;6;C2A;Control;-225.597;-79.670;10.64;0.022;0.950;0.000;17.95;-37.941;-76.476;-8.4
98.162;6;C2A;Control;-224.496;-79.658;10.93;0.022;0.950;0.000;17.33;-37.909;-78.288;-9.0
98.264;6;C2A;Control;-223.365;-79.655;11.23;0.000;0.940;0.000;16.83;-37.893;-79.614;-9.4
98.366;6;C2A;Control;-222.204;-79.657;11.51;0.000;0.940;0.000;16.33;-37.882;-80.435;-9.3
98.468;6;C2A;Control;-221.015;-79.664;11.80;0.000;0.940;0.000;15.81;-37.870;-80.940;-9.3
98.568;6;C2A;Control;-219.821;-79.674;12.06;0.000;0.940;0.000;15.38;-37.859;-81.184;-9.3
98.670;6;C2A;Control;-218.576;-79.685;12.34;0.000;0.930;0.000;14.96;-37.845;-81.327;-9.3
98.772;6;C2A;Control;-217.304;-79.697;12.60;0.000;0.930;0.000;14.52;-37.829;-81.419;-9.4
98.874;6;C2A;Control;-216.004;-79.709;12.86;0.000;0.920;0.000;14.15;-37.814;-81.465;-9.4
98.976;6;C2A;Control;-214.679;-79.722;13.11;0.000;0.880;0.000;13.77;-37.796;-81.493;-9.5
99.078;6;C2A;Control;-213.330;-79.736;13.31;0.000;0.800;0.000;13.45;-37.779;-81.509;-9.6
99.180;6;C2A;Control;-211.962;-79.750;13.50;0.000;0.760;0.000;13.15;-37.760;-81.522;-9.6
99.282;6;C2A;Control;-210.576;-79.764;13.67;0.000;0.740;0.000;12.88;-37.740;-81.530;-9.7
99.384;6;C2A;Control;-209.173;-79.778;13.83;0.000;0.740;0.000;12.64;-37.722;-81.535;-9.8
99.486;6;C2A;Control;-207.755;-79.793;13.99;0.000;0.740;0.000;12.38;-37.701;-81.540;-9.8
99.588;6;C2A;Control;-206.320;-79.808;14.15;0.000;0.740;0.000;12.16;-37.681;-81.544;-9.9
99.690;6;C2A;Control;-204.869;-79.823;14.29;0.000;0.740;0.000;11.94;-37.661;-81.547;-10.0
99.790;6;C2A;Control;-203.431;-79.839;14.44;0.000;0.740;0.000;11.69;-37.637;-81.549;-10.1
99.892;6;C2A;Control;-201.950;-79.854;14.59;0.000;0.720;0.000;11.50;-37.617;-81.551;-10.2
99.994;6;C2A;Control;-200.454;-79.870;14.73;0.000;0.680;0.000;11.29;-37.593;-81.553;-10.3
100.096;6;C2A;Control;-198.947;-79.885;14.82;0.000;0.570;0.000;11.10;-37.568;-81.555;-10.3
100.198;6;C2A;Control;-197.434;-79.901;14.84;0.000;0.430;0.000;10.98;-37.545;-81.557;-10.4
100.300;6;C2A;Control;-195.921;-79.917;14.83;0.000;0.410;0.000;10.88;-37.519;-81.559;-10.5
100.402;6;C2A;Control;-194.409;-79.932;14.82;0.000;0.390;0.000;10.79;-37.494;-81.559;-10.6
100.504;6;C2A;Control;-192.899;-79.948;14.80;0.000;0.390;0.000;10.70;-37.468;-81.559;-10.7
100.606;6;C2A;Control;-191.389;-79.964;14.79;0.000;0.390;0.000;10.61;-37.442;-81.560;-10.8
100.708;6;C2A;Control;-189.882;-79.979;14.78;0.000;0.390;0.000;10.53;-37.419;-81.563;-10.9
100.810;6;C2A;Control;-188.375;-79.995;14.76;0.000;0.390;0.000;10.44;-37.391;-81.566;-11.0
100.912;6;C2A;Control;-186.870;-80.010;14.75;0.000;0.390;0.000;10.35;-37.362;-81.571;-11.1
101.014;6;C2A;Control;-185.366;-80.026;14.73;0.000;0.390;0.000;10.26;-37.335;-81.575;-11.2
101.116;6;C2A;Control;-183.864;-80.042;14.73;0.000;0.400;0.000;10.17;-37.305;-81.580;-11.3
101.218;6;C2A;Control;-182.363;-80.057;14.72;0.000;0.390;0.000;10.08;-37.277;-81.584;-11.5
101.318;6;C2A;Control;-180.892;-80.073;14.70;0.000;0.390;0.000;9.99;-37.246;-81.589;-11.6
101.420;6;C2A;Control;-179.393;-80.089;14.70;0.000;0.400;0.000;9.90;-37.215;-81.593;-11.7
